"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.26670724026619e-18,39,1660,3.8839175257732,"Sequence-specific double-stranded DNA binding "," http://amigo.geneontology.org/amigo/term/GO:1990837"," PAX6  TFAP2B  FOXC1  MCM10  PITX1  PGR  ESR1  CDC45  CDC6  SOX10  MYBL2  EZH2  MEOX2  LHX2  GATA3  HLF  FOXM1  DLX2  MYB  MSX2  SPDEF  FOSB  E2F8  FOXA1  TBX3  ELF5  ZIC1  EN1  FOXI1  AR  FOS  EMX2  NR2F1  FOXG1  WT1  ESRRG  FOXD1  MMP12  SPIB"
8.14009911354323e-18,39,1775,3.73453608247423,"Double-stranded DNA binding "," http://amigo.geneontology.org/amigo/term/GO:0003690"," PAX6  TFAP2B  FOXC1  MCM10  PITX1  PGR  ESR1  CDC45  CDC6  SOX10  MYBL2  EZH2  MEOX2  LHX2  GATA3  HLF  FOXM1  DLX2  MYB  MSX2  SPDEF  FOSB  E2F8  FOXA1  TBX3  ELF5  ZIC1  EN1  FOXI1  AR  FOS  EMX2  NR2F1  FOXG1  WT1  ESRRG  FOXD1  MMP12  SPIB"
1.78543534718556e-17,39,1767,3.66407313752188,"Sequence-specific DNA binding "," http://amigo.geneontology.org/amigo/term/GO:0043565"," PAX6  TFAP2B  FOXC1  MCM10  PITX1  PGR  ESR1  CDC45  CDC6  SOX10  MYBL2  EZH2  MEOX2  LHX2  GATA3  HLF  FOXM1  DLX2  MYB  MSX2  SPDEF  FOSB  E2F8  FOXA1  TBX3  ELF5  ZIC1  EN1  FOXI1  AR  FOS  EMX2  NR2F1  FOXG1  WT1  ESRRG  FOXD1  MMP12  SPIB"
2.95776046357574e-17,34,1446,4.03092783505155,"DNA-binding transcription factor activity, RNA polymerase II-specific "," http://amigo.geneontology.org/amigo/term/GO:0000981"," PAX6  TFAP2B  FOXC1  PITX1  PGR  ESR1  SOX10  MYBL2  MEOX2  LHX2  GATA3  HLF  FOXM1  DLX2  MYB  MSX2  SPDEF  FOSB  E2F8  FOXA1  TBX3  ELF5  ZIC1  EN1  FOXI1  AR  FOS  EMX2  NR2F1  FOXG1  WT1  ESRRG  FOXD1  SPIB"
9.73896785923685e-17,34,1515,3.93718532725965,"DNA-binding transcription factor activity "," http://amigo.geneontology.org/amigo/term/GO:0003700"," PAX6  TFAP2B  FOXC1  PITX1  PGR  ESR1  SOX10  MYBL2  MEOX2  LHX2  GATA3  HLF  FOXM1  DLX2  MYB  MSX2  SPDEF  FOSB  E2F8  FOXA1  TBX3  ELF5  ZIC1  EN1  FOXI1  AR  FOS  EMX2  NR2F1  FOXG1  WT1  ESRRG  FOXD1  SPIB"
2.37237747576808e-15,32,1488,3.8863464923309,"RNA polymerase II transcription regulatory region sequence-specific DNA binding "," http://amigo.geneontology.org/amigo/term/GO:0000977"," PAX6  TFAP2B  FOXC1  PITX1  PGR  ESR1  SOX10  MYBL2  EZH2  MEOX2  LHX2  GATA3  HLF  FOXM1  DLX2  MYB  MSX2  FOSB  E2F8  FOXA1  TBX3  ZIC1  EN1  FOXI1  AR  FOS  EMX2  NR2F1  WT1  ESRRG  FOXD1  SPIB"
4.22029354857862e-15,33,1596,3.73453608247423,"Transcription cis-regulatory region binding "," http://amigo.geneontology.org/amigo/term/GO:0000976"," PAX6  TFAP2B  FOXC1  PITX1  PGR  ESR1  SOX10  MYBL2  EZH2  MEOX2  LHX2  GATA3  HLF  FOXM1  DLX2  MYB  MSX2  FOSB  E2F8  FOXA1  TBX3  ZIC1  EN1  FOXI1  AR  FOS  EMX2  NR2F1  WT1  ESRRG  FOXD1  MMP12  SPIB"
4.22029354857862e-15,33,1598,3.73453608247423,"Transcription regulatory region nucleic acid binding "," http://amigo.geneontology.org/amigo/term/GO:0001067"," PAX6  TFAP2B  FOXC1  PITX1  PGR  ESR1  SOX10  MYBL2  EZH2  MEOX2  LHX2  GATA3  HLF  FOXM1  DLX2  MYB  MSX2  FOSB  E2F8  FOXA1  TBX3  ZIC1  EN1  FOXI1  AR  FOS  EMX2  NR2F1  WT1  ESRRG  FOXD1  MMP12  SPIB"
3.84786093200478e-14,30,1253,3.83029341792228,"RNA polymerase II cis-regulatory region sequence-specific DNA binding "," http://amigo.geneontology.org/amigo/term/GO:0000978"," PAX6  TFAP2B  FOXC1  PITX1  PGR  ESR1  SOX10  MYBL2  EZH2  MEOX2  LHX2  GATA3  HLF  DLX2  MYB  FOSB  E2F8  FOXA1  TBX3  ZIC1  EN1  FOXI1  AR  FOS  EMX2  NR2F1  WT1  ESRRG  FOXD1  SPIB"
3.84786093200478e-14,30,1272,3.83029341792228,"Cis-regulatory region sequence-specific DNA binding "," http://amigo.geneontology.org/amigo/term/GO:0000987"," PAX6  TFAP2B  FOXC1  PITX1  PGR  ESR1  SOX10  MYBL2  EZH2  MEOX2  LHX2  GATA3  HLF  DLX2  MYB  FOSB  E2F8  FOXA1  TBX3  ZIC1  EN1  FOXI1  AR  FOS  EMX2  NR2F1  WT1  ESRRG  FOXD1  SPIB"
