"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.85987466901006e-08,31,1264,3.02668283808369,"Positive regulation of transcription by RNA polymerase II "," http://amigo.geneontology.org/amigo/term/GO:0045944"," PAX6  TFAP2B  FOXC1  PITX1  PGR  ESR1  SOX10  MYBL2  MEOX2  LHX2  GATA3  HLF  FOXM1  DLX2  MYB  SPDEF  FOSB  E2F8  FOXA1  TOP2A  TBX3  EN1  FOXI1  AR  FOS  NR2F1  WT1  ESRRG  FOXD1  MMP12  SPIB"
1.37200415554119e-07,24,957,3.41443298969072,"Negative regulation of transcription by RNA polymerase II "," http://amigo.geneontology.org/amigo/term/GO:0000122"," PAX6  TFAP2B  FOXC1  ESR1  SOX10  EZH2  GATA3  FOXM1  DLX2  MYB  MSX2  SPDEF  FOSB  E2F8  FOXA1  TBX3  TRIM29  EN1  FBP1  AR  NR2F1  FOXG1  WT1  MMP12"
1.49315784020814e-07,32,1716,2.70068146077232,"Positive regulation of transcription, DNA-templated "," http://amigo.geneontology.org/amigo/term/GO:0045893"," PAX6  TFAP2B  FOXC1  PITX1  PGR  ESR1  SOX10  MYBL2  MEOX2  LHX2  GATA3  HLF  FOXM1  DLX2  MYB  SPDEF  FOSB  E2F8  FOXA1  TOP2A  TBX3  ZIC1  EN1  FOXI1  AR  FOS  NR2F1  WT1  ESRRG  FOXD1  MMP12  SPIB"
1.49315784020814e-07,32,1895,2.70068146077232,"Positive regulation of RNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0051254"," PAX6  TFAP2B  FOXC1  PITX1  PGR  ESR1  SOX10  MYBL2  MEOX2  LHX2  GATA3  HLF  FOXM1  DLX2  MYB  SPDEF  FOSB  E2F8  FOXA1  TOP2A  TBX3  ZIC1  EN1  FOXI1  AR  FOS  NR2F1  WT1  ESRRG  FOXD1  MMP12  SPIB"
1.49315784020814e-07,32,1717,2.70068146077232,"Positive regulation of RNA biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:1902680"," PAX6  TFAP2B  FOXC1  PITX1  PGR  ESR1  SOX10  MYBL2  MEOX2  LHX2  GATA3  HLF  FOXM1  DLX2  MYB  SPDEF  FOSB  E2F8  FOXA1  TOP2A  TBX3  ZIC1  EN1  FOXI1  AR  FOS  NR2F1  WT1  ESRRG  FOXD1  MMP12  SPIB"
1.49315784020814e-07,32,1716,2.70068146077232,"Positive regulation of nucleic acid-templated transcription "," http://amigo.geneontology.org/amigo/term/GO:1903508"," PAX6  TFAP2B  FOXC1  PITX1  PGR  ESR1  SOX10  MYBL2  MEOX2  LHX2  GATA3  HLF  FOXM1  DLX2  MYB  SPDEF  FOSB  E2F8  FOXA1  TOP2A  TBX3  ZIC1  EN1  FOXI1  AR  FOS  NR2F1  WT1  ESRRG  FOXD1  MMP12  SPIB"
4.19044873719724e-07,32,1970,2.61213452763225,"Positive regulation of macromolecule biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0010557"," PAX6  TFAP2B  FOXC1  PITX1  PGR  ESR1  SOX10  MYBL2  MEOX2  LHX2  GATA3  HLF  FOXM1  DLX2  MYB  SPDEF  FOSB  E2F8  FOXA1  TOP2A  TBX3  ZIC1  EN1  FOXI1  AR  FOS  NR2F1  WT1  ESRRG  FOXD1  MMP12  SPIB"
6.6533372299086e-07,27,1642,2.86049572274622,"Negative regulation of macromolecule biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0010558"," PAX6  TFAP2B  FOXC1  PITX1  ESR1  CDC6  SOX10  EZH2  GATA3  FOXM1  DLX2  MYB  MSX2  SPDEF  FOSB  E2F8  FOXA1  TBX3  TRIM29  EN1  FBP1  AR  NR2F1  FOXG1  WT1  FOXD1  MMP12"
6.6533372299086e-07,27,1631,2.86049572274622,"Negative regulation of cellular macromolecule biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:2000113"," PAX6  TFAP2B  FOXC1  PITX1  ESR1  CDC6  SOX10  EZH2  GATA3  FOXM1  DLX2  MYB  MSX2  SPDEF  FOSB  E2F8  FOXA1  TBX3  TRIM29  EN1  FBP1  AR  NR2F1  FOXG1  WT1  FOXD1  MMP12"
7.72224667283893e-07,27,1702,2.80090206185567,"Negative regulation of cellular biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0031327"," PAX6  TFAP2B  FOXC1  PITX1  ESR1  CDC6  SOX10  EZH2  GATA3  FOXM1  DLX2  MYB  MSX2  SPDEF  FOSB  E2F8  FOXA1  TBX3  TRIM29  EN1  FBP1  AR  NR2F1  FOXG1  WT1  FOXD1  MMP12"
