"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
3.24530971882944e-206,191,1446,12.4504976019185,"DNA-binding transcription factor activity, RNA polymerase II-specific "," http://amigo.geneontology.org/amigo/term/GO:0000981"," TFAP2B  NFIX  MLXIPL  ETV7  HIVEP2  NR1H4  SNAI2  RUNX3  PRDM1  FOXJ2  NFYC  SPI1  KLF6  MEF2A  TCF3  NFATC3  TP63  GLI2  RARB  TP73  MEF2C  REST  TFAP2C  RFX2  TBX5  TFAP4  ESR1  HIVEP1  MZF1  YY1  HNF4A  E2F1  KLF8  KLF5  NFAT5  ZNF423  CTCF  MAZ  RELB  KLF1  USF2  SP4  NRF1  GLI3  NFKB1  ELF2  KLF3  PRDM4  MYF6  GLI1  ELK3  FOXM1  VDR  PPARD  E2F3  NR2E1  HAND1  HES1  STAT1  EPAS1  NFE2L2  MEF2D  NR5A2  ATF6  PLAGL1  FOXO3  NR4A3  ESRRB  BCL11A  ELF1  EGR1  NR2C1  TBX2  MYOG  TWIST1  EGR2  BHLHE41  NR4A1  SNAI1  SOX4  RREB1  RUNX2  IRF1  THRA  IRF3  IRF5  MYOD1  RARA  THAP1  PPARG  ARNTL  ETS1  TBX3  EHF  TFCP2  HEY2  EGR4  NKX2-1  KLF4  TFAP2A  IRF4  GCM1  ETV6  ESR2  TCF12  IRF8  TP53  RXRG  NR1I3  RFX5  NR1I2  TCF7L2  FOXO1  THRB  NR3C2  FLI1  ZIC1  NR4A2  GABPA  ZIC3  ETS2  ELK4  NR2F6  ZBTB7B  TAL1  GFI1  NEUROD1  ELF3  FEV  HESX1  ZNF148  KLF15  ZNF589  HNF4G  PKNOX2  ZNF219  ZNF143  SMAD3  PBX3  SP2  RBPJ  IRF2  E2F6  ATF5  HIC2  ZNF282  SMAD1  STAT2  JUNB  ZNF274  NHLH1  ARNT2  RARG  SP3  ESRRA  INSM1  ZIC4  DDIT3  NR2F1  ETV4  HIC1  TGIF1  NR2C2  MAF  ZBTB7A  EGR3  PLAG1  TBX1  FOXO4  ZBTB7C  SRY  WT1  PURA  NR2F2  SP1  ZBTB6  RXRA  FOXD3  PAX5  TCF4  FOXJ3  SREBF2  E2F4  RXRB  ETV5  ZNF350  SPIB  KLF13  NR2E3  HSF1  NFATC4"
3.24530971882944e-206,192,1515,12.1655944055944,"DNA-binding transcription factor activity "," http://amigo.geneontology.org/amigo/term/GO:0003700"," TFAP2B  NFIX  MLXIPL  ETV7  HIVEP2  NR1H4  SNAI2  RUNX3  PRDM1  FOXJ2  NFYC  SPI1  KLF6  MEF2A  TCF3  NFATC3  TP63  GLI2  RARB  TP73  MEF2C  REST  TFAP2C  RFX2  TBX5  TFAP4  ESR1  HIVEP1  MZF1  YY1  HNF4A  E2F1  KLF8  KLF5  NFAT5  ZNF423  CTCF  MAZ  RELB  KLF1  USF2  SP4  NRF1  GLI3  NFKB1  ELF2  KLF3  PRDM4  MYF6  GLI1  ELK3  FOXM1  VDR  PPARD  E2F3  NR2E1  HAND1  HES1  STAT1  EPAS1  NFE2L2  MEF2D  NR5A2  ATF6  PLAGL1  FOXO3  NR4A3  ESRRB  BCL11A  ELF1  EGR1  NR2C1  TBX2  MYOG  TWIST1  EGR2  BHLHE41  NR4A1  SNAI1  SOX4  RREB1  RUNX2  IRF1  THRA  IRF3  IRF5  MYOD1  RARA  THAP1  PPARG  ARNTL  ETS1  TBX3  EHF  TFCP2  HEY2  EGR4  NKX2-1  KLF4  TFAP2A  IRF4  GCM1  ETV6  ESR2  TCF12  IRF8  TP53  RXRG  NR1I3  RFX5  NR1I2  TCF7L2  FOXO1  THRB  NR3C2  FLI1  ZIC1  NR4A2  GABPA  ZIC3  ETS2  ELK4  NR2F6  ZBTB7B  TAL1  GFI1  NEUROD1  ELF3  FEV  HESX1  ZNF148  KLF15  ZNF589  HNF4G  PKNOX2  ZNF219  ZNF143  SMAD3  PBX3  SP2  RBPJ  IRF2  E2F6  MECP2  ATF5  HIC2  ZNF282  SMAD1  STAT2  JUNB  ZNF274  NHLH1  ARNT2  RARG  SP3  ESRRA  INSM1  ZIC4  DDIT3  NR2F1  ETV4  HIC1  TGIF1  NR2C2  MAF  ZBTB7A  EGR3  PLAG1  TBX1  FOXO4  ZBTB7C  SRY  WT1  PURA  NR2F2  SP1  ZBTB6  RXRA  FOXD3  PAX5  TCF4  FOXJ3  SREBF2  E2F4  RXRB  ETV5  ZNF350  SPIB  KLF13  NR2E3  HSF1  NFATC4"
6.86258037434054e-201,190,1488,11.9691193511008,"RNA polymerase II transcription regulatory region sequence-specific DNA binding "," http://amigo.geneontology.org/amigo/term/GO:0000977"," TFAP2B  NFIX  MLXIPL  ETV7  HIVEP2  NR1H4  SNAI2  RUNX3  PRDM1  FOXJ2  NFYC  SPI1  KLF6  MEF2A  TCF3  NFATC3  TP63  GLI2  RARB  TP73  MEF2C  REST  TFAP2C  RFX2  TBX5  TFAP4  ESR1  HIVEP1  MZF1  YY1  HNF4A  E2F1  KLF8  KLF5  NFAT5  ZNF423  CTCF  MAZ  RELB  KLF1  USF2  SP4  NRF1  GLI3  NFKB1  KLF3  PRDM4  MYF6  GLI1  ELK3  FOXM1  VDR  PPARD  E2F3  NR2E1  HAND1  HES1  STAT1  EPAS1  NFE2L2  MEF2D  NR5A2  ATF6  PLAGL1  FOXO3  NR4A3  ESRRB  BCL11A  ELF1  EGR1  NR2C1  TBX2  MYOG  TWIST1  EGR2  BHLHE41  NR4A1  SNAI1  SOX4  RREB1  RUNX2  IRF1  THRA  IRF3  IRF5  MYOD1  RARA  THAP1  PPARG  ARNTL  ETS1  TBX3  EHF  TFCP2  HEY2  EGR4  NKX2-1  KLF4  TFAP2A  IRF4  GCM1  ETV6  ESR2  TCF12  IRF8  TP53  RXRG  NR1I3  RFX5  NR1I2  TCF7L2  FOXO1  THRB  NR3C2  FLI1  ZIC1  NR4A2  GABPA  ZIC3  ETS2  ELK4  NR2F6  ZBTB7B  TAL1  GFI1  NEUROD1  ELF3  HESX1  ZNF148  KLF15  ZNF589  HNF4G  PKNOX2  ZNF219  ZNF143  SMAD3  PBX3  SP2  RBPJ  IRF2  E2F6  ATF5  HIC2  ZNF282  SMAD1  STAT2  JUNB  ZNF274  BPTF  NHLH1  ARNT2  RARG  SP3  ESRRA  INSM1  ZIC4  DDIT3  NR2F1  ETV4  HIC1  TGIF1  NR2C2  MAF  ZBTB7A  EGR3  PLAG1  TBX1  FOXO4  ZBTB7C  SRY  WT1  PURA  NR2F2  SP1  ZBTB6  RXRA  FOXD3  PAX5  TCF4  FOXJ3  SREBF2  E2F4  RXRB  ETV5  ZNF350  SPIB  KLF13  NR2E3  HSF1  NFATC4"
9.95105515160734e-198,194,1660,10.5998090452261,"Sequence-specific double-stranded DNA binding "," http://amigo.geneontology.org/amigo/term/GO:1990837"," TFAP2B  NFIX  MLXIPL  ETV7  HIVEP2  NR1H4  SNAI2  RUNX3  PRDM1  FOXJ2  YBX1  NFYC  SPI1  KLF6  MEF2A  TCF3  NFATC3  TP63  GLI2  RARB  TP73  MEF2C  REST  TFAP2C  RFX2  TBX5  TFAP4  ESR1  HIVEP1  MZF1  YY1  HNF4A  E2F1  KLF8  KLF5  NFAT5  ZNF423  CTCF  MAZ  RELB  KLF1  USF2  SP4  NRF1  GLI3  NFKB1  ELF2  KLF3  PRDM4  MYF6  GLI1  ELK3  FOXM1  VDR  PPARD  E2F3  NR2E1  HAND1  HES1  STAT1  EPAS1  NFE2L2  MEF2D  NR5A2  ATF6  PLAGL1  FOXO3  NR4A3  ESRRB  BCL11A  ELF1  EGR1  NR2C1  TBX2  MYOG  TWIST1  EGR2  BHLHE41  NR4A1  SNAI1  SOX4  RREB1  RUNX2  IRF1  THRA  IRF3  IRF5  MYOD1  RARA  THAP1  PPARG  ARNTL  MBD2  ETS1  TBX3  EHF  TFCP2  HEY2  EGR4  NKX2-1  KLF4  TFAP2A  IRF4  GCM1  ETV6  ESR2  TCF12  IRF8  TP53  RXRG  NR1I3  RFX5  NR1I2  TCF7L2  FOXO1  THRB  NR3C2  FLI1  ZIC1  NR4A2  GABPA  ZIC3  ETS2  ELK4  NR2F6  ZBTB7B  TAL1  GFI1  NEUROD1  ELF3  FEV  HESX1  ZNF148  KLF15  ZNF589  HNF4G  PKNOX2  ZNF219  ZNF143  SMAD3  PBX3  SP2  RBPJ  IRF2  E2F6  ATF5  HIC2  ZNF282  SMAD1  STAT2  JUNB  ZNF274  BPTF  NHLH1  ARNT2  RARG  SP3  ESRRA  INSM1  ZIC4  DDIT3  NR2F1  ETV4  HIC1  TGIF1  NR2C2  MAF  ZBTB7A  EGR3  PLAG1  TBX1  FOXO4  ZBTB7C  SRY  WT1  PURA  NR2F2  SP1  ZBTB6  RXRA  FOXD3  PAX5  TCF4  FOXJ3  SREBF2  E2F4  RXRB  ETV5  ZNF350  SPIB  KLF13  NR2E3  HSF1  NFATC4"
1.27681368521194e-196,183,1253,13.1250593667546,"RNA polymerase II cis-regulatory region sequence-specific DNA binding "," http://amigo.geneontology.org/amigo/term/GO:0000978"," TFAP2B  NFIX  MLXIPL  HIVEP2  NR1H4  SNAI2  RUNX3  PRDM1  FOXJ2  NFYC  SPI1  KLF6  MEF2A  TCF3  NFATC3  TP63  GLI2  RARB  TP73  MEF2C  REST  TFAP2C  RFX2  TBX5  TFAP4  ESR1  HIVEP1  MZF1  YY1  HNF4A  E2F1  KLF8  KLF5  NFAT5  ZNF423  CTCF  MAZ  RELB  KLF1  USF2  SP4  NRF1  GLI3  NFKB1  KLF3  PRDM4  MYF6  GLI1  ELK3  VDR  PPARD  E2F3  NR2E1  HAND1  HES1  STAT1  EPAS1  NFE2L2  MEF2D  NR5A2  ATF6  PLAGL1  FOXO3  NR4A3  ESRRB  BCL11A  ELF1  EGR1  NR2C1  TBX2  MYOG  TWIST1  EGR2  BHLHE41  NR4A1  SNAI1  SOX4  RREB1  RUNX2  IRF1  THRA  IRF3  IRF5  MYOD1  RARA  THAP1  PPARG  ARNTL  ETS1  TBX3  EHF  TFCP2  HEY2  EGR4  NKX2-1  KLF4  TFAP2A  IRF4  GCM1  ETV6  ESR2  TCF12  IRF8  TP53  RXRG  NR1I3  RFX5  NR1I2  TCF7L2  FOXO1  THRB  NR3C2  FLI1  ZIC1  NR4A2  GABPA  ZIC3  ETS2  ELK4  NR2F6  ZBTB7B  TAL1  GFI1  NEUROD1  ELF3  HESX1  ZNF148  KLF15  HNF4G  PKNOX2  ZNF219  ZNF143  SMAD3  PBX3  SP2  RBPJ  IRF2  E2F6  HIC2  SMAD1  STAT2  JUNB  ZNF274  BPTF  NHLH1  ARNT2  RARG  SP3  ESRRA  INSM1  ZIC4  DDIT3  NR2F1  ETV4  HIC1  TGIF1  NR2C2  MAF  ZBTB7A  EGR3  PLAG1  TBX1  FOXO4  ZBTB7C  SRY  WT1  NR2F2  SP1  ZBTB6  RXRA  FOXD3  PAX5  TCF4  FOXJ3  SREBF2  E2F4  RXRB  ZNF350  SPIB  KLF13  NR2E3  HSF1  NFATC4"
1.59303644416758e-196,196,1767,9.97709737827715,"Sequence-specific DNA binding "," http://amigo.geneontology.org/amigo/term/GO:0043565"," TFAP2B  NFIX  MLXIPL  ETV7  HIVEP2  NR1H4  SNAI2  RUNX3  PRDM1  FOXJ2  YBX1  NFYC  SPI1  KLF6  MEF2A  TCF3  NFATC3  TP63  GLI2  RARB  TP73  MEF2C  REST  TFAP2C  RFX2  TBX5  TFAP4  ESR1  HIVEP1  MZF1  YY1  HNF4A  E2F1  KLF8  KLF5  NFAT5  ZNF423  CTCF  MAZ  RELB  KLF1  USF2  SP4  NRF1  GLI3  NFKB1  ELF2  KLF3  PRDM4  MYF6  GLI1  ELK3  FOXM1  VDR  PPARD  E2F3  NR2E1  HAND1  HES1  STAT1  EPAS1  NFE2L2  MEF2D  NR5A2  ATF6  PLAGL1  FOXO3  NR4A3  ESRRB  BCL11A  ELF1  EGR1  NR2C1  TBX2  MYOG  TWIST1  EGR2  BHLHE41  NR4A1  SNAI1  SOX4  RREB1  RUNX2  IRF1  THRA  IRF3  IRF5  MYOD1  DNMT1  RARA  THAP1  PPARG  ARNTL  MBD2  ETS1  TBX3  EHF  TFCP2  HEY2  EGR4  NKX2-1  KLF4  TFAP2A  IRF4  GCM1  ETV6  ESR2  TCF12  IRF8  TP53  RXRG  NR1I3  RFX5  NR1I2  TCF7L2  FOXO1  THRB  NR3C2  FLI1  ZIC1  NR4A2  GABPA  ZIC3  ETS2  ELK4  NR2F6  ZBTB7B  TAL1  GFI1  NEUROD1  ELF3  FEV  HESX1  ZNF148  KLF15  ZNF589  HNF4G  PKNOX2  ZNF219  ZNF143  SMAD3  PBX3  SP2  RBPJ  IRF2  E2F6  MECP2  ATF5  HIC2  ZNF282  SMAD1  STAT2  JUNB  ZNF274  BPTF  NHLH1  ARNT2  RARG  SP3  ESRRA  INSM1  ZIC4  DDIT3  NR2F1  ETV4  HIC1  TGIF1  NR2C2  MAF  ZBTB7A  EGR3  PLAG1  TBX1  FOXO4  ZBTB7C  SRY  WT1  PURA  NR2F2  SP1  ZBTB6  RXRA  FOXD3  PAX5  TCF4  FOXJ3  SREBF2  E2F4  RXRB  ETV5  ZNF350  SPIB  KLF13  NR2E3  HSF1  NFATC4"
3.12033341184486e-195,183,1272,12.9037548638132,"Cis-regulatory region sequence-specific DNA binding "," http://amigo.geneontology.org/amigo/term/GO:0000987"," TFAP2B  NFIX  MLXIPL  HIVEP2  NR1H4  SNAI2  RUNX3  PRDM1  FOXJ2  NFYC  SPI1  KLF6  MEF2A  TCF3  NFATC3  TP63  GLI2  RARB  TP73  MEF2C  REST  TFAP2C  RFX2  TBX5  TFAP4  ESR1  HIVEP1  MZF1  YY1  HNF4A  E2F1  KLF8  KLF5  NFAT5  ZNF423  CTCF  MAZ  RELB  KLF1  USF2  SP4  NRF1  GLI3  NFKB1  KLF3  PRDM4  MYF6  GLI1  ELK3  VDR  PPARD  E2F3  NR2E1  HAND1  HES1  STAT1  EPAS1  NFE2L2  MEF2D  NR5A2  ATF6  PLAGL1  FOXO3  NR4A3  ESRRB  BCL11A  ELF1  EGR1  NR2C1  TBX2  MYOG  TWIST1  EGR2  BHLHE41  NR4A1  SNAI1  SOX4  RREB1  RUNX2  IRF1  THRA  IRF3  IRF5  MYOD1  RARA  THAP1  PPARG  ARNTL  ETS1  TBX3  EHF  TFCP2  HEY2  EGR4  NKX2-1  KLF4  TFAP2A  IRF4  GCM1  ETV6  ESR2  TCF12  IRF8  TP53  RXRG  NR1I3  RFX5  NR1I2  TCF7L2  FOXO1  THRB  NR3C2  FLI1  ZIC1  NR4A2  GABPA  ZIC3  ETS2  ELK4  NR2F6  ZBTB7B  TAL1  GFI1  NEUROD1  ELF3  HESX1  ZNF148  KLF15  HNF4G  PKNOX2  ZNF219  ZNF143  SMAD3  PBX3  SP2  RBPJ  IRF2  E2F6  HIC2  SMAD1  STAT2  JUNB  ZNF274  BPTF  NHLH1  ARNT2  RARG  SP3  ESRRA  INSM1  ZIC4  DDIT3  NR2F1  ETV4  HIC1  TGIF1  NR2C2  MAF  ZBTB7A  EGR3  PLAG1  TBX1  FOXO4  ZBTB7C  SRY  WT1  NR2F2  SP1  ZBTB6  RXRA  FOXD3  PAX5  TCF4  FOXJ3  SREBF2  E2F4  RXRB  ZNF350  SPIB  KLF13  NR2E3  HSF1  NFATC4"
2.87573322733162e-194,195,1775,9.95415492957746,"Double-stranded DNA binding "," http://amigo.geneontology.org/amigo/term/GO:0003690"," TFAP2B  NFIX  MLXIPL  ETV7  HIVEP2  NR1H4  SNAI2  RUNX3  PRDM1  FOXJ2  YBX1  NFYC  SPI1  KLF6  MEF2A  TCF3  NFATC3  TP63  GLI2  RARB  TP73  MEF2C  REST  TFAP2C  RFX2  TBX5  TFAP4  ESR1  HIVEP1  MZF1  YY1  HNF4A  E2F1  KLF8  KLF5  NFAT5  ZNF423  CTCF  MAZ  RELB  KLF1  USF2  SP4  NRF1  GLI3  NFKB1  ELF2  KLF3  PRDM4  MYF6  GLI1  ELK3  FOXM1  VDR  PPARD  E2F3  NR2E1  HAND1  HES1  STAT1  EPAS1  NFE2L2  MEF2D  NR5A2  ATF6  PLAGL1  FOXO3  NR4A3  ESRRB  BCL11A  ELF1  EGR1  NR2C1  TBX2  MYOG  TWIST1  EGR2  BHLHE41  NR4A1  SNAI1  SOX4  RREB1  RUNX2  IRF1  THRA  IRF3  IRF5  MYOD1  RARA  THAP1  PPARG  ARNTL  MBD2  ETS1  TBX3  EHF  TFCP2  HEY2  EGR4  NKX2-1  KLF4  TFAP2A  IRF4  GCM1  ETV6  ESR2  TCF12  IRF8  TP53  RXRG  NR1I3  RFX5  NR1I2  TCF7L2  FOXO1  THRB  NR3C2  FLI1  ZIC1  NR4A2  GABPA  ZIC3  ETS2  ELK4  NR2F6  ZBTB7B  TAL1  GFI1  NEUROD1  ELF3  FEV  HESX1  ZNF148  KLF15  ZNF589  HNF4G  PKNOX2  ZNF219  ZNF143  SMAD3  PBX3  SP2  RBPJ  IRF2  E2F6  MECP2  ATF5  HIC2  ZNF282  SMAD1  STAT2  JUNB  ZNF274  BPTF  NHLH1  ARNT2  RARG  SP3  ESRRA  INSM1  ZIC4  DDIT3  NR2F1  ETV4  HIC1  TGIF1  NR2C2  MAF  ZBTB7A  EGR3  PLAG1  TBX1  FOXO4  ZBTB7C  SRY  WT1  PURA  NR2F2  SP1  ZBTB6  RXRA  FOXD3  PAX5  TCF4  FOXJ3  SREBF2  E2F4  RXRB  ETV5  ZNF350  SPIB  KLF13  NR2E3  HSF1  NFATC4"
3.42209271199276e-193,190,1596,10.9537115588547,"Transcription cis-regulatory region binding "," http://amigo.geneontology.org/amigo/term/GO:0000976"," TFAP2B  NFIX  MLXIPL  ETV7  HIVEP2  NR1H4  SNAI2  RUNX3  PRDM1  FOXJ2  NFYC  SPI1  KLF6  MEF2A  TCF3  NFATC3  TP63  GLI2  RARB  TP73  MEF2C  REST  TFAP2C  RFX2  TBX5  TFAP4  ESR1  HIVEP1  MZF1  YY1  HNF4A  E2F1  KLF8  KLF5  NFAT5  ZNF423  CTCF  MAZ  RELB  KLF1  USF2  SP4  NRF1  GLI3  NFKB1  KLF3  PRDM4  MYF6  GLI1  ELK3  FOXM1  VDR  PPARD  E2F3  NR2E1  HAND1  HES1  STAT1  EPAS1  NFE2L2  MEF2D  NR5A2  ATF6  PLAGL1  FOXO3  NR4A3  ESRRB  BCL11A  ELF1  EGR1  NR2C1  TBX2  MYOG  TWIST1  EGR2  BHLHE41  NR4A1  SNAI1  SOX4  RREB1  RUNX2  IRF1  THRA  IRF3  IRF5  MYOD1  RARA  THAP1  PPARG  ARNTL  ETS1  TBX3  EHF  TFCP2  HEY2  EGR4  NKX2-1  KLF4  TFAP2A  IRF4  GCM1  ETV6  ESR2  TCF12  IRF8  TP53  RXRG  NR1I3  RFX5  NR1I2  TCF7L2  FOXO1  THRB  NR3C2  FLI1  ZIC1  NR4A2  GABPA  ZIC3  ETS2  ELK4  NR2F6  ZBTB7B  TAL1  GFI1  NEUROD1  ELF3  HESX1  ZNF148  KLF15  ZNF589  HNF4G  PKNOX2  ZNF219  ZNF143  SMAD3  PBX3  SP2  RBPJ  IRF2  E2F6  ATF5  HIC2  ZNF282  SMAD1  STAT2  JUNB  ZNF274  BPTF  NHLH1  ARNT2  RARG  SP3  ESRRA  INSM1  ZIC4  DDIT3  NR2F1  ETV4  HIC1  TGIF1  NR2C2  MAF  ZBTB7A  EGR3  PLAG1  TBX1  FOXO4  ZBTB7C  SRY  WT1  PURA  NR2F2  SP1  ZBTB6  RXRA  FOXD3  PAX5  TCF4  FOXJ3  SREBF2  E2F4  RXRB  ETV5  ZNF350  SPIB  KLF13  NR2E3  HSF1  NFATC4"
3.85212016918054e-193,190,1598,10.9421080508475,"Transcription regulatory region nucleic acid binding "," http://amigo.geneontology.org/amigo/term/GO:0001067"," TFAP2B  NFIX  MLXIPL  ETV7  HIVEP2  NR1H4  SNAI2  RUNX3  PRDM1  FOXJ2  NFYC  SPI1  KLF6  MEF2A  TCF3  NFATC3  TP63  GLI2  RARB  TP73  MEF2C  REST  TFAP2C  RFX2  TBX5  TFAP4  ESR1  HIVEP1  MZF1  YY1  HNF4A  E2F1  KLF8  KLF5  NFAT5  ZNF423  CTCF  MAZ  RELB  KLF1  USF2  SP4  NRF1  GLI3  NFKB1  KLF3  PRDM4  MYF6  GLI1  ELK3  FOXM1  VDR  PPARD  E2F3  NR2E1  HAND1  HES1  STAT1  EPAS1  NFE2L2  MEF2D  NR5A2  ATF6  PLAGL1  FOXO3  NR4A3  ESRRB  BCL11A  ELF1  EGR1  NR2C1  TBX2  MYOG  TWIST1  EGR2  BHLHE41  NR4A1  SNAI1  SOX4  RREB1  RUNX2  IRF1  THRA  IRF3  IRF5  MYOD1  RARA  THAP1  PPARG  ARNTL  ETS1  TBX3  EHF  TFCP2  HEY2  EGR4  NKX2-1  KLF4  TFAP2A  IRF4  GCM1  ETV6  ESR2  TCF12  IRF8  TP53  RXRG  NR1I3  RFX5  NR1I2  TCF7L2  FOXO1  THRB  NR3C2  FLI1  ZIC1  NR4A2  GABPA  ZIC3  ETS2  ELK4  NR2F6  ZBTB7B  TAL1  GFI1  NEUROD1  ELF3  HESX1  ZNF148  KLF15  ZNF589  HNF4G  PKNOX2  ZNF219  ZNF143  SMAD3  PBX3  SP2  RBPJ  IRF2  E2F6  ATF5  HIC2  ZNF282  SMAD1  STAT2  JUNB  ZNF274  BPTF  NHLH1  ARNT2  RARG  SP3  ESRRA  INSM1  ZIC4  DDIT3  NR2F1  ETV4  HIC1  TGIF1  NR2C2  MAF  ZBTB7A  EGR3  PLAG1  TBX1  FOXO4  ZBTB7C  SRY  WT1  PURA  NR2F2  SP1  ZBTB6  RXRA  FOXD3  PAX5  TCF4  FOXJ3  SREBF2  E2F4  RXRB  ETV5  ZNF350  SPIB  KLF13  NR2E3  HSF1  NFATC4"
