"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
8.91133628223481e-24,190,530,2.11330513147045,"Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05200 "," DVL2  ITGA3  IGF1  HGF  BIRC3  FAS  DAPK2  KITLG  LAMC3  PTGER3  RAD51  LAMA3  TRAF1  LAMC2  CAMK2B  SPI1  FGFR2  FGFR3  RASGRP2  CAMK2A  CDC42  PTGS2  GLI2  ADCY2  EDN1  RUNX1T1  COL4A4  IL12RB2  GSTP1  WNT11  MMP2  BIRC5  DLL3  LAMB1  ITGA6  FH  ESR1  TGFB2  JAK2  IL12RB1  RPS6KA5  MMP9  STK4  PLCB4  JAG1  LAMA1  FZD3  IKBKB  IL7  CCNE1  CDK6  MET  WNT2  GLI3  TGFBR1  CXCL12  CUL2  ZBTB16  CCND1  GLI1  WNT5B  FZD10  IFNG  VEGFA  IL12B  FGF1  PDGFRB  WNT5A  APC2  STAT1  WNT6  SLC2A1  CCND2  CSF3R  TGFB3  GNA13  FLT3  CKS2  BMP4  PTGER2  BMP2  TRAF2  F2RL3  GNG13  GNG11  GNGT1  GNAI1  RAC2  CALML4  GADD45G  EPO  RARA  PPARG  CCNA1  GSTM1  GSTM3  WNT2B  IL6ST  IL2RA  PDGFRA  ETS1  HEY2  MDM2  AGT  MYC  FGF2  LEF1  EGF  BRCA2  LPAR6  FGF7  IGF1R  PML  PMAIP1  ERBB2  PRKACB  ARNT  AGTR1  CCNA2  SKP2  PIK3R1  EGFR  LPAR4  IL2RG  CDKN2B  CDKN2A  FOXO1  EDNRA  TCF7L1  BCL2L11  FZD7  FGF18  KIT  FGFR4  DVL3  ADCY9  WNT4  TGFBR2  ITGA2  HEY1  ADCY1  FZD6  RET  PRKCB  NKX3-1  IGF2  BDKRB2  IL7R  GSTM4  COL4A3  AR  CXCL8  RAC3  WNT10B  FOS  LPAR3  BCL2L1  BCL2  LAMB2  ARNT2  GNG12  RASGRP1  CKS1B  GSTA3  CCNE2  FZD8  CALML3  CALML5  NQO1  F2R  PLCB1  PTCH1  EPOR  WNT7B  COL4A5  FZD9  FGF16  LAMA2  HDAC2  MMP1  LAMB3  COL4A6  LPAR1  CSF2RA  GSTM2  GSTA1  GSTT2  LRP6  E2F2  GNG4"
7.97951926654446e-22,123,294,2.46627929682346,"Cytokine-cytokine receptor interaction","http://www.genome.jp/kegg-bin/show_pathway?hsa04060 "," CX3CL1  IL32  IL20RA  FAS  TNFRSF17  IL17RB  NGFR  CXCL2  IL12RB2  THPO  TGFB2  IL11  IL12RB1  CD40  BMP7  CD40LG  CCL22  CCL17  IL21R  IL7  AMH  TGFBR1  TNFSF8  CXCL12  CCL7  CCL2  CCL8  IFNG  BMP5  CCR6  GHR  IL12B  PRLR  LIFR  CCL20  IL1R2  IL1RL2  IL1RL1  IL18R1  IL18RAP  LEPR  CSF3R  TGFB3  TNFSF18  TNFSF11  TNFRSF10B  INHBA  IL13RA2  INHA  IL9R  CXCL6  BMP4  TNFSF14  BMP2  GDF5  CCR7  IL17B  LIF  ACKR4  GDF1  EPO  EDA2R  IL6ST  IL2RA  ACVR1B  IL10  IL33  IL11RA  CCL21  MSTN  BMPR1B  CXCL9  CD27  TNFRSF11A  XCL1  ACKR3  CXCL14  TNFRSF21  IL2RG  CTF1  IL18  BMP6  CXCL13  CXCR5  IL24  TGFBR2  IL17RC  CXCL3  CXCL5  CXCL1  TNFRSF11B  CX3CR1  IL7R  CXCL10  CXCL11  CXCL8  CCL11  CCL19  TNFRSF10D  XCR1  LEP  CLCF1  CCR8  CXCR2  CCL13  BMP8A  CCR4  CXCR3  TNFRSF4  EPOR  IL1RAP  CSF2RA  CCL27  TNFRSF25  LTB  TNF  TNFSF12  CNTF  GDF10  CCL5  CCL23  CCL14  CCL18"
2.7376068754425e-18,132,354,2.19813896814857,"PI3K-Akt signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04151 "," ITGA3  IGF1  HGF  IBSP  TNC  KITLG  LAMC3  LAMA3  LAMC2  NGFR  PKN2  ERBB3  FGFR2  FGFR3  COL4A4  PHLPP1  ITGB5  LAMB1  ITGA6  COL9A3  JAK2  TCL1A  LAMA1  FLT1  TSC2  IKBKB  IL7  CCNE1  COMP  CDK6  ITGB8  MET  RHEB  COL1A1  AREG  CCND1  VWF  VEGFA  GHR  THBS4  PRLR  FGF1  PDGFRB  ITGB6  ITGA4  STK11  MYB  SPP1  CCND2  CSF3R  TNN  FLT3  NR4A1  PCK1  EREG  GNG13  GNG11  GNGT1  EPO  PRKAA1  ITGB4  IL2RA  PDGFRA  ITGA7  MDM2  CHAD  MYC  THBS1  FGF2  EGF  COL2A1  ITGB7  LPAR6  FGF7  IGF1R  PDPK1  G6PC3  ERBB2  COL6A1  COL6A2  EFNA3  ITGA9  PIK3R1  CREB5  EGFR  LPAR4  IL2RG  BCL2L11  ANGPT1  FGF18  KIT  CREB3L1  FGFR4  COL6A3  ITGA2  COL1A2  NOS3  IGF2  DDIT4  IL7R  COL4A3  IRS1  PDGFD  INSR  LPAR3  BCL2L1  BCL2  LAMB2  GNG12  CCNE2  BDNF  CD19  ERBB4  F2R  EFNA5  NTF3  THBS2  EPOR  MAGI2  EIF4EBP1  COL4A5  RELN  FGF16  LAMA2  LAMB3  COL4A6  LPAR1  ITGA1  TNXB  EFNA4  ITGB3  GNG4"
9.45719720874975e-15,53,99,3.1559139363639,"Viral protein interaction with cytokine and cytokine receptor","http://www.genome.jp/kegg-bin/show_pathway?hsa04061 "," CX3CL1  IL20RA  CXCL2  CCL22  CCL17  CXCL12  CCL7  CCL2  CCL8  CCR6  CCL20  IL18R1  IL18RAP  TNFRSF10B  CXCL6  TNFSF14  CCR7  ACKR4  IL6ST  IL2RA  IL10  CCL21  CXCL9  XCL1  ACKR3  CXCL14  IL2RG  IL18  CXCL13  CXCR5  IL24  CXCL3  CXCL5  CXCL1  CX3CR1  CXCL10  CXCL11  CXCL8  CCL11  CCL19  TNFRSF10D  XCR1  CCR8  CXCR2  CCL13  CCR4  CXCR3  CCL27  TNF  CCL5  CCL23  CCL14  CCL18"
1.27244408352322e-14,49,88,3.2824482215483,"ECM-receptor interaction","http://www.genome.jp/kegg-bin/show_pathway?hsa04512 "," ITGA3  IBSP  TNC  LAMA3  LAMC2  HMMR  COL4A4  ITGB5  LAMB1  ITGA6  COL9A3  LAMA1  COMP  ITGB8  COL1A1  VWF  THBS4  ITGB6  ITGA4  SDC1  SPP1  TNN  ITGB4  CD36  ITGA7  CHAD  THBS1  COL2A1  ITGB7  COL6A1  COL6A2  HSPG2  ITGA9  COL6A3  ITGA2  COL1A2  COL4A3  LAMB2  SV2B  THBS2  COL4A5  RELN  LAMA2  LAMB3  COL4A6  GP1BB  ITGA1  TNXB  ITGB3"
2.44440355922082e-12,370,1527,1.42839119112589,"Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?hsa01100 "," AOC1  CYP26B1  MTMR7  CD38  ACSM3  ALDH3B1  PNPLA4  AASS  ST3GAL1  ELOVL5  PGM3  CYP24A1  HSD17B6  AGPAT4  FUT8  ATP6V0A1  ENTPD2  TBXAS1  BCAT1  ST3GAL6  ME1  MTHFD2  PFKP  PYGM  MAOB  GUCY2C  ASNS  ST6GALNAC2  PTGS2  ST6GAL1  CA12  ACACB  ADCY2  SLC27A5  GSTP1  HSD17B2  MTMR2  SMOX  SIRT4  BLVRB  CERS4  FH  PHGDH  ECHDC1  PTGS1  CYP26A1  SCD  MTAP  GGT5  PLA2G3  GCAT  ARSA  PNPLA3  GSTZ1  PLCB4  LIPG  RENBP  MTMR8  PCYT1B  GLA  ACP5  GDPD3  NME3  SMPD3  QPRT  FAH  CA2  SQLE  ASAH1  IL4I1  ATP6V0A4  CYP3A5  C1GALT1  EZH2  CA9  TYRP1  ASPA  GALK1  HSD17B1  EZH1  ALOX12  INPP4B  GALNT7  BST1  UGDH  MVK  CYP27B1  CHPT1  ENO2  LDHB  ST8SIA1  MAN1A1  ALDH5A1  VNN1  VNN2  PDE10A  GMDS  EHHADH  HGD  HYAL1  PLCH1  PDE1A  GALNT3  ACADL  ODC1  KYNU  ATP6V1B1  DHCR24  PLA2G4A  AMPD1  KMO  ST6GALNAC5  PLA2G2D  B4GALT6  ELOVL4  ALDH8A1  GALNT12  ALDH6A1  DNMT3A  EPHX2  LIAS  SARDH  DBH  AMD1  PFKFB2  PTGIS  PCK1  CHST8  GNMT  SRD5A3  PDE11A  GAD1  CHAC1  BBOX1  TPH1  CDO1  GAMT  GALNT8  FUT5  ASS1  HSD17B3  RGN  IDO1  AOC3  AOC2  NDUFA2  GCH1  GUCY2D  ALDH3B2  BHMT2  CHIT1  KL  PDE6B  HSD17B4  GSTM1  GSTM3  HMGCS2  LPIN1  CYP2J2  FADS2  PSAT1  UGT2B28  GLS2  GLUL  NPL  ENPP2  GMPR  CYP2C8  AOX1  GLCE  PDE5A  PIK3C2G  RDH16  GALNT6  CSAD  HDC  G6PC3  IMPA2  PNMT  SIRT3  PRDM16  SELENBP1  LBR  NAT8  AMT  SRD5A1  PLA2G7  PSPH  CSGALNACT1  UGCG  ALAD  FADS1  B3GAT3  TM7SF2  HNMT  MAT1A  ME3  QDPR  MGAT5  GUCY1A2  SUV39H2  PLOD2  DGKE  AK5  CYP2U1  UGT2B4  FUT6  NMNAT2  DGKI  EXTL1  GALNT14  HPD  PFKFB1  CDA  CBR1  HLCS  ALDH4A1  NPR2  PDE9A  CBS  PDXK  G6PD  HK3  COX7A1  ALOX15  AMDHD2  ADCY9  B3GALT2  AGL  BPNT1  HPGDS  CDS1  GMPS  ETNPPL  GALNT10  ADCY1  NOS3  CA3  COX6C  ALDH1A1  FBP1  SGPL1  ACSM1  LDHC  ANPEP  COQ7  ACAA2  CA4  MVD  KMT2D  GPT  TK1  ENTPD3  MGAT2  ACOX2  GSTM4  JMJD7-PLA2G4B  CA5B  NPR1  FASN  DCXR  BTD  CEL  PLA2G1B  MTM1  FUT3  ATP6V0E2  RBKS  CANT1  PDE7B  CTPS1  RRM2  CERS6  SPTLC3  FUT9  NADSYN1  DHCR7  HPSE  GSTA3  UGT8  AMY1B  FUT1  GPX2  HSD11B2  TYMS  PNPLA2  IMPDH2  GLDC  CA8  ALOX15B  B3GNT3  TH  FUT7  NQO1  DHTKD1  SGSH  PLCB1  ABAT  ACSM5  UPP1  B3GALT5  PGP  ALDH1A3  PDE4B  INPP5J  SMYD3  NDUFA4L2  CYP4F8  CYP4F3  PDE2A  HYAL3  AKR1C1  GCNT1  AMY1C  ADH1A  PLA2G2A  MAOA  AKR1C3  ACADSB  FUT4  ADH1B  ADA  PGAP1  CYP2B6  ENPP1  UGT2B17  ELOVL2  AKR1B10  CYP2A7  MAN1A2  AKR1C4  TAT  PAPSS2  PNP  DDO  INPP5B  NT5M  GPX3  GSTM2  CKMT1A  CERS1  HSD17B8  PRPS1L1  CYP21A2  CKMT1B  AMY1A  AMY2B  AMACR  AMY2A  PLA2G4B  GSTA1  ADH1C  GALNT4  POC1B-GALNT4  NDUFC2-KCTD14  TDO2  NDUFA7  LPCAT1  ALOX5  UGT2B15  SRD5A2  GSTT2  INPP5D  MCCC2  FTCD  MGAM  LTC4S  GCNT2  GLUD2  CYP11A1"
4.18172498186486e-12,78,200,2.29905352986811,"Focal adhesion","http://www.genome.jp/kegg-bin/show_pathway?hsa04510 "," ITGA3  IGF1  HGF  BIRC3  IBSP  VCL  TNC  LAMC3  LAMA3  LAMC2  RASGRF1  MYLK  PAK3  COL4A4  ITGB5  LAMB1  ITGA6  COL9A3  MYL9  LAMA1  FLT1  COMP  ITGB8  CAV1  MET  COL1A1  CCND1  VWF  VEGFA  THBS4  PDGFRB  ITGB6  ITGA4  SPP1  CCND2  TNN  RAC2  SHC2  ITGB4  VAV3  PDGFRA  ITGA7  CHAD  THBS1  EGF  COL2A1  ITGB7  IGF1R  PDPK1  ERBB2  COL6A1  COL6A2  ITGA9  PIK3R1  EGFR  COL6A3  ITGA2  COL1A2  PRKCB  COL4A3  RAC3  PDGFD  BCL2  TLN2  LAMB2  MYLPF  PAK2  THBS2  COL4A5  RELN  LAMA2  LAMB3  SRC  COL4A6  ITGA1  MYL5  TNXB  ITGB3"
1.24916959283607e-11,101,294,2.02515617056235,"MAPK signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04010 "," CACNA1G  CACNA2D2  IGF1  HGF  FAS  KITLG  RASGRF1  NGFR  ERBB3  FGFR2  FGFR3  RASGRP2  MAP3K13  CACNG4  TGFB2  MAP3K1  MKNK2  RPS6KA5  STK4  CDC25B  FLT1  IKBKB  MET  HSPB1  TGFBR1  CACNG1  MAP2K6  AREG  VEGFA  FGF1  PDGFRB  PLA2G4A  STMN1  TGFB3  DUSP1  DUSP4  MAPK8IP1  FLT3  NR4A1  EREG  HSPA2  TRAF2  RAC2  GADD45G  JUND  DUSP9  NFATC1  RRAS2  PDGFRA  MYC  ARRB1  DUSP5  FGF2  EGF  MAPK8IP3  MAP3K12  FGF7  IGF1R  ERBB2  PRKACB  EFNA3  PTPN7  EGFR  TAOK2  PTPRR  CACNA2D1  ANGPT1  FGF18  CACNA1D  KIT  CACNA2D3  DUSP2  MRAS  ELK4  FGFR4  TGFBR2  PRKCB  IGF2  JMJD7-PLA2G4B  RAC3  FOS  PDGFD  INSR  GNG12  RASGRP1  BDNF  ERBB4  PAK2  EFNA5  NTF3  IL1RAP  FGF16  CACNA1H  NF1  TNF  HSPA1L  EFNA4  PLA2G4B  MAPT  MAP4K1  CACNA1C"
1.59316884926344e-11,48,99,2.85818620651825,"Hematopoietic cell lineage","http://www.genome.jp/kegg-bin/show_pathway?hsa04640 "," CD38  ITGA3  CD22  KITLG  TFRC  THPO  ITGA6  IL11  IL7  FCER2  CD33  CD5  ITGA4  IL1R2  CD2  CR2  CSF3R  FLT3  IL9R  EPO  IL2RA  CD36  IL11RA  FCGR1A  CD8A  MS4A1  KIT  CD1D  CD1C  CD1B  CD3G  ITGA2  ANPEP  CD3D  IL7R  CD7  CD19  EPOR  MME  CSF2RA  GP1BB  CR1  HLA-DQB1  ITGA1  TNF  HLA-DQA1  HLA-DOB  ITGB3"
2.67320133938138e-11,109,331,1.94125675695735,"Human papillomavirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05165 "," DVL2  ITGA3  FAS  IBSP  ATP6V0A1  TNC  LAMC3  LAMA3  LAMC2  HES2  PTGS2  RBL1  COL4A4  ITGB5  WNT11  LAMB1  ITGA6  COL9A3  MFNG  JAG1  LAMA1  TSC2  FZD3  IKBKB  CCNE1  COMP  CDK6  ITGB8  ATP6V0A4  WNT2  LFNG  RHEB  COL1A1  SLC9A3R1  CCND1  VWF  WNT5B  FZD10  VEGFA  THBS4  CSNK1A1  PDGFRB  WNT5A  ITGB6  ITGA4  APC2  STAT1  WNT6  ATP6V1B1  SPP1  CCND2  TNN  PARD6B  ITGB4  CCNA1  WNT2B  ITGA7  HEY2  MDM2  CHAD  THBS1  EGF  COL2A1  ITGB7  COL6A1  COL6A2  PRKACB  ITGA9  CCNA2  PIK3R1  CREB5  EGFR  DLG2  FOXO1  TCF7L1  FZD7  MX1  CREB3L1  DVL3  WNT4  COL6A3  PRKCI  ITGA2  HEY1  COL1A2  FZD6  COL4A3  WNT10B  ATP6V0E2  TADA3  LAMB2  CCNE2  FZD8  THBS2  ISG15  EIF4EBP1  WNT7B  COL4A5  FZD9  RELN  LAMA2  HDAC2  MAML3  LAMB3  COL4A6  ITGA1  TNF  TNXB  ITGB3"
