"pathway","scale_to_500","scale_to_2000","scale_to_4000","scale_to_11165"
"DNA-binding transcription activator activity",2.29344729344729,7.83740620912783,13.2532368621478,15.9897058823529
"DNA-binding transcription activator activity; RNA polymerase II-specific",2.28639053254438,7.80925460636516,13.2628615802757,15.8628753541076
"DNA-binding transcription factor activity; RNA polymerase II-specific",2.18205128205128,6.43053876979836,10.7511135067661,12.4504976019185
"DNA-binding transcription factor activity",2.13130590339893,6.29380028979252,10.5049642847293,12.1655944055944
"Sequence-specific double-stranded DNA binding",2.08061538461538,5.7080063237536,9.76913851178932,10.5998090452261
"RNA polymerase II transcription regulatory region sequence-specific DNA binding",2.05403377110694,6.15734724578305,10.2747944285954,11.9691193511008
"Double-stranded DNA binding",2.04822485207101,5.53237084895376,9.47654056450421,9.95415492957746
"RNA polymerase II cis-regulatory region sequence-specific DNA binding",2.03234714003945,6.48423937871174,10.9391796322489,13.1250593667546
"Cis-regulatory region sequence-specific DNA binding",2.03234714003945,6.4392099385818,10.8879022277228,12.9037548638132
"Transcription cis-regulatory region binding",2.02657342657343,5.93069642691988,9.93395772009633,10.9537115588547
"Hemi-methylated DNA-binding",,9.8643216080402,19.1435643564356,54.365
"Double-stranded methylated DNA binding",,9.8643216080402,19.1435643564356,40.77375
"MRF binding",,9.8643216080402,19.1435643564356,21.746
"RNA polymerase II general transcription initiation factor binding",,9.8643216080402,19.1435643564356,9.59382352941176
"Ligand-activated transcription factor activity",,9.8643216080402,18.4345434543454,34.1113725490196
"Nuclear receptor activity",,9.8643216080402,18.4345434543454,34.1113725490196
"BHLH transcription factor binding",,9.8643216080402,14.3576732673267,22.6520833333333
"HMG box domain binding",,9.8643216080402,14.3576732673267,11.6496428571429
"Basal RNA polymerase II transcription machinery binding",,9.8643216080402,7.65742574257426,4.83244444444444
"Basal transcription machinery binding",,9.8643216080402,7.65742574257426,4.83244444444444
"Tryptophan 2;3-dioxygenase activity",,9.8643216080402,,
"Bile acid receptor activity",,,19.1435643564356,54.365
"Retinoic acid-responsive element binding",,,19.1435643564356,54.365
"Vitamin D response element binding",,,19.1435643564356,54.365
"DNA binding domain binding",,,19.1435643564356,36.2433333333333
"Estrogen response element binding",,,19.1435643564356,36.2433333333333
"TFIIB-class transcription factor binding",,,19.1435643564356,27.1825
"Aryl hydrocarbon receptor binding",,,19.1435643564356,13.59125
"Regulatory RNA binding",,,19.1435643564356,7.49862068965517
"MiRNA binding",,,19.1435643564356,4.94227272727273
"Purine-rich negative regulatory element binding",,,,54.365
