"pathway","scale_to_500","scale_to_2000","scale_to_4000","scale_to_11165"
"PPAR signaling pathway",0.16,0.266666666666667,0.386666666666667,0.773333333333333
"Drug metabolism",0.144927536231884,0.260869565217391,0.420289855072464,0.607594936708861
"Viral protein interaction with cytokine and cytokine receptor",0.141414141414141,0.292929292929293,0.535353535353535,0.797979797979798
"IL-17 signaling pathway",0.129032258064516,0.279569892473118,0.376344086021505,0.806451612903226
"Protein digestion and absorption",0.12621359223301,0.320388349514563,0.456310679611651,0.640776699029126
"Malaria",0.122448979591837,0.346938775510204,0.591836734693878,0.857142857142857
"Bladder cancer",0.0975609756097561,0.24390243902439,0.463414634146341,0.951219512195122
"P53 signaling pathway",0.0958904109589041,0.273972602739726,0.424657534246575,0.849315068493151
"ECM-receptor interaction",0.0909090909090909,0.375,0.556818181818182,0.795454545454545
"Cell cycle",0.0793650793650794,0.261904761904762,0.365079365079365,0.904761904761905
"Rheumatoid arthritis",0.0760869565217391,0.239130434782609,0.391304347826087,0.858695652173913
"Complement and coagulation cascades",0.0714285714285714,0.19047619047619,0.44047619047619,0.702380952380952
"Arachidonic acid metabolism",0.0655737704918033,0.229508196721311,0.459016393442623,0.672131147540984
"Focal adhesion",0.065,0.23,0.39,0.885
"Prostate cancer",0.0618556701030928,0.257731958762887,0.319587628865979,0.917525773195876
"Cytokine-cytokine receptor interaction",0.0612244897959184,0.227891156462585,0.418367346938776,0.673469387755102
"Small cell lung cancer",0.0543478260869565,0.217391304347826,0.369565217391304,0.956521739130435
"Pathways in cancer",0.0509433962264151,0.194339622641509,0.358490566037736,0.828301886792453
"Metabolic pathways",0.0347085789129011,0.140144073346431,0.242305173542895,0.70988867059594
"Salivary secretion",,0.282608695652174,0.445652173913043,0.684782608695652
"Arrhythmogenic right ventricular cardiomyopathy",,0.272727272727273,0.480519480519481,0.818181818181818
"Dilated cardiomyopathy",,0.260416666666667,0.458333333333333,0.78125
"Pancreatic secretion",,0.257425742574257,0.396039603960396,0.663366336633663
"Hypertrophic cardiomyopathy",,0.244444444444444,0.455555555555556,0.811111111111111
"TGF-beta signaling pathway",,0.236559139784946,0.387096774193548,0.849462365591398
"Amoebiasis",,0.235294117647059,0.411764705882353,0.862745098039216
"Basal cell carcinoma",,0.222222222222222,0.428571428571429,0.73015873015873
"Hematopoietic cell lineage",,0.212121212121212,0.484848484848485,0.818181818181818
"Colorectal cancer",,0.197674418604651,0.255813953488372,0.941860465116279
"AGE-RAGE signaling pathway in diabetic complications",,0.19,0.41,0.95
"EGFR tyrosine kinase inhibitor resistance",,0.189873417721519,0.329113924050633,0.936708860759494
"Pancreatic cancer",,0.184210526315789,0.276315789473684,0.960526315789474
"Toxoplasmosis",,0.169642857142857,0.285714285714286,0.919642857142857
"Non-small cell lung cancer",,0.166666666666667,,0.916666666666667
"Renin secretion",,0.159420289855072,0.420289855072464,0.782608695652174
"Apoptosis",,0.140740740740741,0.244444444444444,0.918518518518519
"Osteoclast differentiation",,0.126984126984127,0.325396825396825,0.928571428571429
"Legionellosis",,,0.245614035087719,0.929824561403509
"Chronic myeloid leukemia",,,,0.934210526315789
"Renal cell carcinoma",,,,0.926470588235294
"Thyroid cancer",,,,0.918918918918919
"Neurotrophin signaling pathway",,,,0.915966386554622
"Nucleotide excision repair",,,,0.91304347826087
