"gene","h_cent"
"MAZ",10965
"SP3",10946.5
"ZBTB7B",10928.5
"SP2",10924.5
"SP1",10921
"ZNF148",10921
"PURA",10911.5
"SP4",10887
"KLF15",10884
"KLF5",10868.5
"EGR1",10859.5
"WT1",10838.5
"ZFX",10825
"PLAG1",10798
"EGR4",10787
"KLF4",10774
"ZBTB7A",10764.5
"ZNF219",10740
"KLF6",10696.5
"RREB1",10665
"EGR2",10643.5
"E2F6",10623
"E2F1",10599
"TFAP2B",10571.5
"CTCF",10522
"NHLH1",10500
"KLF1",10499.5
"TFAP2C",10478
"HEY2",10458
"ZIC1",10418.5
"ARNT2",10400
"DNMT1",10386
"ZNF350",10376
"ETS2",10367.5
"TFAP2A",10334
"NR2C2",10232.5
"TFCP2",10218
"MZF1",10216.5
"PLAGL1",10176
"FLI1",10165
"ZIC4",10144.5
"EHF",10143.5
"SPI1",10143.5
"TFAP4",10137
"RARG",10136
"NR0B1",10126
"E2F4",10123.5
"ESR1",10089
"MYOG",10076
"BHLHE41",10074.5
"INSM1",10074.5
"ELF2",10053.5
"TCF12",10050
"BCL11A",10048
"ELF1",10045
"THRB",10004.5
"SMAD1",10002.5
"MBD2",10000
"ZIC3",9991
"IRF1",9970.5
"MYF6",9904.5
"MYOD1",9894
"NEUROD1",9876.5
"IRF5",9873
"ETV4",9868
"TP73",9858
"ATF5",9817
"NRF1",9803.5
"SNAI1",9802
"TCF4",9791
"EPAS1",9779.5
"IRF8",9775
"FOXJ3",9773.5
"ESRRA",9771
"TWIST1",9771
"ETV6",9745
"TBX2",9738
"GLI1",9723.5
"PRDM1",9721
"IRF3",9720.5
"KLF8",9709
"KLF3",9706
"SNAI2",9658.5
"RARB",9653
"BPTF",9649.5
"HES1",9637
"RFX5",9627.5
"NR2F6",9626
"PPARG",9624.5
"ETS1",9622
"PAX5",9618
"SPIB",9606.5
"MLXIPL",9604.5
"REST",9602
"RUNX2",9563
"MECP2",9549
"ELK3",9548.5
"ZNF143",9525
"EGR3",9514
"ESR2",9510
"ELK4",9506.5
"ZBTB6",9481
"FOXO1",9471
"ELF3",9456.5
"VDR",9454
"ZBTB7C",9454
"RXRB",9431.5
"HIC2",9430
"HNF4A",9417.5
"HIVEP2",9405
"SMAD3",9403.5
"PPARD",9393.5
"NR2C1",9392.5
"TP63",9387.5
"THRA",9369.5
"HNF4G",9363.5
"HSF1",9351.5
"HIVEP1",9330
"KLF13",9328
"RXRA",9327.5
"TGIF1",9312
"ZNF423",9288.5
"RELA",9281
"RELB",9266
"STAT2",9265
"NR5A2",9250
"NFKB1",9245.5
"GLI3",9241.5
"ETV7",9203.5
"NR2E1",9198.5
"HIC1",9192
"TBX1",9184
"THAP1",9170.5
"NR4A1",9167
"IRF2",9164
"YY1",9151.5
"NR2E3",9145.5
"NR1I2",9137
"RUNX3",9119.5
"GABPA",9113.5
"NR4A3",9090.5
"NR5A1",9089
"PITX2",9087.5
"NR1I3",9085
"MEF2C",9084
"PRDM4",9077
"ZNF274",9075
"ATF6",9072
"SRY",9059
"SREBF1",9058
"HAND1",9051
"TCF3",9047
"TBX5",9043
"USF2",9042
"HMGA1",9038
"ARID3A",9029.5
"MTF1",9020.5
"FOXM1",9017
"SOX4",9015.5
"RBPJ",9014.5
"RFX2",9011.5
"MEF2A",8996
"SMAD4",8995
"NR2F1",8993.5
"FEV",8993
"REL",8992
"GLI2",8989.5
"TBX3",8986
"ETV5",8978.5
"NKX2-1",8963.5
"ZNF282",8938.5
"FOXD3",8934.5
"NFAT5",8933.5
"FOXO3",8924
"YBX1",8920.5
"JUNB",8912.5
"HESX1",8909.5
"MGA",8905.5
"NFATC4",8902
"NR2F2",8896.5
"FOXJ2",8887.5
"NR3C2",8872.5
"FOXF1",8871.5
"NFYC",8866
"STAT1",8864.5
"AR",8855
"NFATC3",8850.5
"MAF",8848
"IRF4",8845
"ESRRB",8836.5
"NFIX",8834
"ZNF589",8826.5
"NR4A2",8818
"SREBF2",8807
"E2F3",8801.5
"PBX3",8801
"IRF7",8793.5
"STAT4",8791
"NR6A1",8789.5
"NFE2L2",8787
"FOXC2",8763.5
"NR1H4",8756
"STAT3",8748
"TEAD1",8747
"RARA",8746
"ELK1",8745
"DDIT3",8743.5
"HOXD13",8743.5
"FOXA1",8726.5
"UBP1",8717.5
"GCM1",8702
"MEF2D",8696
"RFX1",8693.5
"MEIS2",8670
"FOXO4",8665.5
"BACH2",8662
"E2F2",8659
"MAFB",8659
"TFDP1",8654
"NFKB2",8644
"PGR",8636.5
"TCF7L1",8632
"GFI1",8630.5
"MAX",8625
"ZNF384",8624
"CPEB1",8622.5
"ONECUT2",8610
"NFIB",8604
"TCF7L2",8594
"ARNTL",8580.5
"NKX3-2",8580
"ELF4",8579.5
"TFE3",8579
"TLX1",8578.5
"BCL6",8573
"HOXC6",8566
"SCRT1",8553.5
"MEF2B /// MEF2BNB /// MEF2BNB-MEF2B",8527.5
"ESRRG",8525
"TBR1",8524
"FOSL2",8518.5
"HOXD10",8517.5
"IRF9",8513.5
"NR3C1",8512
"ELF5",8496.5
"HIF1A",8489
"TEAD4",8470.5
"FOSL1",8469.5
"STAT5B",8469.5
"CEBPZ",8467
"NFE2",8462.5
"MAFF",8458.5
"ERG",8457.5
"TAL1",8457
"PKNOX2",8456.5
"E2F8",8453.5
"MAFK",8447
"MYC",8447
"NFYA",8437
"FOXF2",8430.5
"ZBTB33",8429
"TBX4",8419
"TEAD3",8418.5
"CEBPB",8415
"FOXI1",8407.5
"MITF",8395.5
"RXRG",8395
"MSC",8370.5
"FOXA2",8365.5
"STAT5A",8337
"STAT6",8336
"SOX18",8335.5
"TP53",8335.5
"SOX2",8333
"NFYB",8322.5
"FOSB",8312.5
"NR1D1 /// THRA",8298
"JUND",8297.5
"TCF7",8297
"NRL",8278.5
"JUN",8275
"POU2F2",8274
"TGIF2",8266.5
