"pathway","scale_to_500","scale_to_2000","scale_to_4000","scale_to_11165"
"Ligand-activated transcription factor activity",4.97938144329897,19.4356435643564,28.6444444444444,25.5835294117647
"Nuclear receptor activity",4.97938144329897,19.4356435643564,28.6444444444444,25.5835294117647
"Steroid hormone receptor activity",4.97938144329897,17.0061881188119,19.335,17.3968
"RNA polymerase II core promoter sequence-specific DNA binding",4.97938144329897,12.957095709571,12.89,
"DNA binding; bending",4.97938144329897,12.957095709571,,
"Promoter-specific chromatin binding",4.97938144329897,12.1472772277228,14.2468421052632,14.3605660377359
"Core promoter sequence-specific DNA binding",4.97938144329897,9.71782178217822,8.59333333333333,
"DNA replication origin binding",4.97938144329897,,,
"DNA-binding transcription activator activity",4.42611683848797,15.1757764817578,13.6336538461538,15.2282913165266
"DNA-binding transcription activator activity; RNA polymerase II-specific",4.40483743061063,15.1166116611661,13.6482352941176,15.0928328611898
"Hemi-methylated DNA-binding",,19.4356435643564,38.67,108.73
"Double-stranded methylated DNA binding",,19.4356435643564,38.67,81.5475
"Estrogen response element binding",,19.4356435643564,38.67,72.4866666666667
"TFIIB-class transcription factor binding",,19.4356435643564,38.67,27.1825
"RNA polymerase II general transcription initiation factor binding",,19.4356435643564,38.67,
"Retinoic acid-responsive element binding",,19.4356435643564,38.67,
"Histone acetyltransferase binding",,19.4356435643564,27.6214285714286,17.3968
"MRF binding",,19.4356435643564,25.78,43.492
"BHLH transcription factor binding",,19.4356435643564,16.1125,22.6520833333333
"Basal RNA polymerase II transcription machinery binding",,19.4356435643564,15.468,
"Basal transcription machinery binding",,19.4356435643564,15.468,
"HMG box domain binding",,19.4356435643564,,23.2992857142857
"Estrogen receptor activity",,14.5767326732673,9.6675,43.492
"Thyroid hormone binding",,9.71782178217822,9.6675,43.492
"Bile acid receptor activity",,,38.67,54.365
"NFAT protein binding",,,38.67,27.1825
"SiRNA binding",,,38.67,24.1622222222222
"Mediator complex binding",,,38.67,
"Purine-rich negative regulatory element binding",,,,108.73
"Chromatin insulator sequence binding",,,,54.365
"D3 vitamins binding",,,,54.365
