"gene","scale_to_500","scale_to_2000","scale_to_4000","scale_to_11165","h_cent"
"WT1",18.8004527995037,20.6957777659682,18.43002111,16.33854152,0
"ZIC1",17.7831181677996,20.8247506884065,17.878818,15.42874824,0
"TFAP2B",17.2053747868177,20.6604078882952,18.68103703,16.57536688,0
"ESR1",15.7224598130904,19.421998350397,18.46087899,15.34758788,9975
"SOX10",15.326931482447,17.1763773393266,,,0
"FOXA1",14.9033807520699,17.7142568061931,,,9237
"FOXG1",14.8905582815301,16.4191893599103,,,
"ELF5",14.8798273306429,17.0922951263406,,,0
"PGR",14.8425667483172,15.3353829962596,,,0
"SPIB",14.7797032631987,19.7693192933007,17.56915944,14.84769991,8603.666667
"SUV39H2",13.9905171748202,,,,0
"NR2F1",13.9487096097341,16.060443848483,,,9834.833333
"ESRRG",13.8161414328267,14.3710420833779,,,0
"FOXC1",13.737982958342,,,,0
"E2F8",13.5885680055882,17.5915824880025,,,0
"FOXM1",13.5749423181766,17.8973940647584,,,5928.833333
"AR",13.2971185439914,16.2217851774647,,,8763
"KLF5",,21.142463072561,19.37662008,17.23410747,0
"MAZ",,21.031143540753,19.04694589,16.92957914,8871.333333
"EGR1",,20.8508119852532,18.58992959,16.31604905,7235.833333
"ARNT2",,20.526271958901,18.56613823,15.85171835,8248.666667
"EHF",,20.2765301152769,18.13960799,15.90131241,0
"INSM1",,20.2614366737945,18.70194531,14.89445193,0
"ZIC3",,19.9718010436213,18.4317737,16.59324615,
"ETV4",,19.661370197653,18.27516799,15.68251967,0
"ZNF423",,19.4802742946459,17.56578948,,0
"EGR3",,19.4254847577838,17.83380276,14.9255498,0
"BHLHE41",,19.4216235331959,17.92768359,15.07962543,0
"ELK4",,19.2671765897784,17.70420208,,0
"GCM2",,18.788844604683,18.82478341,,
"KLF15",,,19.02479312,16.35274308,0
"NR5A1",,,18.92845734,15.12141107,
"NEUROD1",,,18.85486022,15.72592183,
"NR0B1",,,18.7410496,16.5275734,
"NHLH1",,,18.61924703,15.32660009,0
"OLIG2",,,18.52615169,,
"PHOX2A",,,18.46613173,,
"ZIC4",,,18.06778601,16.87363967,0
"KLF1",,,,17.11635196,
"EGR2",,,,16.95425372,0
"RREB1",,,,16.72419857,0
"KLF6",,,,16.69732761,7716.666667
"SP1",,,,16.6926517,0
"EGR4",,,,16.6665821,
"CTCF",,,,16.50675441,9919
"E2F1",,,,16.50606677,9471.5
"ZBTB7A",,,,16.5000713,0
"ZNF148",,,,16.45996357,0
"MYOD1",,,,16.36471557,
