"gene","scale_to_500","scale_to_2000","scale_to_4000","scale_to_11165","h_cent"
"WT1",1,0.721122706009356,0.854731894894253,0.659722876802715,0
"ZIC1",0.802384559646927,0.712126664267722,0.799188207647939,0.652182109529645,0
"TFAP2B",0.784818742726654,0.712126664267722,0.596240119632557,0.44763879724762,0
"SPIB",0.736512746195903,0.767902123065851,0.863277077547533,0.859553209539071,8603.666667
"ESR1",0.736512746195903,0.719323497661029,0.602649006622517,0.541898388160996,9975
"FOXM1",0.668445205629844,0.654551997121267,0.56205938901944,0.362805165425582,5928.833333
"FOXA1",0.661858024284742,0.530406621086722,0.446699423200171,0.341125459515506,9237
"TBX3",0.593790483718683,0.577186038143217,0.495834223456526,0.43255726270148,0
"E2F8",0.571833212568342,0.447643037063692,0.497970519119846,0.24686586860213,0
"AR",0.554267395648069,0.532205829435049,0.547105319376202,0.307192006786691,8763
"NR2F1",0.554267395648069,0.483627204030227,0.536423841059603,0.4023941936092,9834.833333
"FOXC1",0.545484487187932,0.391867578265563,0.367656483657338,0.226128758601188,0
"SOX10",0.521331488922557,0.508816120906801,0.440290536210212,0.206334244509379,0
"ELF5",0.508157126232352,0.534005037783375,0.34629352702414,0.322273541332831,0
"FOS",0.490591309312079,0.368477869737316,0.337748344370861,0.222358374964653,0
"FOXI1",0.470829765276771,0.415257286793811,0.508651997436445,0.225186162692054,0
"FOSB",0.466438311046703,0.467434328895286,0.497970519119846,0.271373362239608,0
"PITX1",0.431306677206157,0.265922993882692,0.248023926511429,0.181826750871901,0
"KLF5",,1,1,0.990574040908663,0
"MAZ",,0.976610291471752,0.914548173467208,0.813366009991517,8871.333333
"EGR1",,0.90644116588701,0.974364452040162,0.740786124988218,7235.833333
"ARNT2",,0.852464915437207,0.739371929074984,0.650296917711377,8248.666667
"ETV4",,0.818279956819,0.833368938261055,0.584315204072014,0
"INSM1",,0.811083123425693,0.88677632984405,0.535300216797059,0
"EGR3",,0.811083123425693,0.688100833155309,0.510792723159582,0
"ZIC3",,0.787693414897445,0.756462294381542,0.591855971345084,
"NR2F6",,0.776898164807485,0.692373424481948,0.573004053162409,0
"BCL11A",,0.766102914717524,0.871822260200812,0.588085587708549,0
"EHF",,0.731917956099316,0.752189703054903,0.728532378169479,0
"RUNX2",,0.701331414177762,0.653920102542192,0.418418324064474,0
"ZBTB6",,0.656351205469593,0.67101046784875,0.400509001790932,0
"ZIC4",,,0.946592608417005,0.0460929399566406,0
"KLF15",,,0.914548173467208,0.896314449995287,0
"IRF5",,,0.882503738517411,0.442925817701951,0
"MZF1",,,0.878231147190771,0.674804411348855,0
"NEUROD1",,,0.878231147190771,0.482514845885569,
"TP73",,,0.861140781884213,0.672919219530587,0
"NR0B1",,,0.848323007904294,0.593741163163352,
"NHLH1",,,0.839777825251015,0.570176265435008,0
"KLF4",,,0.818414868617817,0.800169667263644,6492.5
"RARG",,,0.814142277291177,0.690828541804129,0
"SPI1",,,0.78637043366802,0.728532378169479,0
"THRB",,,0.78209784234138,0.720991610896409,0
"PLAG1",,,0.77996154667806,0.736073145442549,0
"E2F1",,,,1,9471.5
"EGR4",,,,0.830332736355924,
"ZNF219",,,,0.795456687717975,0
"ETS2",,,,0.794514091808842,0
"KLF6",,,,0.789801112263173,7716.666667
"DNMT1",,,,0.74644170044302,0
"CTCF",,,,0.744556508624753,9919
"ZBTB7B",,,,0.71627863135074,0
