"gene","scale_to_500","scale_to_2000","scale_to_4000","scale_to_11165","h_cent"
"SPIB",1,0.558208182528875,0.612895444830486,1,8603.666667
"WT1",0.885421256069192,0.96893236381027,0.670014432063396,0.428940242530099,0
"ESR1",0.83124555743916,0.684325771321096,0.558896541573133,0.548312540777931,9975
"TFAP2B",0.790914330967301,0.824496640535606,0.427662778211019,0.498867187441427,0
"FOXM1",0.737461101109561,0.44890805482783,0.573072558396783,0.358223596211464,5928.833333
"TBX3",0.707227607281144,0.511688649780857,0.377754281062109,0.513839393900292,0
"ZIC1",0.697229872866004,0.914258772007368,0.455035657784174,0.582220473821946,0
"E2F8",0.65359870486017,0.355185934961044,0.31488479356558,0.203525256168957,0
"FOXA1",0.648941723487201,0.452490217322975,0.384128300838517,0.403579106836091,9237
"AR",0.616420186658625,0.398758868313019,0.420217451729972,0.336758840559992,8763
"FOXI1",0.613404638120374,0.338618084220469,0.663925210017429,0.370371054396367,0
"MYBL2",0.555578082797711,0.462215624327697,0.626151074954524,0.641599434510864,0
"PGR",0.539814418598196,0.308514241484767,0.414064515386362,0.425947869565283,0
"FOXG1",0.524404802179968,0.274977313133371,0.273673168544346,0.351226594316686,
"FOS",0.521148164547069,0.305012259058637,0.368185170559748,0.332261711409179,0
"FOXD1",0.511385868221046,0.3760370340129,0.384513202536596,0.373792846831566,0
"ELF5",0.457455865483649,0.386466284157398,0.4445487505943,0.290659054400459,0
"NR2F1",0.455442326219535,0.360092011889879,0.293708155338335,0.376289820051761,9834.833333
"FOSB",0.429147675381903,0.374956852476789,0.221278052579129,0.302578191196915,0
"FOXC1",0.424897842815016,0.432792260041977,0.498508337467986,0.302045613114172,0
"GATA3",0.401111808465156,0.322317222225544,0.287307251236336,0.532819032162096,8118.833333
"LHX2",0.396415331477446,0.299875256274922,0.254911509398743,0.205277551142611,0
"SOX10",0.3847928408363,0.311299537447848,0.292777304989842,0.305173458272923,0
"ESRRG",0.367702603088478,0.270936310216125,0.177691943315428,0.285906090602312,0
"PITX1",0.315029549825812,0.273107249075731,0.155753310578505,0.326737667589716,0
"MYB",0.293239671755662,0.286479234735118,0.361425523881874,0.304501831916928,0
"MSX2",0.261195307062569,0.293497602975341,0.236210948638562,0.0671356851301328,0
"EMX2",0.243959755550246,0.13874156198026,0.154991523269795,0.0452940034698705,0
"SPDEF",0.243085492784286,0.163330340208636,0.295483038829752,0.139776890351309,0
"MEOX2",0.242788922485883,0.321437563423121,0.186791976726483,0.259693429210827,0
"EN1",0.237008834475694,0.262998846189306,0.259636079969703,0.107861469771084,0
"DLX2",0.197625333841693,0.294528007563629,0.161009131481217,0.137848513742471,0
"PAX6",0.194653396324386,0.248297667272682,0.119989258005756,0.122243421786875,0
