"pathway","scale_to_500","scale_to_2000","scale_to_4000","scale_to_11165"
"module 123",5.47214184685817,8.21914445467106,10.63253578,20.08135454
"module 98",5.11368590031285,6.4869761123497,6.960804672,8.854853746
"module 198",4.80339419485569,6.10213427216134,5.276766721,7.402592667
"module 197",3.98561407893281,7.21451445817634,7.121050714,11.49850984
"module 220",3.66615734342845,,3.577714778,7.188249678
"module 53",3.49039120578701,,,
"module 15",3.46965294796968,,,
"module 229",3.4377709493533,3.35441983853762,3.401446472,3.205830271
"module 252",3.42147004428283,4.21199860199278,3.58233364,4.967625518
"module 497",3.33382627097554,,3.992670822,4.177203504
"module 12",3.1602304688998,,,
"module 113",3.1415498426759,3.04638375222817,,4.586611127
"module 308",,4.51706410360007,4.333259601,14.88857936
"module 273",,3.9718288115315,7.133445979,6.654141294
"module 350",,3.95767564905245,,
"module 279",,3.08944247734653,,
"module 192",,3.08387154325532,7.88596827,16.12156255
"module 191",,,6.34999398,13.01271811
"module 195",,,16.60250984,8.90860198
"module 33",,,,13.16592959
"module 332",,,3.383077391,
"module 404",,,3.154459336,14.97430694
"module 426",,,,3.076094958
