"pathway","scale_to_500","scale_to_2000","scale_to_4000","scale_to_11165"
"positive regulation of transcription by rna polymerase ii",15.0644471473824,21.5145574372835,31.2291264842299,45.0553126283481
"positive regulation of macromolecule biosynthetic process",13.8634661074119,20.0113648742998,26.6328112990161,37.1623955757196
"positive regulation of rna metabolic process",12.9967116356356,19.669123239204,30.7389648963738,37.0128245382551
"negative regulation of transcription by rna polymerase ii",12.2272556608937,19.32806208823,24.9339640660929,36.2819575513471
"negative regulation of biosynthetic process",11.4832818555905,16.9710948806527,23.3579532208385,28.5570120505061
"negative regulation of rna metabolic process",11.475071698122,17.3813097794913,23.8032766202432,32.7955988564945
"negative regulation of nucleobase containing compound metabolic process",11.369912572486,17.2366700287477,22.9232665787864,32.4160272581098
"morphogenesis of a branching structure",9.73504455144308,8.18528515693635,9.58814363444379,9.670495131216
"pattern specification process",8.91457027502099,10.1878691914424,13.7829022089494,17.1587980053612
"renal system vasculature development",8.90640202648892,5.49210628909496,4.28659611047668,4.03950901788021
"branching morphogenesis of an epithelial tube",8.8083734237119,7.21735296780354,6.44555499995317,7.49173856370135
"blastoderm segmentation",8.71531805936814,3.61076152807359,3.78550669696167,
"regionalization",8.69118704017211,10.4268063351132,12.2395633515513,16.75363769475
"male genitalia development",8.50505071618105,4.61551889813101,4.01396349479009,4.30067804758647
"positive regulation of gonad development",8.48373116966673,4.22388212727854,8.32763548130632,7.18104352651608
"regulation of mirna metabolic process",8.48352267513126,12.6126385605797,16.6724768355132,21.9922625813023
"regulation of mirna transcription",8.35279877173123,12.18802199459,15.8495704947657,24.6037151226222
"positive regulation of mirna metabolic process",8.34557471337155,10.4583664697414,15.5606295157778,21.2376724332787
"metanephric glomerular mesangium development",8.33704478323587,12.3721207093132,9.19391079448909,6.44110881936848
"positive regulation of mirna transcription",8.02236728195252,12.9206820098486,14.7889486373949,21.4727231852654
"mirna metabolic process",7.78830543457989,12.7207594079681,16.960127713533,20.8816797468788
"cell fate commitment",7.27028591967851,9.65045867090461,13.8352950540935,19.9443784545875
"epithelium development",6.9909540095769,8.68120750696439,13.8532361383834,15.675038049203
"muscle cell fate commitment",6.34926064220062,7.99728918622653,9.65393811980917,18.920765289838
"intracellular receptor signaling pathway",6.09511613535708,10.1248116975248,16.1126534276712,17.9667065088509
"skeletal muscle satellite cell activation",,13.2960816602021,5.50261511861554,5.86796162297888
"regulation of microvillus assembly",,10.5896193791396,5.54390143206209,5.28478638736853
