pathway,scale_to_500,scale_to_2000,scale_to_4000,scale_to_11165
rna pol ii transcription reg. seq. specific dna binding,15.92186307,27.0068209,38.31313566,56.44650145
dna binding transcription activator activity,15.57546323,25.85728675,31.78745258,53.81449784
transcription regulator activity,15.48247798,26.65030072,35.32623265,47.4438429
sequence specific dna binding,15.41321594,26.64861341,36.13867841,51.24188983
cis regulatory region sequence specific dna binding,14.96967203,27.63768948,39.20845974,55.41998862
nuclear receptor activity,8.10721078,15.92332816,22.00457307,30.85207689
rna pol ii specific dna binding transcription factor binding,7.222150669,11.42584942,20.27081967,18.55782885
transcription factor binding,7.090546416,14.02651815,21.33140141,23.25234836
basal transcription machinery binding,6.881329556,7.571072582,,
c2h2 zinc finger domain binding,6.827373787,,5.171466091,5.958713392
chromatin binding,6.818805537,10.44774866,18.70017258,19.75694071
dna binding transcription factor binding,6.72538713,13.56397993,19.05968136,20.80009101
double stranded methylated dna binding,6.63008052,9.301728296,12.71331573,11.4100248
transcription coregulator binding,6.400352789,7.762105122,15.17949394,17.9627694
rna pol ii general transcription initiation factor binding,6.35645534,7.272457342,5.492316507,
dna binding transcription repressor activity,6.028033873,15.54726985,19.90302722,30.78389686
transcription coactivator binding,5.765432498,7.098525705,9.390665946,11.70682448
nuclear steroid receptor activity,5.51955094,8.35138343,9.258876092,17.06756656
beta catenin binding,5.313264284,,6.838053861,8.273470139
general transcription initiation factor binding,5.253606465,6.449464761,,5.505723332
tfiib class transcription factor binding,5.177966239,,,6.782885978
bhlh transcription factor binding,,11.41587723,11.12225966,13.26073722
mrf binding,,11.40076918,8.838134952,9.258258771
aryl hydrocarbon receptor binding,,8.216242108,5.213160723,
promoter specific chromatin binding,,8.002304374,11.43267088,12.63676914
histone acetyltransferase binding,,7.387604832,9.380174655,7.548688207
histone deacetylase binding,,5.868208249,10.48864217,11.35207151
e box binding,,5.79939447,12.12798256,19.11806393
chromatin dna binding,,,9.844728068,12.00506123
nuclear estrogen receptor binding,,,12.66236186,31.22076963
nuclear receptor binding,,,11.7617106,8.384102353
nuclear retinoid x receptor binding,,,9.048508856,9.162589305
protein dimerization activity,,,,10.18970995
retinoic acid responsive element binding,,,5.96314319,9.955468094
