"pathway","scale_to_500","scale_to_2000","scale_to_4000","scale_to_11165"
"dna-binding transcription factor activity",16.5785086010211,29.0481701380875,37.8060806805903,56.7075716332836
"dna-binding transcription factor activity; rna polymerase ii-specific",16.1670121720219,28.9331134574664,37.330945724398,58.8713414693207
"rna polymerase ii transcription regulatory region sequence-specific dna binding",15.8309785885913,28.4354335455635,35.9082901916886,56.0003423078962
"transcription cis-regulatory region binding",15.6914194189026,26.4379007331396,37.7325050907298,52.3467310917951
"sequence-specific double-stranded dna binding",15.6447045329003,26.9961422708672,34.0292190595716,50.9555039134949
"cis-regulatory region sequence-specific dna binding",15.2086097140094,27.1970681671504,36.7345660970124,56.4278904075777
"dna-binding transcription activator activity; rna polymerase ii-specific",15.1673769920892,23.6068949255406,31.6218248694983,47.7031704926327
"transcription regulatory region nucleic acid binding",15.1250678480554,27.5060166987917,36.63288907823,50.1309352055224
"dna-binding transcription activator activity",15.0965410616534,24.675384250794,30.6344737149388,52.0735789219164
"double-stranded dna binding",15.0001734307987,25.2633405203609,33.8987889107038,54.4414165705437
"rna polymerase ii cis-regulatory region sequence-specific dna binding",14.3482079487734,28.3670457921592,39.4390335981527,57.2385107080846
"sequence-specific dna binding",14.0841601888899,25.7530834941289,36.7373326143971,50.5889241081531
"transcription factor binding",7.76099012896662,15.872763104421,20.5951143263835,22.8828023831473
"nuclear receptor activity",7.74992621641551,15.1730677980439,21.2942509456001,30.7487221903933
"chromatin binding",6.93473912381683,11.1153238851296,16.8176785440908,18.1609826279074
"ligand-activated transcription factor activity",6.93422911666725,14.897428114145,21.5426547928053,31.4211212624835
"basal transcription machinery binding",6.6902816955863,6.4802710619457,4.22690262214944,
"steroid hormone receptor activity",6.66375878408834,9.19485997549892,9.61628697272681,16.8003242819436
"basal rna polymerase ii transcription machinery binding",6.3413018055671,6.85397207684407,3.5673808168099,
"rna polymerase ii general transcription initiation factor binding",5.96786135504077,8.19708578036636,6.21592226936289,4.04431289968553
"dna-binding transcription repressor activity; rna polymerase ii-specific",5.90975274861477,15.6267446418607,18.8910201386477,29.4344767868173
"general transcription initiation factor binding",5.82366743811704,5.24967762200228,4.3633620475646,3.09934213019524
"dna-binding transcription repressor activity",5.75907448880663,13.9427755372161,18.8654818996545,28.5342637096342
"beta-catenin binding",5.09381814370807,4.93088458172428,6.88787700463507,7.64882733022928
"estrogen receptor activity",5.03511665124115,5.46730319573096,4.52922415872215,7.22296116170407
"promoter-specific chromatin binding",3.98182116925005,6.2780415614347,10.384456842112,11.332751347593
"transcription coregulator binding",3.41499509757281,3.87672242798574,7.33967293232459,11.8852266046518
"dna-binding transcription factor binding",,10.3967270767792,13.6312282830257,12.3483388237893
"bhlh transcription factor binding",,9.9470697908088,10.8370238006077,12.1713338781154
"mrf binding",,8.70448901464907,8.99634689542362,9.77573594419483
"aryl hydrocarbon receptor binding",,7.55970934599098,5.62724456030779,5.11572121328009
"e-box binding",,6.15231543250993,10.9626732510976,18.8794546590339
"histone acetyltransferase binding",,5.93258656135266,10.3319634484272,10.2513785731171
"histone deacetylase binding",,5.29826824107621,12.4346848649536,12.3033287739875
"rna polymerase ii-specific dna-binding transcription factor binding",,5.25619397033797,9.90904445903641,8.01848864335109
