"pathway","scale_to_500","scale_to_2000","scale_to_4000","scale_to_11165"
"rapa early up.v1 dn",3.99658777899039,2.39692984187616,1.84290290520393,0.860500249259922
"jak2 dn.v1 dn",3.66126607960558,1.74244436923563,1.02435321514194,0.186370426653002
"gcnp shh up early.v1 up",3.07020324157357,2.01080671497024,2.84495526526147,1.15538965661244
"bcat gds748 up",2.64387106558408,1.5991889238671,1.48747734213666,0.317184643707011
"esc v6.5 up early.v1 up",2.50479795944211,1.40502546552821,1.06247088047371,0.6339343890757
"e2f3 up.v1 up",2.3077137390486,1.50254089739772,1.04956590088927,0.537413189883326
"alk dn.v1 dn",2.18951760490456,-0.0466409435178102,-1.06163071020921,-0.576705504123778
"lef1 up.v1 up",2.1503865461593,1.89961054354853,0.795138931418128,1.6270173858422
"gcnp shh up late.v1 up",2.10421018486112,0.490280132689005,0.968239036183553,0.379696919587158
"snf5 dn.v1 dn",2.05949280057022,0.496334016070042,-0.314197059904642,-0.938067439618597
"atf2 s up.v1 up",1.82124554523811,0.404227638348542,-0.483908178844337,-0.157632335701764
"tgfb up.v1 up",1.7733000697395,1.44300030549936,1.47925413516613,1.96394294654894
"atf2 up.v1 up",1.7126091390952,0.0513836636725763,-1.06720554245212,-0.959795114440388
"gcnp shh up early.v1 dn",1.69626961463853,3.30958871338132,3.9123084685811,2.93031732017803
"il21 up.v1 dn",1.68059638328176,0.403045161761836,-0.002751112762076,-0.471511434987876
"csr early up.v1 up",1.65451405929278,0.449940052770267,3.6436262163501,2.72968997177613
"esc j1 up late.v1 dn",1.61233616650576,4.14825214064814,4.20037537022044,2.70538879747381
"hoxa9 dn.v1 dn",1.58054705428274,2.80867345575262,1.90438630303799,1.33954187906236
"cyclin d1 ke .v1 up",1.55463865030346,1.44686341320617,2.36988364814328,3.03111058765527
"rela dn.v1 up",1.5242700963075,2.9219505857454,1.87272417000438,3.36804561149971
"csr late up.v1 up",1.42257087190075,3.01963570501533,0.888508601204762,0.0550817989964359
"esc v6.5 up late.v1 dn",1.15983176689841,2.1199895587689,3.24732737559915,2.9121717924802
"il15 up.v1 up",0.781977309968658,3.18320041437055,1.87175174177367,3.14933857227416
"wnt up.v1 up",0.554635736225396,2.57005059622947,3.39003262583508,2.56799874359233
"bmi1 dn.v1 dn",0.474633616751042,2.01047938602846,3.40941540008673,3.99039836146312
"crx dn.v1 dn",0.467374185850299,3.31136543854519,4.73737899412337,4.26669151254164
"il2 up.v1 up",0.398457097363408,2.42445749851977,0.338092892844532,2.46069382816004
"pdgf up.v1 up",0.364656991178955,3.7128950884482,2.02251430800296,0.552371798913872
"stk33 up",0.192835772723883,2.54800183424201,0.988445908572802,2.0923390040854
"eif4e up",-0.32895331790586,0.519872276484125,1.9174303895876,0.262768002686988
"esc j1 up early.v1 dn",-0.382918975838115,2.0833063714588,2.82039754209905,4.44517694145778
"hinata nfkb immu inf",-0.430842383073461,-0.356836750733992,-0.517184611651942,3.35427801618503
"cyclin d1 up.v1 up",-0.524273691465889,2.53588644068044,1.72255184513006,2.00237483848894
"pdgf erk dn.v1 dn",-0.608992335041247,1.55728132070692,1.67859932269059,3.13057643657483
"prc2 suz12 up.v1 dn",-0.760142814349375,-0.975479882497814,1.96694110687465,1.9637537496108
"crx nrl dn.v1 dn",-0.76959466215551,0.774018234731768,2.12946581858705,1.79461044596005
"pdgf up.v1 dn",-0.830886062286229,0.857460991647533,0.825153676794395,2.77483802840857
"pkca dn.v1 up",-0.838270405249105,2.712953390849,2.99967418465423,2.98256623138935
"egfr up.v1 up",-0.948092791204783,-0.692325814472921,-0.699156620598407,2.63249427394602
