pathway,scale_to_500,scale_to_2000,scale_to_4000,scale_to_11165
nuclear receptor transcription pathway,8.253773309,14.78300317,22.33119649,29.5950149
estrogen dependent gene expression,7.279519431,5.637825565,16.87852341,23.65274643
sumoylation of intracellular receptors,6.90152012,11.68880245,15.45535232,18.4867471
runx1 regulates transcription of genes involved in wnt signaling,6.414467762,6.315158535,5.329295087,5.367001562
esr mediated signaling,5.986864906,3.763834255,8.920943959,14.15539028
runx1 regulates estrogen receptor mediated transcription,5.713180878,7.822357184,4.371546225,6.7013599
transcriptional regulation of testis differentiation,5.427881708,3.721301235,7.757233489,6.833579576
regulation of runx2 expression and activity,5.423995649,5.419470108,5.751479269,3.65039619
transcriptional regulation by runx2,5.243172776,7.127171217,8.925231088,7.14550056
sumoylation of transcription factors,5.145592358,5.578828098,3.517867522,8.458183019
runx2 regulates bone development,4.225005894,7.510830803,8.739592738,10.13752172
ngf stimulated transcription,3.829160148,6.586068539,6.849257051,11.53762478
transcriptional regulation of granulopoiesis,3.173988285,5.275231706,10.19686297,15.12362434
runx2 regulates chondrocyte maturation,,7.925564027,6.916090993,4.93391164
aryl hydrocarbon receptor signalling,,7.17703374,6.718017773,4.388582806
deactivation of the beta catenin transactivating complex,,6.668935294,5.830630016,4.578135618
runx1 reg. differentiation of myeloid cells,,6.282105281,3.884624244,
transcriptional regulation of pluripotent stem cells,,5.46360112,9.772457108,12.61083598
regulation of gene expression in beta cells,,,10.85562317,10.65379823
mecp2 regulates transcription factors,,,9.65299526,9.155898055
tp53 regulates transcription of caspase activators and caspases,,,8.644574573,5.322658451
activation of puma and translocation to mitochondria,,,7.925067809,11.34560213
estro dep. nuc. events downstream of esr membrane signaling,,,,18.25740725
regulation of apoptosis,,,,18.03106598
myogenesis,,,,10.6920867
