pathway,phnx_z_score,mean_path_score,sd_path_score
module 9,-0.476167461,0.124685687,0.008612909
module 20,0.977712287,0.089060069,0.006875163
module 21,-0.399390718,0.012880564,0.00285576
module 26,-0.447972578,0.176289,0.010116691
module 35,-0.273262769,0.005150417,0.001717823
module 36,-0.412083902,0.194048409,0.010185812
module 37,1.142814439,0.479368104,0.015848501
module 48,-0.783316825,0.291445478,0.012809604
module 49,0.651054019,0.233549445,0.010987652
module 56,-0.498419708,0.015243338,0.002833632
module 59,0.090911587,0.026860337,0.004077181
module 61,-0.586422464,0.060183652,0.006163904
module 65,-0.579581615,0.008984878,0.002251414
module 67,-0.205292061,0.188285348,0.010075149
module 68,-0.903914786,0.026670991,0.003916288
module 69,0.430325232,0.528085735,0.016832071
module 70,0.953415482,0.04723855,0.005003537
module 71,-0.627258295,0.021919702,0.003588158
module 89,-0.224067635,0.001338956,0.001066446
module 90,-0.23550094,0.005193607,0.001798749
module 95,-0.722526416,0.464428297,0.016388047
module 97,-0.057886905,0.095731152,0.007551829
module 102,-0.765928459,0.024479476,0.00385999
module 105,0.034175786,0.241022826,0.012177452
module 110,-0.208071352,0.005194507,0.001843151
module 111,2.932764687,0.169835009,0.009997731
module 113,4.586611127,0.10848952,0.007501068
module 120,0.613365811,0.081868014,0.006968086
module 126,1.821034512,0.207366382,0.010856257
module 127,-0.655259328,0.016329602,0.002857803
module 133,-0.332660951,0.001220408,0.00071667
module 136,0.439269501,0.489595801,0.016434555
module 138,1.549866289,0.10132276,0.007770503
module 141,-0.297825169,0.008851678,0.002292211
module 147,0.548662044,0.111853171,0.007980922
module 148,-0.73992281,0.015273004,0.002928689
module 153,1.824929113,0.038533374,0.004914507
module 154,-0.844319343,0.07982102,0.007233069
module 155,0.01224605,0.030520162,0.004151379
module 156,1.995643683,0.021649569,0.003432191
module 157,2.797900635,0.116461078,0.008304055
module 160,-0.209774943,0.002545362,0.001260217
module 162,-0.561424921,0.012615788,0.002477247
module 163,-0.666106921,0.467283346,0.016912969
module 164,-1.762433902,0.070332102,0.006276038
module 166,-0.597776724,0.051063027,0.005204329
module 168,-0.516563188,0.013909093,0.002685234
module 169,-0.744511674,0.104220679,0.006857755
module 173,-0.530233045,0.020465148,0.003302601
module 174,0.879491159,0.115206482,0.007534491
module 175,0.173922124,0.061440149,0.005771842
module 177,-0.695468361,0.125984251,0.008598883
module 179,-0.552931259,0.462786852,0.016412261
module 182,-0.116381271,0.098637581,0.007935822
module 186,-0.596668518,0.019292834,0.00329636
module 189,-0.582493959,0.014009366,0.002888212
module 190,-0.530341305,0.008803976,0.002117459
module 191,13.01271811,0.024287235,0.003677041
module 192,16.12156255,0.121616241,0.00856151
module 195,8.90860198,0.15405452,0.009114776
module 203,-0.200908712,0.002486705,0.001078624
module 205,-1.543657837,0.275223344,0.012642921
module 206,-1.689751066,0.161377412,0.009815299
module 207,0.76651295,0.195057031,0.0105686
module 214,-0.803045137,0.016550357,0.002900655
module 215,-0.850549748,0.007648856,0.002102001
module 218,-0.575582739,0.013972977,0.002776277
module 219,-1.037303708,0.029535637,0.004174898
module 222,-0.75973422,0.01413457,0.002908346
module 229,3.205830271,0.03697183,0.004583889
module 236,0.131681471,0.019055162,0.003135126
module 237,0.694644344,0.059999536,0.005607854
module 239,-1.898987461,0.122961286,0.00865371
module 240,2.329592448,0.018951123,0.003119806
module 241,1.422483051,0.086788093,0.0069371
module 243,-1.816455626,0.080243905,0.006739446
module 245,-0.050453937,0.031941473,0.004369788
module 247,-0.933917222,0.03585051,0.00450844
module 248,-0.582294566,0.141766752,0.009264644
module 249,-0.602607449,0.026951176,0.003835293
module 255,-0.88576338,0.442909898,0.014933896
module 256,-0.943884722,0.055050669,0.00559885
module 257,-0.086638942,0.175993673,0.009968647
