"pathway","phnx_z_score","mean_path_score","sd_path_score"
"module 9",1.27689299022769,0.06291922,0.0265181031293484
"module 20",-0.167562107395722,0.04694156,0.0247165666770894
"module 21",-0.208889135297493,0.00346324,0.0063825243859679
"module 26",-0.0167508297498606,0.06276497,0.0265640572225205
"module 35",0,0,0
"module 36",0.277068262584804,0.08564314,0.0327603743399581
"module 37",-1.29163591262724,0.26276072,0.0542263646552953
"module 48",1.44656031348512,0.17922174,0.0461773072144268
"module 49",-0.621584682891767,0.148411,0.0411866648336599
"module 56",-0.208345082634027,0.00324507,0.00535203416323821
"module 59",-0.560746527139746,0.02083792,0.0154043218850775
"module 61",-0.47003894634412,0.01405651,0.0132893455927094
"module 65",-0.392513035995778,0.01001172,0.0102206032210435
"module 67",-1.25668975327039,0.11934741,0.0392677746210462
"module 68",-0.786216708520803,0.04194749,0.0224460887294067
"module 69",-0.919860866319464,0.31230739,0.0585060110398366
"module 70",-0.677680040700753,0.02839845,0.0192103193515015
"module 71",-0.505935885461986,0.0257304,0.0183628010326183
"module 89",0,0,0
"module 90",-0.30094284000063,0.0068942,0.00925159076718414
"module 95",1.20512518854793,0.30047104,0.0539105485615832
"module 97",-0.214560778119557,0.03110327,0.0186113698645094
"module 102",-0.157270424725429,0.00329088,0.00585539208409796
"module 105",-0.238189693596552,0.16230943,0.043744252081908
"module 110",0,0,0
"module 111",-0.313640841467811,0.10304033,0.0383570262842656
"module 113",3.04638375222817,0.10517349,0.0325095319746119
"module 120",-0.716383263296069,0.03583045,0.0201853543220254
"module 126",2.01467567386628,0.12546986,0.0376785906459694
"module 127",-0.420961507995353,0.01368838,0.0122775595911659
"module 133",0,0,0
"module 136",-1.00451346293868,0.27787242,0.0562186790755314
"module 138",0.753347168339504,0.06052592,0.0256376884545425
"module 141",-0.20406526965231,0.00635456,0.00766695872681191
"module 147",-0.646234553754145,0.02760728,0.0179614041566956
"module 148",-0.506409144905881,0.01784282,0.0146577526781819
"module 153",-0.80384293949914,0.04945758,0.025039194861301
"module 154",-1.35620564722492,0.13930727,0.042277710697728
"module 155",-0.277695490236822,0.00687414,0.0088015113170027
"module 156",-0.607638390025578,0.02446381,0.017064112752263
"module 157",-0.289330219179015,0.06578676,0.0300582497904207
"module 160",0,0,0
"module 162",-0.572320786296706,0.02076237,0.0155024423582622
"module 163",1.16590548119207,0.30189312,0.0563397986025754
"module 164",-0.991831520284342,0.06231223,0.0259542366556571
"module 166",-0.605892019864884,0.02078387,0.0146459595258886
"module 168",-0.329259510613753,0.0111009,0.0119689784895021
"module 169",0.217459457578143,0.05170019,0.0249692980037385
"module 173",-0.559402431151419,0.02234701,0.017209453273531
"module 174",0.470727565296864,0.05494701,0.0261998465975159
"module 175",-0.728243071126456,0.04037566,0.0214017278267981
"module 177",-0.841357177675848,0.05875572,0.026345196294908
"module 179",-1.59488042416116,0.27904261,0.0593853987829932
"module 182",-0.335919321633653,0.03779054,0.0207208682315423
"module 186",-0.41030607406795,0.01755577,0.0145641763007641
"module 189",-0.328331300512901,0.01000951,0.0104757298333329
"module 190",-0.30610400803531,0.01029143,0.0110793387573311
"module 191",-0.735301598876039,0.0355429,0.0207981323899965
"module 192",3.08387154325532,0.06276755,0.0264967100133311
"module 195",1.84132842951183,0.04895172,0.0240469213912799
"module 203",-0.186627723439906,0.00329955,0.00599884079044929
"module 205",-1.02025546971952,0.23435051,0.0518012513224057
"module 206",-0.908266079851002,0.06472445,0.027089473608919
"module 207",0.2952803977414,0.0896641,0.0356132682034978
"module 214",-0.656050922136077,0.02768458,0.0175665937065928
"module 215",-0.553701259625534,0.01843776,0.0156000367523846
"module 218",-0.522781047046197,0.01744011,0.0144995883894968
