"pathway","phnx_z_score","mean_path_score","sd_path_score"
"module 9",-0.53594231992987,0.012257606,0.0118624817701127
"module 20",-0.412043243061062,0.006720824,0.0094670257689966
"module 21",0,0,0
"module 26",-0.739637555180999,0.017380812,0.0148867670697245
"module 35",0,0,0
"module 36",1.63712758865337,0.019087658,0.0146551448807573
"module 37",-0.0603962062428523,0.07998278,0.0308426657215816
"module 48",-0.631747604631788,0.04630498,0.0228334542058257
"module 49",-0.588538459057541,0.020729784,0.0153427254600488
"module 56",0,0,0
"module 59",-0.416621102347946,0.006660358,0.00916986196443161
"module 61",-0.109814648947709,0.002562016,0.00520892253885346
"module 65",0,0,0
"module 67",-0.72202054108268,0.0218109,0.0160257213494914
"module 68",-0.641260639638997,0.018737578,0.0153565919865966
"module 69",0.206656688524975,0.097797404,0.033643217887718
"module 70",-0.345072734264958,0.0065267,0.00964057623122914
"module 71",-0.427711413155397,0.00899774,0.0101417447993701
"module 89",0,0,0
"module 90",0,0,0
"module 95",-0.993506072417241,0.077729932,0.0295921009606602
"module 97",0,0,0
"module 102",0,0,0
"module 105",1.15564952404069,0.041265376,0.0230473196639003
"module 110",0,0,0
"module 111",0.106932780930295,0.02480239,0.0175587877137875
"module 113",3.1415498426759,0.03344623,0.0199945164474922
"module 120",-0.302542911768901,0.00319995,0.00647825456739545
"module 126",1.15290492105265,0.04198791,0.0229612082632364
"module 127",-0.115596041613173,0.002486762,0.00507596965961447
"module 133",0,0,0
"module 136",0.333420187444799,0.091290786,0.031309483927779
"module 138",-0.671508620848173,0.015336024,0.0128308464441115
"module 141",-0.306464905913268,0.002852824,0.00549108223333164
"module 147",-0.353269459854725,0.008858124,0.00990214099299309
"module 148",-0.349402667576137,0.005736744,0.00800435789286174
"module 153",-0.665779664919857,0.020631388,0.0160133878544989
"module 154",-1.14898319857206,0.055015254,0.0247481895604208
"module 155",0,0,0
"module 156",-0.31620361331382,0.009402402,0.0111080387829537
"module 157",-0.637916996105365,0.018581514,0.0152708174566194
"module 160",0,0,0
"module 162",-0.183474524736707,0.002992656,0.00611886582952621
"module 163",-1.0972403377615,0.081860474,0.0305589148029375
"module 164",-0.747182903049708,0.023699488,0.0165949835701408
"module 166",-0.424166500558174,0.006339878,0.00928851758640861
"module 168",-0.336029632936525,0.006088174,0.0082378865691375
"module 169",1.08136751664608,0.015649216,0.0129380472268977
"module 173",-0.380112991161355,0.00567522,0.00764304316756897
"module 174",1.02882505162861,0.022407284,0.01657494242875
"module 175",-0.479255246388226,0.009752016,0.0108961060715647
"module 177",-0.529945656801545,0.018538738,0.0147915883438129
"module 179",-0.488987713239622,0.071702202,0.0291667901132129
"module 182",0,0,0
"module 186",-0.43445203254442,0.007178082,0.00957086556977923
"module 189",-0.146474608468684,0.00267316,0.0052784575298271
"module 190",-0.272332614776082,0.00340628,0.00674278400884827
"module 191",-0.718257229388312,0.017978428,0.0142963099845788
"module 192",1.45797774547873,0.023696962,0.0166690047741573
"module 195",-0.482627252104169,0.01241182,0.0123528457500224
"module 203",0,0,0
"module 205",-0.40559724577202,0.076657978,0.0292432409826245
"module 206",-0.569659921471909,0.015421602,0.0135898660028547
"module 207",0.39267708617749,0.023827452,0.016203002986337
"module 214",-0.378779077036235,0.009448036,0.0102382529424375
"module 215",-0.186746803441154,0.003153798,0.00607131141796101
"module 218",-0.225324735708778,0.003322854,0.00644782294065463
"module 219",-0.228454357906794,0.00372149,0.00740406099274368
"module 222",-0.372840014827049,0.0065384,0.00863212067377729
"module 229",3.4377709493533,0.00301049,0.00587284909246148
"module 236",0,0,0
"module 237",0,0,0
"module 239",-0.286421797931329,0.00313402,0.00608899187351004
"module 240",-0.283416614815634,0.008637064,0.00969267098820936
"module 241",1.3430312245375,0.018821894,0.0146073342462726
"module 243",-0.251436545378678,0.005861282,0.007800306025706
"module 245",0,0,0
"module 247",-0.428001086310316,0.00951215,0.0115003212782298
"module 248",0.351506834744293,0.019046936,0.015314251297321
"module 249",-0.244970747535368,0.002885906,0.00577989827048871
"module 255",-0.375670590451846,0.062900956,0.027366943969807
"module 256",-0.351323904645925,0.006457056,0.00941312548411117
"module 257",-0.219129711570369,0.00328019,0.00648104718352599
"module 261",0,0,0
"module 262",-0.733489511491455,0.017628768,0.0135227127922136
"module 267",0,0,0
"module 275",0,0,0
"module 277",0,0,0
"module 279",1.33020356498078,0.02534358,0.0170322953542283
"module 284",-0.19993540946181,0.002731046,0.00530694389181058
"module 285",0,0,0
"module 287",-0.502818085509322,0.014983534,0.013093272079367
"module 291",1.24047225730562,0.019127046,0.0155690333953529
"module 297",-1.15792857010811,0.062404526,0.0274494703909349
"module 298",-0.632891619876732,0.01819325,0.0146995942240663
"module 299",0,0,0
"module 311",-0.344986995581466,0.005758726,0.00790964887067933
"module 313",-0.301066582469791,0.009347266,0.0114833933797581
"module 316",-0.383781737568903,0.009422094,0.0108970635926863
"module 317",-0.273497870032205,0.058431878,0.0275025103453796
"module 318",2.25418709068313,0.004339072,0.00836706415272931
"module 322",0,0,0
"module 323",0,0,0
"module 326",-0.391997071852859,0.00681418,0.00988318606995673
"module 327",0,0,0
"module 328",-0.295828963842375,0.002751894,0.00531352298836278
"module 331",-0.252598897872936,0.003784194,0.00777594049910719
"module 332",0,0,0
"module 333",-0.469974341028082,0.00961457,0.0114146018871261
"module 334",1.24622745913729,0.027488884,0.017453568239507
"module 340",-0.334367398621472,0.005998964,0.00798212986972891
"module 341",-0.354775805442194,0.006395278,0.00880916328582395
"module 346",0,0,0
"module 350",2.83309074938835,0.006662102,0.00919063323531781
"module 352",0,0,0
"module 355",0,0,0
"module 356",-0.529035375953963,0.012764644,0.0119361469705374
"module 357",-1.20601902781818,0.063833264,0.0259890294241074
"module 358",0,0,0
"module 366",0,0,0
"module 368",-0.352707760031511,0.006596744,0.00965882916694443
"module 377",-0.235739565859419,0.002672486,0.00510090868970671
"module 378",-0.175633949646521,0.053856822,0.0244077071012046
"module 381",-0.202715780383831,0.00318523,0.00629072881048246
"module 382",-0.561443934425488,0.015450496,0.0135730311305222
"module 389",0.208369410086268,0.026277016,0.018731079568657
"module 392",0,0,0
"module 396",-0.33518434110045,0.00349128,0.00692538318579848
"module 401",-0.318220646510223,0.00560849,0.00819711111961492
"module 402",-0.22285179915182,0.002635786,0.00527608933145288
"module 407",-0.271370058130395,0.00294766,0.00551888447206789
"module 408",0,0,0
"module 411",-0.331112198842956,0.00622544,0.00892579618125681
"module 412",0,0,0
"module 415",-0.388856260577748,0.009193814,0.0103735349252362
"module 416",-0.456573129958966,0.009143262,0.0101041031486338
"module 417",-0.511879472573044,0.012819602,0.0128733468581506
"module 418",-0.761496793280903,0.022867388,0.0167530423142491
