"pathway","phnx_z_score","mean_path_score","sd_path_score"
"mitochondrial genome maintenance",0,0,0
"reproduction",4.4602700469455,0.208303346,0.0438629616460061
"single strand break repair",0,0,0
"regulation of dna recombination",0,0,0
"regulation of mitotic recombination",0,0,0
"mitotic spindle elongation",-0.405665879144994,0.00622659,0.00854543154407365
"ribosomal large subunit assembly",0,0,0
"ribosomal small subunit assembly",0,0,0
"very long chain fatty acid metabolic process",-0.513846428914519,0.01185094,0.0113476316500197
"transition metal ion transport",-0.844104597932318,0.029584244,0.0183712350791429
"urea cycle",-0.253444927260772,0.003355266,0.00672834930424721
"citrulline metabolic process",-0.234237455686739,0.003021776,0.00585634776461441
"ribosomal subunit export from nucleus",0,0,0
"ribosomal large subunit export from nucleus",0,0,0
"ribosomal small subunit export from nucleus",0,0,0
"cell cycle checkpoint signaling",-0.752384459909497,0.0347983,0.0183128450070026
"dna replication checkpoint signaling",-0.233741114301792,0.005429706,0.00697226931970481
"regulation of transcription involved in g1 s transition of mitotic cell cycle",0,0,0
"sulfur amino acid metabolic process",0,0,0
"sulfur amino acid biosynthetic process",0,0,0
"sulfur amino acid catabolic process",0,0,0
"sulfur amino acid transport",-0.269013545407477,0.00314022,0.00639454789309723
"negative regulation of transcription by rna polymerase ii",12.2272556608937,0.103215632,0.0327141575422626
"rrna modification",0,0,0
"mapk cascade",0.173834080808769,0.096241846,0.0312893419673182
"nuclear transcribed mrna catabolic process nonsense mediated decay",0,0,0
"protein polyubiquitination",-0.587496254794513,0.01262281,0.0121920947436598
"meiotic spindle organization",-0.30361638536159,0.008497612,0.00911548958961463
"microtubule cytoskeleton organization",-0.0591478629990454,0.07943867,0.0290571782792515
"spliceosomal tri snrnp complex assembly",0,0,0
"spliceosomal complex assembly",0,0,0
"allantoin metabolic process",0,0,0
"mitochondrial fission",-0.209746201931823,0.002991914,0.00601638546194119
"peptidoglycan metabolic process",0,0,0
"polysaccharide biosynthetic process",-0.44841532529301,0.0084933,0.00970818737552157
"polysaccharide catabolic process",-0.256047405157683,0.002943974,0.00552231333541234
"mitotic cell cycle",3.02833141378466,0.137328008,0.0373040386153828
"mitotic cytokinesis",-0.444636430019517,0.011767358,0.0113741422397126
"nuclear transcribed mrna catabolic process deadenylation dependent decay",0,0,0
"nuclear transcribed mrna poly a tail shortening",0,0,0
"deadenylation dependent decapping of nuclear transcribed mrna",0,0,0
"nuclear transcribed mrna catabolic process exonucleolytic",0,0,0
"retrograde transport vesicle recycling within golgi",0,0,0
"response to reactive oxygen species",0.23296411475675,0.036405926,0.0201064185567416
"response to oxygen radical",0,0,0
"protein deneddylation",0,0,0
"formation of quadruple sl u4 u5 u6 snrnp",0,0,0
"rna splicing via transesterification reactions",-0.222517365058909,0.00312051,0.00570971168773118
"alternative mrna splicing via spliceosome",-0.220643391837873,0.00307048,0.005531459563932
"regulation of alternative mrna splicing via spliceosome",-0.196722415990206,0.003154452,0.0066309271032181
"spliceosomal snrnp assembly",0,0,0
"mrna 3 splice site recognition",0,0,0
"spliceosomal conformational changes to generate catalytic conformation",0,0,0
"rna splicing via endonucleolytic cleavage and ligation",0,0,0
"mrna 5 splice site recognition",0,0,0
"protein peptidyl prolyl isomerization",-0.200623820588349,0.003030312,0.00553429795496816
"regulation of histone h3 k36 methylation",0,0,0
"autophagy of mitochondrion",0,0,0
"mitophagy",0,0,0
