"pathway","phnx_z_score","mean_path_score","sd_path_score"
"single stranded dna endodeoxyribonuclease activity",0,0,0
"mannosyltransferase activity",0,0,0
"trna binding",0,0,0
"l ornithine transmembrane transporter activity",-0.222921010886384,0.00649189,0.00808308733589211
"sulfur amino acid transmembrane transporter activity",-0.278381100832133,0.00398185,0.00751433913346513
"microfilament motor activity",-0.261484184618325,0.0063503,0.00738209082441281
"snare binding",-0.511119962934825,0.02019186,0.014403389681218
"rdna binding",0,0,0
"dna secondary structure binding",-0.288097881279573,0.01241137,0.0114591956918847
"peroxisome targeting sequence binding",0,0,0
"magnesium ion binding",-0.978889516371802,0.07315207,0.0273187827152526
"endopolyphosphatase activity",-0.293424149915001,0.00736578,0.00911915396457694
"rna cap binding",0,0,0
"rna 7 methylguanosine cap binding",0,0,0
"four way junction dna binding",-0.143750052902823,0.00327966,0.0063976324281543
"y form dna binding",0,0,0
"bubble dna binding",-0.164705813599251,0.00351762,0.00581412385557928
"adenyl nucleotide exchange factor activity",-0.334868003540362,0.00381121,0.00642405358904562
"inositol 1 3 4 5 6 pentakisphosphate kinase activity",-0.243885786733787,0.00314968,0.00541105743665372
"inositol hexakisphosphate kinase activity",-0.257207710303501,0.00359256,0.00685267171003624
"mrna regulatory element binding translation repressor activity",-0.265774436770839,0.00641341,0.00810239700312769
"rna polymerase ii transcription regulatory region sequence specific dna binding",27.0068208996661,0.55427744,0.0785617295675936
"rna polymerase ii core promoter sequence specific dna binding",2.7750344101268,0.01031958,0.0106810999863045
"cis regulatory region sequence specific dna binding",27.6376894800048,0.50321195,0.0745076049678393
"rna polymerase ii complex binding",0,0,0
"rna polymerase iii general transcription initiation factor activity",0,0,0
"rna polymerase iii transcription regulatory region sequence specific dna binding",-0.285469207990514,0.00317283,0.00543957091180077
"rna polymerase i core binding",-0.291749427218835,0.00348743,0.00592093707421161
"core promoter sequence specific dna binding",2.14017118088252,0.01432879,0.0128686949184332
"rna polymerase ii activity",0,0,0
"rna polymerase ii general transcription initiation factor binding",7.27245734233806,0.00694929,0.00894480461525629
"tfiib class transcription factor binding",4.95221781020624,0.00405483,0.00750071410902927
"tfiid class transcription factor complex binding",0,0,0
"basal transcription machinery binding",7.57107258164188,0.00676239,0.00861669324874606
"intronic transcription regulatory region sequence specific dna binding",0,0,0
"rna polymerase ii intronic transcription regulatory region sequence specific dna binding",0,0,0
"rna polymerase i transcription regulatory region sequence specific dna binding",0,0,0
"rna polymerase i general transcription initiation factor activity",0,0,0
"dna binding transcription activator activity",25.8572867483285,0.25837477,0.0526696881716733
"dna binding transcription repressor activity",15.5472698452648,0.13638661,0.0364625683893084
"transcription coregulator binding",7.76210512189352,0.05224315,0.0235692311720936
"transcription corepressor binding",4.32341838759756,0.02101239,0.0152836492044246
"transcription coactivator binding",7.09852570524256,0.01947786,0.0137186430033041
"n acetylglucosamine 6 o sulfotransferase activity",0,0,0
"lipopolysaccharide binding",-0.413322797807092,0.017039,0.0135221188612212
"n acetylgalactosamine 4 o sulfotransferase activity",-0.257304722452305,0.0034097,0.00625600643726381
"amyloid beta binding",-0.940168633074418,0.06453706,0.027194121459247
"trace amine receptor activity",0,0,0
"g protein coupled adenosine receptor activity",-0.200789767392604,0.00351174,0.0066823126368611
"g protein coupled chemoattractant receptor activity",-0.398397371186329,0.01062925,0.0115192778163529
"proteinase activated receptor activity",-0.194904079092255,0.00352266,0.00688882452462408
"peptide receptor activity",-0.948741966357925,0.05837914,0.0237884912866662
"g protein coupled receptor binding",-1.77168638149076,0.22516562,0.049724161635127
"alpha n acetylgalactosaminide alpha 2 6 sialyltransferase activity",-0.253962414085079,0.00357839,0.00609692582100469
"atpase activator activity",0,0,0
"lipid kinase activity",0,0,0
"retinal dehydrogenase activity",-0.438293122320234,0.01332377,0.0119640709218537
"phosphotyrosine residue binding",-0.616966092651311,0.02054713,0.0149880684046379
"phosphatidylserine binding",-0.699033499273815,0.03446732,0.0206675645945559
"opsonin binding",-0.324778125163169,0.00647126,0.00785539358205928
"complement binding",-0.556752474004652,0.01297779,0.0110601933309928
"complement component c1q complex binding",-0.323466829978336,0.0068888,0.00917806626478157
"complement component c3b binding",0,0,0
"lipopolysaccharide immune receptor activity",0,0,0
"nucleoside binding",-0.223890238034723,0.00318984,0.00593969621754458
"g protein alpha subunit binding",-0.565588517412565,0.02471976,0.0169730461359376
"fibronectin binding",-0.557117004728447,0.01749152,0.0142726212492397
"retinoic acid binding",-0.605209416200595,0.03035661,0.0179551238118845
"protease binding",-1.10340557742253,0.08264828,0.0308211963903978
"p53 binding",-0.491184470865528,0.01753253,0.0140935440971935
"opsin binding",0,0,0
"g quadruplex rna binding",0,0,0
"aminoacyl trna editing activity",0,0,0
"dystroglycan binding",-0.429154512612538,0.01071235,0.0113766717033406
"dna helicase activity",-0.640840260971768,0.03367952,0.0185920278821634
"minor groove of adenine thymine rich dna binding",-0.271018587773246,0.0036702,0.00682683802318391
"chromatin binding",10.447748656139,0.21163896,0.0493935159606634
"damaged dna binding",-0.439282230780908,0.0144703,0.0125894006460695
"dna replication origin binding",-0.524972560206393,0.02001695,0.0140520677825518
"dna clamp loader activity",0,0,0
"double stranded telomeric dna binding",0,0,0
"single stranded dna binding",-0.827720418897211,0.05550666,0.0259286342465658
"nuclear steroid receptor activity",8.35138342986025,0.0203909,0.0152692186954388
"transcription elongation factor activity",0,0,0
"transcription coregulator activity",-0.105601118519137,0.11189756,0.0334992663866433
"transcription coactivator activity",0.873360674016712,0.05181903,0.025729312835501
"transcription corepressor activity",-0.837134802391379,0.04672165,0.0213605382895549
"telomerase activity",-0.241710865783266,0.00379095,0.00736810070258454
"rna binding",0.532330206850903,0.26867165,0.0526709730899286
"double stranded rna binding",-0.511590866824255,0.01420589,0.0129319939604644
"double stranded rna adenosine deaminase activity",0,0,0
"single stranded rna binding",0.0397155297592143,0.01758557,0.0142118210035722
"mrna binding",-0.817219501586319,0.04541387,0.0233399594147905
"mrna 3 utr binding",-0.501579276671865,0.01741537,0.0138270664729579
"structural constituent of ribosome",-0.179479642342244,0.00360592,0.00688612916691277
"translation initiation factor activity",-0.211894313667953,0.00347284,0.00657327691286061
"translation elongation factor activity",-0.387070412586417,0.01081901,0.0116749042372002
"protein disulfide isomerase activity",0,0,0
"cytoskeletal motor activity",-0.922712729379168,0.06309076,0.0258268464726114
"microtubule motor activity",-0.827718007932837,0.05270357,0.0238288521102231
"actin binding",-1.59395729605963,0.18241996,0.0466574356689779
"actin monomer binding",-0.400118031410988,0.01044279,0.0108537722848567
"lysozyme activity",-0.22421669103041,0.00373486,0.00684543150176018
"protein glutamine gamma glutamyltransferase activity",0,0,0
"antigen binding",-1.22042239704232,0.10031147,0.0326415428760922
"alpha n acetylneuraminate alpha 2 8 sialyltransferase activity",-0.043686252351849,0.00357567,0.00676803305576945
"beta galactoside cmp alpha 2 3 sialyltransferase activity",0,0,0
"2 acylglycerol o acyltransferase activity",0,0,0
"1 alkyl 2 acetylglycerophosphocholine esterase activity",-0.11111763192127,0.0031755,0.0051791960470122
"3 beta hydroxy delta5 steroid dehydrogenase activity",0,0,0
"3 hydroxyacyl coa dehydrogenase activity",-0.227891562092977,0.00302759,0.00503568446966806
"dna directed dna polymerase activity",-0.386381604020249,0.00706989,0.00885106838528672
"dna apurinic or apyrimidinic site endonuclease activity",0,0,0
"dna topoisomerase activity",-0.210231544642823,0.00335676,0.00578771374232747
"gtpase activity",-1.27959396808212,0.10608192,0.0333402009263474
"g protein activity",-0.417452314551822,0.01010028,0.0104928870850858
"n acetyllactosamine synthase activity",0,0,0
"nadplus adp ribosyltransferase activity",-0.327975659530263,0.00713939,0.00963300143835361
"nadplus nucleosidase activity",-0.447245315044421,0.01414466,0.0128892574300693
"nad p h dehydrogenase quinone activity",-0.226139528745231,0.00368082,0.00654825809630253
"rna directed dna polymerase activity",-0.211893374684973,0.00334004,0.00627693056461724
"acetyl coa hydrolase activity",0,0,0
"acetyl coa c acyltransferase activity",0,0,0
"acid phosphatase activity",0,0,0
"acyl coa oxidase activity",-0.43767875750303,0.01038429,0.0107939668512866
"adenosine deaminase activity",0,0,0
"adenylate cyclase activity",-0.441627661129614,0.01042746,0.0105008368093115
"adenylate kinase activity",-0.259662763625609,0.00392432,0.00760340055090319
"alcohol dehydrogenase activity zinc dependent",-0.377778771859803,0.0063179,0.00716795172653303
"aldehyde dehydrogenase nad p plus activity",-0.556501136150773,0.01359841,0.0113358438827892
"alditol nadpplus 1 oxidoreductase activity",-0.367163165199561,0.01105092,0.0116322126095592
"aldo keto reductase nadp activity",-0.383144156993672,0.0131589,0.0118464549625768
"alkaline phosphatase activity",-0.212892169320373,0.00330919,0.00582074016134992
"aminoacylase activity",-0.194967127893107,0.0038382,0.00722275603696671
"aryl sulfotransferase activity",-0.185199444818968,0.00334339,0.00568786802265896
"arylesterase activity",-0.361220981440249,0.00988472,0.0100623169382569
"arylsulfatase activity",-0.237749644081762,0.00664622,0.00801776173992695
"carbonate dehydratase activity",-0.503609183790367,0.01456535,0.0121629036903142
"carbonyl reductase nadph activity",-0.189933375586363,0.00336741,0.00609376838813525
"cyclic nucleotide phosphodiesterase activity",-0.493986294584393,0.01710409,0.0134297045742564
"3 5 cyclic amp phosphodiesterase activity",-0.263452667781162,0.00662875,0.0083838589246502
"cytidine deaminase activity",-0.428868839719583,0.01325955,0.012030601251827
"cytochrome b5 reductase activity acting on nad p h",-0.201773642610847,0.00329824,0.00544293092888319
"diacylglycerol kinase activity",-0.336128163561673,0.00721296,0.00970748766013862
"diacylglycerol o acyltransferase activity",0,0,0
"dihydropyrimidinase activity",0,0,0
"dolichyl phosphate mannose protein mannosyltransferase activity",0,0,0
"endopeptidase activity",-1.91124687139675,0.24118346,0.0512720054465732
"atp dependent peptidase activity",0,0,0
"aminopeptidase activity",-0.453674806668376,0.01048185,0.0112676523467097
"carboxypeptidase activity",-0.751132922879943,0.03756694,0.0199657604442364
"metallocarboxypeptidase activity",-0.730797023939451,0.03766333,0.02065324502642
"serine type carboxypeptidase activity",0,0,0
"cysteine type endopeptidase activity",-0.710980307689096,0.03657781,0.0196599116020979
"calcium dependent cysteine type endopeptidase activity",-0.326010514018357,0.01056601,0.0110303497751533
"metalloendopeptidase activity",-1.08498068279302,0.0760643,0.0284007821417391
"threonine type endopeptidase activity",0,0,0
"enoyl coa hydratase activity",-0.282551169108722,0.00402447,0.00758966953406884
"epoxide hydrolase activity",-0.272257551811724,0.00638614,0.00777256676965708
"estradiol 17 beta dehydrogenase activity",-0.494456696989935,0.02002684,0.0143528038819231
"fatty acid synthase activity",-0.431015283142455,0.0134424,0.0116060849711138
"fatty acyl coa synthase activity",-0.382173576878931,0.01048014,0.0109116387220068
"fructose 2 6 bisphosphate 2 phosphatase activity",0,0,0
"galactosylceramidase activity",0,0,0
"glutathione transferase activity",-0.593972991296439,0.02533371,0.0180542047485927
"glycolipid mannosyltransferase activity",0,0,0
"gdp phosphatase activity",-0.163621401759197,0.00310547,0.00583951726196657
"guanylate cyclase activity",-0.178501330066282,0.00340388,0.00646426555797393
"guanylate kinase activity",0,0,0
"helicase activity",-0.851975791567482,0.0493494,0.0232335239990586
"hexokinase activity",-0.299190773200141,0.0039814,0.0076920821300211
"hyalurononglucosaminidase activity",-0.179989646285551,0.00349901,0.00660599109191899
