pathway,phnx_z_score,mean_path_score,sd_path_score
single stranded dna endodeoxyribonuclease activity,0,0,0
mannosyltransferase activity,0,0,0
trna binding,0,0,0
l ornithine transmembrane transporter activity,0,0,0
sulfur amino acid transmembrane transporter activity,-0.311746649,0.003625158,0.007073558
microfilament motor activity,0,0,0
snare binding,-0.479959796,0.009591354,0.01025368
rdna binding,0,0,0
dna secondary structure binding,-0.250012575,0.00338645,0.006625467
peroxisome targeting sequence binding,0,0,0
magnesium ion binding,-0.630844042,0.01789237,0.013557027
endopolyphosphatase activity,0,0,0
rna cap binding,0,0,0
rna 7 methylguanosine cap binding,0,0,0
four way junction dna binding,0,0,0
y form dna binding,0,0,0
bubble dna binding,0,0,0
adenyl nucleotide exchange factor activity,0,0,0
inositol 1 3 4 5 6 pentakisphosphate kinase activity,0,0,0
inositol hexakisphosphate kinase activity,0,0,0
mrna regulatory element binding translation repressor activity,0,0,0
rna polymerase ii transcription regulatory region sequence specific dna binding,15.92186307,0.134867184,0.037335632
rna polymerase ii core promoter sequence specific dna binding,3.252584485,0.009357124,0.009851512
cis regulatory region sequence specific dna binding,14.96967203,0.124090938,0.037237226
rna polymerase ii complex binding,0,0,0
rna polymerase iii general transcription initiation factor activity,0,0,0
rna polymerase iii transcription regulatory region sequence specific dna binding,0,0,0
rna polymerase i core binding,0,0,0
core promoter sequence specific dna binding,2.655083282,0.012086368,0.011790075
rna polymerase ii activity,0,0,0
rna polymerase ii general transcription initiation factor binding,6.35645534,0.00637925,0.008514297
tfiib class transcription factor binding,5.177966239,0.00310161,0.006044533
tfiid class transcription factor complex binding,0,0,0
basal transcription machinery binding,6.881329556,0.00585083,0.007941659
intronic transcription regulatory region sequence specific dna binding,0,0,0
rna polymerase ii intronic transcription regulatory region sequence specific dna binding,0,0,0
rna polymerase i transcription regulatory region sequence specific dna binding,0,0,0
rna polymerase i general transcription initiation factor activity,0,0,0
dna binding transcription activator activity,15.57546323,0.08989558,0.032517455
dna binding transcription repressor activity,6.028033873,0.033250826,0.019044215
transcription coregulator binding,6.400352789,0.028261356,0.017819118
transcription corepressor binding,2.737684964,0.0093842,0.010332014
transcription coactivator binding,5.765432498,0.01700311,0.014315819
n acetylglucosamine 6 o sulfotransferase activity,0,0,0
lipopolysaccharide binding,-0.295130237,0.003252098,0.006716011
n acetylgalactosamine 4 o sulfotransferase activity,0,0,0
amyloid beta binding,-0.471189374,0.009945264,0.011980881
trace amine receptor activity,0,0,0
g protein coupled adenosine receptor activity,0,0,0
g protein coupled chemoattractant receptor activity,-0.211099279,0.002852756,0.005271245
proteinase activated receptor activity,0,0,0
peptide receptor activity,-0.53998011,0.012949038,0.013054255
g protein coupled receptor binding,-1.370280502,0.073136292,0.027721545
alpha n acetylgalactosaminide alpha 2 6 sialyltransferase activity,0,0,0
atpase activator activity,0,0,0
lipid kinase activity,0,0,0
retinal dehydrogenase activity,0,0,0
phosphotyrosine residue binding,-0.278783007,0.002885808,0.005688324
phosphatidylserine binding,-0.541384413,0.01576915,0.013149898
opsonin binding,-0.370268814,0.006301716,0.008457952
complement binding,-0.517782653,0.012355498,0.011386048
complement component c1q complex binding,-0.364156488,0.006275956,0.008529179
complement component c3b binding,0,0,0
lipopolysaccharide immune receptor activity,0,0,0
nucleoside binding,0,0,0
g protein alpha subunit binding,-0.340631927,0.006105196,0.008088484
fibronectin binding,-0.240168274,0.003213722,0.005886381
retinoic acid binding,-0.651503995,0.015711664,0.013403853
protease binding,-0.664096774,0.019440954,0.015029367
p53 binding,-0.323364621,0.006080236,0.008535986
opsin binding,0,0,0
g quadruplex rna binding,0,0,0
aminoacyl trna editing activity,0,0,0
dystroglycan binding,-0.348429139,0.003126612,0.005873826
dna helicase activity,0,0,0
minor groove of adenine thymine rich dna binding,-0.229814611,0.003045642,0.005724797
chromatin binding,6.818805537,0.072341158,0.028089794
damaged dna binding,0,0,0
dna replication origin binding,-0.342359964,0.00919211,0.009878813
dna clamp loader activity,0,0,0
double stranded telomeric dna binding,0,0,0
single stranded dna binding,-0.416430764,0.011898984,0.011091841
nuclear steroid receptor activity,5.51955094,0.009005048,0.011576114
transcription elongation factor activity,0,0,0
transcription coregulator activity,-0.715546278,0.02190185,0.015934469
transcription coactivator activity,-0.436038368,0.00872587,0.009852046
transcription corepressor activity,-0.355734174,0.006354128,0.008557311
telomerase activity,0,0,0
rna binding,2.06236665,0.040694318,0.022792107
double stranded rna binding,-0.225183437,0.003203372,0.006276536
double stranded rna adenosine deaminase activity,0,0,0
single stranded rna binding,0.918307578,0.003241318,0.00608585
mrna binding,-0.447204556,0.009599232,0.011044682
mrna 3 utr binding,-0.199002232,0.002894184,0.005247097
structural constituent of ribosome,0,0,0
translation initiation factor activity,0,0,0
translation elongation factor activity,-0.146753217,0.003483306,0.00690483
protein disulfide isomerase activity,0,0,0
cytoskeletal motor activity,-0.442818285,0.00939574,0.010333223
microtubule motor activity,-0.45970875,0.00965539,0.010518377
actin binding,-1.067709699,0.05649982,0.025465555
actin monomer binding,-0.292645443,0.006199356,0.008335534
lysozyme activity,0,0,0
protein glutamine gamma glutamyltransferase activity,0,0,0
antigen binding,-1.078560994,0.052394472,0.02477326
alpha n acetylneuraminate alpha 2 8 sialyltransferase activity,-0.31107934,0.003343156,0.006150058
beta galactoside cmp alpha 2 3 sialyltransferase activity,0,0,0
2 acylglycerol o acyltransferase activity,0,0,0
1 alkyl 2 acetylglycerophosphocholine esterase activity,0,0,0
3 beta hydroxy delta5 steroid dehydrogenase activity,0,0,0
3 hydroxyacyl coa dehydrogenase activity,0,0,0
dna directed dna polymerase activity,0,0,0
dna apurinic or apyrimidinic site endonuclease activity,0,0,0
dna topoisomerase activity,-0.167119982,0.002761188,0.005272787
gtpase activity,-0.508440007,0.01844486,0.015330934
g protein activity,-0.277713167,0.003133636,0.006170525
n acetyllactosamine synthase activity,0,0,0
nadplus adp ribosyltransferase activity,-0.127018556,0.002676952,0.005014637
nadplus nucleosidase activity,0,0,0
nad p h dehydrogenase quinone activity,0,0,0
rna directed dna polymerase activity,0,0,0
acetyl coa hydrolase activity,0,0,0
acetyl coa c acyltransferase activity,0,0,0
acid phosphatase activity,0,0,0
acyl coa oxidase activity,-0.240028089,0.003369764,0.006748227
adenosine deaminase activity,0,0,0
adenylate cyclase activity,-0.314265205,0.003070052,0.005759632
adenylate kinase activity,-0.296152521,0.00321399,0.006631684
alcohol dehydrogenase activity zinc dependent,-0.253020335,0.002625578,0.004883315
aldehyde dehydrogenase nad p plus activity,-0.225452126,0.002924464,0.005519859
alditol nadpplus 1 oxidoreductase activity,0,0,0
aldo keto reductase nadp activity,-0.33884011,0.003364394,0.006151556
alkaline phosphatase activity,-0.218087038,0.00317555,0.006123931
aminoacylase activity,0,0,0
aryl sulfotransferase activity,0,0,0
arylesterase activity,-0.355289044,0.00314469,0.00578315
arylsulfatase activity,-0.270198514,0.003233718,0.00645347
carbonate dehydratase activity,-0.310518811,0.003158684,0.00608235
carbonyl reductase nadph activity,-0.266753258,0.003005308,0.005493121
cyclic nucleotide phosphodiesterase activity,-0.2617547,0.003079778,0.005882523
3 5 cyclic amp phosphodiesterase activity,0,0,0
cytidine deaminase activity,-0.270186092,0.002759894,0.005329268
cytochrome b5 reductase activity acting on nad p h,0,0,0
diacylglycerol kinase activity,0,0,0
diacylglycerol o acyltransferase activity,0,0,0
dihydropyrimidinase activity,0,0,0
dolichyl phosphate mannose protein mannosyltransferase activity,0,0,0
endopeptidase activity,-1.222013013,0.069628982,0.028763181
atp dependent peptidase activity,0,0,0
aminopeptidase activity,0,0,0
carboxypeptidase activity,-0.441976297,0.009114536,0.010282307
metallocarboxypeptidase activity,-0.469331047,0.009498214,0.010500507
serine type carboxypeptidase activity,0,0,0
cysteine type endopeptidase activity,-0.29032882,0.006113228,0.007967614
calcium dependent cysteine type endopeptidase activity,-0.182295248,0.003050878,0.005984127
metalloendopeptidase activity,-0.594034486,0.018894256,0.014972626
threonine type endopeptidase activity,0,0,0
enoyl coa hydratase activity,0,0,0
epoxide hydrolase activity,-0.305357789,0.003119212,0.005695653
estradiol 17 beta dehydrogenase activity,-0.181306585,0.003100982,0.006348264
fatty acid synthase activity,-0.338334683,0.00323066,0.006415718
fatty acyl coa synthase activity,0,0,0
fructose 2 6 bisphosphate 2 phosphatase activity,0,0,0
galactosylceramidase activity,0,0,0
glutathione transferase activity,-0.476662656,0.009033894,0.009805455
glycolipid mannosyltransferase activity,0,0,0
gdp phosphatase activity,0,0,0
guanylate cyclase activity,0,0,0
guanylate kinase activity,0,0,0
helicase activity,-0.304546065,0.003079868,0.005942838
hexokinase activity,0,0,0
hyalurononglucosaminidase activity,0,0,0
inorganic diphosphate phosphatase activity,0,0,0
1 phosphatidylinositol 4 kinase activity,0,0,0
phosphatidylinositol 4 5 bisphosphate 5 phosphatase activity,-0.22026899,0.002809074,0.00544368
inositol polyphosphate 5 phosphatase activity,-0.214356244,0.00279516,0.005528927
isocitrate dehydrogenase nad p plus activity,0,0,0
lactate dehydrogenase activity,0,0,0
l lactate dehydrogenase activity,0,0,0
leukotriene c4 synthase activity,0,0,0
lipoprotein lipase activity,-0.268486398,0.003075126,0.005717705
long chain fatty acid coa ligase activity,-0.380878699,0.006324648,0.008177533
lysine n acetyltransferase activity acting on acetyl phosphate as donor,0,0,0
monooxygenase activity,-0.762057475,0.025231214,0.017375611
n n dimethylaniline monooxygenase activity,-0.348774233,0.003456814,0.006814764
nuclease activity,-0.451354083,0.009411574,0.010460909
endonuclease activity,-0.362384565,0.006105622,0.008431987
endodeoxyribonuclease activity,-0.210586365,0.003063564,0.006000218
endoribonuclease activity,-0.23348048,0.003324792,0.006530704
rna dna hybrid ribonuclease activity,-0.223816318,0.003106732,0.005838413
ribonuclease p activity,0,0,0
exonuclease activity,-0.181737999,0.002710756,0.005011368
phosphodiesterase i activity,0,0,0
exodeoxyribonuclease activity,-0.210329187,0.003020714,0.005803826
deoxyribonuclease i activity,0,0,0
exoribonuclease activity,0,0,0
poly a specific ribonuclease activity,0,0,0
deoxyribonuclease activity,-0.201940889,0.002967452,0.005781157
ribonuclease activity,-0.351270258,0.006546182,0.008842713
trna specific ribonuclease activity,0,0,0
nucleoside diphosphate kinase activity,-0.372859573,0.005414586,0.007092713
dinucleotide phosphatase activity,-0.314607012,0.006059268,0.008293738
hydrolase activity hydrolyzing o glycosyl compounds,-0.497397104,0.009911234,0.011019835
beta n acetylhexosaminidase activity,0,0,0
beta galactosidase activity,0,0,0
chitinase activity,-0.312490886,0.003019614,0.005726932
mannosyl oligosaccharide 1 2 alpha mannosidase activity,0,0,0
oligosaccharyl transferase activity,0,0,0
dolichyl diphosphooligosaccharide protein glycotransferase activity,0,0,0
peptide alpha n acetyltransferase activity,0,0,0
glutathione peroxidase activity,-0.264677014,0.002921576,0.005068729
phospholipase activity,-0.37621614,0.006131352,0.007977733
lysophospholipase activity,0,0,0
phospholipase a2 activity,0,0,0
phospholipase c activity,-0.236878994,0.003057076,0.006193356
phospholipase d activity,0,0,0
1 4 alpha oligoglucan phosphorylase activity,0,0,0
polynucleotide adenylyltransferase activity,0,0,0
polypeptide n acetylgalactosaminyltransferase activity,-0.52701476,0.010233226,0.011409976
procollagen proline 4 dioxygenase activity,0,0,0
prenyltransferase activity,0,0,0
