"pathway","phnx_z_score","mean_path_score","sd_path_score"
"kinase binding",1.61471674520118,0.771548073,0.0190757463137363
"protein-containing complex binding",-3.4210533035583,1.248212957,0.0245099826164027
"protein kinase binding",1.41439217621426,0.687739309,0.0185780799992339
"rna binding",-3.19526024258759,1.545348583,0.0256572475403794
"adenyl nucleotide binding",-6.41907954027705,1.443430869,0.0268880246641328
"adenyl ribonucleotide binding",-6.57377951423775,1.432482143,0.0266261809695477
"atp binding",-6.71565561372463,1.375311366,0.0251136114924243
"cytoskeletal protein binding",-4.2073243610164,0.922492058,0.0203426336207949
"transcription factor binding",22.8828023831473,0.574051755,0.0168206777542017
"transferase activity, transferring phosphorus-containing groups ",-5.43934217806947,0.886740684,0.0203678460323161
"kinase activity",-4.56391713818139,0.763319635,0.0211276042225484
"protein domain specific binding",4.36374280462355,0.694984581,0.0184544375334577
"phosphotransferase activity, alcohol group as acceptor ",-4.60202803190094,0.663499162,0.0183710662807672
"cell adhesion molecule binding",-4.20386384484276,0.535643425,0.0161414421362017
"protein homodimerization activity",4.33032663407604,0.64974484,0.0174559949831886
"dna-binding transcription activator activity",52.0735789219164,0.452692358,0.0147761044646801
"dna-binding transcription activator activity, rna polymerase ii-specific ",47.7031704926327,0.447896579,0.0158065053792693
"protein kinase activity",-4.29925609557193,0.565045753,0.0167665641212311
"enzyme regulator activity",-5.2918326869851,1.057543627,0.0219361861695852
"sequence-specific dna binding",50.5889241081531,1.354575377,0.0255327158221148
"double-stranded dna binding",54.4414165705437,1.347110903,0.0236971992697566
"dna-binding transcription factor binding",12.3483388237893,0.250781112,0.0113010251817157
"cadherin binding",-3.26210734654215,0.338416615,0.013202697037439
"chromatin binding",18.1609826279074,0.53789711,0.0161000589004854
"protein serine kinase activity",-3.25649979457528,0.354005004,0.0136299729156865
"transcription coregulator activity",-0.630280548169566,0.483442598,0.0165427888109194
"sequence-specific double-stranded dna binding",50.9555039134949,1.261168341,0.0253335471118387
"protein-macromolecule adaptor activity",-2.16207755701289,0.279666636,0.0126117751472675
"protein dimerization activity",10.2755155457864,0.903606812,0.0210686448806721
"molecular adaptor activity",-2.47147892164439,0.329003199,0.0127070470741076
"lipid binding",0.0991817450815413,0.661838565,0.017991566880901
"ubiquitin-like protein ligase binding",0.632839432274229,0.330484372,0.0130074511482598
"protein serine/threonine kinase activity",-3.57470884343643,0.413076999,0.0146512628842946
"hydrolase activity, acting on acid anhydrides ",-4.55396164679488,0.652570271,0.0184846244937627
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides ",-4.64538377261511,0.653383969,0.0182960059190447
"cis-regulatory region sequence-specific dna binding",56.4278904075777,0.976464041,0.0218279462532344
"transcription cis-regulatory region binding",52.3467310917951,1.197263225,0.0240822635665514
"transcription regulatory region nucleic acid binding",50.1309352055224,1.197764081,0.0251590542611913
"protein c-terminus binding",-0.787714585103399,0.212956019,0.0104758997180646
"pyrophosphatase activity",-4.6798788135621,0.648372913,0.0180149778143142
"rna polymerase ii cis-regulatory region sequence-specific dna binding",57.2385107080846,0.962159549,0.0213280610536146
"rna polymerase ii-specific dna-binding transcription factor binding",8.01848864335109,0.208001115,0.0108013977262183
"gtpase binding",-2.47907503637658,0.29636723,0.0123365487333939
"nucleoside-triphosphatase activity",-4.15246710040776,0.600154917,0.018659489678411
"ubiquitin protein ligase binding",-0.0375192577827043,0.311749345,0.0126427074529928
"oxidoreductase activity",-4.86105233241403,0.668304769,0.0177454927659999
"structural molecule activity",-4.18326349254961,0.630526152,0.0183204218755271
"signaling receptor binding",-4.49684116797326,1.260802739,0.0241842517753443
"actin binding",-3.4200346137828,0.406260177,0.0137493278022673
"transmembrane receptor protein kinase activity",-2.28504993647727,0.15990574,0.00889465900746724
"nuclear receptor binding",7.35531920175457,0.147280782,0.00844602610654626
"transition metal ion binding",6.32024581167021,0.931798437,0.0209168388286255
"small gtpase binding",-2.64741597115741,0.261859633,0.0121044948542748
"catalytic activity, acting on dna ",-0.935539317906258,0.221193236,0.01036112092188
"protein tyrosine kinase activity",-2.25942710350783,0.158573741,0.0094571499858641
"tubulin binding",-2.61881990122016,0.342439488,0.0124118836827439
"integrin binding",-2.13203289277673,0.154896082,0.00919501855080104
"rna polymerase ii transcription regulatory region sequence-specific dna binding",56.0003423078962,1.09461985,0.0226008288135328
"transmembrane receptor protein tyrosine kinase activity",-2.2238127651651,0.140908476,0.00827429192251894
"phospholipid binding",-3.01728013303316,0.390650325,0.0141197777871464
"transcription coactivator activity",-1.48038003115617,0.276877604,0.0122357797449168
"dna-binding transcription factor activity, rna polymerase ii-specific ",58.8713414693207,1.058044731,0.0219266834555264
"gtpase regulator activity",-3.57796188083533,0.427748484,0.0144728998588186
"nucleoside-triphosphatase regulator activity",-3.38205291069037,0.427686076,0.0152928050996819
"calcium ion binding",-4.28584696178598,0.594908346,0.0179458918355659
"gtpase activator activity",-3.34684962003863,0.398014464,0.0140387138157277
"phosphoprotein binding",-1.07175898828735,0.095937373,0.00729583151198502
"protein tyrosine kinase binding",-1.38686331158508,0.105065257,0.00763323747305763
"dna-binding transcription factor activity",56.7075716332836,1.088856121,0.0228446720903077
"mrna binding",-0.54372497479245,0.272280403,0.0118799085925113
"atp-dependent activity",-4.01655962440263,0.510583522,0.0158091819711112
"zinc ion binding",8.18178561326715,0.7056959,0.0198476356721789
"single-stranded dna binding",-0.361421964425353,0.129610241,0.00844508995144486
"microtubule binding",-2.57679048570927,0.246272032,0.0107331318372154
"guanyl nucleotide binding",-3.59184025982112,0.351444049,0.0130988701046363
"guanyl ribonucleotide binding",-3.35532555632953,0.350869472,0.0138509575955543
"damaged dna binding",-1.0736289446499,0.077457302,0.00644664251507949
"gtp binding",-3.27619041785044,0.334441821,0.0137085502586469
"cytokine receptor activity",-1.8768373172458,0.103705241,0.00737743270168931
"smad binding",6.33358853897288,0.086227189,0.00678380206349303
"nadp binding",-1.59504572126835,0.06083394,0.00565810740072299
"double-stranded rna binding",-1.26340732546395,0.080895975,0.0066328371152373
"protein phosphorylated amino acid binding",-1.34265688405929,0.06559219,0.00631821137679833
"calmodulin binding",-2.06931164213312,0.185719528,0.00976678794459701
"growth factor binding",-2.08501790225172,0.14166584,0.00858594066778367
"magnesium ion binding",-2.70633946451374,0.202660975,0.00981731055855326
"tau protein binding",-1.29307033122694,0.053574677,0.00541399553522922
"gtpase activity",-2.73230532604011,0.265387209,0.0117107003727043
"histone binding",-1.32475998351032,0.218147483,0.0108045858707721
"atp hydrolysis activity",-3.43836091374705,0.332973872,0.0132731476261068
"signaling receptor complex adaptor activity",-1.20204809225345,0.051849941,0.00534832261823054
"protein n-terminus binding",1.14177000262916,0.121660635,0.00756051129397527
"phosphatidylinositol binding",-2.57643176365675,0.222645219,0.0110545209858679
"receptor tyrosine kinase binding",-0.985010271066622,0.076122485,0.00625727993001113
"heat shock protein binding",-0.0525959533489799,0.138552699,0.00866414564208807
"cytokine binding",-1.94248501055477,0.145921912,0.0086558773471297
"nuclear receptor activity",30.7487221903933,0.064326278,0.00584784372132961
"ligand-activated transcription factor activity",31.4211212624835,0.064580037,0.00571462620636625
"gdp binding",-1.43835508470675,0.077983099,0.0067383215056218
"signaling adaptor activity",-1.52852822267754,0.0748601,0.00651810012545765
"phosphatase binding",0.730036523172375,0.192569819,0.0099381068887794
"sh3 domain binding",-1.85064234379957,0.130190008,0.00788807629356882
"transcription corepressor activity",-0.0596948281193213,0.174685298,0.00945304673416527
