gene,h_cent
KLF5,17.23410747
KLF1,17.11635196
EGR2,16.95425372
MAZ,16.92957914
ZIC4,16.87363967
RREB1,16.72419857
KLF6,16.69732761
SP1,16.6926517
EGR4,16.6665821
ZIC3,16.59324615
TFAP2B,16.57536688
NR0B1,16.5275734
CTCF,16.50675441
E2F1,16.50606677
ZBTB7A,16.5000713
ZNF148,16.45996357
MYOD1,16.36471557
KLF15,16.35274308
WT1,16.33854152
EGR1,16.31604905
DNMT1,16.30107428
ZBTB7B,16.217986
ETS2,16.1939868
TCF12,16.18280198
TFAP4,16.14939177
E2F6,16.13684964
MYOG,16.07126347
KLF4,16.07091397
NR2C2,16.06732467
SPI1,16.05884709
PURA,16.05795009
MECP2,16.02774217
ELF3,15.95011946
ZFX,15.93742239
E2F4,15.92964274
TP73,15.90532625
EHF,15.90131241
PLAG1,15.85649537
ARNT2,15.85171835
ESR2,15.79328363
NEUROD1,15.72592183
ETV4,15.68251967
HES1,15.63895787
RARG,15.61036303
EPAS1,15.60939777
ELF2,15.58605341
ESRRA,15.58443829
PLAGL1,15.56889771
RBPJ,15.54229697
TFAP2A,15.52887283
FLI1,15.46172682
FEV,15.45521533
MYF6,15.44197801
ZIC1,15.42874824
BCL11A,15.41674538
HIVEP1,15.40597672
IRF1,15.36603726
ESR1,15.34758788
NHLH1,15.32660009
THRB,15.31790173
SNAI1,15.31048803
NR2F6,15.28075856
KLF3,15.27193228
NR5A2,15.25576882
RARB,15.25252356
ETS1,15.21316946
REST,15.18170346
ELK3,15.16898994
GLI1,15.15573339
ATF5,15.14398121
MZF1,15.14327463
ZNF589,15.13949708
NR5A1,15.12141107
BHLHE41,15.07962543
SMAD1,15.07549935
NKX2-1,15.07257114
TBX2,15.0622177
HAND1,15.05468336
RFX5,15.02481468
TBX4,15.01903736
BPTF,14.99357546
IRF8,14.99253839
TCF4,14.96610985
POU4F3,14.95715872
EGR3,14.9255498
INSM1,14.89445193
SNAI2,14.89287809
ZBTB6,14.88902424
ELF1,14.88525874
KLF13,14.86281099
ESRRB,14.85237698
SPIB,14.84769991
ONECUT1,14.8335964
