gene,influence
SP1,8.29E-03
SP4,6.49E-03
CTCF,6.19E-03
EGR4,5.68E-03
PLAG1,5.59E-03
ZBTB7A,5.48E-03
KLF6,5.40E-03
EGR1,5.23E-03
MZF1,5.19E-03
PLAGL1,5.13E-03
GLI1,5.12E-03
E2F6,5.11E-03
TFAP4,5.11E-03
E2F1,5.06E-03
ZNF350,5.02E-03
TFCP2,5.02E-03
ZFX,5.01E-03
PURA,4.95E-03
WT1,4.94E-03
ETS2,4.93E-03
SP2,4.92E-03
HEY2,4.85E-03
TFAP2B,4.84E-03
NR2C2,4.84E-03
ATF5,4.77E-03
ZNF219,4.75E-03
SPI1,4.73E-03
ZIC3,4.73E-03
ZIC4,4.72E-03
ARNT2,4.67E-03
ZBTB7B,4.66E-03
RXRB,4.66E-03
RARG,4.64E-03
NEUROD1,4.61E-03
TP73,4.58E-03
FLI1,4.58E-03
RREB1,4.58E-03
DNMT1,4.53E-03
EGR3,4.53E-03
NHLH1,4.44E-03
MLXIPL,4.44E-03
TFAP2C,4.44E-03
E2F4,4.42E-03
ZNF143,4.41E-03
ELF2,4.41E-03
REST,4.36E-03
ZIC1,4.35E-03
SNAI2,4.35E-03
PPARD,4.33E-03
KLF1,4.33E-03
ESR2,4.22E-03
BCL11A,4.22E-03
NR0B1,4.22E-03
HIC2,4.21E-03
ESRRA,4.18E-03
TGIF1,4.16E-03
TFAP2A,4.16E-03
ETV6,4.16E-03
KLF4,4.14E-03
EGR2,4.13E-03
THRB,4.11E-03
SNAI1,4.09E-03
MAZ,4.08E-03
ETV4,4.04E-03
ETS1,4.03E-03
KLF15,4.03E-03
MYF6,4.02E-03
TCF4,3.97E-03
MYOD1,3.96E-03
IRF5,3.95E-03
NRF1,3.94E-03
FOXJ3,3.94E-03
TBX2,3.94E-03
SP3,3.92E-03
ELK3,3.89E-03
KLF8,3.89E-03
INSM1,3.86E-03
KLF5,3.81E-03
ESR1,3.72E-03
BHLHE41,3.67E-03
IRF8,3.67E-03
ZNF148,3.67E-03
ZNF423,3.67E-03
TP63,3.66E-03
FOXD3,3.61E-03
PITX2,3.61E-03
SREBF1,3.60E-03
RXRA,3.60E-03
GABPA,3.60E-03
NR2C1,3.57E-03
ELF1,3.56E-03
NR5A2,3.56E-03
STAT2,3.55E-03
NR2E3,3.55E-03
HNF4G,3.54E-03
TCF12,3.53E-03
NFATC4,3.52E-03
TWIST1,3.52E-03
NR4A3,3.51E-03
MYOG,3.51E-03
HIC1,3.47E-03
EPAS1,3.46E-03
HSF1,3.45E-03
RFX5,3.42E-03
ZNF274,3.39E-03
EHF,3.39E-03
RUNX3,3.38E-03
HIVEP1,3.35E-03
PPARG,3.34E-03
IRF1,3.33E-03
GLI3,3.32E-03
REL,3.32E-03
ELK1,3.32E-03
MECP2,3.32E-03
KLF3,3.30E-03
FOXO1,3.30E-03
ZBTB6,3.30E-03
NR2F6,3.30E-03
YY1,3.29E-03
NR3C2,3.28E-03
HES1,3.28E-03
MBD2,3.25E-03
TBX3,3.24E-03
IRF2,3.22E-03
SMAD4,3.21E-03
SMAD1,3.21E-03
MTF1,3.19E-03
MSC,3.17E-03
PAX5,3.17E-03
SPIB,3.16E-03
NFYA,3.15E-03
UBP1,3.15E-03
PKNOX2,3.14E-03
BCL6,3.12E-03
ZBTB7C,3.11E-03
NKX2-1,3.11E-03
PBX3,3.10E-03
HAND1,3.09E-03
E2F2,3.08E-03
ARID3A,3.08E-03
SMAD3,3.07E-03
E2F3,3.07E-03
RARB,3.07E-03
FOXA1,3.06E-03
HOXD13,3.01E-03
IRF4,3.00E-03
TCF7L1,3.00E-03
THRA,3.00E-03
MYC,2.98E-03
FOXO3,2.97E-03
STAT1,2.97E-03
FOXM1,2.97E-03
MEF2C,2.97E-03
GCM1,2.96E-03
BPTF,2.95E-03
ETV7,2.94E-03
ELF3,2.94E-03
NFE2L2,2.93E-03
NFKB1,2.93E-03
THAP1,2.92E-03
RFX1,2.91E-03
DDIT3,2.90E-03
FEV,2.90E-03
IRF3,2.89E-03
NR2E1,2.88E-03
HMGA1,2.87E-03
NR4A2,2.86E-03
MAX,2.86E-03
ZNF282,2.86E-03
HIVEP2,2.85E-03
NR1H4,2.85E-03
MGA,2.83E-03
PRDM1,2.83E-03
RBPJ,2.83E-03
ESRRB,2.82E-03
SRY,2.82E-03
NR6A1,2.81E-03
VDR,2.80E-03
HOXB1,2.79E-03
PGR,2.79E-03
AR,2.79E-03
NFKB2,2.78E-03
ELF4,2.78E-03
NR5A1,2.77E-03
KLF13,2.77E-03
MEF2D,2.77E-03
SOX4,2.76E-03
ETV5,2.75E-03
NRL,2.73E-03
RELB,2.72E-03
NR2F1,2.72E-03
ATF6,2.72E-03
SREBF2,2.71E-03
ERG,2.70E-03
RUNX2,2.70E-03
SCRT1,2.70E-03
POU4F1,2.69E-03
MAFB,2.69E-03
HSF2,2.68E-03
NR1I3,2.67E-03
JUNB,2.67E-03
ELK4,2.64E-03
RFX2,2.64E-03
ZKSCAN3,2.64E-03
FOXJ2,2.64E-03
FOXC2,2.63E-03
NKX3-2,2.62E-03
TCF3,2.61E-03
MAF,2.61E-03
NR1H2,2.61E-03
TAL1,2.60E-03
NR2F2,2.59E-03
NFIX,2.58E-03
TBR1,2.58E-03
JUND,2.58E-03
STAT4,2.57E-03
FOXO4,2.57E-03
YBX1,2.56E-03
USF2,2.56E-03
HOXD10,2.54E-03
CEBPB,2.53E-03
TBX1,2.52E-03
MEF2A,2.52E-03
NFAT5,2.51E-03
HNF4A,2.51E-03
SOX2,2.49E-03
ELF5,2.49E-03
RORC,2.49E-03
HOXC6,2.49E-03
BHLHE40,2.47E-03
NFATC3,2.45E-03
STAT5A,2.45E-03
GLI2,2.43E-03
TFE3,2.42E-03
ARNTL,2.41E-03
RARA,2.41E-03
NKX2-5,2.41E-03
MITF,2.40E-03
STAT5B,2.40E-03
HESX1,2.40E-03
STAT3,2.39E-03
GFI1,2.39E-03
NR1I2,2.38E-03
FOSL2,2.37E-03
FOXC1,2.37E-03
CEBPZ,2.36E-03
E2F8,2.36E-03
TBX5,2.35E-03
IRF9,2.34E-03
POU2F2,2.34E-03
TFDP1,2.31E-03
ZNF384,2.31E-03
ERF,2.31E-03
ONECUT2,2.31E-03
HNF1B,2.30E-03
SOX10,2.30E-03
GFI1B,2.30E-03
SOX9,2.30E-03
MXI1,2.30E-03
AIRE,2.29E-03
FOXA2,2.29E-03
FOSL1,2.28E-03
ATF1,2.28E-03
NFIB,2.28E-03
STAT6,2.27E-03
GCM2,2.27E-03
HSF4,2.26E-03
RELA,2.24E-03
FOXF1,2.24E-03
NR4A1,2.22E-03
NR3C1,2.21E-03
PRDM4,2.21E-03
TEAD4,2.19E-03
HIF1A,2.19E-03
JUN,2.18E-03
MAFK,2.17E-03
PAX8,2.17E-03
SRF,2.16E-03
MEIS2,2.15E-03
LHX3,2.13E-03
HOXC10,2.13E-03
BACH2,2.12E-03
POU3F1,2.11E-03
FOXI1,2.10E-03
RFX4,2.09E-03
PPARA,2.09E-03
HOXD12,2.08E-03
IRF7,2.08E-03
ETV2,2.08E-03
NKX2-8,2.07E-03
POU3F4,2.06E-03
ZBTB33,2.06E-03
ZSCAN16,2.05E-03
NFYB,2.05E-03
SOX18,2.05E-03
RXRG,2.04E-03
