gene,influence
AAGAB,1.70E-03
AAMDC,2.40E-03
AASS,2.21E-03
ABAT,2.30E-03
ABCA12,2.36E-03
ABCA3,2.62E-03
ABCA6,1.74E-03
ABCA8,2.08E-03
ABCB4,2.10E-03
ABCB8,2.23E-03
ABCC2,1.67E-03
ABCD2,2.54E-03
ABI3BP,2.11E-03
ABLIM3,2.25E-03
ACADL,2.04E-03
ACADSB,2.15E-03
ACAP1,1.89E-03
ACE2,2.04E-03
ACKR1,1.85E-03
ACOT11,2.16E-03
ACOX2,1.73E-03
ACSM1,1.92E-03
ACSM3,2.21E-03
ACSM5,2.18E-03
ACTA1,2.04E-03
ACTG1P4 /// AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B,1.95E-03
ACTG2,2.24E-03
ACTL8,1.57E-03
ACTR3P2 /// ACTR3P2,1.97E-03
ACVR2B-AS1,2.17E-03
ADAM12,1.90E-03
ADAM22,1.58E-03
ADAM28,2.56E-03
ADAM8,2.37E-03
ADAMDEC1,2.09E-03
ADAMTS1,2.57E-03
ADAMTS3,2.33E-03
ADAP1,1.72E-03
ADCY1,1.84E-03
ADCY2,2.10E-03
ADCY9,1.85E-03
ADD2,2.20E-03
ADH1B,1.53E-03
ADH1C,2.08E-03
ADIPOQ,2.59E-03
ADIRF,1.89E-03
ADM,1.54E-03
ADORA2B,2.17E-03
ADRA2A,1.87E-03
ADRB1,1.68E-03
AEBP1,2.38E-03
AFF3,2.78E-03
AGBL3,2.20E-03
AGR2,1.97E-03
AGTPBP1,2.06E-03
AGTR1,2.36E-03
AHNAK,1.96E-03
AIM2,2.60E-03
AK5,1.95E-03
AKAP12,1.79E-03
AKAP9,1.55E-03
AKR1B10,2.46E-03
AKR1C1,2.29E-03
AKR1C2 /// LOC101930400,2.03E-03
AKR7A3,1.84E-03
ALB,2.16E-03
ALCAM,2.47E-03
ALDH1A1,1.79E-03
ALDH1A3,1.63E-03
ALDH3B2,1.91E-03
ALDH4A1,1.96E-03
ALDH6A1,1.77E-03
ALDH8A1,2.20E-03
ALOX12,2.22E-03
ALOX15,1.80E-03
ALOX15B,2.06E-03
AMBP,2.31E-03
AMD1,2.61E-03
AMDHD2 /// CEMP1,2.25E-03
AMFR,2.17E-03
AMH /// MIR4321,2.16E-03
AMIGO2,2.43E-03
AMPH,1.86E-03
AMT,2.26E-03
ANG,2.16E-03
ANK1,1.82E-03
ANKH,2.12E-03
ANKMY1,2.17E-03
ANO1,1.99E-03
ANO3,2.20E-03
ANP32E,1.56E-03
ANPEP,1.67E-03
ANXA3,1.79E-03
ANXA8 /// ANXA8L1,2.60E-03
ANXA9,1.61E-03
AOC1,2.63E-03
AOC3,2.43E-03
APLP1,2.10E-03
APOA1,2.28E-03
APOBEC3A /// APOBEC3A_B,2.57E-03
APOBEC3B,1.73E-03
APOBR,2.41E-03
APOC2 /// APOC4 /// APOC4-APOC2,1.71E-03
APOD,2.20E-03
APOF,2.31E-03
AQP3,1.82E-03
AQP5,1.86E-03
AQP9,1.62E-03
AR,3.08E-02
ARC,2.02E-03
AREG,2.11E-03
ARHGAP11A,1.47E-03
ARHGAP22,2.43E-03
ARHGAP32,1.75E-03
ARHGAP6,1.69E-03
ARHGAP8 /// PRR5-ARHGAP8,2.16E-03
ARHGEF17,2.17E-03
ARHGEF26,1.60E-03
ARHGEF28,2.03E-03
ARL17A /// ARL17B,1.76E-03
ARMCX2,2.11E-03
ARNT2,4.86E-02
ARNTL2,2.05E-03
ARRB1,2.01E-03
ARSD,2.30E-03
ARSJ,2.44E-03
ART3,1.96E-03
ASNS,1.67E-03
ASPA,2.43E-03
ASPH,2.22E-03
