gene,influence
E2F1,1.13E-02
KLF5,1.12E-02
KLF15,1.02E-02
ZBTB7A,1.01E-03
SPIB,9.81E-03
SP4,1.58E-03
SP1,1.56E-03
EGR4,9.50E-03
ZNF350,1.44E-03
ZNF143,9.33E-03
MAZ,9.32E-03
E2F6,3.26E-03
SP3,2.24E-03
RREB1,2.23E-03
KLF4,9.18E-03
ZNF219,9.13E-03
ETS2,1.12E-03
KLF6,9.07E-03
SP2,1.18E-03
ZIC4,8.18E-03
TFCP2,1.18E-03
ZFX,1.18E-03
TFAP4,1.18E-03
EGR2,1.18E-03
DNMT1,8.61E-03
CTCF,8.59E-03
EGR1,8.55E-03
PLAG1,8.50E-03
EHF,8.42E-03
SPI1,8.42E-03
THRB,8.34E-03
ZBTB7B,8.29E-03
NR2C2,8.23E-03
PURA,8.17E-03
RARG,8.02E-03
HEY2,7.90E-03
MZF1,7.85E-03
TP73,7.83E-03
MYOD1,7.72E-03
PLAGL1,7.69E-03
WT1,7.69E-03
KLF1,7.67E-03
ZIC1,7.61E-03
ARNT2,7.59E-03
TFAP2C,7.52E-03
ELF2,7.44E-03
TCF12,7.40E-03
TFAP2A,7.34E-03
ETV6,7.32E-03
BHLHE41,7.27E-03
FLI1,7.26E-03
E2F4,7.24E-03
MECP2,7.11E-03
MBD2,7.07E-03
SNAI1,7.01E-03
NR0B1,6.99E-03
ZIC3,6.97E-03
BCL11A,6.93E-03
ESRRA,6.92E-03
PRDM1,6.90E-03
ETV4,6.89E-03
THRA,6.80E-03
NR2F6,6.77E-03
FOXJ3,6.75E-03
NHLH1,6.74E-03
RFX5,6.72E-03
KLF3,6.69E-03
SNAI2,6.68E-03
SMAD1,6.59E-03
ETS1,6.56E-03
ELF3,6.52E-03
FOXO1,6.45E-03
ESR1,6.44E-03
KLF8,6.40E-03
ELK3,6.38E-03
INSM1,6.37E-03
THAP1,6.37E-03
ESR2,6.34E-03
PPARG,6.30E-03
ELF1,6.27E-03
HIVEP1,6.27E-03
REST,6.27E-03
IRF1,6.25E-03
IRF8,6.24E-03
MYF6,6.15E-03
MYOG,6.13E-03
EGR3,6.11E-03
STAT2,6.10E-03
BPTF,6.08E-03
RBPJ,6.01E-03
MLXIPL,5.99E-03
RARB,5.99E-03
TBX2,5.88E-03
NEUROD1,5.81E-03
TWIST1,5.81E-03
ZNF148,5.79E-03
NR2E3,5.78E-03
RELB,5.78E-03
VDR,5.77E-03
KLF13,5.75E-03
NR5A2,5.75E-03
ATF5,5.71E-03
NR1I2,5.69E-03
NR4A1,5.69E-03
SMAD3,5.67E-03
ELK4,5.65E-03
PBX3,5.65E-03
HSF1,5.64E-03
HNF4A,5.63E-03
ZNF423,5.61E-03
NR2C1,5.56E-03
HAND1,5.55E-03
YBX1,5.55E-03
ZNF282,5.55E-03
NRF1,5.53E-03
E2F3,5.52E-03
RUNX3,5.50E-03
ZNF589,5.50E-03
MAF,5.49E-03
TP63,5.48E-03
ARID3A,5.47E-03
TGIF1,5.47E-03
PPARD,5.44E-03
TFAP2B,5.44E-03
GLI2,5.42E-03
NR2E1,5.42E-03
GLI1,5.41E-03
IRF5,5.39E-03
TBX5,5.39E-03
YY1,5.39E-03
ETV7,5.38E-03
NR4A2,5.38E-03
NR1I3,5.37E-03
SCRT1,5.37E-03
FEV,5.34E-03
HIC2,5.34E-03
TBX1,5.34E-03
TBX3,5.28E-03
GLI3,5.27E-03
RXRA,5.27E-03
RXRB,5.27E-03
TCF4,5.27E-03
RFX2,5.25E-03
HIVEP2,5.24E-03
MEF2A,5.21E-03
HNF4G,5.17E-03
PRDM4,5.16E-03
NFATC3,5.14E-03
RUNX2,5.13E-03
SOX4,5.11E-03
NFKB1,5.10E-03
HIC1,5.09E-03
FOXO3,5.07E-03
IRF2,5.06E-03
ZBTB7C,5.03E-03
DDIT3,5.00E-03
ZNF274,4.97E-03
NR2F1,4.96E-03
GABPA,4.95E-03
GFI1,4.95E-03
ZBTB6,4.94E-03
EPAS1,4.91E-03
JUNB,4.90E-03
ATF6,4.88E-03
NKX2-1,4.87E-03
PAX5,4.86E-03
PKNOX2,4.84E-03
TCF3,4.80E-03
MEF2C,4.79E-03
STAT1,4.79E-03
USF2,4.79E-03
NR3C2,4.77E-03
SRY,4.69E-03
TCF7L2,4.69E-03
FOXJ2,4.67E-03
NR2F2,4.67E-03
MEF2D,4.64E-03
RARA,4.64E-03
ETV5,4.61E-03
FOXD3,4.58E-03
IRF4,4.58E-03
RXRG,4.58E-03
ESRRB,4.56E-03
IRF3,4.55E-03
FOXM1,4.54E-03
HES1,4.54E-03
NFIX,4.54E-03
HESX1,4.52E-03
GCM1,4.51E-03
NFAT5,4.51E-03
TAL1,4.51E-03
NFYC,4.48E-03
SREBF2,4.48E-03
ARNTL,4.47E-03
NFATC4,4.46E-03
FOXO4,4.45E-03
NR1H4,4.44E-03
NFE2L2,4.42E-03
TP53,4.41E-03
NR4A3,4.36E-03
SMAD4,4.36E-03
HMGA1,4.35E-03
NR1D1 /// THRA,4.34E-03
NR5A1,4.32E-03
FOXA1,4.31E-03
MTF1,4.31E-03
ESRRG,4.30E-03
NFYB,4.30E-03
CPEB1,4.29E-03
FOXC2,4.29E-03
NKX3-2,4.29E-03
ONECUT2,4.27E-03
FOXF1,4.26E-03
TGIF2,4.26E-03
BACH2,4.24E-03
FOXF2,4.24E-03
STAT4,4.24E-03
MGA,4.23E-03
