"pathway","phnx_z_score","mean_path_score","sd_path_score"
"gli1 up.v1 dn",-0.29331125703426,0.002791956,0.00549571815380995
"gli1 up.v1 up",-0.300249107533387,0.003223442,0.00617301418554225
"gcnp shh up early.v1 dn",1.69626961463853,0.013200904,0.0129101504920058
"gcnp shh up late.v1 dn",0,0,0
"rapa early up.v1 dn",3.99658777899039,0.020832268,0.0146894639243556
"rapa early up.v1 up",-0.795021618161988,0.02469347,0.0165196388374486
"hinata nfkb matrix",-0.290803816072288,0.006077812,0.00862372452284672
"cyclin d1 ke .v1 up",1.55463865030346,0.021615128,0.0160390145936053
"cyclin d1 up.v1 up",-0.524273691465889,0.014696994,0.0125831108968191
"csr early up.v1 dn",-0.654757877532226,0.021793228,0.0169272159684012
"vegf a up.v1 up",-0.0539859561971005,0.03030211,0.0185624201290671
"bcat gds748 dn",-0.422321266100945,0.009238538,0.0105335401199917
"bcat gds748 up",2.64387106558408,0.008882584,0.0102264502804062
"bcat.100 up.v1 dn",-0.620575554146752,0.015038036,0.0127108390707486
"bcat.100 up.v1 up",0.995044011861446,0.02201833,0.0160713192676615
"atf2 s up.v1 up",1.82124554523811,0.074930738,0.0288479838083178
"atf2 up.v1 up",1.7126091390952,0.052025458,0.0241938111003487
"wnt up.v1 up",0.554635736225396,0.024290784,0.0170908857487462
"atm dn.v1 dn",-0.758075151557857,0.024748842,0.0161050549868448
"atm dn.v1 up",-0.634619492140649,0.022953404,0.0160259874238877
"p53 dn.v2 dn",-1.09961083029169,0.053117508,0.0245673353297492
"rela dn.v1 dn",-0.90437168026471,0.03001587,0.0173002653017844
"bcat bild et al dn",0,0,0
"bcat bild et al up",-0.388683375429445,0.006353812,0.008885926742259
"e2f3 up.v1 up",2.3077137390486,0.031435998,0.019128889884843
"camp up.v1 dn",0.917794090137341,0.015866414,0.0132530663802594
"camp up.v1 up",0.866825338122708,0.016261488,0.0146033017763586
"prc1 bmi up.v1 up",0.384717438868522,0.04827603,0.0223617884993773
"prc2 eed dn.v1 up",-0.775871725085402,0.027812854,0.0180092321297853
"prc2 ezh2 up.v1 up",-0.814606984893516,0.037471636,0.022294967188839
"prc2 suz12 up.v1 up",0.306901572626228,0.049611922,0.0245292910543941
"jnk dn.v1 dn",1.39112169575291,0.036891484,0.0208310430988685
"jnk dn.v1 up",-0.654949501250536,0.023712696,0.0160816917638524
"brca1 dn.v1 up",-0.74466290485956,0.024795958,0.0173984200306626
"ctip dn.v1 up",-0.836575185080041,0.031704706,0.0192866179726049
"pkca dn.v1 dn",-1.08085343991528,0.044363714,0.021264413056595
"mtor up.n4.v1 dn",-0.777009294417981,0.025574924,0.0186418928371377
"pten dn.v2 up",0.706667715900961,0.037243148,0.020740797506666
"dca up.v1 up",-0.688119204787076,0.022927346,0.0154149832270445
"esc j1 up early.v1 up",0.424057644912875,0.023895184,0.0171080891643648
"esc j1 up late.v1 up",-0.849058784419979,0.029819072,0.0178386612068878
"esc v6.5 up early.v1 up",2.50479795944211,0.031112396,0.0182320509436104
"esc v6.5 up late.v1 up",1.37252400751008,0.02949401,0.0199602993099549
"pten dn.v1 dn",0.218626634988997,0.06509952,0.0267601429272074
"notch dn.v1 dn",0.277969821739776,0.039319446,0.0212632938460967
"eif4e dn",-0.335597725943834,0.00317594,0.00579843023228852
"eif4e up",-0.32895331790586,0.006133472,0.00849200128998071
"crx dn.v1 dn",0.467374185850299,0.022883798,0.0155040697996979
"crx dn.v1 up",-0.615319804001838,0.016653484,0.0153635295638425
"crx nrl dn.v1 dn",-0.76959466215551,0.024200008,0.0165801669729118
"crx nrl dn.v1 up",-0.562970781670075,0.016932276,0.0136459586360952
"nrl dn.v1 dn",-0.66131616632739,0.017028062,0.0155569491929021
"nrl dn.v1 up",-0.623205345149411,0.018921488,0.0148931456898445
"rb dn.v1 dn",-0.343114442386997,0.006456604,0.00905413359574085
"rb p107 dn.v1 dn",-0.470620007342648,0.009424284,0.0105908884497787
"rb p130 dn.v1 dn",-0.174411733099478,0.003081074,0.00608373061343759
"cahoy astrocytic",0.624183212901929,0.022304814,0.0156399367977457
"cahoy neuronal",-0.665289140573755,0.024355094,0.0170378461163885
"cahoy oligodendrocutic",1.30139512531977,0.014848776,0.0123338590161508
"il15 up.v1 dn",-0.906931566539206,0.03568232,0.0193755743523791
"il2 up.v1 dn",-0.752964694774105,0.026457582,0.0171038324763204
"il21 up.v1 dn",1.68059638328176,0.030186252,0.0188467310266071
"pdgf erk dn.v1 dn",-0.608992335041247,0.015357616,0.0136908389814714
"pdgf erk dn.v1 up",-0.494175301169493,0.012587792,0.0126023943027132
"pdgf up.v1 dn",-0.830886062286229,0.026381638,0.0163531904273528
"pdgf up.v1 up",0.364656991178955,0.030826288,0.018849801776121
"tgfb up.v1 dn",-0.32519669726314,0.043572028,0.0220636558131897
"yap1 dn",-0.427369010819289,0.006013878,0.00794366908703053
"yap1 up",-0.21181581107727,0.002754452,0.00530863108981888
"sirna eif4gi dn",-0.549630117336198,0.014957468,0.0131860823695854
"sirna eif4gi up",-0.389281761589872,0.006257818,0.00862567510557463
"singh kras dependency signature",-0.445811126954341,0.009222756,0.0102347288439647
"stk33 dn",-0.950448916811844,0.04536802,0.0226082850113384
"stk33 nomo dn",-0.849111269019827,0.038287852,0.0221735980747658
"stk33 skm dn",0.324113848483159,0.047564638,0.0237736278041214
"kras.df.v1 dn",-0.778695328619534,0.027449742,0.0181839308386533
"tbk1.dn.48hrs dn",-0.485318091810572,0.00939803,0.0107311680480949
