"pathway","phnx_z_score","mean_path_score","sd_path_score"
"gli1 up.v1 dn",-0.283652348971015,0.00950709,0.00986097950588739
"gli1 up.v1 up",-0.389428691007454,0.01343081,0.0119940058548757
"gcnp shh up early.v1 dn",3.30958871338132,0.08929739,0.0303973148062911
"gcnp shh up late.v1 dn",-0.234908295379279,0.09470748,0.0325977419726126
"rapa early up.v1 dn",2.39692984187616,0.11694833,0.0345073387443241
"rapa early up.v1 up",-0.715015112903108,0.11666169,0.0329946732233573
"hinata nfkb matrix",-0.40366025881467,0.01344087,0.0123392627617742
"cyclin d1 ke .v1 up",1.44686341320617,0.09394034,0.0309702074093532
"cyclin d1 up.v1 up",2.53588644068044,0.10752932,0.032075836951979
"csr early up.v1 dn",-0.932130021278949,0.06258924,0.0251888035617443
"vegf a up.v1 up",-0.609231621888464,0.13504824,0.0373064023327421
"bcat gds748 dn",-0.0710129293448776,0.0196004,0.0131722491753183
"bcat gds748 up",1.5991889238671,0.03691825,0.0212180996838994
"bcat.100 up.v1 dn",0.708455421589407,0.03794718,0.0206615964165541
"bcat.100 up.v1 up",1.02661176992301,0.06611735,0.025426018641845
"atf2 s up.v1 up",0.404227638348542,0.24424857,0.0512370457512896
"atf2 up.v1 up",0.0513836636725763,0.18819421,0.0435116891284114
"wnt up.v1 up",2.57005059622947,0.11363079,0.0343297560481655
"atm dn.v1 dn",-0.433625377513372,0.08034116,0.0292445061050628
"atm dn.v1 up",-1.27272854140995,0.11966935,0.0354508825189196
"p53 dn.v2 dn",-0.452891983403182,0.16926053,0.0439189270928044
"rela dn.v1 dn",0.387062193598824,0.12864874,0.0373874282720542
"bcat bild et al dn",-0.414453750534247,0.01060722,0.0107785729873154
"bcat bild et al up",-0.513311639356137,0.01766711,0.0137871605811959
"e2f3 up.v1 up",1.50254089739772,0.14002178,0.0386866141884546
"camp up.v1 dn",-0.164327161157387,0.07772659,0.0280330407192269
"camp up.v1 up",-0.418579650842935,0.07636315,0.0276725110183304
"prc1 bmi up.v1 up",0.0313650920914196,0.18286272,0.0423171083359607
"prc2 eed dn.v1 up",0.511038199602874,0.10799507,0.0341753904376854
"prc2 ezh2 up.v1 up",0.641653228896101,0.18436609,0.0452018453174437
"prc2 suz12 up.v1 up",0.397637615979121,0.16683413,0.0413589392429703
"jnk dn.v1 dn",0.237213780139206,0.12825046,0.036167966274831
"jnk dn.v1 up",0.364137269081618,0.14506328,0.0399209892375553
"brca1 dn.v1 up",0.24542369429427,0.11708463,0.0337594543339633
"ctip dn.v1 up",-0.298342436096691,0.10116263,0.0326223454072948
"pkca dn.v1 dn",-1.13558596087095,0.0901973,0.0306073702895575
"mtor up.n4.v1 dn",-0.977274707705278,0.10500314,0.033197564353404
"pten dn.v2 up",1.96029701374866,0.11818643,0.0351291511016042
