"pathway","phnx_z_score","mean_path_score","sd_path_score"
"mitochondrial genome maintenance",1.18328480191634,0.029946923,0.00397374917043213
"reproduction",7.52550548607845,1.123534203,0.0235451023625966
"single strand break repair",-0.254959454396462,0.0112374023333333,0.00243333723317673
"regulation of dna recombination",-0.608054220952338,0.102705458666667,0.00747212750131186
"regulation of mitotic recombination",-0.315646713881465,0.005071728,0.0016528858912687
"mitotic spindle elongation",-0.933561531695081,0.012553083,0.00242949492132758
"ribosomal large subunit assembly",-0.987675039782216,0.026327037,0.00373608408775184
"ribosomal small subunit assembly",-0.439831624432303,0.0210754453333333,0.0030590008962405
"very long chain fatty acid metabolic process",-0.784601974905243,0.031235383,0.00396937950656589
"transition metal ion transport",-1.73908931422415,0.0877052583333333,0.00652827789836564
"urea cycle",0.349060621959609,0.00761126,0.00206766376553215
"citrulline metabolic process",-0.331820416661062,0.008757923,0.00206413760458753
"ribosomal subunit export from nucleus",-0.515968711724716,0.016237723,0.00269923925298606
"ribosomal large subunit export from nucleus",-0.0830992138512993,0.008737436,0.0020750617485812
"ribosomal small subunit export from nucleus",-0.236054018098092,0.00748280133333333,0.00185466588055029
"cell cycle checkpoint signaling",-0.102781976251901,0.186759096333333,0.00951622423503628
"dna replication checkpoint signaling",-0.604168050436575,0.016279563,0.00270051188377311
"regulation of transcription involved in g1 s transition of mitotic cell cycle",8.9850428693182,0.0238000823333333,0.00336803264122467
"sulfur amino acid metabolic process",-1.10189074529105,0.035024475,0.00401807077418601
"sulfur amino acid biosynthetic process",-0.899919021278505,0.01742056,0.00289199354437755
"sulfur amino acid catabolic process",-0.437673339368204,0.00990253133333333,0.00207125098056451
"sulfur amino acid transport",-0.634519886948082,0.00988645933333333,0.00207158098646148
"negative regulation of transcription by rna polymerase ii",36.2819575513471,0.855967739,0.0191030007137601
"rrna modification",-0.716906615777242,0.028825197,0.00370508088716723
"mapk cascade",-0.543999104927602,0.742876529333333,0.018616812493986
"nuclear transcribed mrna catabolic process nonsense mediated decay",-0.954066974626956,0.0413011893333333,0.00463404504181904
"protein polyubiquitination",-2.03503265614499,0.219111334666667,0.0102874686572966
"meiotic spindle organization",-0.811761803190615,0.015265643,0.00280703402284246
"microtubule cytoskeleton organization",-2.87445919686961,0.560370040333333,0.0155204987365685
"spliceosomal tri snrnp complex assembly",-0.494627226442817,0.014022678,0.00273069885318201
"spliceosomal complex assembly",-1.13881277102306,0.075228807,0.00602101344002327
"allantoin metabolic process",-0.339304129786219,0.006236764,0.00171457977940482
"mitochondrial fission",1.76240825364716,0.0323383543333333,0.00356991386850727
"peptidoglycan metabolic process",0,0,0
"polysaccharide biosynthetic process",-0.24797446734733,0.062857144,0.00527934998310261
"polysaccharide catabolic process",-0.470535191750414,0.0191893233333333,0.00337769280852507
"mitotic cell cycle",0.31029747726858,0.914705845,0.0207708907488857
"mitotic cytokinesis",-1.67829181651144,0.0842100396666667,0.00647625136447333
"nuclear transcribed mrna catabolic process deadenylation dependent decay",-0.3602068594011,0.055155426,0.00493723524020866
"nuclear transcribed mrna poly a tail shortening",-0.680109112998101,0.026327019,0.00339654175462644
"deadenylation dependent decapping of nuclear transcribed mrna",-0.58168145713164,0.00740803866666667,0.00195130625663007
"nuclear transcribed mrna catabolic process exonucleolytic",-0.89093158713512,0.0187031446666667,0.0029577407566615
"retrograde transport vesicle recycling within golgi",-0.749657120398858,0.007444911,0.00177936147567075
"response to reactive oxygen species",1.02026718112328,0.207333639333333,0.00962724357736615
"response to oxygen radical",0.0770841133757123,0.0249194906666667,0.00339251918302191
"protein deneddylation",-0.320028817334469,0.012662921,0.00267138755541037
"formation of quadruple sl u4 u5 u6 snrnp",0,0,0
"rna splicing via transesterification reactions",-1.70454993368488,0.296991127666667,0.0117615373245927
"alternative mrna splicing via spliceosome",0.310851577211756,0.0740881943333333,0.00618882388798737
"regulation of alternative mrna splicing via spliceosome",0.767871012463647,0.0552163033333333,0.0052231385240064
"spliceosomal snrnp assembly",-1.15095022244147,0.043868797,0.00449958382128323
"mrna 3 splice site recognition",-0.386901826099333,0.004963987,0.00145770053784963
"spliceosomal conformational changes to generate catalytic conformation",-0.14722940866698,0.002496264,0.00106136404007066
"rna splicing via endonucleolytic cleavage and ligation",0.113827553124307,0.009949351,0.0020350872318851
"mrna 5 splice site recognition",-0.111757952006968,0.006162326,0.00158669693579338
"protein peptidyl prolyl isomerization",-0.848239339661167,0.025043155,0.00356049862201205
"regulation of histone h3 k36 methylation",-0.502817915222454,0.004961521,0.00155428232833399
"autophagy of mitochondrion",0.0605515494515234,0.0951324783333333,0.00659804200364141
"mitophagy",-0.285749369623354,0.035358953,0.00418532156895526
"endonucleolytic cleavage in its1 to separate ssu rrna from 5 8s rrna and lsu rrna from tricistronic rrna transcript ssu rrna 5 8s rrna lsu rrna",-0.355964981266107,0.011179032,0.00225873903983531
"enzyme directed rrna pseudouridine synthesis",-0.248173965438061,0.003882168,0.00158021410226399
"maturation of 5 8s rrna",-0.726336168265724,0.0399712773333333,0.00442808368060873
"maturation of ssu rrna from tricistronic rrna transcript ssu rrna 5 8s rrna lsu rrna",-1.05598320241572,0.03779734,0.00454868977935599
"maturation of lsu rrna from tricistronic rrna transcript ssu rrna 5 8s rrna lsu rrna",-0.538292454566728,0.0148829133333333,0.00247804575749998
"maturation of 5 8s rrna from tricistronic rrna transcript ssu rrna 5 8s rrna lsu rrna",-0.719012668048433,0.0276740213333333,0.00360219151682438
"cleavage involved in rrna processing",-0.733862644883076,0.0274598523333333,0.00360537813415328
"maturation of lsu rrna",-0.759856417089665,0.029095067,0.00401005628362079
"endonucleolytic cleavage involved in rrna processing",-0.608849975056958,0.0174732,0.00276784112513489
"endonucleolytic cleavage in 5 ets of tricistronic rrna transcript ssu rrna 5 8s rrna lsu rrna",-0.328017139460338,0.007439394,0.0017572069586007
"small nucleolar ribonucleoprotein complex assembly",-0.490180889150196,0.00882658066666667,0.00211877021249688
"box c d snornp assembly",-0.386856812152967,0.00753274433333333,0.00181654894332185
"embryonic axis specification",2.52359808162079,0.030226306,0.00382735034962329
"resolution of meiotic recombination intermediates",-0.560694926995674,0.008749916,0.00193316534145914
"telomere maintenance via recombination",-0.791635694291603,0.0173500133333333,0.00282454839954411
"telomere maintenance",-1.24311236898316,0.147928107,0.00858418536107791
"recombinational repair",-1.5093500005255,0.146964142666667,0.00921399454190529
"double strand break repair via break induced replication",-0.480635068710093,0.013982287,0.00270535190761184
"dna double strand break processing",-0.373041880450315,0.016148799,0.00268012534891015
"dna synthesis involved in dna repair",-0.869360904852542,0.0328443883333333,0.00412186505435408
"dna catabolic process endonucleolytic",0.26358139067566,0.02755327,0.00359179378169745
"dna catabolic process exonucleolytic",-0.466970915229391,0.003773416,0.00139284049346092
"sister chromatid segregation",-1.94474520538377,0.230273752333333,0.0105153889963173
"regulation of glutamine family amino acid metabolic process",1.29579327720085,0.00753054466666667,0.00202150711801179
"cell morphogenesis",0.354842391792107,0.950827244,0.0201321943635871
"cell morphogenesis involved in differentiation",0.972860744781988,0.681664192333334,0.0178882823261269
"cytokinesis",-2.02369431632284,0.157640217333333,0.00856019468632523
"nuclear transcribed mrna catabolic process",-1.05480330306448,0.111193481,0.00727574608242464
"mitochondrial rna catabolic process",-0.219482019511028,0.006263865,0.00179452057566023
"mitochondrial rna metabolic process",-0.184418633292054,0.0434986843333333,0.0045422976972546
"regulation of mitochondrial rna catabolic process",-0.110194718807319,0.00500942533333333,0.00153750864984357
"mitochondrial rna processing",-0.830153663561254,0.0188324093333333,0.00289152411017002
"mitochondrial rna 3 end processing",-0.136832746995133,0.002486586,0.00107127864651591
"rna 5 end processing",-0.718315818238914,0.0227671206666667,0.003394218259935
"rrna 5 end processing",-0.393832087406902,0.005191093,0.00192491425721934
"transcription dependent tethering of rna polymerase ii gene dna at nuclear periphery",-0.344206825031462,0.007345264,0.001557970269622
"response to acid chemical",1.57454285972028,0.120639233,0.00742613446678566
"rna polymerase i preinitiation complex assembly",-0.506293319456765,0.0113155633333333,0.00246213664180055
"formation of extrachromosomal circular dna",-0.96564262117111,0.014972251,0.00259024502974666
"guanine nucleotide transport",-0.523712356324087,0.00764346833333333,0.0020840988763265
"skeletal system development",10.2212919592999,0.510078620666667,0.0159086913846917
"ossification",7.94447754666676,0.407875097333333,0.0135029524643411
"neurotransmitter uptake",-0.849710685082062,0.038536984,0.00427202348249796
"regulation of neurotransmitter levels",-0.581923907585677,0.186170910666667,0.00939454556756061
"action potential",-2.32215681184325,0.132205350333333,0.00744710703649958
"rna methylation",-1.47998570988064,0.0777974666666667,0.00622740247094004
"pseudouridine synthesis",-0.378782810226781,0.0126436603333333,0.00247281636875904
"cilium or flagellum dependent cell motility",-0.877174135065081,0.0645056256666667,0.0057578369730338
"ovarian follicle development",2.05119621331015,0.054552009,0.00493565214985562
"ovulation from ovarian follicle",2.45046889887869,0.012415433,0.00244058065896557
"antral ovarian follicle growth",3.07094054705185,0.010164108,0.00249496591764224
"luteinization",1.20372138558225,0.0151528793333333,0.00299913311328304
"luteolysis",-0.348324065568416,0.007511016,0.00188047874019587
"oocyte maturation",0.111922335031976,0.028781003,0.00360068434852503
"fatty acid alpha oxidation",-0.47878450801479,0.006323018,0.00188815215377034
"response to protozoan",1.95326946026748,0.0226090306666667,0.00344190572273254
"branching involved in blood vessel morphogenesis",1.5764601208923,0.032400095,0.00392265235133243
"vasculogenesis",3.98180660744268,0.0850168213333333,0.00614449195521832
"ganglioside metabolic process",-1.07339491936751,0.0237540353333333,0.00316755303382352
"ganglioside biosynthetic process",-0.590990227648462,0.013920874,0.00265126888177925
"microtubule bundle formation",-0.959607806340013,0.0665412726666667,0.00575471836533808
"osteoblast differentiation",7.00765527633334,0.225528677333333,0.0112494578511736
"urogenital system development",9.43420587985898,0.366972580333333,0.0137111084190798
