"pathway","phnx_z_score","mean_path_score","sd_path_score","phnx_p_val"
"nuclear receptor transcription pathway",24.5877104934848,0.00477211944847719,0.000496871678508934,0
"sumoylation of intracellular receptors",13.8340263434024,0.00275375465852873,0.000423434831031388,0
"rna polymerase ii transcription",13.1849332022287,0.0899780611638459,0.00229923549956287,0
"transcriptional regulation of granulopoiesis",13.0920990667894,0.00272301739979108,0.00039856260492996,0
"transcriptional regulation of pluripotent stem cells",10.1335796625735,0.00209405391114039,0.000367926989779786,0
"mecp2 regulates transcription factors",9.11441928909065,0.000365237984564374,0.00013683434313147,0
"ngf stimulated transcription",9.10745464700791,0.00346469499401125,0.000460563632559163,0
"sumoylation",8.74392877248345,0.0147214410624074,0.000938567274757891,0
"developmental biology",8.51426472592993,0.0756057597289637,0.00197734448625704,0
"regulation of beta cell development",8.45660749213642,0.00273203995906867,0.000387262895993452,0
"pou5f1 oct4 sox2 nanog activate genes related to proliferation",8.38052715285523,0.000919749951862589,0.000238367573692928,0
"myogenesis",7.77167460603602,0.0022560322003513,0.000375596215045,0
"tfap2 ap 2 family regulates transcription of growth factors and their receptors",7.7605233181246,0.0010948339983964,0.000256718566282555,0
"runx2 regulates bone development",7.67405476358788,0.00252794771348272,0.000375842517907495,0
"dex h box helicases activate type i ifn and inflammatory cytokines production",7.65604479533102,0.000561481777203881,0.000178093545804299,0
"activation of anterior hox genes in hindbrain development during early embryogenesis",7.34776184651753,0.00538675661410101,0.000562078175277996,0
"interleukin 4 and interleukin 13 signaling",7.23214227514226,0.00956740558840465,0.000769163004936269,0
"nuclear events kinase and transcription factor activation",7.16461812785619,0.00555892783167292,0.000615290128267995,0
"regulation of lipid metabolism by pparalpha",6.85218880955216,0.00901836490708532,0.000726790892398795,0
"circadian clock",6.70701258843655,0.00592806392134298,0.000567957032337726,0
"transcriptional regulation by the ap 2 tfap2 family of transcription factors",6.70113548314806,0.00296377064135352,0.000428821511025809,0
"regulation of gene expression in beta cells",6.66479261092124,0.00122073269180995,0.000262667326534876,0
"germ layer formation at gastrulation",6.60091886013179,0.0012305543142514,0.000270504760177654,0
"interleukin 1 processing",6.37675717256879,0.000831934907964751,0.000210340237966636,0
"transcriptional regulation of white adipocyte differentiation",6.35943207457004,0.00672787163224893,0.000608626102988348,0
"smad2 smad3 smad4 heterotrimer regulates transcription",6.33709344151459,0.00337288572961309,0.000465156556489149,0
"runx3 regulates wnt signaling",6.26137154550431,0.000749129222970926,0.000213153343234093,0
"runx3 regulates yap1 mediated transcription",6.22567489452934,0.000548735021931861,0.000172139759442191,0
"gli proteins bind promoters of hh responsive genes to promote transcription",6.21979141158359,0.000468571734475821,0.000165615359001744,0
"runx1 regulates transcription of genes involved in bcr signaling",6.03435039967002,0.000472205130825387,0.000171058147360859,0
"transcriptional regulation by runx2",6.00010316620006,0.0101494248327472,0.000751801081685623,0
"nr1h2 nr1h3 regulate gene expression to limit cholesterol uptake",5.95550472911988,0.000467086074691906,0.000183273057993318,0.002
"foxo mediated transcription of cell cycle genes",5.94434321360555,0.0015684071413325,0.00029961214649335,0
"sumoylation of transcription factors",5.94405681126974,0.00168889142875802,0.000328500720053008,0
"binding of tcf lef ctnnb1 to target gene promoters",5.82743140538341,0.000670809730429028,0.000211963046101146,0
