pathway,phnx_z_score,mean_path_score,sd_path_score
interleukin 6 signaling,-0.409337797,0.00687538,0.008978843
regulation of apoptosis,-0.663312069,0.03812662,0.019080943
hemostasis,-1.501809731,0.32992668,0.058617066
intrinsic pathway for apoptosis,-0.323474601,0.01518546,0.011918896
mapk3 erk1 activation,-0.396079703,0.00986738,0.010572064
translesion synthesis by y family dna polymerases bypasses lesions on dna template,0,0,0
recognition of dna damage by pcna containing replication complex,0,0,0
translesion synthesis by polh,0,0,0
recognition and association of dna glycosylase with site containing an affected purine,0,0,0
displacement of dna glycosylase by apex1,0,0,0
polb dependent long patch base excision repair,0,0,0
resolution of ap sites via the multiple nucleotide patch replacement pathway,0,0,0
activation of bad and translocation to mitochondria,-0.202652495,0.00331633,0.006051394
activation of noxa and translocation to mitochondria,-0.218806886,0.0030591,0.005297365
bh3 only proteins associate with and inactivate anti apoptotic bcl 2 members,-0.354338687,0.01032649,0.010968291
release of apoptotic factors from the mitochondria,0,0,0
formation of apoptosome,0,0,0
activation of caspases through apoptosome mediated cleavage,0,0,0
cytochrome c mediated apoptotic response,0,0,0
apoptotic cleavage of cellular proteins,-0.550424994,0.02000038,0.014789263
smac xiap regulated apoptotic response,0,0,0
apoptotic factor mediated response,-0.133498684,0.00309849,0.005456908
opioid signalling,-0.824462758,0.04939058,0.022597237
pka mediated phosphorylation of creb,-0.426072101,0.01875919,0.014174103
camk iv mediated phosphorylation of creb,-0.315047172,0.00657166,0.008258001
ca dependent events,-0.601626112,0.02865469,0.016513063
g protein mediated events,-0.635971356,0.03792396,0.020415951
electric transmission across gap junctions,-0.252873264,0.00335484,0.006227784
presynaptic depolarization and calcium channel opening,-0.333344345,0.00887433,0.009312682
neurotransmitter release cycle,-0.738512608,0.0363271,0.019575969
neurotransmitter clearance,-0.34254657,0.01005073,0.010628423
neurotransmitter receptors and postsynaptic signal transmission,-1.161178534,0.10284197,0.034733651
transmission across chemical synapses,-1.45827123,0.14523277,0.037354347
neuronal system,-1.809025236,0.21472043,0.046168748
formation of rna pol ii elongation complex,-0.217293564,0.00319406,0.005679229
irs mediated signalling,-0.638914073,0.02858517,0.018054337
raf independent mapk1 3 activation,-0.538361144,0.01963565,0.01449891
mapk1 erk2 activation,-0.417719498,0.00687227,0.008791234
sos mediated signalling,-0.226609692,0.00283239,0.004644064
formation of the early elongation complex,-0.193499454,0.00304834,0.005624512
inhibition of replication initiation of damaged dna by rb1 e2f1,0,0,0
e2f enabled inhibition of pre replication complex formation,-0.375265995,0.01339778,0.01243859
e2f mediated regulation of dna replication,-0.406080137,0.01381422,0.012520238
activation of bh3 only proteins,-0.27317948,0.00917966,0.010028791
effects of pip2 hydrolysis,-0.440110972,0.01300527,0.011759012
disinhibition of snare formation,0,0,0
gpvi mediated activation cascade,-0.653715018,0.02339509,0.015304972
downstream signaling events of b cell receptor bcr,-0.165495344,0.00702796,0.009897318
activation of ras in b cells,0,0,0
antiviral mechanism by ifn stimulated genes,-0.433309271,0.01627299,0.012630678
prolactin receptor signaling,-0.464813023,0.01033887,0.010647012
signaling by nodal,0,0,0
fertilization,0,0,0
meiotic synapsis,-0.296576502,0.00978025,0.010183713
ros and rns production in phagocytes,-0.264335592,0.00678901,0.009151284
signaling by fgfr in disease,-0.533255857,0.02244138,0.015586102
signaling by erbb2,-0.677770278,0.03106829,0.018897686
signaling by erbb2 in cancer,-0.600813601,0.02380273,0.016282471
regulation of gene expression by hypoxia inducible factor,-0.214268387,0.00395229,0.007244606
cellular response to hypoxia,-0.25556382,0.00723607,0.01000169
constitutive signaling by ligand responsive egfr cancer variants,-0.304898327,0.00627657,0.007761833
signaling by erbb4,2.005271773,0.04015847,0.021090174
cross presentation of particulate exogenous antigens phagosomes,-0.214071854,0.00317987,0.005464847
antigen processing cross presentation,-0.598451089,0.03316663,0.020196521
endosomal vacuolar pathway,-0.310860048,0.00329046,0.005824036
cross presentation of soluble exogenous antigens endosomes,-0.321563143,0.00746002,0.010106942
erythrocytes take up carbon dioxide and release oxygen,-0.371815329,0.0130279,0.011962659
methionine salvage pathway,0,0,0
erythrocytes take up oxygen and release carbon dioxide,-0.353352,0.01316384,0.012972447
shc1 events in erbb2 signaling,-0.552420416,0.02258569,0.015505745
pi3k events in erbb4 signaling,-0.353718511,0.00965175,0.009645382
shc1 events in erbb4 signaling,-0.374478807,0.01049176,0.011353807
nuclear signaling by erbb4,3.467920544,0.02189744,0.014683889
downregulation of erbb4 signaling,-0.162278643,0.0033566,0.005709932
interleukin 7 signaling,-0.522124528,0.01675443,0.013817451
developmental biology,3.435427912,0.49516165,0.07074762
mitochondrial protein import,0,0,0
cytokine signaling in immune system,0.384267039,0.32998201,0.060785828
adaptive immune system,-1.994028699,0.27948704,0.052472685
spry regulation of fgf signaling,-0.328704595,0.00328764,0.005894776
ca2 activated k channels,-0.24256704,0.00384074,0.007588583
inwardly rectifying k channels,-0.572499425,0.01992845,0.014792067
potassium channels,-0.886995585,0.05027201,0.024500697
voltage gated potassium channels,-0.468722933,0.01362454,0.012511741
tandem pore domain potassium channels,-0.480158204,0.01262241,0.011043048
sperm motility and taxes,0,0,0
acrosome reaction and sperm oocyte membrane binding,0,0,0
grb7 events in erbb2 signaling,-0.469856739,0.01374795,0.012744204
downregulation of erbb2 erbb3 signaling,-0.375373633,0.0095568,0.010088082
transcription of e2f targets under negative control by dream complex,-0.328143437,0.00968568,0.009830091
transcription of e2f targets under negative control by p107 rbl1 and p130 rbl2 in complex with hdac1,1.599358246,0.00933636,0.010337671
mitochondrial iron sulfur cluster biogenesis,-0.229390186,0.0034513,0.006849901
rora activates gene expression,3.397815336,0.00674153,0.008478527
bmal1 clock npas2 activates circadian gene expression,2.700922133,0.02182639,0.016640098
abc transporters in lipid homeostasis,-0.328758469,0.01652902,0.015175335
elevation of cytosolic ca2 levels,-0.369519829,0.00964193,0.010315901
activation of puma and translocation to mitochondria,0,0,0
apoptosis induced dna fragmentation,0,0,0
caspase activation via death receptors in the presence of ligand,0,0,0
extrinsic pathway of fibrin clot formation,-0.165813939,0.00309828,0.005538015
intrinsic pathway of fibrin clot formation,-0.348203961,0.00889615,0.009006647
common pathway of fibrin clot formation,-0.383948329,0.01302417,0.012564633
formation of fibrin clot clotting cascade,-0.516280568,0.01943558,0.014266623
inhibition of the proteolytic activity of apc c required for the onset of anaphase by mitotic spindle checkpoint components,-0.417238382,0.01255713,0.010994027
the citric acid tca cycle and respiratory electron transport,-0.569481982,0.02685637,0.01697397
signaling by scf kit,-0.562064096,0.02552798,0.016471395
regulation of kit signaling,-0.262721011,0.0065254,0.008737025
regulation of signaling by nodal,0,0,0
collagen degradation,-1.178129913,0.09858468,0.032317896
translocation of slc2a4 glut4 to the plasma membrane,-0.270496287,0.01000739,0.010674416
beta defensins,0,0,0
defensins,-0.175056187,0.00322406,0.005964142
alpha defensins,-0.142959023,0.00285692,0.004735063
tetrahydrobiopterin bh4 synthesis recycling salvage and regulation,0,0,0
reproduction,-0.434967489,0.01952842,0.01461815
degradation of the extracellular matrix,-1.52572842,0.16524535,0.041177282
extracellular matrix organization,-2.039577339,0.30794776,0.055765358
collagen formation,-1.318863545,0.10841602,0.032456747
reversible hydration of carbon dioxide,-0.392580325,0.01013708,0.010971207
acyl chain remodelling of pc,-0.411579958,0.01313658,0.011824142
acyl chain remodeling of cl,-0.254085502,0.00368851,0.00652737
acyl chain remodelling of ps,-0.477743111,0.0165599,0.013270521
acyl chain remodelling of pe,-0.350767224,0.0126625,0.01252255
acyl chain remodeling of dag and tag,-0.32855655,0.00676228,0.008742118
acyl chain remodelling of pi,-0.306239702,0.00940972,0.010121875
acyl chain remodelling of pg,-0.439397994,0.0143335,0.013799562
hydrolysis of lpc,-0.35304627,0.00731071,0.009405878
synthesis of pg,0,0,0
synthesis of pa,-0.529783128,0.02086535,0.01579014
synthesis of pc,-0.427205709,0.01347364,0.012484946
glycerophospholipid biosynthesis,-0.750216965,0.04441207,0.02139657
synthesis of pe,-0.317130515,0.00632495,0.007867266
synthesis of pi,0,0,0
synthesis of pips at the er membrane,0,0,0
inositol phosphate metabolism,-0.687001021,0.03453256,0.021357406
pi metabolism,-0.518663013,0.02212261,0.014947297
phospholipid metabolism,-1.004800254,0.06876182,0.025907458
dag and ip3 signaling,-0.579918112,0.02936506,0.018097486
meiosis,-0.427056712,0.01909121,0.013865161
cell cell communication,-1.025192404,0.06568534,0.027297647
signaling by activin,-0.112131581,0.00299583,0.005224487
g0 and early g1,0.490932179,0.02910203,0.019265329
phase ii conjugation of compounds,-0.915861427,0.06981614,0.028231498
methylation,-0.240034314,0.00345102,0.006628302
cytosolic sulfonation of small molecules,-0.327909029,0.01021726,0.010482358
amino acid conjugation,-0.287569725,0.00662027,0.008764031
glucuronidation,-0.431992008,0.01573764,0.012587362
glutathione conjugation,-0.575613537,0.02644856,0.016779591
elastic fibre formation,-0.834971779,0.06123956,0.026239881
fibronectin matrix formation,-0.406240168,0.00722677,0.009346122
polo like kinase mediated events,2.888431732,0.02316166,0.016077354
eukaryotic translation elongation,-0.253745257,0.00672808,0.008899004
signaling by notch,0.267731032,0.04543046,0.021549762
telomere maintenance,-0.296409482,0.00961562,0.010038883
gap junction trafficking and regulation,-0.392736033,0.01881677,0.013843319
metabolism of nucleotides,-0.582183171,0.03622642,0.019918851
mitochondrial biogenesis,1.462953458,0.01245445,0.010967916
transport of the slbp dependant mature mrna,-0.322956102,0.01054406,0.01180984
transport of mature mrnas derived from intronless transcripts,-0.274444209,0.0093912,0.009696688
activation of matrix metalloproteinases,-0.69434621,0.04225168,0.023247308
recycling of bile acids and salts,-0.325528798,0.00686019,0.008878446
removal of aminoterminal propeptides from gamma carboxylated proteins,-0.197108775,0.0033739,0.006209262
gamma carboxylation transport and amino terminal cleavage of proteins,-0.194559271,0.00351161,0.006998433
zbp1 dai mediated induction of type i ifns,0.024260863,0.00298978,0.004955306
irf3 mediated activation of type 1 ifn,0,0,0
sulfide oxidation to sulfate,0,0,0
degradation of cysteine and homocysteine,-0.205832696,0.00308849,0.005822642
sulfur amino acid metabolism,-0.417429593,0.01295956,0.011449979
hiv life cycle,-0.563178312,0.0244291,0.017044513
budding and maturation of hiv virion,0,0,0
integration of provirus,-0.217818416,0.00315615,0.00576696
early phase of hiv life cycle,-0.228364278,0.00312194,0.005350837
golgi cisternae pericentriolar stack reorganization,-0.32533085,0.01371093,0.013005007
synthesis of glycosylphosphatidylinositol gpi,0,0,0
attachment of gpi anchor to upar,0,0,0
hiv infection,-0.619333918,0.03281986,0.018503524
host interactions of hiv factors,-0.378983591,0.01824926,0.013164844
glycosaminoglycan metabolism,-0.840653956,0.06870434,0.028161814
post translational modification synthesis of gpi anchored proteins,-0.883891641,0.05828711,0.025260008
respiratory electron transport atp synthesis by chemiosmotic coupling and heat production by uncoupling proteins,-0.318118577,0.0062794,0.008108297
formation of atp by chemiosmotic coupling,0,0,0
pka mediated phosphorylation of key metabolic factors,0,0,0
glucagon signaling in metabolic regulation,-0.506647159,0.01860938,0.013282182
triglyceride catabolism,-0.602758302,0.02329549,0.015736805
ampk inhibits chrebp transcriptional activation activity,-0.31171648,0.01003376,0.011368536
integration of energy metabolism,-0.910254676,0.06051598,0.023911967
chrebp activates metabolic gene expression,-0.148287417,0.00273418,0.004546441
pp2a mediated dephosphorylation of key metabolic factors,0,0,0
keratan sulfate keratin metabolism,-0.572557468,0.02596838,0.016589392
heparan sulfate heparin hs gag metabolism,-0.578794532,0.03413833,0.020332483
gamma carboxylation hypusine formation and arylsulfatase activation,-0.361786636,0.01341805,0.012460521
cell cycle,-0.992316602,0.31378778,0.057358488
signaling by egfr in cancer,-0.402154709,0.01276278,0.012017216
pka activation in glucagon signalling,-0.398444674,0.01188768,0.010033212
2 ltr circle formation,-0.260846765,0.0037358,0.007037848
nef mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,-0.142084623,0.00284978,0.004784332
nef mediated downregulation of mhc class i complex cell surface expression,0,0,0
nef and signal transduction,-0.27869958,0.00665034,0.008612643
the role of nef in hiv 1 replication and disease pathogenesis,-0.280672926,0.00650828,0.008045949
collagen biosynthesis and modifying enzymes,-1.059427779,0.07216911,0.026796645
mtor signalling,-0.443704635,0.01039565,0.010830741
regulation of cholesterol biosynthesis by srebp srebf,1.924319341,0.01607159,0.013442888
synthesis of pips at the plasma membrane,-0.451774336,0.01873513,0.013070973
synthesis of pips at the golgi membrane,-0.218018945,0.00332627,0.005991544
synthesis of pips at the early endosome membrane,-0.132368549,0.00317367,0.006298097
synthesis of pips at the late endosome membrane,-0.278758537,0.00316096,0.005814925
