"pathway","phnx_z_score","mean_path_score","sd_path_score"
"interleukin 6 signaling",1.69416874300186,0.0137035323333333,0.00274852648881716
"apoptosis",1.03106598355195,0.192810583666667,0.00948185323664175
"hemostasis",-2.056016562327,0.606092203,0.0161959799401189
"intrinsic pathway for apoptosis",4.53967270767065,0.0608156353333333,0.00509251793143671
"mapk3 erk1 activation",-0.604561748180154,0.01232373,0.0024244504459836
"translesion synthesis by y family dna polymerases bypasses lesions on dna template",-0.934811703387298,0.0383653053333333,0.00412629122994112
"recognition of dna damage by pcna containing replication complex",-0.880238687940027,0.0348778623333333,0.00423619455088913
"translesion synthesis by polh",-0.69285193582237,0.021094388,0.00317728490920227
"recognition and association of dna glycosylase with site containing an affected purine",-0.799807661805195,0.0124575136666667,0.00243372720670531
"displacement of dna glycosylase by apex1",-0.655920764462374,0.0113047913333333,0.00251522961723218
"polb dependent long patch base excision repair",-0.398266759363278,0.00864756866666667,0.00202770793113077
"resolution of ap sites via the multiple nucleotide patch replacement pathway",-0.802559769002098,0.0289235566666667,0.00414617925690961
"activation of bad and translocation to mitochondria",-1.03906385626136,0.0175269543333333,0.00309601215935681
"activation of noxa and translocation to mitochondria",10.5399441869638,0.006089796,0.00154139374097387
"bh3 only proteins associate with and inactivate anti apoptotic bcl 2 members",0.827949466418616,0.00992736466666667,0.00212650095778085
"release of apoptotic factors from the mitochondria",-0.493584565946903,0.006339719,0.00186334635126929
"formation of apoptosome",-0.517072107484789,0.012500636,0.00255019750806959
"activation of caspases through apoptosome mediated cleavage",-0.332173070538925,0.007514564,0.00195549867707859
"cytochrome c mediated apoptotic response",-0.469672594395969,0.014884632,0.0027734894808484
"apoptotic cleavage of cellular proteins",-0.783690157615834,0.0444769523333333,0.00447109396396295
"smac xiap regulated apoptotic response",-0.372497270912305,0.00877754,0.00215448558330227
"apoptotic factor mediated response",-0.64647257790222,0.0210890033333333,0.00301173383046082
"opioid signalling",-1.15473480383891,0.0908474493333333,0.0062754229882416
"pka mediated phosphorylation of creb",-0.0701122392553958,0.019780851,0.00300733512777906
"camk iv mediated phosphorylation of creb",0.271559587037712,0.0100925356666667,0.00231427783562676
"ca dependent events",-0.167905659068595,0.0359901333333333,0.00418766905912369
"g protein mediated events",-0.638683147311036,0.0563137523333333,0.00531053989386315
"electric transmission across gap junctions",-0.12662064139957,0.002547223,0.00124168538606482
"presynaptic depolarization and calcium channel opening",-0.572117366855097,0.00874771333333333,0.0021581469203085
"neurotransmitter release cycle",-1.14712479275216,0.0482385006666667,0.00476975190601501
"neurotransmitter clearance",-0.197647269410866,0.00858847733333333,0.00181372267070453
"neurotransmitter receptors and postsynaptic signal transmission",-2.29509930656699,0.180626530333333,0.00924906833991664
"transmission across chemical synapses",-2.45183240274991,0.238929769333333,0.0110332864933968
"neuronal system",-2.92925716423748,0.335717106,0.0123751872804367
"formation of rna pol ii elongation complex",-1.04555086408288,0.0610178876666667,0.00552807889622529
"irs mediated signalling",-1.10555385742432,0.0410201556666667,0.00436627816388143
"raf independent mapk1 3 activation",-0.640188806868685,0.0275619736666667,0.003809772430412
"mapk1 erk2 activation",-0.504646107063238,0.01124768,0.00259128125967319
"sos mediated signalling",-0.5742523232117,0.00867106233333333,0.00205147160179452
"formation of the early elongation complex",-0.687450271605842,0.0381651386666667,0.00390157481558826
"inhibition of replication initiation of damaged dna by rb1 e2f1",4.35344044904146,0.0148819966666667,0.00268040954503067
"e2f enabled inhibition of pre replication complex formation",-0.529777479319503,0.009910048,0.002146274699069
"e2f mediated regulation of dna replication",3.07584387592801,0.024820676,0.00341477800034017
"activation of bh3 only proteins",5.54307949895091,0.0336975253333333,0.00415680032570839
"effects of pip2 hydrolysis",-0.561571721530005,0.0273386433333333,0.00346463908124223
"disinhibition of snare formation",-0.0601175381193446,0.004885242,0.00141792233459025
"gpvi mediated activation cascade",-1.12453461352452,0.039980087,0.0043867809320148
"downstream signaling events of b cell receptor bcr",0.604147917799385,0.0926262883333333,0.00646482682733273
"activation of ras in b cells",-0.532438426098107,0.006360056,0.00180876501919219
"antiviral mechanism by ifn stimulated genes",-0.222355710842356,0.0933321933333333,0.0071155956702863
"prolactin receptor signaling",1.63409960418978,0.0137577153333333,0.00259487527920252
"signaling by nodal",4.35179919759579,0.018718776,0.00286806064188243
"fertilization",-0.539241125170534,0.011402144,0.00251676650138804
"meiotic synapsis",-1.09340659046284,0.032293054,0.00390161723663488
"ros and rns production in phagocytes",-0.876482180377098,0.035765438,0.00432688545746399
"signaling by fgfr in disease",0.856575166379398,0.062563472,0.00538017932445961
"signaling by erbb2",-0.978242312488692,0.0586580396666667,0.00534023073830908
"signaling by erbb2 in cancer",-0.655943847595765,0.028488382,0.00378139380236792
"regulation of gene expression by hypoxia inducible factor",2.65127787859717,0.013804992,0.00265080022608518
"cellular response to hypoxia",-0.101322061123787,0.0823595626666667,0.00645034910875116
"constitutive signaling by ligand responsive egfr cancer variants",-0.719679571806347,0.0237543443333333,0.00330889527315097
"signaling by erbb4",1.15034201838972,0.060463198,0.00511395907126378
"cross presentation of particulate exogenous antigens phagosomes",-0.674970475704259,0.009952506,0.00224825537504681
"antigen processing cross presentation",-1.91809956154188,0.120376338666667,0.00744817367831654
"endosomal vacuolar pathway",-0.898650963049199,0.01361793,0.00241799106588287
"cross presentation of soluble exogenous antigens endosomes",-1.32378714974475,0.0545145776666667,0.00468094713554324
"erythrocytes take up carbon dioxide and release oxygen",-0.674387595194116,0.011214295,0.0024159622917308
"methionine salvage pathway",-0.227788839532633,0.006123242,0.00159464353365725
"erythrocytes take up oxygen and release carbon dioxide",-0.392853767107135,0.007462811,0.0018857169308955
"shc1 events in erbb2 signaling",-0.403397490430245,0.024843635,0.00333575451489499
"pi3k events in erbb4 signaling",-0.456771602834314,0.00996843066666667,0.00222087069417631
"shc1 events in erbb4 signaling",-0.50082789315494,0.0148426173333333,0.00245317273683325
"nuclear signaling by erbb4",1.84749853780811,0.035045467,0.00432559638692935
"downregulation of erbb4 signaling",-0.385319150064233,0.011322038,0.00248894455372937
"interleukin 7 signaling",1.4806323849987,0.025944899,0.00338578370349802
"developmental biology",10.115589616156,0.998551390666667,0.0200913260665238
"mitochondrial protein import",-1.34237535468087,0.0596340596666667,0.00524745902262284
"cytokine signaling in immune system",3.81029304061849,0.750505489666667,0.0164195184814038
"adaptive immune system",-4.13312011032191,0.760774985333334,0.0184104219820039
"spry regulation of fgf signaling",-0.483026616549311,0.019684974,0.00307431091604949
"ca2 activated k channels",-0.200050512226179,0.010055132,0.00227508540185803
"inwardly rectifying k channels",-0.894952967370221,0.0298558476666667,0.00388159802059142
"potassium channels",-1.39224447779773,0.072987673,0.00559863811586435
"voltage gated potassium channels",-1.04488738935358,0.026112732,0.00345274719243374
"tandem pore domain potassium channels",-0.240665954775307,0.006119664,0.00161910728238983
"sperm motility and taxes",-0.499313902791213,0.003630622,0.001154828649426
"acrosome reaction and sperm oocyte membrane binding",-0.0188560665614206,0.003651221,0.00112542029541931
"grb7 events in erbb2 signaling",-0.165730277628887,0.006196168,0.00170257362768586
"downregulation of erbb2 erbb3 signaling",-0.659187467064002,0.0163284126666667,0.00303163025166047
"transcription of e2f targets under negative control by dream complex",8.17248006233277,0.019841249,0.00287841032594521
"transcription of e2f targets under negative control by p107 rbl1 and p130 rbl2 in complex with hdac1",6.50432538210618,0.016314818,0.0031237954447815
"mitochondrial iron sulfur cluster biogenesis",-0.537285373829695,0.0124238463333333,0.00243231324913671
"rora activates gene expression",2.92671377107854,0.0208652333333333,0.00306684130008345
"bmal1 clock npas2 activates circadian gene expression",6.68698002795517,0.029676982,0.00392314884900623
"abc transporters in lipid homeostasis",-0.445319292044131,0.0160910123333333,0.00264307510220486
"elevation of cytosolic ca2 levels",-0.614186969416257,0.01632893,0.00291756433989979
"activation of puma and translocation to mitochondria",11.3456021347541,0.0112359753333333,0.00234804855222822
"apoptosis induced dna fragmentation",-0.416068753792506,0.008684658,0.00198923373229981
"caspase activation via death receptors in the presence of ligand",-0.253755359709597,0.0175763416666667,0.00300423867909274
"extrinsic pathway of fibrin clot formation",-0.500197305821886,0.004971284,0.00166191219009886
"intrinsic pathway of fibrin clot formation",-0.644380445888863,0.019829584,0.00302396513182847
"common pathway of fibrin clot formation",-0.6199983301812,0.0186898793333333,0.00284981305162055
"formation of fibrin clot clotting cascade",-0.921810188118057,0.0334184906666667,0.00393301214653352
"inhibition of the proteolytic activity of apc c required for the onset of anaphase by mitotic spindle checkpoint components",-0.599205885122316,0.0199886923333333,0.00311360815982722
"the citric acid tca cycle and respiratory electron transport",-1.08570391181195,0.153026592333333,0.00846602119908857
"signaling by scf kit",1.20878730719055,0.0534475673333333,0.0051973019813289
"regulation of kit signaling",-0.536820854776008,0.020070867,0.00317958399867345
"regulation of signaling by nodal",-0.196542555987362,0.004921263,0.00148193351071881
"collagen degradation",-1.24365320453678,0.064461765,0.00567181025567921
"translocation of slc2a4 glut4 to the plasma membrane",-1.78474884810338,0.0761277116666667,0.00608584881744521
"beta defensins",-0.384461328403296,0.006228152,0.00167286525974165
"defensins",-0.418598591011644,0.0100336993333333,0.00226159225965239
"alpha defensins",-0.152077888451513,0.003693098,0.00125657978254299
"tetrahydrobiopterin bh4 synthesis recycling salvage and regulation",-0.729303841518039,0.012361412,0.00242342340652032
"reproduction",-1.29986069229404,0.0666118293333333,0.00554969419115376
"degradation of the extracellular matrix",-1.98497313730756,0.137991599333333,0.00787899797704418
"extracellular matrix organization",-2.93295433541548,0.299890549,0.0114193898607887
"collagen formation",-1.71131597889159,0.08419192,0.00628108434244974
"reversible hydration of carbon dioxide",-0.510422187237265,0.008705165,0.00220046273082151
"acyl chain remodelling of pc",-0.80596602369907,0.019693814,0.00303959959596846
"acyl chain remodeling of cl",-0.118417772303311,0.00495459,0.00158413721480516
"acyl chain remodelling of ps",-0.824224219991561,0.0163407113333333,0.00293331750595498
"acyl chain remodelling of pe",-0.987874935415801,0.019991816,0.0029627394066518
"acyl chain remodeling of dag and tag",-0.478826247730161,0.00496822333333333,0.00166495328339352
"acyl chain remodelling of pi",-0.847523514648837,0.0126414193333333,0.00267534681238056
"acyl chain remodelling of pg",-0.787781288860158,0.0149134033333333,0.00263956933572518
"hydrolysis of lpc",-0.446785619112817,0.006211477,0.00177820629405574
"synthesis of pg",-0.610608685970152,0.006215078,0.0016050836198683
"synthesis of pa",-0.949238107458519,0.0285842233333333,0.00391390032083777
"synthesis of pc",-0.622790829960198,0.024813744,0.00341967783972687
"glycerophospholipid biosynthesis",-1.74911408004584,0.0981464166666667,0.00666647007172971
"synthesis of pe",-0.635695834255945,0.0112792523333333,0.00239619681496928
"synthesis of pi",-0.439467385163427,0.005082271,0.00175273757735982
"synthesis of pips at the er membrane",-0.369326546027658,0.004867336,0.00134660236408448
"inositol phosphate metabolism",-0.83143177947173,0.049772349,0.00496294356540206
"pi metabolism",-1.40496535228323,0.0872998466666667,0.00628759040378518
"phospholipid metabolism",-2.06888302874258,0.183707747333333,0.00949195631677092
"dag and ip3 signaling",-0.156088576452561,0.0407408516666667,0.00428507762622809
"meiosis",-1.28460823239549,0.055690667,0.004933540701496
"cell cell communication",-1.41213877618735,0.112731510333333,0.00729992725018532
