"gene","h_cent"
"RTEL1",57
"PPM1D",55.8333333333333
"LINC00963",54.5
"LLGL2",54.5
"PRKCH",54.5
"S100A11",54.5
"STX16",54.5
"THSD4",54
"ZMYND8",54
"PFDN4",53.8333333333333
"BRIP1",53.5
"DCLRE1B",53.5
"GRHL2",53.5
"SMARCD2",53.5
"TRIM37",53.3333333333333
"BRWD1",53
"GREB1",53
"IGF1R",53
"KRT8",53
"TUBD1",53
"BCAS3",52.8333333333333
"USP32",52.8333333333333
"HNRNPL",52.5
"MGRN1",52.5
"RMND1",52.5
"APPBP2",52.3333333333333
"RAD51C",52.3333333333333
"TEX14",52.3333333333333
"CLTC",52
"MCF2L2",52
"PSMD6",52
"RECQL5",52
"RSBN1",52
"SRI",52
"NCOA3",51.8333333333333
"BMP7",51.8333333333333
"FAM174B",51.8333333333333
"IST1",51.8333333333333
"TBX2",51.8333333333333
"PARD6B",51.8333333333333
"FOXA1",51.5
"DNMT1",51.5
"EPS8",51.5
"ESRP2 /// MIR6773",51.5
"SMG8",51.5
"SYT12",51.5
"TRAF4",51.5
"UBC",51.5
"YWHAZ",51.5
"AKAP1",51.3333333333333
"VPS72",51.3333333333333
"AHCYL2",51
"DTWD1",51
"TFF1",51
"TRAPPC9",51
"USP3",51
"ZNF76",51
"IKBKG",51
"MAPK6",51
"OSGIN2",51
"ATAD2",50.8333333333333
"DDX5 /// MIR3064 /// MIR5047",50.8333333333333
"HIPK1",50.8333333333333
"ISG20",50.8333333333333
"PKM",50.8333333333333
"POLG",50.8333333333333
"RNFT1",50.8333333333333
"RPS6KB1",50.8333333333333
"STAT1",50.8333333333333
"WDR37",50.8333333333333
"ABHD2",50.5
"AP3S2 /// C15orf38-AP3S2",50.5
"ASCC2",50.5
"BCAR3",50.5
"CDK5RAP1",50.5
"IFRD1",50.5
"KRT7",50.5
"NINL",50.5
"NRP1",50.5
"RARA",50.5
"SCNN1A",50.5
"TIPARP",50.5
"TRIB1",50.5
"AFF1",50.3333333333333
"ATXN7",50.3333333333333
"NFE2L2",50.3333333333333
"TBC1D31",50.3333333333333
"ANKRD11",50
"BCAS1",50
"CD55",50
"ECH1",50
"EHMT1",50
"FAM53C",50
"GPRC5A",50
"IDH1",50
"NMT1",50
"PPP6R3",50
"SH3YL1",50
"WWC1",50
"PTMA",50
"S100A10",50
"AKT2",49.8333333333333
"BOLA1",49.8333333333333
"C9orf3",49.8333333333333
"CDC42SE1",49.8333333333333
"CIC",49.8333333333333
"CLASP1",49.8333333333333
"CUEDC1",49.8333333333333
"GSPT1",49.8333333333333
"HSPD1",49.8333333333333
"MLPH",49.8333333333333
"PPFIA3",49.8333333333333
"PRR11",49.8333333333333
"VPS45",49.8333333333333
"BCAS4",49.8333333333333
"RMND5B",49.8333333333333
"NR2F2",49.5
"ADARB1",49.5
"ALDH3B2",49.5
"C3orf14",49.5
"DLC1",49.5
"DNPEP",49.5
"ERBB2",49.5
"EVL",49.5
"GATAD2A",49.5
"GMFB",49.5
"KIAA0586",49.5
"KLHL12",49.5
"MRPL46",49.5
"NDRG1",49.5
"NUMA1",49.5
"PRKCE",49.5
"RGS5",49.5
"SAE1",49.5
"SETD5",49.5
"SLC1A5",49.5
"SMAD3",49.5
"RBBP8",49.5
"BFSP1",49.3333333333333
"C2CD3",49.3333333333333
"CALM1",49.3333333333333
"CCDC59",49.3333333333333
"CHD2",49.3333333333333
"EBAG9",49.3333333333333
"ERI2",49.3333333333333
"GSE1",49.3333333333333
"MDM2",49.3333333333333
"MFSD11",49.3333333333333
"MTMR4",49.3333333333333
"NFKBIA",49.3333333333333
"NME1",49.3333333333333
"NME1-NME2 /// NME2",49.3333333333333
"PDE8A",49.3333333333333
"PPP1R13L",49.3333333333333
"RRP15",49.3333333333333
"SLC39A1",49.3333333333333
"SYBU",49.3333333333333
"TRIP4",49.3333333333333
"UEVLD",49.3333333333333
"UIMC1",49.3333333333333
"NDUFS3",49.3333333333333
"CFDP1",49.1666666666667
"NBN",49.1666666666667
"TRIM33",49.1666666666667
"ABCC3",49
"ADRM1",49
"CDS1",49
"CTSB",49
"DAAM1",49
"FBXO38",49
"GCLC",49
"GPNMB",49
"INPP4B",49
"NCAM2",49
"NT5DC3",49
"OVOL2",49
"PCDH1",49
"POLR2A",49
"PROSER1",49
"PRSS22",49
"RNF19A",49
"TBC1D16",49
"TGFBI",49
"THADA",49
"ZNF335",49
"CDC25C",49
"CYB561",49
"CANX",48.8333333333333
"DPY19L4",48.8333333333333
"EED",48.8333333333333
"GABPB1",48.8333333333333
"HBP1",48.8333333333333
"HEATR6",48.8333333333333
"LSM5",48.8333333333333
"MCL1",48.8333333333333
"MCM7",48.8333333333333
"MDM4",48.8333333333333
"NCOR2",48.8333333333333
"POR",48.8333333333333
"RAD23B",48.8333333333333
"RMDN1",48.8333333333333
"SEMA3B",48.8333333333333
"SLC25A36",48.8333333333333
"STC2",48.8333333333333
"SUPT4H1",48.8333333333333
"TROVE2",48.8333333333333
"DIAPH1",48.8333333333333
"EIF2D",48.8333333333333
"MAP1LC3B",48.8333333333333
"STMN3",48.8333333333333
"ZNF821",48.8333333333333
"RAD52",48.6666666666667
"SCNM1 /// TNFAIP8L2-SCNM1",48.6666666666667
"TFAP2C",48.5
"AHCYL1",48.5
"ARFGEF2",48.5
"CCDC88C",48.5
"CRKL",48.5
"HIST1H4H",48.5
"PLD1",48.5
"PMEL",48.5
"RUVBL1",48.5
"SMARCA2",48.5
"SRSF1",48.5
"TBCD",48.5
"ZNF394",48.5
"LFNG",48.5
"MACROD1",48.5
"ALDOA",48.3333333333333
"AMOTL2",48.3333333333333
"ARAP1",48.3333333333333
"BAIAP2",48.3333333333333
"CCDC130",48.3333333333333
"CLK3",48.3333333333333
"DLG4",48.3333333333333
"FBXL18",48.3333333333333
"HIRA",48.3333333333333
"JUP",48.3333333333333
"LNPEP",48.3333333333333
"LRP3",48.3333333333333
"MAPKAP1",48.3333333333333
"MCM4",48.3333333333333
"MYL12A",48.3333333333333
"MYO9B",48.3333333333333
"PCBP2",48.3333333333333
"PCYT1A",48.3333333333333
"PFKFB3",48.3333333333333
"POLG2",48.3333333333333
"PPP2R5B",48.3333333333333
"PTP4A1",48.3333333333333
"RRM2",48.3333333333333
"SLC11A2",48.3333333333333
"UCHL5",48.3333333333333
"WDR74",48.3333333333333
"ZNF276",48.3333333333333
"CD3EAP",48.3333333333333
"CIRBP",48.3333333333333
"FBXO31",48.3333333333333
"HSPE1",48.3333333333333
"HSPE1-MOB4 /// MOB4",48.3333333333333
"KANSL3",48.3333333333333
"PPP6R1",48.3333333333333
"SHARPIN",48.3333333333333
"CDKN2C",48.1666666666667
"CFL1",48.1666666666667
"ZNF217",48
"CAPZA2",48
"FAM47E /// FAM47E-STBD1 /// STBD1",48
"FOXJ3",48
"INTS12",48
"KIAA1211L",48
"LIMA1",48
"OSBPL8",48
"PLEKHF2",48
"PTP4A2",48
"RGS3",48
"RTN4",48
"SLC3A2",48
"SPRED2",48
"TBL1X",48
"UNKL",48
"VAV3",48
"WISP2",48
"FKBP4",48
"SLC16A6",48
"XPC",48
"AP4M1",47.8333333333333
"ATR",47.8333333333333
"AZIN1",47.8333333333333
"CCNL1",47.8333333333333
"CDC25B",47.8333333333333
"CEP63",47.8333333333333
"CTNNB1",47.8333333333333
"DCAF13",47.8333333333333
"DNM1",47.8333333333333
"ESRP1",47.8333333333333
"FANCC",47.8333333333333
"FEM1B",47.8333333333333
"GNAS",47.8333333333333
"GRK6",47.8333333333333
"HNRNPD",47.8333333333333
"HSP90AA1",47.8333333333333
"KDM2A",47.8333333333333
"KIAA0895",47.8333333333333
"LRCH4",47.8333333333333
"LSR",47.8333333333333
"MATR3 /// SNHG4",47.8333333333333
"MYL12B",47.8333333333333
"NBL1",47.8333333333333
"NFAT5",47.8333333333333
"NPLOC4",47.8333333333333
"NRAS",47.8333333333333
"PARP2",47.8333333333333
"PEX3",47.8333333333333
"PLEC",47.8333333333333
"PRCP",47.8333333333333
"PRKCI",47.8333333333333
"PRRC2B",47.8333333333333
"RGL1",47.8333333333333
"SERPINI1",47.8333333333333
"SETDB1",47.8333333333333
"SLC20A1",47.8333333333333
"SLC44A1",47.8333333333333
"SMG7",47.8333333333333
"SMG7-AS1",47.8333333333333
"TBCCD1",47.8333333333333
"TOR1AIP1",47.8333333333333
"VPS51",47.8333333333333
"ZFP36L1",47.8333333333333
"ZNF839",47.8333333333333
"DSTYK",47.8333333333333
"HMGB1",47.8333333333333
"ITGB1",47.8333333333333
"KBTBD4",47.8333333333333
"NDUFS7",47.8333333333333
"SLC6A6",47.8333333333333
