"gene","h_cent"
"MYC",10216
"ESR1",9976
"CTCF",9920
"NR2F1",9835.83333333333
"MAX",9814.5
"ZNF143",9785.5
"ERG",9766
"E2F1",9476.5
"TFAP2C",9258.5
"FOXA1",9240
"MNT",9191.5
"ELF1",8985.5
"MAZ",8885
"AR",8770
"PGR",8613.5
"GABPA",8474.5
"KDM5B",8282
"ARNT",8264.5
"TFAP2A",8218.16666666667
"NCOA3",8180.5
"GATA3",8139.5
"NR2F2",7768
"KLF9",7726.16666666667
"AHR",7714
"NCOA2",7439
"SRF",7252.66666666667
"EGR1",7244.83333333333
"ELK1",7146
"CEBPB",7124.33333333333
"NRF1",7005
"RFX5",6879.5
"MBD3",6609.5
"KLF4",6575
"E2F4",6347
"CUX1",6344.5
"ESRRA",6303.33333333333
"REST",6241.33333333333
"JUND",6206
"FOSL2",6161.66666666667
"ZBTB11",6142.66666666667
"RELA",6012
"FOXM1",5982.5
"NCOA1",5968.5
"SREBF1",5902.33333333333
"HSF1",5897.16666666667
"ZKSCAN1",5795
"TCF7L2",5766
"TCF12",5712.66666666667
"TEAD4",5634.5
"NR3C1",5611.66666666667
"JUN",5594.66666666667
"MAFK",5571.66666666667
"CEBPG",5536.16666666667
"FOXK2",5529.5
"ZNF217",5526.66666666667
"NR5A2",5486.33333333333
"ZNF592",5401.66666666667
"RTEL1",5384.33333333333
"PPM1D",5383.33333333333
"PRKCH",5382.33333333333
"S100A11",5382.33333333333
"STX16",5382.33333333333
"PFDN4",5382
"LLGL2",5381.83333333333
"LINC00963",5381.5
"BRIP1",5381.33333333333
"DCLRE1B",5381.33333333333
"SMARCD2",5381.33333333333
"TRIM37",5381.33333333333
"ZMYND8",5381.33333333333
"BRWD1",5380.83333333333
"GRHL2",5380.83333333333
"KRT8",5380.83333333333
"USP32",5380.83333333333
"THSD4",5380.5
"APPBP2",5380.33333333333
"HNRNPL",5380.33333333333
"RAD51C",5380.33333333333
"TEX14",5380.33333333333
"TUBD1",5380
"BMP7",5379.83333333333
"CLTC",5379.83333333333
"FAM174B",5379.83333333333
"IST1",5379.83333333333
"RSBN1",5379.83333333333
"MGRN1",5379.66666666667
"PSMD6",5379.66666666667
"GREB1",5379.5
"IGF1R",5379.5
"RMND1",5379.5
"MCF2L2",5379.33333333333
"TBX2",5379.33333333333
"SMG8",5379.16666666667
"EPS8",5379
"RECQL5",5379
"SYT12",5379
"YWHAZ",5379
"PKM",5378.83333333333
"STAT1",5378.83333333333
"UBC",5378.83333333333
"BCAS3",5378.66666666667
"ESRP2 /// MIR6773",5378.66666666667
"SRI",5378.66666666667
"DDX5 /// MIR3064 /// MIR5047",5378.5
"TRAPPC9",5378.5
"AFF1",5378.33333333333
"ATAD2",5378.33333333333
"DNMT1",5378.33333333333
"NRP1",5378.33333333333
"USP3",5378.33333333333
"ABHD2",5378.16666666667
"AKAP1",5378.16666666667
"AP3S2 /// C15orf38-AP3S2",5378.16666666667
"ZNF76",5378.16666666667
"ATXN7",5378
"IFRD1",5378
"ISG20",5378
"NINL",5378
"TBC1D31",5378
"TRAF4",5378
"BCAS1",5377.83333333333
"CDK5RAP1",5377.83333333333
"MLPH",5377.83333333333
"TRIB1",5377.83333333333
"AHCYL2",5377.66666666667
"ANKRD11",5377.66666666667
"BOLA1",5377.66666666667
"NFE2L2",5377.66666666667
"C9orf3",5377.5
"ECH1",5377.5
"PRR11",5377.5
"RNFT1",5377.5
"SCNN1A",5377.5
"SH3YL1",5377.5
"TIPARP",5377.5
"GPRC5A",5377.33333333333
"NME1",5377.33333333333
"NME1-NME2 /// NME2",5377.33333333333
"RARA",5377.33333333333
"RRP15",5377.33333333333
"SYBU",5377.33333333333
"ASCC2",5377.16666666667
"MFSD11",5377.16666666667
"PRKCE",5377.16666666667
"RGS5",5377.16666666667
"SAE1",5377.16666666667
"VPS45",5377.16666666667
"BCAR3",5377
"CD55",5377
"CHD2",5377
"CUEDC1",5377
"EVL",5377
"FAM53C",5377
"GATAD2A",5377
"KRT7",5377
"PPP6R3",5377
"SMAD3",5377
"ALDH3B2",5376.83333333333
"C2CD3",5376.83333333333
"CALM1",5376.83333333333
"ERI2",5376.83333333333
"GMFB",5376.83333333333
"GSE1",5376.83333333333
"HSPD1",5376.83333333333
"STC2",5376.83333333333
"THADA",5376.83333333333
"TRIP4",5376.83333333333
"WWC1",5376.83333333333
"VPS72",5376.83333333333
"AKT2",5376.66666666667
"CFDP1",5376.66666666667
"CIC",5376.66666666667
"IDH1",5376.66666666667
"LSM5",5376.66666666667
"NUMA1",5376.66666666667
"PPFIA3",5376.66666666667
"UIMC1",5376.66666666667
"WDR37",5376.66666666667
"TP53",5376.5
"BFSP1",5376.5
"CANX",5376.5
"CCDC59",5376.5
"DAAM1",5376.5
"EHMT1",5376.5
"PROSER1",5376.5
"SETD5",5376.5
"SLC1A5",5376.5
"SLC39A1",5376.5
"TRIM33",5376.5
"CLASP1",5376.33333333333
"DLC1",5376.33333333333
"EBAG9",5376.33333333333
"GABPB1",5376.33333333333
"GCLC",5376.33333333333
"INPP4B",5376.33333333333
"KLHL12",5376.33333333333
"NBN",5376.33333333333
"POLG",5376.33333333333
"POR",5376.33333333333
"RMDN1",5376.33333333333
"DNPEP",5376.16666666667
"GSPT1",5376.16666666667
"HIST1H4H",5376.16666666667
"NMT1",5376.16666666667
"RPS6KB1",5376.16666666667
"TBC1D16",5376.16666666667
"OSGIN2",5376.16666666667
"ABCC3",5376
"NCOR2",5376
"NDRG1",5376
"PCDH1",5376
"SEMA3B",5376
"SMARCA2",5376
"AHCYL1",5375.83333333333
"C3orf14",5375.83333333333
"PCBP2",5375.83333333333
"POLG2",5375.83333333333
"PTP4A1",5375.83333333333
"RNF19A",5375.83333333333
"IKBKG",5375.83333333333
"ERBB2",5375.66666666667
"HBP1",5375.66666666667
"KIAA0586",5375.66666666667
"KIAA1211L",5375.66666666667
"NRAS",5375.66666666667
"NT5DC3",5375.66666666667
"RAD23B",5375.66666666667
"TFF1",5375.66666666667
"TGFBI",5375.66666666667
"ZNF394",5375.66666666667
"ADARB1",5375.5
"ALDOA",5375.5
"CCDC130",5375.5
"CRKL",5375.5
"PCYT1A",5375.5
"SLC11A2",5375.5
"TBCD",5375.5
"TOR1AIP1",5375.5
"ARAP1",5375.33333333333
"CDS1",5375.33333333333
"DST",5375.33333333333
"MDM4",5375.33333333333
"OVOL2",5375.33333333333
"PPP1R13L",5375.33333333333
"RTN4",5375.33333333333
"SERPINI1",5375.33333333333
"TBCCD1",5375.33333333333
"TROVE2",5375.33333333333
"ZFP36L1",5375.33333333333
"ZNF839",5375.33333333333
"CLK3",5375.16666666667
"DPY19L4",5375.16666666667
"KIAA0895",5375.16666666667
"PPP2R5B",5375.16666666667
"RAD52",5375.16666666667
"RGL1",5375.16666666667
"RUVBL1",5375.16666666667
