dataset,model,noise,noise_level_perc,prior_lambda,true_val_MSE_1,true_val_MSE_2,true_val_MSE_3,true_val_MSE_4,true_val_MSE_5,true_val_R^2,sparse_out_deg_cor,opt_out_deg_cor_not_used,opt_inc_deg_cor,opt_avg_degree,opt_TN,opt_TP,causal_AUC,collection
SIM350,phoenix_noprior,0,0,1,7.74E-04,7.74E-04,7.74E-04,7.74E-04,7.74E-04,0.98,0.7949,0.77,0.522,16.07,0.96,0.81,0.92,Done
SIM350,phoenix_noprior,0.025,5,1,9.39E-04,9.39E-04,9.39E-04,9.39E-04,9.39E-04,0.98,0.82,0.703,0.305,20.68,0.94,0.77,0.89,Done
SIM350,phoenix_noprior,0.05,10,1,1.59E-03,1.59E-03,1.59E-03,1.59E-03,1.59E-03,0.97,0.686,0.584,-0.079,44.5,0.88,0.73,0.85,Done
SIM350,phoenix_noprior,0.1,20,1,2.59E-03,2.59E-03,2.59E-03,2.59E-03,2.59E-03,0.95,0.4,0.296,-0.132,67.11,0.81,0.61,0.75,Done
SIM350,phoenix,0,0,0.99,1.20E-03,1.14E-03,9.49E-04,1.01E-03,1.37E-03,0.98,0.974,0.98,0.464,1.71,0.999,0.93,0.95,Done
SIM350,phoenix,0.025,5,0.99,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,0.97,0.937,0.744,-0.143,5.47,0.988,0.94,0.96,Done
SIM350,phoenix,0.05,10,0.99,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,0.96,0.975,0.827,-0.22,4.33,0.99,0.95,0.96,Done
SIM350,phoenix,0.1,20,0.99,3.08E-03,2.55E-03,2.61E-03,3.16E-03,3.29E-03,0.94,0.967,0.792,-0.43,8.4,0.98,0.94,0.97,Done
SIM350,ootb_sigmoid,0,0,1,3.49E-03,3.49E-03,3.49E-03,3.49E-03,3.49E-03,0.93,-0.185,-0.25,0.324,46.04,0.87,0.16,0.496,Done
SIM350,ootb_sigmoid,0.1,20,1,3.29E-03,3.29E-03,3.29E-03,3.29E-03,3.29E-03,0.93,-0.208,-0.143,0.293,27.51,0.92,0.11,0.497,Done
SIM350,ootb_tanh,0,0,1,2.67E-03,3.15E-03,2.52E-03,2.81E-03,2.56E-03,0.94,0.015,0.062,0.347,75.09,0.79,0.39,0.61,Done
SIM350,ootb_tanh,0.025,5,1,2.61E-03,2.61E-03,2.61E-03,2.61E-03,2.61E-03,0.943,0.101,0.101,0.4147,68.92,0.804,0.442,0.6495,Done
SIM350,ootb_tanh,0.05,10,1,2.71E-03,2.71E-03,2.71E-03,2.71E-03,2.71E-03,0.943,0.101,0.101,0.4147,68.92,0.804,0.442,0.6495,Fake data
SIM350,ootb_tanh,0.1,20,1,2.91E-03,2.91E-03,2.91E-03,2.91E-03,2.91E-03,0.94,-0.109,-0.05,0.223,84.55,0.83,0.29,0.55,Done
SIM350,ootb_relu,0,0,1,2.83E-03,2.83E-03,2.83E-03,2.83E-03,2.83E-03,0.93,0.028,0.046,0.404,53.75,0.85,0.26,0.54,Done
SIM350,ootb_relu,0.1,20,1,3.26E-03,3.26E-03,3.26E-03,3.26E-03,3.26E-03,0.94,0.005,0.01,0.228,60.63,0.76,0.36,0.58,Done
SIM690,phoenix_noprior,0,0,1,1.14E-03,1.14E-03,1.14E-03,1.14E-03,1.14E-03,0.98,0.5718,0.556,0.398,34.91,0.951,0.72,0.9,Done
SIM690,phoenix_noprior,0.025,5,1,1.80E-03,1.80E-03,1.80E-03,1.80E-03,1.80E-03,0.961,0.587,0.323,0.1062,64.61,0.9077,0.704,0.875,Done
SIM690,phoenix_noprior,0.05,10,1,2.60E-03,2.60E-03,2.60E-03,2.60E-03,2.60E-03,0.9418,0.5058,0.323,-0.0702,90.78,0.869,0.663,0.8339,Done
SIM690,phoenix_noprior,0.1,20,1,2.13E-03,2.13E-03,2.13E-03,2.13E-03,2.13E-03,0.954,0.23,0.2049,0.075,146.67,0.788,0.527,0.6888,Done
SIM690,phoenix,0,0,0.99,1.38E-03,1.18E-03,1.09E-03,1.10E-03,1.03E-03,0.98,0.74,0.9004,0.418,2.18,0.999,0.934,0.951,Done
SIM690,phoenix,0.025,5,0.99,1.38E-03,1.38E-03,1.38E-03,1.38E-03,1.38E-03,0.97,0.856,0.726,-0.14,5.62,0.994,0.95,0.97,Done
SIM690,phoenix,0.05,10,0.99,2.63E-03,2.63E-03,2.63E-03,2.63E-03,2.63E-03,0.964,0.835,0.738,-0.348,7.64,0.991,0.96,0.977,Done
SIM690,phoenix,0.1,20,0.99,2.63E-03,2.86E-03,2.90E-03,3.13E-03,3.12E-03,0.945,0.752,0.507,-0.339,9.13,0.988,0.954,0.928,Done
SIM690,ootb_sigmoid,0,0,1,3.88E-03,3.88E-03,3.88E-03,3.88E-03,3.88E-03,0.9145,-0.00008,-0.00008,0.08,343.34,0.5,0.54,0.522,Done
SIM690,ootb_sigmoid,0.1,20,1,4.04E-03,4.04E-03,4.04E-03,4.04E-03,4.04E-03,0.915,-0.05,-0.05,0.309,7.885,0.988,0.02,0.446,Done
SIM690,ootb_tanh,0,0,1,2.55E-03,3.80E-03,2.31E-03,4.11E-03,3.68E-03,0.945,-0.022,-0.022,0.3798,144,0.83556,0.519,0.7203,Done
