from,to,weight,activation,EC50,n
A1_ALPHA2,FUS1,1,FALSE,0.481303939,1.699406549
ABF1,ACS1,1,TRUE,0.479114664,1.764568327
ABF1,ADH1,1,TRUE,0.473920737,1.721363107
ABF1,CDC19,1,TRUE,0.409943135,1.659502005
ABF1,COX6,1,TRUE,0.535319225,1.540031017
ABF1,DED1,1,TRUE,0.416017274,1.77136045
ABF1,PGK1,1,TRUE,0.569381471,1.76909898
ABF1,POT1,1,TRUE,0.450518466,1.419289002
ABF1,QCR8,1,TRUE,0.49429474,1.65359925
ABF1,RPL4A,1,TRUE,0.52791952,1.741219174
ABF1,RPL4B,1,TRUE,0.559455199,1.555456717
ABF1,SPR3,1,TRUE,0.454784223,1.576139054
ABF1,TUB2,1,TRUE,0.423321725,1.760044094
ACE2,CDC6,1,FALSE,0.488239527,1.705950356
ACE2,CTS1,1,TRUE,0.447181947,1.504764228
ACE2,EGT2,1,TRUE,0.540639611,1.760546614
ACE2,HO,1,TRUE,0.57904588,1.730543106
ACE2,RME1,1,TRUE,0.438344763,1.452328933
ADR1,ACS1,1,TRUE,0.456089669,1.745352874
ADR1,ADH1,1,TRUE,0.408582757,1.687463355
ADR1,ADH2,1,TRUE,0.520614006,1.578983891
ADR1,CTA1,1,TRUE,0.484743402,1.723406174
ADR1,FOX2,1,TRUE,0.463469692,1.647315904
ADR1,GUT1,1,TRUE,0.551679315,1.692914398
ADR1,PEX1,1,TRUE,0.50832446,1.547877305
ADR1,POT1,1,TRUE,0.403326206,1.504295761
ALPHA1,MFALPHA1,1,TRUE,0.528874885,1.602212302
ALPHA1,STE3,1,TRUE,0.587692407,1.40026789
ALPHA2,STE6,1,FALSE,0.406355158,1.604286162
ARO80,ARO10,1,TRUE,0.495742105,1.500867
ARO80,ARO9,1,TRUE,0.439125429,1.580655672
ASH1,MUC1,1,TRUE,0.457999416,1.455734721
BAS1,ADE12,1,TRUE,0.523443686,1.468261252
BAS1,ADE3,1,TRUE,0.449869876,1.762892369
BAS1,ADE4,1,TRUE,0.529064961,1.685220438
BAS1,ADE6,1,TRUE,0.446795139,1.607060401
BAS1,HIS6,1,TRUE,0.556585855,1.496019996
CAF16,ADH1,1,FALSE,0.43278205,1.494101024
CAF16,FKS1,1,TRUE,0.434043733,1.438349963
CAF16,HO,1,TRUE,0.526598843,1.425815334
CAF4,ADH1,1,FALSE,0.460079839,1.578615519
CAF4,FKS1,1,TRUE,0.49690827,1.445321058
CAF4,GAL1,1,FALSE,0.498623883,1.788277141
CAF4,HO,1,TRUE,0.564648147,1.658592268
CAT8,ACS1,1,TRUE,0.524884249,1.410420861
CAT8,CAT5,1,TRUE,0.474236013,1.410061071
CAT8,IDP2,1,FALSE,0.580027901,1.758352159
CAT8,JEN1,1,FALSE,0.481703849,1.521644697
CAT8,MDH2,1,TRUE,0.563141014,1.703342777
CBF1,CYT1,1,TRUE,0.452121356,1.450397638
CBF1,GAL2,1,TRUE,0.53221222,1.484556494
CBF1,MET14,1,TRUE,0.471302818,1.517983495
CBF1,MET16,1,TRUE,0.413508573,1.483069067
CBF1,MET17,1,FALSE,0.47244028,1.71485951
CBF1,MET28,1,FALSE,0.551778991,1.726045031
CBF1,MET8,1,TRUE,0.522840769,1.698740275
CBF1,QCR8,1,FALSE,0.491757767,1.5654762
CBF1,SAM2,1,TRUE,0.553208724,1.504970915
CBF1,TRP1,1,TRUE,0.406375499,1.404304185
CCR4,ADH1,1,FALSE,0.496385148,1.544268748
CCR4,ADH2,1,TRUE,0.559193774,1.434162042
CDC36,FUS1,1,FALSE,0.566916309,1.657134045
CDC39,CYC1,1,FALSE,0.40152609,1.482879886
CDC39,FUS1,1,FALSE,0.474481904,1.419898828
CDC50,CYC1,1,FALSE,0.574547729,1.40670567
CHA4,CHA1,1,TRUE,0.513934369,1.576833357
CIN5,ENA1,1,TRUE,0.419255204,1.621742034
CRZ1,ENA1,1,TRUE,0.492723449,1.391830334
CRZ1,GSC2,1,TRUE,0.442256909,1.604332047
CRZ1,PMC1,1,TRUE,0.413326837,1.628865535
CUP2,CUP1A,1,TRUE,0.510129595,1.695765935
CUP2,CUP1B,1,TRUE,0.444875371,1.398805168
CUP2,RS5,1,TRUE,0.57503633,1.514128314
CUP2,SOD1,1,TRUE,0.584643578,1.725804365
CUP9,FET3,1,TRUE,0.557896106,1.713081984
CUP9,PTR2,1,FALSE,0.503650175,1.570318241
DAL80,CAN1,1,FALSE,0.542599301,1.740253387
DAL80,DAL1,1,FALSE,0.417016711,1.46790286
DAL80,DAL2,1,FALSE,0.486071325,1.479783261
DAL80,DAL3,1,FALSE,0.466279038,1.719845447
DAL80,DAL4,1,FALSE,0.583578976,1.799723698
DAL80,DAL5,1,FALSE,0.461631893,1.754592821
DAL80,DAL7,1,FALSE,0.578659564,1.524460314
DAL80,DCG1,1,FALSE,0.579106305,1.765551058
DAL80,DUR1,1,FALSE,0.59589412,1.637728304
DAL80,DUR3,1,FALSE,0.432549858,1.707528831
DAL80,GAT1,1,FALSE,0.481424162,1.725090763
DAL80,GDH1,1,FALSE,0.556981729,1.640924345
DAL80,PUT1,1,FALSE,0.502989233,1.499045362
DAL80,PUT2,1,FALSE,0.583086104,1.451867392
DAL80,PUT4,1,FALSE,0.527275925,1.733715381
DAL80,UGA1,1,FALSE,0.446749599,1.631738549
DAL80,UGA2,1,FALSE,0.471386363,1.482090861
DAL80_GZF3,DAL80,1,FALSE,0.481977456,1.503795332
DAL80_GZF3,GAP1,1,FALSE,0.563781732,1.581800261
DAL80_GZF3,UGA4,1,FALSE,0.482018467,1.677564305
DAL81,UGA2,1,TRUE,0.513395478,1.493192101
DAL81,UGA4,1,TRUE,0.543908408,1.644135259
FKH2,CLB2,1,FALSE,0.544834473,1.565347194
FLO8,MUC1,1,TRUE,0.530404142,1.602228154
FLO8,STA1,1,TRUE,0.423007657,1.751160434
FLO8,STA2,1,TRUE,0.589216648,1.70421701
FZF1,SSU1,1,TRUE,0.431978974,1.612303404
GAL11,A1_ALPHA2,1,TRUE,0.521514644,1.410170036
GAL11,ALPHA1,1,TRUE,0.581646568,1.471184618
GAL11,ALPHA2,1,TRUE,0.536564389,1.475462454
GAL11,GAL1,1,TRUE,0.466731325,1.795586328
GAL11,GAL10,1,TRUE,0.520608416,1.617179427
GAL11,GAL2,1,TRUE,0.471541883,1.42639577
GAL11,GAL7,1,TRUE,0.408730584,1.703670535
GAL11,MFALPHA1,1,TRUE,0.544789115,1.756114132
GAL4,FUR4,1,TRUE,0.576882152,1.755858858
GAL4,GAL1,1,TRUE,0.482203206,1.799210654
GAL4,GAL10,1,TRUE,0.403306039,1.785538533
GAL4,GAL2,1,TRUE,0.403795545,1.787003606
GAL4,GAL3,1,TRUE,0.400029473,1.693913417
GAL4,GAL7,1,TRUE,0.574224577,1.49814097
GAL4,GAL80,1,TRUE,0.445741166,1.704016312
GAL4,GCY1,1,TRUE,0.447867572,1.516964314
