"node","eqn"
"A1_ALPHA2","((1 * fAct(GAL11, 0.408142132172361, 1.6954523834167)) * 1 - 1 * A1_ALPHA2) / 1"
"ABF1","input gene"
"ACE2","input gene"
"ADR1","input gene"
"ALPHA1","((((1 - 1 * fAct(TUP1, 0.478926570154727, 1.17045779744862)) * (1 * fAct(GAL11, 0.424795030523092, 1.18752776529407) * 1 * fAct(SNF2_SWI1, 0.494347685342655, 1.18851700470084)))) * 1 - 1 * ALPHA1) / 1"
"ALPHA2","((1 * fAct(GAL11, 0.417590837320313, 1.0272608994483)) * 1 - 1 * ALPHA2) / 1"
"ASH1","((1 * fAct(SWI5, 0.48925634115003, 1.07697592355078)) * 1 - 1 * ASH1) / 1"
"CAF16","input gene"
"CAF4","input gene"
"CAT8","input gene"
"CBF1","input gene"
"CCR4","(((1 - 1 * fAct(SPT6, 0.585301975859329, 1.05746861456195))) * 1 - 1 * CCR4) / 1"
"CDC36","input gene"
"CDC39","input gene"
"CDC50","input gene"
"CHA4","input gene"
"CIN5","input gene"
"CRZ1","input gene"
"CUP2","input gene"
"DAL80","((((1 * fAct(GLN3, 0.41631777798757, 1.57728566168342) * 1 * fAct(GAT1, 0.440072636771947, 1.3129436290497)) * (1 - 1 * fAct(DAL80_GZF3, 0.561402943590656, 1.38587012192467)))) * 1 - 1 * DAL80) / 1"
"DAL80_GZF3","(((1 * fAct(GLN3, 0.51902209110558, 1.22489035486011) * 1 * fAct(GAT1, 0.555033928714693, 1.29332883748459))) * 1 - 1 * DAL80_GZF3) / 1"
"DAL81","input gene"
"FKH2","input gene"
"FLO8","input gene"
"GAL11","input gene"
"GAL4","input gene"
"GAT1","(((1 * fAct(GLN3, 0.440405684150755, 1.11394945007982) * (1 - 1 * fAct(DAL80, 0.467257095128298, 1.58955466309795)))) * 1 - 1 * GAT1) / 1"
"GIS1","input gene"
"GLN3","input gene"
"HAL9","input gene"
"HAP1","input gene"
"HAP2","input gene"
"HAP4","((1 * fAct(SNF2_SWI1, 0.489769665477797, 1.3366691912571)) * 1 - 1 * HAP4) / 1"
"HDA1","input gene"
"IME1","(((((1 - 1 * fAct(TUP1, 0.523200325248763, 1.08242642879719)) * (1 * fAct(IME4, 0.582922378415242, 1.47090987086296) * 1 * fAct(RIM101, 0.58840044378303, 1.4318305546511))) * ((1 - 1 * fAct(RME1, 0.570710456650704, 1.63409564850386)) * (1 - 1 * fAct(IME1_UME6, 0.592188944248483, 1.25270137985935))))) * 1 - 1 * IME1) / 1"
"IME4","input gene"
"INO2","(((1 * fAct(UME6, 0.41439627003856, 1.2885490981536) * 1 * fAct(INO2_INO4, 0.579065960878506, 1.13088602826232))) * 1 - 1 * INO2) / 1"
"INO2_INO4","((1 * fAct(UME6, 0.438519080216065, 1.64579587834654)) * 1 - 1 * INO2_INO4) / 1"
"INO4","input gene"
"IXR1","input gene"
"LEU3","input gene"
"MAC1","input gene"
"MCM1","((1 * fAct(SNF2_SWI1, 0.512265477608889, 1.61087170870975)) * 1 - 1 * MCM1) / 1"
"MET4","input gene"
"MOT3","input gene"
"MSN1","input gene"
"MTH1","((1 * fAct(GAL4, 0.597826851578429, 1.4693696342269)) * 1 - 1 * MTH1) / 1"
"NRG1","input gene"
"PHO2","input gene"
"PHO23","input gene"
"PHO4","input gene"
"POP2","input gene"
"RAP1","((1 * fAct(REB1, 0.515985942399129, 1.49608283275273)) * 1 - 1 * RAP1) / 1"
"REB1","input gene"
"RFX1","input gene"
"RGT1","input gene"
"RIM101","input gene"
"RME1","(((((1 - 1 * fAct(UME6, 0.450752911856398, 1.46893000272103)) * ((1 * fAct(ACE2, 0.445982483727857, 1.36505932425149) * 1 * fAct(SIN3, 0.454754902189598, 1.11109483890235)) * 1 * fAct(SWI5, 0.525321142841131, 1.01130144260591))) * (1 - 1 * fAct(TUP1, 0.501031537540257, 1.47504151581088)))) * 1 - 1 * RME1) / 1"
"ROX1","((((1 - 1 * fAct(TUP1, 0.403029022272676, 1.32034502719762)) * 1 * fAct(HAP1, 0.560770230181515, 1.58557417797856))) * 1 - 1 * ROX1) / 1"
"RPH1","input gene"
"RTG1_RTG3","input gene"
"RTG2","input gene"
"RTG3","input gene"
"SDS3","input gene"
"SIN3","((1 * fAct(REB1, 0.491750280419365, 1.22952911382774)) * 1 - 1 * SIN3) / 1"
