id,timepoint,cell_type
cell_1,0,regular
cell_2,2,regular
cell_3,3,regular
cell_4,7,regular
cell_5,9,regular
cell_6,0,regular
cell_7,2,regular
cell_8,3,regular
cell_9,7,regular
cell_10,9,regular
cell_11,0,regular
cell_12,2,regular
cell_13,3,regular
cell_14,7,regular
cell_15,9,regular
cell_16,0,regular
cell_17,2,regular
cell_18,3,regular
cell_19,7,regular
cell_20,9,regular
cell_21,0,regular
cell_22,2,regular
cell_23,3,regular
cell_24,7,regular
cell_25,9,regular
cell_26,0,regular
cell_27,2,regular
cell_28,3,regular
cell_29,7,regular
cell_30,9,regular
cell_31,0,regular
cell_32,2,regular
cell_33,3,regular
cell_34,7,regular
cell_35,9,regular
cell_36,0,regular
cell_37,2,regular
cell_38,3,regular
cell_39,7,regular
cell_40,9,regular
cell_41,0,regular
cell_42,2,regular
cell_43,3,regular
cell_44,7,regular
cell_45,9,regular
cell_46,0,regular
cell_47,2,regular
cell_48,3,regular
cell_49,7,regular
cell_50,9,regular
cell_51,0,regular
cell_52,2,regular
cell_53,3,regular
cell_54,7,regular
cell_55,9,regular
cell_56,0,regular
cell_57,2,regular
cell_58,3,regular
cell_59,7,regular
cell_60,9,regular
cell_61,0,regular
cell_62,2,regular
cell_63,3,regular
cell_64,7,regular
cell_65,9,regular
cell_66,0,regular
cell_67,2,regular
cell_68,3,regular
cell_69,7,regular
cell_70,9,regular
cell_71,0,regular
cell_72,2,regular
cell_73,3,regular
cell_74,7,regular
cell_75,9,regular
cell_76,0,regular
cell_77,2,regular
cell_78,3,regular
cell_79,7,regular
cell_80,9,regular
cell_81,0,regular
cell_82,2,regular
cell_83,3,regular
cell_84,7,regular
cell_85,9,regular
cell_86,0,regular
cell_87,2,regular
cell_88,3,regular
cell_89,7,regular
cell_90,9,regular
cell_91,0,regular
cell_92,2,regular
cell_93,3,regular
cell_94,7,regular
cell_95,9,regular
cell_96,0,regular
cell_97,2,regular
cell_98,3,regular
cell_99,7,regular
cell_100,9,regular
cell_101,0,regular
cell_102,2,regular
cell_103,3,regular
cell_104,7,regular
cell_105,9,regular
cell_106,0,regular
cell_107,2,regular
cell_108,3,regular
cell_109,7,regular
cell_110,9,regular
cell_111,0,regular
cell_112,2,regular
cell_113,3,regular
cell_114,7,regular
cell_115,9,regular
cell_116,0,regular
cell_117,2,regular
cell_118,3,regular
cell_119,7,regular
cell_120,9,regular
cell_121,0,regular
cell_122,2,regular
cell_123,3,regular
cell_124,7,regular
cell_125,9,regular
cell_126,0,regular
cell_127,2,regular
cell_128,3,regular
cell_129,7,regular
cell_130,9,regular
cell_131,0,regular
cell_132,2,regular
cell_133,3,regular
cell_134,7,regular
cell_135,9,regular
cell_136,0,regular
cell_137,2,regular
cell_138,3,regular
cell_139,7,regular
cell_140,9,regular
cell_141,0,regular
cell_142,2,regular
cell_143,3,regular
cell_144,7,regular
cell_145,9,regular
cell_146,0,regular
cell_147,2,regular
cell_148,3,regular
cell_149,7,regular
cell_150,9,regular
cell_151,0,regular
cell_152,2,regular
cell_153,3,regular
cell_154,7,regular
cell_155,9,regular
cell_156,0,regular
cell_157,2,regular
cell_158,3,regular
cell_159,7,regular
cell_160,9,regular
cell_161,0,regular
cell_162,2,regular
cell_163,3,regular
cell_164,7,regular
cell_165,9,regular
cell_166,0,regular
cell_167,2,regular
cell_168,3,regular
cell_169,7,regular
cell_170,9,regular
cell_171,0,regular
cell_172,2,regular
cell_173,3,regular
cell_174,7,regular
cell_175,9,regular
cell_176,0,regular
cell_177,2,regular
cell_178,3,regular
cell_179,7,regular
cell_180,9,regular
cell_181,0,regular
cell_182,2,regular
cell_183,3,regular
cell_184,7,regular
cell_185,9,regular
cell_186,0,regular
cell_187,2,regular
cell_188,3,regular
cell_189,7,regular
cell_190,9,regular
cell_191,0,regular
cell_192,2,regular
cell_193,3,regular
cell_194,7,regular
