"from","to","activation","EC50","n","to_withhold"
"ACE2","CDC6",FALSE,0.488239527,1.705950356,TRUE
"ADR1","FOX2",TRUE,0.463469692,1.647315904,TRUE
"ADR1","GUT1",TRUE,0.551679315,1.692914398,TRUE
"ADR1","PEX1",TRUE,0.50832446,1.547877305,TRUE
"ALPHA2","STE6",FALSE,0.406355158,1.604286162,TRUE
"CAF16","ADH1",FALSE,0.43278205,1.494101024,TRUE
"CAF16","FKS1",TRUE,0.434043733,1.438349963,TRUE
"CAT8","CAT5",TRUE,0.474236013,1.410061071,TRUE
"CCR4","ADH1",FALSE,0.496385148,1.544268748,TRUE
"CRZ1","GSC2",TRUE,0.442256909,1.604332047,TRUE
"CUP2","RS5",TRUE,0.57503633,1.514128314,TRUE
"DAL80","DAL7",FALSE,0.578659564,1.524460314,TRUE
"DAL80_GZF3","UGA4",FALSE,0.482018467,1.677564305,TRUE
"FZF1","SSU1",TRUE,0.431978974,1.612303404,TRUE
"GAL11","A1_ALPHA2",TRUE,0.521514644,1.410170036,TRUE
"GAL11","MFALPHA1",TRUE,0.544789115,1.756114132,TRUE
"GAT1","DAL80",TRUE,0.452398989,1.77983969,TRUE
"GCN4","ARG5",TRUE,0.596246607,1.409423384,TRUE
"GCN4","ARO7",TRUE,0.455934864,1.524033958,TRUE
"GCN4","GLT1",TRUE,0.492914324,1.707135548,TRUE
"GCN4","HIS5",TRUE,0.452003717,1.719079606,TRUE
"GCN4","TRP3",TRUE,0.520463363,1.448005308,TRUE
"GCR1","SUR4",TRUE,0.447626071,1.666444343,TRUE
"GLN3","GAP1",TRUE,0.442181538,1.444606008,TRUE
"GLN3","UGA1",TRUE,0.409849717,1.726357797,TRUE
"HAP1","CYT1",TRUE,0.579461056,1.608786475,TRUE
"HAP2","SDH4",TRUE,0.565801351,1.59217334,TRUE
"HDA1","ERG10",FALSE,0.569992119,1.697884048,TRUE
"IME1","RIM4",TRUE,0.504807745,1.60136923,TRUE
"IME1","SPS2",TRUE,0.406518475,1.77430529,TRUE
"MBP1_SWI6","RAD54",TRUE,0.530453527,1.639378011,TRUE
"MBP1_SWI6","RFA2",TRUE,0.558844051,1.492610163,TRUE
"MBP1_SWI6","SPC42",TRUE,0.541597649,1.709283847,TRUE
"MCM1","STE3",TRUE,0.505688552,1.458210532,TRUE
"MET4","MET6",TRUE,0.430130275,1.475511665,TRUE
"MIG1","HAP2_HAP4",FALSE,0.502406001,1.684949841,TRUE
"MIG2","DOG2",FALSE,0.508044887,1.533831092,TRUE
"MSN2","CTT1",TRUE,0.412287918,1.638424266,TRUE
"MSN2","DDR2",TRUE,0.41141026,1.622410861,TRUE
"MSN2","DOG2",TRUE,0.571050237,1.649771013,TRUE
"MSN2","GLO1",TRUE,0.450206845,1.617388755,TRUE
"MSN2","PNC1",TRUE,0.52474758,1.433780332,TRUE
"MSN2","RAS2",TRUE,0.442319674,1.607696387,TRUE
"MSN2","TPS1",TRUE,0.507963571,1.600031896,TRUE
"MSN4","GDH3",TRUE,0.452107857,1.429502312,TRUE
"MSN4","HSP12",TRUE,0.425891722,1.431672317,TRUE
"NDT80","UBC11",TRUE,0.527186083,1.390784731,TRUE
"OAF1_PIP2","FAA2",TRUE,0.446883908,1.79868422,TRUE
"OAF1_PIP2","MDH3",TRUE,0.549144043,1.582152171,TRUE
"OAF1_PIP2","POT1",TRUE,0.46380995,1.484103577,TRUE
"OAF1_PIP2","YJL218W",TRUE,0.596307956,1.705975375,TRUE
"OAF1_PIP2","YPL095C",TRUE,0.403416479,1.781959485,TRUE
"PDR1","GAS1",TRUE,0.545944109,1.391826288,TRUE
"PDR1","PDR5",TRUE,0.496639335,1.455092605,TRUE
"PDR1","SNQ2",TRUE,0.407587389,1.410758376,TRUE
"PDR3","YOR1",TRUE,0.432905334,1.565885003,TRUE
"PHO2","PHO12",TRUE,0.548680379,1.739956436,TRUE
"PHO2","PHO5",TRUE,0.580897289,1.567357173,TRUE
"PHO2","PHO81",TRUE,0.495542355,1.694213231,TRUE
"PHO4","PHO84",TRUE,0.547166958,1.784794032,TRUE
"POP2","ADH1",FALSE,0.599251655,1.456114557,TRUE
"PPR1","URA3",TRUE,0.551592078,1.425557614,TRUE
"RAP1","PMA1",TRUE,0.438093594,1.527903926,TRUE
"RIM101","DIT2",TRUE,0.414760431,1.456973138,TRUE
"RME1","IME1",FALSE,0.562046064,1.687386281,TRUE
"ROX1","HEM13",FALSE,0.533457711,1.769869051,TRUE
"ROX1","OLE1",FALSE,0.413759019,1.685151345,TRUE
"RTG1_RTG3","DLD3",TRUE,0.540427576,1.735861143,TRUE
"RTG2","IDH2",TRUE,0.570853506,1.608535504,TRUE
"SDS3","STE6",TRUE,0.57359944,1.611324996,TRUE
"SIN3","ADH2",TRUE,0.401442406,1.626603033,TRUE
"SIN3","RME1",TRUE,0.41051158,1.670201984,TRUE
"SKN7","CYS3",FALSE,0.463855492,1.752512057,TRUE
"SKN7","TRR1",TRUE,0.461440138,1.796048984,TRUE
"SNF2","INO1",TRUE,0.48995508,1.423993188,TRUE
"SNF6","ADH1",TRUE,0.482469798,1.690809276,TRUE
"STE12","BAR1",TRUE,0.56577949,1.507241139,TRUE
"STE12","HTB2",TRUE,0.445214207,1.771692538,TRUE
"STE12","KAR3",TRUE,0.508105673,1.703319889,TRUE
"STE12","RTS2",TRUE,0.451744059,1.574027814,TRUE
"STE12","TSL1",TRUE,0.414852404,1.631868462,TRUE
"TEC1","TSL1",TRUE,0.405737105,1.751039485,TRUE
"TUP1","ROX1",FALSE,0.414940988,1.542135408,TRUE
"TUP1","STE6",FALSE,0.518656457,1.512631438,TRUE
"UME6","FOX2",FALSE,0.424523398,1.48987864,TRUE
"UME6","ILV2",FALSE,0.429318853,1.476547236,TRUE
"UME6","INO2",TRUE,0.506260274,1.402848373,TRUE
"UME6","POX1",FALSE,0.565209667,1.693645087,TRUE
"UME6","ZIP1",FALSE,0.477436171,1.670212553,TRUE
"XBP1","CLN1",FALSE,0.595277988,1.538731302,TRUE
"YAP1","GSH1",TRUE,0.560267822,1.552842568,TRUE
"YAP1","HSP12",TRUE,0.437384955,1.493951533,TRUE
"YAP1","HSP82",TRUE,0.432825664,1.578417896,TRUE
"YAP1","PGM2",TRUE,0.402793591,1.523678113,TRUE
"YAP1","PST2",TRUE,0.4936433,1.500295263,TRUE
"YAP1","RPT1",TRUE,0.480166063,1.698703732,TRUE
"YAP1","SSA1",TRUE,0.509166267,1.573278744,TRUE
"ZAP1","YOL154W",TRUE,0.405627712,1.540695276,TRUE
"ZAP1","ZRT3",TRUE,0.487256134,1.441631601,TRUE
"ARG80_ARG81","CAR1",TRUE,0.418583659,1.597827388,TRUE
"BAS1_PHO2","HIS4",TRUE,0.424225264,1.685890286,TRUE
"DAL81_DAL82","CAR2",FALSE,0.540246395,1.729136797,TRUE
"DAL81_DAL82","DUR3",TRUE,0.424038745,1.392632997,TRUE
"GCR1_GCR2","CDC19",TRUE,0.460637252,1.654020144,TRUE
"GCR1_GCR2","ENO1",TRUE,0.509140337,1.566767721,TRUE
"HAP2_HAP4","ASN1",TRUE,0.46125815,1.393630313,TRUE
"SSN6_TUP1","CYC1",FALSE,0.522749837,1.748254007,TRUE
"SSN6_TUP1","HXT2",FALSE,0.420579806,1.781105305,TRUE
