"pair"
"MCM2, TFC3"
"LSM2, TFC3"
"STU1, TFC3"
"BRN1, TFC3"
"CDS1, TFC3"
"ORC2, TFC3"
"ALG14, TFC3"
"RPG1, TFC3"
"CMD1, TFC3"
"ALG1, TFC3"
"TFC1, TFC3"
"CKS1, TFC3"
"CDC28, TFC3"
"POP7, TFC3"
"MED8, TFC3"
"AME1, TFC3"
"PRP5, TFC3"
"KRR1, TFC3"
"APC11, TFC3"
"NOP1, TFC3"
"CDC7, TFC3"
"ARP2, TFC3"
"PRP11, TFC3"
"TFC3, USO1"
"LUC7, TFC3"
"CDC2, TFC3"
"KIN28, TFC3"
"CDC48, TFC3"
"RPO21, TFC3"
"CCT4, TFC3"
"COP1, TFC3"
"CDC36, TFC3"
"NHP2, TFC3"
"TFC3, TIM22"
"FAL1, TFC3"
"RPC11, TFC3"
"DBF4, TFC3"
"LCB2, TFC3"
"PDS1, TFC3"
"DOP1, TFC3"
"TAF12, TFC3"
"CDC1, TFC3"
"SPC19, TFC3"
"MSS4, TFC3"
"TCP1, TFC3"
"PCF11, TFC3"
"SEC26, TFC3"
"TFC3, TRS23"
"RRP45, TFC3"
"NSE3, TFC3"
"SRP101, TFC3"
"RSC3, TFC3"
"SPC110, TFC3"
"TFC3, TFC6"
"FRQ1, TFC3"
"RPB7, TFC3"
"SYF1, TFC3"
"GPI17, TFC3"
"TFC3, UTP6"
"PRP3, TFC3"
"SLD5, TFC3"
"TFC3, TSC11"
"GLC7, TFC3"
"SPT15, TFC3"
"COG3, TFC3"
"CDC4, TFC3"
"MOB2, TFC3"
"TFC3, YPT1"
"ACT1, TFC3"
"SAD1, TFC3"
"PRE4, TFC3"
"RET2, TFC3"
"STT3, TFC3"
"RPT6, TFC3"
"DUO1, TFC3"
"SPC105, TFC3"
"TAF6, TFC3"
"PRP43, TFC3"
"CEG1, TFC3"
"TFC3, TIP20"
"CDC43, TFC3"
"PRP18, TFC3"
"TFC3, TFC4"
"PRP38, TFC3"
"PRP31, TFC3"
"DBF2, TFC3"
"NOP7, TFC3"
"DAM1, TFC3"
"NUP57, TFC3"
"COG2, TFC3"
"CBF2, TFC3"
"TFC3, YIP1"
"TFC3, TYS1"
"TFC3, ZPR1"
"GPI1, TFC3"
"SDA1, TFC3"
"MES1, TFC3"
"TFC3, YHR020W"
"MAS2, TFC3"
"BRL1, TFC3"
"BCD1, TFC3"
"ORC6, TFC3"
"CIA2, TFC3"
"DNA2, TFC3"
"CTF8, TFC3"
"TFC3, TIM44"
"NUP159, TFC3"
"RHO3, TFC3"
"MCM10, TFC3"
"PRI1, TFC3"
"PRE3, TFC3"
"RPC17, TFC3"
"KAR2, TFC3"
"ARP4, TFC3"
"GCD14, TFC3"
"PRP21, TFC3"
"HYS2, TFC3"
"SUI2, TFC3"
"ARP3, TFC3"
"RFC2, TFC3"
"CDC11, TFC3"
"ASK1, TFC3"
"TFC3, YJU2"
"SNU114, TFC3"
"RSC4, TFC3"
"DAD2, TFC3"
"ORC3, TFC3"
"PRP19, TFC3"
"COF1, TFC3"
"SSL1, TFC3"
"STU2, TFC3"
"FRS1, TFC3"
"BOS1, TFC3"
"SMC4, TFC3"
"CDC45, TFC3"
"MSL5, TFC3"
"CLF1, TFC3"
"NMT1, TFC3"
"TFC3, UTP13"
"CDC42, TFC3"
"SEC22, TFC3"
"CDC46, TFC3"
"GCD7, TFC3"
"TFC3, YHC1"
"STT4, TFC3"
"CDC3, TFC3"
"KAP95, TFC3"
"SEC61, TFC3"
"AFG2, TFC3"
"TAF11, TFC3"
"POB3, TFC3"
"BET5, TFC3"
"TAF13, TFC3"
"SEC65, TFC3"
"TAF8, TFC3"
"ERG13, TFC3"
"CEP3, TFC3"
"TFC3, VTI1"
"CEF1, TFC3"
"RNA1, TFC3"
"CUS1, TFC3"
"GPI12, TFC3"
"LIP1, TFC3"
"GPI15, TFC3"
"NOP2, TFC3"
"GCD10, TFC3"
"DCP2, TFC3"
"KRE33, TFC3"
"SRV2, TFC3"
"RPC34, TFC3"
"TFC3, TIM23"
"SEC12, TFC3"
"ARC35, TFC3"
"MVD1, TFC3"
"SMC5, TFC3"
"RIB2, TFC3"
"HRP1, TFC3"
"RAT1, TFC3"
"CDC21, TFC3"
"OST2, TFC3"
"RPB2, TFC3"
"TFC3, TOA1"
"DED1, TFC3"
"DFR1, TFC3"
"APC5, TFC3"
"CLP1, TFC3"
"SEC63, TFC3"
"RPT4, TFC3"
"GCD1, TFC3"
"ALA1, TFC3"
"PRE10, TFC3"
"MRS6, TFC3"
"TFC3, TFC8"
"GPI2, TFC3"
"CDC60, TFC3"
"CET1, TFC3"
"NSL1, TFC3"
"RDS3, TFC3"
"PRE2, TFC3"
"RPN7, TFC3"
"SPN1, TFC3"
"NUT2, TFC3"
"PRP4, TFC3"
"SEC23, TFC3"
"DPM1, TFC3"
"RPC82, TFC3"
"ERD2, MTW1"
"BRN1, MTW1"
"MTW1, TSC3"
"MTW1, ORC2"
"CDC28, MTW1"
"KRR1, MTW1"
"APC11, MTW1"
"MTW1, PRP9"
"MTW1, RPN6"
"CDC48, MTW1"
"MTW1, RPO21"
"MTW1, NOP14"
"FAL1, MTW1"
"MTW1, PDC2"
"MTW1, NSE3"
"MTW1, TFB1"
"GPI8, MTW1"
"FRQ1, MTW1"
"MOB2, MTW1"
"ACT1, MTW1"
"MTW1, RPN11"
"MTW1, RPN12"
"MTW1, SRM1"
"CDC20, MTW1"
"MTW1, ZPR1"
"CRM1, MTW1"
"MTW1, RPN1"
"BRL1, MTW1"
"DNA2, MTW1"
"KAR2, MTW1"
"MTW1, NUP192"
"ARP4, MTW1"
"KRE9, MTW1"
"ARP3, MTW1"
"MTW1, NNF1"
"MTW1, YJR141W"
"MTW1, PRP19"
"MTW1, SSL1"
"MTW1, SPC3"
"MTW1, NMT1"
"GSP1, MTW1"
"GAB1, MTW1"
"MTW1, TAF13"
"MTW1, SEC65"
"MTW1, SPC24"
"CEP3, MTW1"
"MTW1, ROT1"
"LIP1, MTW1"
"BRX1, MTW1"
"MTW1, SGT1"
"MTW1, RPB2"
"MED4, MTW1"
"MTW1, TOA1"
"ESA1, MTW1"
"MTW1, RPT4"
"GPN2, MTW1"
"MTW1, SEC62"
"MTW1, NAB3"
"HRR25, MTW1"
"MTW1, NIP7"
"MTW1, NSL1"
"MTW1, SUA7"
"MTW1, PRE2"
"MTW1, SGV1"
"CDC19, PRE7"
"AAR2, CDC19"
"CDC19, ILS1"
"CDC19, PKC1"
"CDC19, IPP1"
"CDC19, ORC2"
"CDC19, SEC18"
"CDC19, CMD1"
"CDC19, CDC28"
"CDC19, POP7"
"CDC10, CDC19"
"APC11, CDC19"
"CDC19, USO1"
"CDC19, SUB2"
"CDC19, QRI1"
"CDC19, NSE4"
"CDC19, CDC48"
"CDC19, NOP14"
"CDC19, CDC36"
"CDC19, RPC11"
"CDC19, CDC34"
"CDC19, LCB2"
"CDC19, STN1"
"CDC19, SSS1"
"CDC19, TAF12"
"CDC19, SUP35"
"CAB5, CDC19"
"CDC19, MSS4"
"CDC19, PCF11"
"CDC19, SNU56"
"CDC19, TRS23"
"CDC19, RRP45"
"CDC19, GPI8"
"CDC19, FRQ1"
"CDC19, GPI19"
"CDC19, GUK1"
"CDC19, RBA50"
"CDC19, PUP3"
"CDC19, RSP5"
"CDC19, GLC7"
"CDC19, SCC4"
"CDC19, SMC1"
"CDC19, MOB2"
"ACT1, CDC19"
"CDC19, SEC53"
"CDC19, ECO1"
"CDC19, RSC8"
"CDC19, RPN12"
"CDC19, ERG26"
"CDC19, RPT6"
"CDC19, SRM1"
"CDC19, CDC43"
"CDC19, SWC4"
"CDC19, TFG2"
"CDC19, PRP18"
"CDC19, TFC4"
"CDC19, TEL2"
"CDC19, NOP7"
"CDC19, MTR3"
"CDC19, ZPR1"
"CDC19, TAF1"
"CDC19, YHR020W"
"CDC19, MAS2"
"CDC19, RPN1"
"BRL1, CDC19"
"CDC19, DNA2"
"CDC19, SPC97"
"CDC19, KOG1"
"CDC19, GPI16"
"CDC19, ERG9"
"CDC19, MET30"
"CDC19, NEO1"
"CDC19, MCM10"
"CDC19, PAN1"
"CDC19, PSF2"
"ARP4, CDC19"
"CDC19, EXO70"
"CDC19, PHS1"
"CDC19, GCD14"
"CDC19, SUI2"
"CDC19, NUP85"
"CDC19, CDC8"
"CDC11, CDC19"
"CDC19, FIP1"
"CDC19, YJR141W"
"CDC19, MAK11"
"ASK1, CDC19"
"CDC19, RPT1"
"CDC19, SNU114"
"CDC19, YKT6"
"CDC19, TOR2"
"CDC19, COF1"
"BOS1, CDC19"
"CDC19, ERG27"
"CDC19, CFT2"
"CDC19, EMG1"
"CDC19, NMT1"
"CDC19, GSP1"
"CDC19, YHC1"
"CDC19, CDC3"
"CDC19, KAP95"
"CDC19, SMC6"
"AFG2, CDC19"
"CDC19, SEN1"
"CDC19, SEC39"
"CDC19, GAB1"
"CDC19, TAF11"
"CDC19, RSE1"
"CDC19, ORC1"
"CDC19, POB3"
"CDC19, TAP42"
"ARP9, CDC19"
"CDC19, CEP3"
"CDC19, ROT1"
"CDC19, RNA1"
"CDC19, RNT1"
"CDC19, PRP24"
"CDC19, GPI12"
"CDC19, HAS1"
"CDC19, LCB1"
"CDC19, NOP2"
"CDC19, POL1"
"CDC19, DCP2"
"CDC19, SRV2"
"CDC19, PRP2"
"ARC35, CDC19"
"CDC19, NOG2"
"CDC19, RIB2"
"CDC19, HRP1"
"CDC19, HSP10"
"CDC19, SGT1"
"CDC19, CDC21"
"CDC19, PFY1"
"CDC19, RPB2"
"CDC19, DED1"
"CDC19, DFR1"
"CDC19, ESA1"
"CDC19, SEC63"
"CDC19, RPT4"
"CDC19, GCD1"
"CDC19, GPN2"
"ALA1, CDC19"
"CDC19, RPA190"
"CDC19, TFC8"
"CDC19, RET3"
"CDC19, SEC62"
"CDC19, NAB3"
"CDC19, NIP7"
"ARP7, CDC19"
"CDC19, SEC8"
"CDC19, SUA7"
"CDC19, SRP54"
"CDC19, RPN7"
"CDC19, SPN1"
"CDC24, PKC1"
"CDC24, CKS1"
"CDC24, MCD1"
"CDC24, DAD1"
"CDC24, RRP1"
"CDC24, TAF12"
"CDC24, GPI17"
"ACT1, CDC24"
"CDC24, SCL1"
"CDC24, SRM1"
"BET1, CDC24"
"CDC24, YJR141W"
"CDC24, RGR1"
"CDC24, SMC4"
"CDC24, CDC42"
"CDC24, SRV2"
"CDC24, NUF2"
"CDC24, HRP1"
"CDC24, PFY1"
"CDC24, RPC82"
"CDC24, POL12"
"CDC24, CDC27"
"CDC24, CDS1"
"CDC24, PRP6"
"CDC24, TAF5"
"ARC40, CDC24"
"CDC24, KRR1"
"CDC10, CDC24"
"APC11, CDC24"
"CDC24, CDC7"
"CDC24, PRP11"
"CDC24, UBC9"
"CDC24, LUC7"
"CDC24, CDC53"
"CDC24, FAL1"
"CDC24, HEM13"
"CDC24, DBF4"
"CDC24, MAK21"
"CDC24, PDC2"
"CDC24, SEC5"
"CDC24, CDC37"
"CDC24, SUP35"
"CDC1, CDC24"
"CDC24, FMN1"
"CDC24, TRS23"
"CDC24, SRP101"
"CDC24, GPI8"
"CDC24, FRQ1"
"CDC24, RSP5"
"CDC24, SEC4"
"CDC24, MOB2"
"CDC14, CDC24"
"CDC24, RPN12"
"CDC24, STT3"
"CDC24, CEG1"
"CDC24, CDC43"
"CDC24, GUS1"
"CDC24, TFG2"
"CDC24, PRP31"
"CDC24, ESP1"
"CBF2, CDC24"
"CDC24, MTR3"
"CDC24, MED6"
"BIG1, CDC24"
"CDC12, CDC24"
"CDC24, MET30"
"CDC24, RHO3"
"CDC24, DSN1"
"CDC24, RRN7"
"CDC24, SMC3"
"CDC24, PAM16"
"CDC24, GCD14"
"CDC24, KRE9"
"CDC24, CDC8"
"CDC11, CDC24"
"CDC24, MAK11"
"CDC24, MIF2"
"CDC24, SNU114"
"CDC24, YKT6"
"CDC24, PRP19"
"CDC24, CFT2"
"CDC24, TAD3"
"CDC24, SEC61"
"CDC24, TAF11"
"CDC24, PRP39"
"CDC24, POB3"
"CDC24, SEC65"
"ARP9, CDC24"
"CDC24, MCM1"
"CDC24, RNA14"
"CDC24, SPC24"
"CDC24, VTI1"
"CDC24, PRP24"
"CDC24, HAS1"
"CDC24, LCB1"
"CDC24, LIP1"
"CDC24, NOP2"
"CDC24, POL1"
"CDC24, RPC34"
"CDC24, PRP2"
"CDC24, SEC12"
"ARC35, CDC24"
"CDC24, MED7"
"CDC24, HSP10"
"CDC21, CDC24"
"CDC24, SMP3"
"CDC24, RPB2"
"CDC24, DED1"
"APC5, CDC24"
"CDC24, RPA190"
"CDC24, PRE10"
"CDC24, ULP1"
"CDC24, TIM50"
"CDC24, MEX67"
"CDC24, NAB3"
"CDC24, PRE2"
"CDC24, SGV1"
"CDC24, ORC4"
"CDC24, NUT2"
"CDC24, MCM2"
"CDC24, STU1"
"CDC24, SEC17"
"AAR2, CDC24"
"CDC24, ILS1"
"CDC24, TSC3"
"ALG14, CDC24"
"CDC24, EXO84"
"CDC24, CMD1"
"ALG1, CDC24"
"CDC24, SPP381"
"CDC24, SLI15"
"CDC24, MED8"
"CDC24, CDC47"
"CDC24, TSC13"
"CDC24, SUB2"
"CDC2, CDC24"
"CDC24, QRI1"
"CDC24, CDC48"
"CDC24, NOP14"
"CDC24, CDC36"
"CDC24, GLE1"
"CDC24, RPS13"
"CDC24, STN1"
"CDC24, SSS1"
"CDC24, SLU7"
"CDC24, SEC1"
"CCT6, CDC24"
"CAB5, CDC24"
"CDC24, MSS4"
"CDC24, TCP1"
"CDC24, NSE3"
"CDC24, RPT3"
"CDC24, GPI19"
"CDC24, UTP6"
"CDC24, SEC20"
"CDC24, SMT3"
"CAB1, CDC24"
"CDC24, GDI1"
"CDC24, SCC4"
"CDC24, SPT15"
"CDC24, COG3"
"CDC24, GNA1"
"CDC24, YPT1"
"CDC24, SAD1"
"CDC24, RSC8"
"ALG13, CDC24"
"CDC24, RPT6"
"CDC24, DUO1"
"CDC24, HSF1"
"CDC24, NBP35"
"CDC24, USE1"
"CDC24, TAF6"
"CDC24, SLD3"
"CDC24, GPI10"
"CDC24, SEC15"
"CDC24, PRP18"
"CDC24, PRP38"
"CDC24, DBF2"
"CDC24, NOP7"
"CDC24, DAM1"
"CDC24, NUP57"
"CDC24, COG2"
"CDC24, YIP1"
"CDC24, TYS1"
"CDC24, SKI6"
"CDC24, ZPR1"
"CDC24, CRM1"
"CDC24, MES1"
"CDC24, ERG11"
"CDC24, RPN1"
"CDC24, SAM35"
"CDC24, RPF1"
"CDC24, ORC6"
"CDC24, DNA2"
"CDC24, SPC97"
"CDC24, KOG1"
"CDC24, CTF8"
"CDC24, NEO1"
"ARC15, CDC24"
"CDC24, SEC6"
"CDC24, NUP159"
"CDC24, TID3"
"CDC24, PAN1"
"CDC24, OST1"
"CDC24, KAR2"
"CDC24, MTR4"
"ARP4, CDC24"
"CDC24, EXO70"
"CDC24, GWT1"
"CDC24, NUP85"
"CDC24, SSC1"
"ARP3, CDC24"
"CDC24, NNF1"
"CDC24, RAM2"
"ASK1, CDC24"
"ABF1, CDC24"
"CDC24, RPT1"
"BET3, CDC24"
"CDC24, GRC3"
"CDC24, COF1"
"CDC24, MSL5"
"CDC24, SEC10"
"CDC24, EMG1"
"CDC24, PWP1"
"CDC24, SEC13"
"CDC24, SEC22"
"CDC24, DBP9"
"CDC24, GCD7"
"CDC24, STT4"
"CDC24, CDC3"
"BET5, CDC24"
"CDC24, TAF13"
"CDC24, ERG13"
"CDC24, RSC9"
"CDC24, TAF4"
"CDC24, ERB1"
"CDC24, UTP15"
"CDC24, CTF13"
"CDC24, MED11"
"CDC24, RNT1"
"CDC24, CUS1"
"CDC24, LST8"
"CDC24, MVD1"
"BRX1, CDC24"
"CDC24, TPT1"
"CDC24, RAT1"
"CDC24, OST2"
"CDC24, MED4"
"CDC24, LAS17"
"CDC24, TOA1"
"CDC24, ESA1"
"CDC24, SEC63"
"CDC24, RPT4"
"CDC24, YTM1"
"CDC24, RRS1"
"CDC24, MYO2"
"CDC24, ERG10"
"CDC24, MOT1"
"CDC24, SEC62"
"CDC24, TBF1"
"CDC24, CDC60"
"CDC24, NIP7"
"CDC24, TIF6"
"CDC24, HTS1"
"CDC24, DIB1"
"ASA1, CDC24"
"CDC24, SUA7"
"CDC24, PRP4"
"BRN1, CDC24"
"CDC24, RFC5"
"CDC24, POP7"
"CDC24, MPS1"
