"to","from"
"ATP6","ATP8"
"COB","COX1"
"BI2","AI4"
"BI4","BI3"
"OLI1","ATP8"
"OLI1","ATP6"
"COX2","COX1"
"COX2","COB"
"COX3","COX1"
"COX3","COB"
"COX3","COX2"
"CCR4","DEP1"
"SNC1","DRS2"
"MTW1","GIP4"
"RBG1","SSA1"
"ERV46","ERP2"
"PTA1","POP5"
"FLC2","SSA1"
"FLC2","FUN26"
"CNE1","SSA1"
"CNE1","FLC2"
"PAU8","GPB2"
"ERP1","ERP2"
"ERP1","ERV46"
"NUP60","FUN30"
"NUP60","MYO4"
"SWD1","FUN30"
"RFA1","NTG1"
"RFA1","CCR4"
"BUD14","SWD1"
"KIN3","GIP4"
"KIN3","MTW1"
"CDC15","CDC24"
"YAT1","BDH1"
"SWH1","DRS2"
"SWH1","SNC1"
"FLO1","FLO9"
"HTA2","NTG1"
"HTA2","RFA1"
"LDB7","FUN30"
"LDB7","CCR4"
"SLA1","DRS2"
"SLA1","SNC1"
"SLA1","SWH1"
"HIR1","DEP1"
"HIR1","CCR4"
"HIR1","LDB7"
"FUS3","GPB2"
"PEP1","VPS8"
"POP8","POP5"
"POP8","PTA1"
"APN2","NTG1"
"RRN10","RRN6"
"PET9","COX1"
"PET9","COB"
"PET9","COX2"
"PET9","COX3"
"PET9","FUN26"
"PET9","FLC2"
"SHE1","SPC72"
"HEK2","MYO4"
"HEK2","NUP60"
"HEK2","RFA1"
"STU1","SPC72"
"URA7","SCT1"
"ERD2","ERP2"
"ERD2","ERV46"
"ERD2","ERP1"
"FUI1","FUN26"
"FUI1","FLC2"
"FUI1","PET9"
"COR1","COX1"
"COR1","COB"
"COR1","COX2"
"COR1","COX3"
"COR1","PET9"
"EDE1","DRS2"
"EDE1","SNC1"
"EDE1","SWH1"
"EDE1","SLA1"
"SEC17","CLN3"
"SAS3","FUN30"
"SAS3","ACS1"
"SAS3","NUP60"
"SAS3","SWD1"
"TOD6","DEP1"
"TOD6","CCR4"
"TOD6","HIR1"
"YBL055C","NTG1"
"PTC3","PSY4"
"SHP1","GPB2"
"SHP1","CNE1"
"SHP1","PAU8"
"SHP1","PRE7"
"KIP1","SPC72"
"PRX1","NTG1"
"PRX1","YBL055C"
"KTI11","ATS1"
"RPS8A","FUN12"
"SSA3","SSA1"
"SSA3","FLC2"
"SSA3","CNE1"
"ATG8","ERP2"
"ATG8","ERV46"
"ATG8","ERP1"
"ATG8","ERD2"
"ATG8","SHP1"
"NUP170","TPD3"
"NUP170","GIP4"
"NUP170","MTW1"
"NUP170","KIN3"
"CDC27","RFA1"
"TEL1","NUP60"
"TEL1","SWD1"
"TEL1","MCM2"
"MRP21","PET112"
"SCS22","FUN30"
"SCS22","SWD1"
"SCS22","SCT1"
"SCS22","URA7"
"SCS22","SAS3"
"BRN1","SPC72"
"BRN1","KIP1"
"ATP1","ATP8"
"ATP1","ATP6"
"ATP1","OLI1"
"RTG3","OAF1"
"RTG3","ATG8"
"PKC1","GPB2"
"PKC1","PRS4"
"SRO77","SNC1"
"SRO77","SWH1"
"RER2","ERP2"
"RER2","ERV46"
"RER2","ERP1"
"RER2","ERD2"
"RER2","ATG8"
"RER2","ALG3"
"RCR1","LTE1"
"RCR1","PRS4"
"RCR1","PKC1"
"UGA2","NTG1"
"UGA2","YBL055C"
"UGA2","PRX1"
"HHT1","TPD3"
"HHT1","NUP170"
"HHT1","HHF1"
"GRX7","NTG1"
"GRX7","YBL055C"
"GRX7","PRX1"
"GRX7","UGA2"
"MNN2","ALG3"
"MNN2","RER2"
"KAP104","RTG3"
"GAL10","GAL7"
"GAL1","GAL7"
"GAL1","GAL10"
"FUR4","FUN26"
"FUR4","FLC2"
"FUR4","PET9"
"FUR4","FUI1"
"CHS3","NTH2"
"ETR1","COX1"
"ETR1","COB"
"ETR1","COX2"
"ETR1","COX3"
"ETR1","PET9"
"ETR1","COR1"
"CDS1","SCT1"
"HMT1","CCR4"
"CHS2","CDC15"
"CHS2","NTH2"
"CHS2","CHS3"
"ATP3","ATP8"
"ATP3","ATP6"
"ATP3","OLI1"
"ATP3","ATP1"
"QDR3","FLR1"
"GIP1","GIP4"
"GIP1","CHS3"
"ZTA1","NTG1"
"ZTA1","YBL055C"
"ZTA1","PRX1"
"ZTA1","UGA2"
"ZTA1","GRX7"
"RPS11B","DRS2"
"RPS11B","FUN12"
"RPS11B","RPS8A"
"PRP6","LSM2"
"UBP14","PRE7"
"UBP14","SHP1"
"ORC2","FUN30"
"ORC2","NUP60"
"ORC2","SWD1"
"ORC2","MCM2"
"ORC2","POL12"
"ORC2","SAS3"
"ORC2","SCS22"
"TRM7","SSA1"
"TRM7","RBG1"
"TRM7","NCL1"
"ECM2","LSM2"
"ECM2","PRP6"
"NRG2","GPB2"
"TIP1","PRS4"
"TIP1","PKC1"
"TIP1","RCR1"
"BAP2","FUN26"
"BAP2","FLC2"
"BAP2","PET9"
"BAP2","FUI1"
"BAP2","FUR4"
"TAT1","FUN26"
"TAT1","FLC2"
"TAT1","PET9"
"TAT1","FUI1"
"TAT1","FUR4"
"TAT1","BAP2"
"ALG14","ALG3"
"HSP26","SSA1"
"HSP26","FLC2"
"HSP26","CNE1"
"HSP26","SSA3"
"RDH54","RFA1"
"SLM4","GPB2"
"SLM4","PKC1"
"ECM33","PRS4"
"ECM33","PKC1"
"ECM33","RCR1"
"ECM33","TIP1"
"SEC18","CLN3"
"SEC18","SEC17"
"SEC18","SHP1"
"SEC18","ATG8"
"SPT7","ACS1"
"SPT7","SAS3"
"SPT7","SCO1"
"UBC4","RFA1"
"UBC4","CDC27"
"TEC1","GPB2"
"TEC1","FUS3"
