"to","from","edge_in_calico"
"ATP6","ATP8",TRUE
"BI2","AI4",TRUE
"BI4","BI3",TRUE
"OLI1","ATP8",TRUE
"OLI1","ATP6",TRUE
"COX2","COX1",TRUE
"COX2","COB",TRUE
"COX3","COX1",TRUE
"COX3","COB",TRUE
"COX3","COX2",TRUE
"REP2","REP1",FALSE
"CCR4","DEP1",TRUE
"SNC1","DRS2",TRUE
"MTW1","GIP4",TRUE
"RBG1","SSA1",TRUE
"ERV46","ERP2",TRUE
"PTA1","POP5",TRUE
"FLC2","SSA1",TRUE
"FLC2","FUN26",TRUE
"CNE1","SSA1",TRUE
"CNE1","FLC2",TRUE
"PAU8","GPB2",TRUE
"ERP1","ERP2",TRUE
"ERP1","ERV46",TRUE
"NUP60","FUN30",TRUE
"NUP60","MYO4",TRUE
"SWD1","FUN30",TRUE
"RFA1","NTG1",TRUE
"RFA1","CCR4",TRUE
"BUD14","SWD1",TRUE
"KIN3","GIP4",TRUE
"KIN3","MTW1",TRUE
"CDC15","CDC24",TRUE
"YAT1","BDH1",TRUE
"SWH1","DRS2",TRUE
"SWH1","SNC1",TRUE
"FLO1","FLO9",TRUE
"HTA2","NTG1",TRUE
"HTA2","RFA1",TRUE
"LDB7","FUN30",TRUE
"LDB7","CCR4",TRUE
"SLA1","DRS2",TRUE
"SLA1","SNC1",TRUE
"SLA1","SWH1",TRUE
"HIR1","DEP1",TRUE
"HIR1","CCR4",TRUE
"HIR1","LDB7",TRUE
"FUS3","GPB2",TRUE
"PEP1","VPS8",TRUE
"POP8","POP5",TRUE
"POP8","PTA1",TRUE
"APN2","NTG1",TRUE
"RRN10","RRN6",TRUE
"PET9","COX1",TRUE
"PET9","COB",TRUE
"PET9","COX2",TRUE
"PET9","COX3",TRUE
"PET9","FUN26",TRUE
"PET9","FLC2",TRUE
"SHE1","SPC72",TRUE
"HEK2","MYO4",TRUE
"HEK2","NUP60",TRUE
"HEK2","RFA1",TRUE
"STU1","SPC72",TRUE
"URA7","SCT1",TRUE
"ERD2","ERP2",TRUE
"ERD2","ERV46",TRUE
"ERD2","ERP1",TRUE
"FUI1","FUN26",TRUE
"FUI1","FLC2",TRUE
"FUI1","PET9",TRUE
"COR1","COX1",TRUE
"COR1","COB",TRUE
"COR1","COX2",TRUE
"COR1","COX3",TRUE
"COR1","PET9",TRUE
"EDE1","DRS2",TRUE
"EDE1","SNC1",TRUE
"EDE1","SWH1",TRUE
"EDE1","SLA1",TRUE
"SEC17","CLN3",TRUE
"SAS3","FUN30",TRUE
"SAS3","ACS1",TRUE
"SAS3","NUP60",TRUE
"SAS3","SWD1",TRUE
"TOD6","DEP1",TRUE
"TOD6","CCR4",TRUE
"TOD6","HIR1",TRUE
"YBL055C","NTG1",TRUE
"PTC3","PSY4",TRUE
"SHP1","GPB2",TRUE
"SHP1","CNE1",TRUE
"SHP1","PAU8",TRUE
"SHP1","PRE7",TRUE
"KIP1","SPC72",TRUE
"PRX1","NTG1",TRUE
"PRX1","YBL055C",TRUE
"KTI11","ATS1",TRUE
"RPS8A","FUN12",TRUE
"SSA3","SSA1",TRUE
"SSA3","FLC2",TRUE
"SSA3","CNE1",TRUE
"ATG8","ERP2",TRUE
"ATG8","ERV46",TRUE
"ATG8","ERP1",TRUE
"ATG8","ERD2",TRUE
"ATG8","SHP1",TRUE
"NUP170","TPD3",TRUE
"NUP170","GIP4",TRUE
"NUP170","MTW1",TRUE
"NUP170","KIN3",TRUE
"CDC27","RFA1",TRUE
"TEL1","NUP60",TRUE
"TEL1","SWD1",TRUE
"TEL1","MCM2",TRUE
"MRP21","PET112",TRUE
"SCS22","FUN30",TRUE
"SCS22","SWD1",TRUE
"SCS22","SCT1",TRUE
"SCS22","URA7",TRUE
"SCS22","SAS3",TRUE
"BRN1","SPC72",TRUE
"BRN1","KIP1",TRUE
"ATP1","ATP8",TRUE
"ATP1","ATP6",TRUE
"ATP1","OLI1",TRUE
"RTG3","OAF1",TRUE
"RTG3","ATG8",TRUE
"PKC1","GPB2",TRUE
"PKC1","PRS4",TRUE
"SRO77","SNC1",TRUE
"SRO77","SWH1",TRUE
"RER2","ERP2",TRUE
"RER2","ERV46",TRUE
"RER2","ERP1",TRUE
"RER2","ERD2",TRUE
"RER2","ATG8",TRUE
"RER2","ALG3",TRUE
"RCR1","LTE1",TRUE
"RCR1","PRS4",TRUE
"RCR1","PKC1",TRUE
"UGA2","NTG1",TRUE
"UGA2","YBL055C",TRUE
"UGA2","PRX1",TRUE
"HHT1","TPD3",TRUE
"HHT1","NUP170",TRUE
"HHT1","HHF1",TRUE
"GRX7","NTG1",TRUE
"GRX7","YBL055C",TRUE
"GRX7","PRX1",TRUE
"GRX7","UGA2",TRUE
"MNN2","ALG3",TRUE
"MNN2","RER2",TRUE
"KAP104","RTG3",TRUE
"GAL10","GAL7",TRUE
"GAL1","GAL7",TRUE
"GAL1","GAL10",TRUE
"FUR4","FUN26",TRUE
"FUR4","FLC2",TRUE
"FUR4","PET9",TRUE
"FUR4","FUI1",TRUE
"CHS3","NTH2",TRUE
"ETR1","COX1",TRUE
"ETR1","COB",TRUE
"ETR1","COX2",TRUE
"ETR1","COX3",TRUE
"ETR1","PET9",TRUE
"ETR1","COR1",TRUE
"CDS1","SCT1",TRUE
"HMT1","CCR4",TRUE
"CHS2","CDC15",TRUE
"CHS2","NTH2",TRUE
"CHS2","CHS3",TRUE
"ATP3","ATP8",TRUE
"ATP3","ATP6",TRUE
"ATP3","OLI1",TRUE
"ATP3","ATP1",TRUE
"QDR3","FLR1",TRUE
"GIP1","GIP4",TRUE
"GIP1","CHS3",TRUE
"ZTA1","NTG1",TRUE
"ZTA1","YBL055C",TRUE
"ZTA1","PRX1",TRUE
"ZTA1","UGA2",TRUE
"ZTA1","GRX7",TRUE
"RPS11B","DRS2",TRUE
"RPS11B","FUN12",TRUE
"RPS11B","RPS8A",TRUE
"PRP6","LSM2",TRUE
"UBP14","PRE7",TRUE
"UBP14","SHP1",TRUE
"ORC2","FUN30",TRUE
"ORC2","NUP60",TRUE
"ORC2","SWD1",TRUE
"ORC2","MCM2",TRUE
"ORC2","POL12",TRUE
"ORC2","SAS3",TRUE
"ORC2","SCS22",TRUE
"TRM7","SSA1",TRUE
"TRM7","RBG1",TRUE
"TRM7","NCL1",TRUE
"ECM2","LSM2",TRUE
"ECM2","PRP6",TRUE
"NRG2","GPB2",TRUE
"TIP1","PRS4",TRUE
"TIP1","PKC1",TRUE
"TIP1","RCR1",TRUE
"BAP2","FUN26",TRUE
"BAP2","FLC2",TRUE
"BAP2","PET9",TRUE
"BAP2","FUI1",TRUE
"BAP2","FUR4",TRUE
"TAT1","FUN26",TRUE
"TAT1","FLC2",TRUE
"TAT1","PET9",TRUE
"TAT1","FUI1",TRUE
"TAT1","FUR4",TRUE
"TAT1","BAP2",TRUE
"ALG14","ALG3",TRUE
"HSP26","SSA1",TRUE
"HSP26","FLC2",TRUE
"HSP26","CNE1",TRUE
"HSP26","SSA3",TRUE
"RDH54","RFA1",TRUE
"SLM4","GPB2",TRUE
"SLM4","PKC1",TRUE
"ECM33","PRS4",TRUE
"ECM33","PKC1",TRUE
"ECM33","RCR1",TRUE
"ECM33","TIP1",TRUE
"SEC18","CLN3",TRUE
"SEC18","SEC17",TRUE
"SEC18","SHP1",TRUE
"SEC18","ATG8",TRUE
"SPT7","ACS1",TRUE
"SPT7","SAS3",TRUE
"SPT7","SCO1",TRUE
"UBC4","RFA1",TRUE
"UBC4","CDC27",TRUE
"TEC1","GPB2",TRUE
"TEC1","FUS3",TRUE
"TEC1","NRG2",TRUE
"MIS1","GCV3",TRUE
"AAC3","PET9",TRUE
"IST2","SCS22",TRUE
"POL30","FUN30",TRUE
"POL30","NUP60",TRUE
"POL30","SWD1",TRUE
"POL30","RFA1",TRUE
"POL30","SAS3",TRUE
"POL30","SCS22",TRUE
"POL30","ORC2",TRUE
"POL30","RFC5",TRUE
"NHP6B","SWC3",TRUE
"PHO3","PHO11",TRUE
"PHO5","CLN3",TRUE
"PHO5","PHO11",TRUE
"PHO5","PHO3",TRUE
"RXT2","DEP1",TRUE
"RXT2","GPB2",TRUE
"RXT2","FUS3",TRUE
"RXT2","SPT7",TRUE
"RXT2","TEC1",TRUE
"VPS15","VPS8",TRUE
"VPS15","PEP1",TRUE
"VPS15","PKC1",TRUE
"MMS4","NTG1",TRUE
"MMS4","RFA1",TRUE
"MMS4","HTA2",TRUE
"MMS4","MCM2",TRUE
"MMS4","TEL1",TRUE
"MMS4","RDH54",TRUE
"FES1","SSA1",TRUE
"FES1","RBG1",TRUE
"FES1","TRM7",TRUE
"EXO84","SNC1",TRUE
"EXO84","SWH1",TRUE
"EXO84","SRO77",TRUE
"SIF2","DEP1",TRUE
"SIF2","SWD1",TRUE
"SIF2","BUD14",TRUE
"SIF2","RXT2",TRUE
"YMC2","FUN26",TRUE
"YMC2","FLC2",TRUE
"YMC2","PET9",TRUE
"YMC2","FUI1",TRUE
"YMC2","FUR4",TRUE
"YMC2","BAP2",TRUE
"YMC2","TAT1",TRUE
"VID24","VPS8",TRUE
"VID24","LTE1",TRUE
"VID24","PEP1",TRUE
"VID24","PRE7",TRUE
"VID24","SHP1",TRUE
"VID24","RCR1",TRUE
"VID24","UBP14",TRUE
"VID24","VPS15",TRUE
"IML3","GPB2",TRUE
"IML3","PAU8",TRUE
"IML3","SHP1",TRUE
"IML3","RDH54",TRUE
"CMD1","CLN3",TRUE
"CMD1","NUP60",TRUE
"CMD1","BUD14",TRUE
"CMD1","SEC17",TRUE
"CMD1","RTG3",TRUE
"CMD1","KAP104",TRUE
"CMD1","SLM4",TRUE
"CMD1","SEC18",TRUE
"ALG1","ALG3",TRUE
"ALG1","ALG14",TRUE
"SUS1","CCR4",FALSE
"SUS1","NUP60",FALSE
"SUS1","SWD1",FALSE
"SUS1","BUD14",FALSE
"SUS1","LDB7",FALSE
"SUS1","HIR1",FALSE
"SUS1","HHF1",FALSE
"SUS1","ORC2",FALSE
"CYC8","SWC3",TRUE
"CYC8","NHP6B",TRUE
"MUD1","LSM2",TRUE
"MUD1","PRP6",TRUE
"MUD1","ECM2",TRUE
"TFC1","TFC3",TRUE
"PTC4","PSY4",TRUE
"PTC4","PTC3",TRUE
"TPS1","NTH2",TRUE
"TPS1","CHS3",TRUE
"TPS1","CHS2",TRUE
"VMA2","FUN26",TRUE
"VMA2","FLC2",TRUE
"VMA2","PET9",TRUE
"VMA2","FUI1",TRUE
"VMA2","FUR4",TRUE
"VMA2","CSG2",TRUE
"VMA2","BAP2",TRUE
"VMA2","TAT1",TRUE
"VMA2","YMC2",TRUE
"ATG14","CNE1",TRUE
"ATG14","SHP1",TRUE
"ATG14","ATG8",TRUE
"ATG14","PKC1",TRUE
"ATG14","VPS15",TRUE
"SHE3","MYO4",TRUE
"SHE3","NUP60",TRUE
"SHE3","HEK2",TRUE
"CCZ1","VPS8",TRUE
"CCZ1","PEP1",TRUE
"CCZ1","SEC17",TRUE
"CCZ1","VPS15",TRUE
"CCZ1","VID24",TRUE
"AGP2","FUN26",TRUE
"AGP2","FLC2",TRUE
"AGP2","PET9",TRUE
"AGP2","FUI1",TRUE
"AGP2","FUR4",TRUE
"AGP2","PDX3",TRUE
"AGP2","BAP2",TRUE
"AGP2","TAT1",TRUE
"AGP2","YMC2",TRUE
"AGP2","VMA2",TRUE
"HSL7","PIN4",TRUE
"CKS1","SWC3",TRUE
"CKS1","NHP6B",TRUE
"CKS1","CYC8",TRUE
"MEC1","CCR4",TRUE
"MEC1","SWD1",TRUE
"MEC1","RFA1",TRUE
"MEC1","TEL1",TRUE
"MEC1","RDH54",TRUE
"MEC1","MIS1",TRUE
"MEC1","MMS4",TRUE
"IRA1","GPB2",TRUE
"MAK5","MAK16",TRUE
"SUP45","CDC15",TRUE
"SUP45","CHS2",TRUE
"ADH5","ACS1",TRUE
"ADH5","ACH1",TRUE
"ARA1","TPS1",TRUE
"SPP381","LSM2",TRUE
"SPP381","PRP6",TRUE
"SPP381","ECM2",TRUE
"SPP381","MUD1",TRUE
"RIB7","RIB1",TRUE
"RPB5","NHP6B",TRUE
"CNS1","SSA1",TRUE
"CNS1","FLC2",TRUE
"CNS1","CNE1",TRUE
"CNS1","SSA3",TRUE
"CNS1","HSP26",TRUE
"CDC28","SWC3",TRUE
"CDC28","LTE1",TRUE
"CDC28","BUD14",TRUE
"CDC28","RCR1",TRUE
"CDC28","NHP6B",TRUE
"CDC28","VID24",TRUE
"CDC28","SUS1",FALSE
"CDC28","CYC8",TRUE
"CDC28","CKS1",TRUE
"ARL1","VPS8",TRUE
"ARL1","LTE1",TRUE
"ARL1","PEP1",TRUE
"ARL1","RCR1",TRUE
"ARL1","SEC18",TRUE
"ARL1","VPS15",TRUE
"ARL1","VID24",TRUE
"ARL1","CCZ1",TRUE
"ARL1","CDC28",TRUE
"UBS1","NUP60",TRUE
"UBS1","RFA1",TRUE
"UBS1","CDC27",TRUE
"UBS1","UBC4",TRUE
"POP7","POP5",TRUE
"POP7","PTA1",TRUE
"POP7","POP8",TRUE
"SSE2","SSA1",TRUE
"NPL4","PMT2",TRUE
"NPL4","CNE1",TRUE
"NPL4","PRE7",TRUE
"NPL4","SHP1",TRUE
"NPL4","UBP14",TRUE
"NPL4","VID24",TRUE
"NPL4","ATG14",TRUE
"SMY2","ERP2",TRUE
"SMY2","ERV46",TRUE
"SMY2","ERP1",TRUE
"SMY2","ERD2",TRUE
"SMY2","ATG8",TRUE
"SMY2","RER2",TRUE
"UMP1","MCM2",TRUE
"UMP1","TEL1",TRUE
"UMP1","MMS4",TRUE
"SWD3","FUN30",TRUE
"SWD3","SWD1",TRUE
"SWD3","SAS3",TRUE
"SWD3","TEL1",TRUE
"SWD3","SCS22",TRUE
"SWD3","ORC2",TRUE
"SWD3","POL30",TRUE
"SWD3","SUS1",FALSE
"SWD3","MEC1",TRUE
"DTR1","FUN26",TRUE
"DTR1","FLC2",TRUE
"DTR1","PET9",TRUE
"DTR1","FUI1",TRUE
"DTR1","FUR4",TRUE
"DTR1","CHS3",TRUE
"DTR1","GIP1",TRUE
"DTR1","BAP2",TRUE
"DTR1","TAT1",TRUE
"DTR1","YMC2",TRUE
"DTR1","VMA2",TRUE
"DTR1","AGP2",TRUE
"RPS6B","FUN12",TRUE
"RPS6B","RPS8A",TRUE
"RPS6B","RPS11B",TRUE
"YPC1","CSG2",TRUE
"MBA1","CBP6",TRUE
"PCH2","RFA1",TRUE
"PCH2","RDH54",TRUE
"PCH2","MMS4",TRUE
"PCH2","MEC1",TRUE
"NTC20","LSM2",TRUE
"NTC20","PRP6",TRUE
"NTC20","ECM2",TRUE
"NTC20","MUD1",TRUE
"NTC20","SPP381",TRUE
"RPS9B","FUN12",TRUE
"RPS9B","RPS8A",TRUE
"RPS9B","RPS11B",TRUE
"RPS9B","RPS6B",TRUE
