"to","from","int_score"
"VPS8","TFC3",1.27087953391711
"FUN14","VPS8",0.940314481058446
"MDM10","VPS8",0.942245964314194
"MDM10","FUN14",1.681349439972
"SWC3","VPS8",2.4140881843014
"CYS3","EFB1",1.73464899719498
"SYN8","SSA1",0.799945220366236
"TPD3","SYN8",1.0508712160788
"PMT2","ERP2",0.802996082175362
"PMT2","FUN30",1.19606752838876
"LTE1","ATS1",1.29460409590799
"FRT2","SSA1",2.33586130190359
"FRT2","ERP2",0.914924047613546
"MYO4","MDM10",1.58827116639984
"MYO4","DRS2",2.27365946049379
"SNC1","ERP2",1.42840132373
"SNC1","FRT2",1.78843150601562
"GIP4","VPS8",0.792279899521922
"GIP4","FUN14",1.22988473484581
"GIP4","MDM10",2.23387275993426
"GIP4","DRS2",2.03591320103925
"GIP4","MYO4",2.42330457738151
"PRP45","DEP1",1.1251193893508
"PRP45","SNC1",1.02963397092607
"POP5","MDM10",1.18798924166082
"FUN12","SSA1",0.821645235720478
"FUN12","FUN30",1.05412462471156
"FUN12","FRT2",1.88509364882581
"FUN12","MYO4",0.814471257497845
"FUN12","SNC1",0.843394613865665
"RBG1","MAK16",1.3445903319693
"YAL037W","NTG1",1.23035064557692
"ERV46","CDC19",1.04848394697691
"GEM1","SWC3",1.13399735305966
"GEM1","MYO4",0.779469260982719
"GEM1","FUN19",0.976681760288683
"AIM2","SNC1",2.4662466747786
"ACS1","DRS2",0.951373766061355
"PEX22","VPS8",1.86660396752147
"PEX22","SWC3",0.880218192272985
"PEX22","SAW1",1.67451393507637
"PEX22","ACS1",1.50342569322505
"CNE1","FRT2",0.790803528711269
"CNE1","PEX22",1.1545177965951
"ECM1","MAK16",1.19734482940604
"BDH1","SAW1",0.900270807592721
"BDH1","AIM2",1.33092033119783
"BDH2","ACS1",0.981202921164232
"GDH3","SNC1",1.33743987546847
"GDH3","BDH1",1.43809668848512
"TDA8","CYS3",0.921918342131759
"TDA8","PSK1",1.03566223931753
"TDA8","FLC2",1.93599819426931
"TDA8","PEX22",1.37074767294757
"TDA8","CNE1",1.09273600548976
"TDA8","BDH1",1.17508143125043
"YAL064W-B","FUN19",1.8320034299762
"YAL064W-B","CLN3",1.34022565909733
"YAL064W-B","FLC2",1.56895025935068
"YAL064W-B","BDH1",0.960624539029075
"YAL064W-B","GDH3",1.14571375253141
"YAL065C","YAL064W-B",0.892302609815818
"PAU8","VPS8",2.08819447192058
"PAU8","FUN30",1.47689930143704
"PAU8","FRT2",0.865743104722867
"PAU8","SPC72",0.827419572723588
"PAU8","ACS1",1.26239541059486
"PAU8","PEX22",2.6332345580835
"PAU8","CNE1",1.83911323574
