,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60
ABF1_input,3818.845866,3525.404317,2091.969923,2729.34461,4084.884732,3542.303756,2355.864532,3831.042456,4110.83601,1768.640869,2585.066056,3183.007734,2432.49221,3646.239892,4175.787324,2705.541669,3332.500965,2078.236352,4391.779884,3021.303545,3080.538842,2727.718922,2144.552316,3161.763999,1898.457577,2375.622354,4051.958299,2639.83846,2094.446544,2568.343029,3678.122891,2931.000818,1623.156455,3789.837961,3953.640476,2771.113493,4508.961348,3617.850388,3207.899577,2565.272357,1965.13728,3993.693142,2117.068477,2752.55338,2695.025877,4167.251756,1886.094244,2201.088688,1541.039953,4108.091155,3879.481888,3829.552119,3661.369757,3684.087621,2629.48859,2697.385718,2545.2535,1595.475552,3647.759516,4625.966591
ACE2_input,1056.950519,1360.444576,1558.80912,852.7940542,894.4811105,1244.99135,978.836204,874.9315084,934.884555,1663.686218,744.5282506,811.7643844,1781.567371,802.2200517,823.0457529,834.9595649,1531.703472,590.1681039,1701.80975,1617.632094,1030.355051,762.3514785,1075.516898,909.8546438,781.0868138,634.4662334,783.9383573,856.7050838,1100.622432,1250.512814,626.6954852,956.8489858,1417.294597,829.4202314,1162.908504,927.5115062,1247.384208,1260.709873,1350.504959,944.689378,574.9273319,670.3940954,1504.866934,1510.455694,690.0960365,928.6264057,1296.524768,623.0271604,643.7091994,1381.205332,562.628034,833.1409833,800.8913246,1310.246026,809.6308337,926.3395196,1292.335102,789.2170512,1341.301763,731.7929678
ADR1_input,1264.403646,1631.202214,2864.461386,1734.596498,851.2887921,1450.98014,1443.209535,1388.694668,2580.812885,3056.170969,2333.245911,1765.750369,2783.012369,2776.782413,1803.022065,1698.030822,2321.066521,2117.054282,1500.511651,2510.282728,2051.843567,1700.880603,1542.484501,1910.144477,2602.090069,2215.737611,2043.057447,1832.102276,1276.039702,918.0843989,1151.292108,2566.475953,1579.58389,1546.375285,1653.181334,1668.361765,3402.996112,1380.068477,1184.285283,2797.345203,1671.998209,1210.839461,1735.147304,2738.629136,2547.107391,1843.158529,1884.792612,2183.190004,2405.97659,2288.916241,1017.540629,1236.72423,1793.46425,1155.896458,1561.026092,1087.480579,1557.819758,2203.931036,2433.970204,1062.421161
CAF16_input,1222.898427,1984.09175,2094.814277,1284.32673,2151.085275,1215.205272,1279.700374,1355.596418,1651.657507,1319.869549,1242.852262,1534.065232,1687.126631,1660.689818,1258.053939,1113.346603,2120.946109,1273.551407,1249.637308,2141.649059,1965.159278,1374.441557,1500.114436,1319.162051,1336.030307,1159.076959,835.8631412,1161.790359,1123.206556,1691.37789,1185.151069,1355.82309,1915.139973,2077.81916,1457.53574,1309.440498,2244.192284,1157.493945,1290.404025,1087.446191,2232.660752,1940.780954,1038.331862,2198.686349,1319.354651,1253.660882,2085.028828,995.8746829,1083.921773,1190.915002,907.3378309,1228.00438,1802.000746,2130.759134,1261.509298,1467.286124,1931.078962,1232.684461,653.3223229,1213.093906
CAF4_input,1679.804873,1586.927764,1300.934599,739.0569501,1297.289268,1120.572965,1202.505328,928.7498608,957.8433752,992.0572428,971.024075,970.512975,1128.429945,1077.133103,1001.006513,1008.937952,519.0645188,1504.19609,1327.500271,1052.298922,1313.071949,1716.090396,1025.210867,764.0709854,990.756673,1020.967093,1598.309502,1792.852391,1521.893168,632.4194339,858.4243104,1111.110263,948.2689854,988.1307535,945.528386,1406.002492,1706.920944,1472.302626,918.2116994,1012.117527,1628.933363,940.2668544,1143.296171,1057.783199,979.0155435,1739.32766,1325.349673,835.7159404,945.445326,1521.911361,1521.490542,1644.324558,1155.735674,1332.333479,1716.257256,574.5018079,996.691609,1242.167405,952.7041423,628.3415292
CAT8_input,2152.990141,2552.920288,2690.861312,1229.432839,2004.959207,1416.158772,2499.037813,2321.056624,1300.659929,2768.620881,2469.305568,1916.365278,2746.971393,1646.324704,1478.848564,2451.924722,1619.597182,2492.278593,2840.528088,3371.232516,2505.274409,1477.306326,1719.733156,1669.211915,1455.442369,1779.32936,2325.331095,2448.109369,1662.914498,1705.239549,1423.747296,2692.66526,1640.689994,2171.723597,2294.555565,2780.119069,1559.638996,1413.994764,1328.168117,1725.436346,1259.563036,1577.817184,1575.705915,1771.94213,1638.057525,1744.21468,1636.963415,1833.616457,1482.030627,2134.388085,2578.214531,2611.287346,3039.845899,2553.082763,1629.733919,1727.160082,1079.724991,1167.290639,1615.519977,1696.857501
CBF1_input,3638.022202,3961.84816,2250.398861,4460.274608,3953.577924,3649.843821,2486.592534,2643.459288,2528.683408,2969.844466,2531.014583,3443.906167,5143.12646,3876.369809,3016.969665,4219.699789,3075.602137,2159.558545,2558.401902,3896.478779,1374.626813,4559.881702,2601.830738,4460.894693,2397.627853,3792.753387,4038.01855,2655.072697,1852.911057,2019.724862,1636.144913,2245.745165,3845.172327,2307.865765,3773.227199,4180.931852,2785.893839,3953.838077,2586.892223,2784.158269,3669.159141,4188.223303,2377.752968,2448.479113,2188.873431,4582.255775,2550.090796,2343.403277,1863.731596,2379.804138,3675.01946,2679.967589,2815.826459,2544.635484,4630.199012,3080.842763,2055.642559,2439.01714,2120.743291,4363.098104
CDC36_input,593.4020019,594.1718616,824.6472434,503.2804026,332.5503644,550.5243693,550.0933248,432.5804282,679.9040052,905.0877714,927.5001104,505.8906262,1063.321088,992.2544605,853.7519942,515.9191094,922.6068515,623.7064649,1048.446859,412.781884,630.1583388,640.3740448,417.6039089,487.2349906,520.0099401,795.2065973,586.4637612,944.1796015,523.6206044,519.2991963,502.3832862,649.5810729,513.7881333,767.2091867,528.812437,827.9208362,617.2319625,557.4332043,977.3729486,898.7571301,603.8897033,742.1036851,611.5239375,743.6397834,991.783377,948.5800752,629.061967,791.1957387,687.6439494,966.502045,544.3183435,404.6044561,484.0572754,667.711126,653.5718106,515.9192594,638.0141571,327.8469354,489.9158337,541.4791563
CDC39_input,593.2378068,636.8115668,1193.046242,1156.308674,981.1877612,568.3542274,568.8201213,625.4490844,997.4400217,680.7327337,609.5523089,753.0909482,1047.634089,657.6332827,806.9693626,432.3432703,608.684219,462.7929358,667.8130148,636.6106188,283.7264855,766.197319,518.0385546,1065.398017,517.2787788,492.5775393,686.1461515,931.3508724,515.4379564,944.8707085,422.282959,1118.486716,530.8098505,459.6533336,642.2558258,932.4299392,808.6301866,797.4580482,450.7209027,543.2856508,683.0536133,621.2054643,998.1404891,924.9225397,561.0175644,817.4565463,853.6343801,737.5583162,551.3974667,832.1895331,570.7113307,966.0654357,635.1714688,602.572792,645.4238712,614.8549493,963.7989652,529.9918698,504.6447718,688.6377429
CDC50_input,968.9848622,1459.32612,881.1058161,840.0866377,848.8177064,1199.532834,1374.960082,984.0442929,1406.404646,1007.826049,1378.902257,1242.290577,1197.337362,916.8230302,964.0091052,942.2449993,1336.940309,645.5286174,2077.925914,1465.878264,792.8646524,1424.483325,1199.360254,722.8045934,1315.589639,825.589947,1318.055994,849.5715949,824.4478436,950.8423007,814.2777781,821.9044145,1415.024114,864.1481194,1211.008409,1022.489977,1232.128983,821.1981074,1026.381621,967.3278491,800.355992,1159.348678,927.8163406,1453.706217,951.4547404,841.9689086,1164.378345,429.6444863,1521.706932,1635.363066,440.3307186,1445.358863,930.9905559,1335.983563,1145.533317,1028.714301,1385.139813,1319.829827,1501.422496,688.6476866
