,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60
ABF1_input,5.004212372,4.116293672,3.79953508,3.279009778,3.101367041,2.877094081,4.388209231,4.875163073,6.505601246,6.898251357,3.460931816,2.544599821,6.66053974,4.344005855,3.60799826,3.540847928,2.400566153,4.368476294,4.824009748,6.247000427,3.635269628,4.316696415,4.381356335,4.684769557,3.655228327,4.792315434,6.940731104,5.627561151,5.172904183,3.94728738,4.59091719,3.76902964,4.109027307,6.225290622,6.533415584,4.791218819,7.459329963,6.625397905,2.156248303,2.07761206,4.29685693,4.87190295,3.512669676,3.970649718,2.850047923,4.964638819,4.030209743,4.214414732,2.610251945,4.122507385,4.657934499,2.507571259,4.722083389,3.120029497,5.993785092,4.145999716,4.421477583,4.467912975,6.444723458,4.679567933
ACE2_input,1.189676085,2.205611857,2.873850936,1.954848307,2.401394839,2.422267151,2.693799241,1.387786859,1.610762235,2.93780923,2.154317772,1.465443404,1.579395555,1.539393081,1.407809275,1.551937779,1.856957358,2.316962995,1.595630994,1.964089407,1.278683324,1.644950688,1.824051168,1.203975015,2.481581542,2.563115134,2.569623064,2.120294551,1.288037235,2.270457044,2.898369741,3.161931303,1.402231487,1.098381908,2.47592823,3.173064075,2.147438615,3.135509301,1.225512787,2.155719355,1.536876942,1.829245581,2.668432684,1.374705255,2.451745485,1.305369261,1.776227128,2.452341637,1.412505352,1.321070387,1.388248255,1.770144735,1.493413725,2.099720724,1.347509531,1.218098551,2.523985969,1.625736552,2.438146009,3.163339145
ADR1_input,1.709932761,2.124289646,3.735155416,2.528033142,2.122321278,4.239753375,2.908200353,2.761668742,1.965143997,5.161273038,2.936553884,4.150018083,2.886538129,2.918413405,2.745778197,2.715381064,2.21325021,2.427018341,2.218046828,3.874105618,3.099561292,4.102883068,3.151488602,2.803580222,2.93554451,2.130028763,4.827986113,4.07418799,3.442725787,3.668565105,3.016121722,2.687659797,2.641421758,3.996730566,4.440913683,3.106082076,6.027007213,3.306804769,2.576931434,2.48391881,2.607401181,2.675987608,4.718172763,2.802534845,1.347414852,2.697384356,3.043102784,2.62473132,2.66433108,2.6643809,2.459259408,4.348418788,4.51715192,2.628945141,2.581008621,3.894455018,4.915850713,4.797071444,2.41273851,5.01297704
CAF16_input,1.894547177,1.76668236,2.131483054,1.773538139,1.077926229,2.322504086,1.8761226,2.897078435,2.47584084,2.48503766,4.166062915,3.333466723,2.978373695,1.656719578,3.274140282,1.56489773,1.809609129,1.985337557,1.826011194,3.145711937,1.932362677,1.956317822,3.010234631,1.967950434,2.819068042,3.165214524,2.09676414,2.93524802,2.978509177,1.85995226,2.032658365,3.558196033,2.056584298,1.993674224,2.025402738,3.768608662,2.334648931,2.039160211,2.384967678,1.680114978,3.041743933,1.873474134,2.050997259,3.107008254,3.10982896,2.043393646,2.029538554,3.296026068,2.804370848,2.528364734,2.148029721,2.353292327,3.145071901,1.841220768,2.254011306,3.274487364,1.753168496,1.973487417,3.232251177,2.651716798
CAF4_input,2.383799566,1.532009646,1.686811419,2.274915065,1.588526344,2.77049866,2.892637674,0.905989113,2.536522579,1.74794111,2.183655944,2.318854142,1.645320937,1.758889269,1.616313981,1.190733896,2.221482302,2.027266467,2.494865641,1.811345471,3.022220509,1.60976946,1.67662571,1.97369713,2.8304552,2.512180807,1.583451504,2.648483328,1.510227192,2.321406786,1.633378599,1.313064358,2.491063574,1.603275875,2.13698777,1.71387418,1.872956959,2.650527428,1.515038619,2.380940771,2.751605244,1.106706921,2.638155391,1.630134757,2.001538684,1.015278455,2.412177131,1.581589665,1.541946355,2.653048423,1.508409129,3.055098746,1.579936393,2.286023602,2.503506703,1.466846274,1.404904975,2.664579325,2.353005497,3.004656826
CAT8_input,2.232879437,1.934615799,2.467876395,2.226262553,4.410380383,2.555448997,3.959032356,2.414010219,3.59352335,2.768686566,2.862416777,3.819211918,2.542700393,2.431081928,2.128544931,2.1278172,3.733913131,2.373484771,3.08901835,3.345581954,2.53089945,3.483949722,4.46945152,3.250302323,3.445272343,1.819991227,2.732320569,3.699208971,2.860472656,2.803511041,2.695053243,3.801058004,2.305794183,2.288087061,2.360439086,2.638292184,3.059736601,5.01051983,4.044822358,3.667274775,4.131387618,3.440253611,1.882885214,3.714374331,2.392216199,2.440379315,2.123847206,3.833902141,2.796624723,2.68612908,3.499179637,2.678093299,2.867184742,2.069881771,3.586343069,2.29503399,4.217533709,2.316089499,2.251924993,2.717256749
CBF1_input,6.282209409,3.770393498,5.775927297,3.419266405,1.957586438,2.502679611,3.918049713,3.769600226,3.018875976,4.103227327,4.984932393,3.722133087,2.42343423,5.009334722,4.817303318,4.108580181,3.923156139,3.150986343,6.306168936,3.54521302,3.481023796,3.122183956,3.615365001,3.439218493,3.449432629,3.72217351,3.648760562,3.479392268,4.933797858,3.099771522,3.354184125,5.169856066,5.317831163,5.382477037,5.077304058,6.359668546,6.883561903,6.486957744,5.541985299,5.300963501,3.864098591,4.15235397,6.735228268,2.931898936,2.135318929,2.345251396,5.588547803,3.929441501,3.866540641,4.748343919,5.520488739,4.155961354,5.080310217,3.134419447,5.465689819,4.893205547,6.181939085,3.905461967,5.767183052,6.949774555
CDC36_input,0.792004973,1.085730986,1.024110674,1.834970173,1.176421709,1.358981956,1.051323416,0.952618322,0.958045144,1.020221503,2.221530728,0.777723806,1.636250879,0.978282737,1.775951967,1.752319035,0.561316208,1.551990944,1.068783373,0.825648223,1.025436779,1.699285624,1.222573587,1.220351457,1.080766736,0.811559673,0.92031869,1.500697005,0.915587405,0.846491193,1.68073658,1.386076488,0.88596696,0.516138658,1.503092124,1.796131907,1.90424324,1.666772603,0.949710738,1.478375851,1.097242838,0.867028107,1.129534143,0.891244471,0.924814365,1.05938103,0.969250228,1.029664564,1.543046251,1.248788469,0.980658087,1.91821688,0.874746365,0.814850744,0.896784627,0.941959415,1.085508371,1.453554779,0.967866849,1.924030657
CDC39_input,1.53910184,0.730027845,1.938702248,1.439531568,1.686829299,1.911993768,1.161607245,0.872505324,1.068600911,1.273174319,1.388459133,1.691535825,1.795118182,1.225930195,1.020907101,1.225155994,0.938135094,1.836007105,1.333577286,0.960835671,1.322255876,1.097959031,1.769579281,1.572954662,1.330022361,1.280239049,1.288654453,1.547086321,1.172309619,1.417276469,1.252870293,2.076603339,0.685858541,1.650666512,1.843181957,2.388833785,1.356080251,1.112750721,1.663356461,0.9609879,1.039947424,0.967030768,1.180272516,0.818353772,1.032274702,1.230641888,1.812581672,2.065961833,1.214290643,0.89661885,2.265460551,2.209043554,1.193451644,0.927781765,1.099108169,1.083259541,1.960341021,0.721671572,1.13143791,0.725776817
CDC50_input,1.171810744,1.319606648,1.640381413,1.397550007,1.011580513,2.515484611,2.198634282,1.372455232,1.883846004,2.436770383,3.701692153,2.03879627,2.821044469,1.428448881,1.378621243,2.366880845,0.99134527,2.318786883,1.543325121,1.046331444,1.697818868,1.680096485,2.815020636,1.222114367,1.754357139,1.309778847,1.271462828,1.453469034,1.721480942,1.248666931,2.801813881,2.884802414,1.348710856,1.165519757,2.402302854,2.846478899,2.711983194,1.686218268,1.145289798,1.848538204,2.986001592,1.28352371,1.496873749,2.466498646,1.351921328,2.476592194,2.122294126,1.456815725,2.247080141,2.236802315,1.259552741,2.901706951,1.16709752,1.218465532,1.329515336,1.898586345,1.56191648,1.76540367,1.488012835,1.792615842
