,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60
ABF1,20.0773309,47.9431827,67.97196342,54.65937483,50.9058054,6.576229476,68.68489798,69.85044359,39.42823425,35.64904917,18.93155664,67.00607742,46.23646626,50.57988044,54.49193562,60.97934363,57.67255042,15.52987543,22.3896134,12.13839929,30.26802441,75.0531362,38.81463567,65.3237599,49.44455584,12.9543659,41.28405758,52.80677049,46.44139394,13.37355365,37.54809111,29.38812607,81.35887505,61.63644954,54.94807957,48.03070103,76.61248232,83.57591859,35.9470878,56.38720965,22.91755783,27.53639597,25.17490098,10.5201979,14.08709128,59.49896005,53.09987266,66.99621278,25.13972256,57.57266482,53.43231363,58.25302117,49.00791163,48.63309795,36.71078076,5.553724598,51.10635031,74.80409192,57.21054202,56.64967017
ACE2,0.409126077,4.313229382,7.955557146,12.87645938,0.186020387,0.333633223,23.03567473,0.26488182,0.84962603,14.84010785,0.921228199,2.229985834,1.941632816,0.851130897,0.77189919,10.4730704,13.22290828,5.856917764,7.627972217,20.58210779,22.86887899,22.51815819,4.872290916,12.01379304,19.47674008,0.725424421,1.011884502,5.598065529,4.767764803,11.05905309,0.519076021,11.60428923,0.051700717,2.951953215,6.270007553,0.510745688,8.813741916,7.36849117,3.032228981,2.897234658,0.261464973,11.97981213,2.804606712,3.836475621,4.914795336,12.77927432,0.100702538,16.66902486,9.115099041,1.098516626,9.2930492,5.497877209,14.92255572,16.34416625,16.6137142,1.77318376,18.8175127,9.307602669,0.26516571,2.832369761
ADR1,5.121577293,2.41850681,15.77406425,2.020760579,13.99404568,10.99360098,29.05340055,25.31973198,20.59086115,23.61571263,29.11449885,17.0645524,33.76157217,1.067052044,16.59888017,11.97380408,25.80099409,17.6902429,10.8385431,25.4310862,21.3772368,51.58992932,11.32376639,9.296759767,21.06948681,7.787890361,7.847369811,24.20164557,16.33063644,7.49986434,21.81225639,3.050495749,38.40543268,33.77259873,3.056396958,9.521394552,5.149085707,21.87635218,9.731833862,4.309096003,26.31508842,30.27655888,9.090950676,3.806078791,3.386594439,5.499036722,4.305780995,14.35456719,14.85757308,23.07310631,17.00842331,10.97910031,7.205159593,21.64367582,4.500870978,6.087383076,30.59375575,41.45555119,8.225618902,13.91934934
CAF16,4.970903324,4.022463129,1.689627831,6.958857443,3.824976485,7.478200231,2.347264203,1.11756034,5.991144461,2.44916322,2.300246651,3.519345871,0.099402341,2.792299136,5.503681988,3.424805453,0.209598995,11.96684441,2.871292366,5.27432813,5.133452387,1.084384772,2.579700959,9.900556846,2.431606997,1.966596907,6.158236806,8.921645103,4.763269243,0.445813103,4.205052808,4.628650073,7.036176656,3.118397823,0.403459911,3.024002814,5.882003244,2.816476871,3.407895256,0.703056961,0.956220971,12.02135452,0.512075858,1.143001097,1.463549773,2.191099674,1.227600685,1.884881204,10.54060803,1.075838033,1.09024626,1.678953822,6.630283731,1.436635309,5.789696306,3.560211171,3.135067791,7.752153225,0.476276185,0.871046196
CAF4,4.629628477,3.967840868,1.83969289,3.528776303,2.012019889,6.837221711,4.745178091,1.607803184,3.408134318,2.210743425,3.670833298,1.772652871,0.120832788,2.762605224,4.081329648,4.163853656,0.308093617,12.92333768,4.78852429,4.135646239,5.28555659,1.246469704,5.405395183,11.80804728,2.221606899,2.797807243,4.594388457,13.78135359,6.064746027,0.724549774,6.156258801,6.633734679,5.527693413,1.922301891,0.905229399,2.537579512,8.73122712,6.019727732,5.965067859,0.623581799,1.489429649,11.68347884,1.09260646,1.26833458,2.703135735,2.225577708,2.241152344,1.244471129,7.208000592,2.406809108,1.372364781,1.323618847,7.151101103,1.721723867,2.675713237,3.799532222,4.904238222,9.319719461,0.63668875,1.495563311
CAT8,3.258021109,30.99035496,41.44895317,26.86410504,37.13988678,42.11522119,50.27088635,22.52916665,40.47769069,3.613649496,18.58690467,13.93322278,4.162252381,12.47173402,3.451596085,38.32793549,30.19366382,18.47370333,37.21923621,7.77148207,19.39404649,55.51482423,28.65911351,13.58906229,4.784231861,12.21878524,7.95580858,49.99224975,22.25879224,31.76260696,28.76867948,30.05843443,33.34647122,12.23117387,40.59241599,11.50447701,27.15074464,19.48646461,34.90366631,31.14960887,25.15359553,46.87023064,41.87388185,29.46371465,16.33418933,10.0336429,35.71937259,52.6617842,7.310586623,15.26048587,30.41063165,39.58442268,24.41463068,30.52217199,24.43523472,29.61727595,10.96100168,16.81203697,27.27027361,28.47956663
CBF1,64.76214362,39.58328296,65.82004606,44.73067298,13.30237299,66.90673709,11.2679266,39.77588083,42.7596308,13.38413964,34.14115678,61.30036895,11.24920809,17.49805306,28.53984116,17.81098804,70.0876425,74.08071698,45.03965484,15.71269953,34.55943397,66.29322945,13.56093403,83.28068526,63.64829791,32.96125751,23.82126674,27.1612116,8.059437391,16.13144564,45.24006331,47.0091967,61.43140376,7.852319108,55.79492773,63.66270499,19.22216949,27.69576449,26.61316505,29.85838079,45.97183273,6.550372275,14.72831616,43.57526412,32.62630717,7.254260926,70.70213918,12.26479399,43.72416863,13.70756695,41.80593908,11.90868293,15.07705335,29.33366719,34.2592711,19.4195643,72.67222546,30.14698726,27.78733726,52.45294407
CDC36,0.185206424,1.337998885,4.409483889,0.68123575,1.296284166,0.462914101,0.269800713,0.128456482,0.355632288,0.670563351,0.01082918,5.057307536,0.372275556,0.046684473,0.003544104,1.757739024,4.744677039,1.829206228,1.098817292,1.1927461,0.094147567,0.567857919,1.632918703,0.654775628,1.207435963,0.686262111,0.732991025,0.450069158,0.767221051,3.474922419,0.766073055,1.626316246,0.747581972,0.775834777,4.927751879,0.133194693,4.093339248,1.639648798,0.186340719,0.414006534,0.202575522,3.923368045,0.12068725,0.943069934,2.149508398,0.814203396,0.059487302,1.229530507,1.076275492,0.02045406,0.520385562,0.375987708,7.30831136,5.910738924,6.42035559,1.933651452,0.734151588,0.161816278,0.212724906,0.404946069
CDC39,1.362602994,2.297191117,3.087957796,0.576543294,1.871532871,0.60018733,0.297496758,0.329250251,0.948083114,2.683146849,0.070427426,4.594457812,4.11728957,0.106910091,0.079526809,5.205750604,3.047744079,0.963297166,1.418561975,1.149729244,1.21193473,0.821640028,1.732523919,1.120377638,0.68927358,2.317595237,1.669158376,3.198718229,2.558342712,3.511613701,1.879826006,1.56846145,2.814583291,0.797444824,2.36324037,0.374746147,2.751151372,1.730358896,3.952359091,0.516306586,0.270898486,4.762749693,0.240184614,0.794250537,2.007305774,1.034960453,0.402802686,1.173000063,1.673624163,2.52592285,0.961310564,1.996386544,2.671984979,3.262230627,6.19374923,1.075494927,1.043279782,0.137600663,0.723788454,0.607397231
CDC50,0.932723324,2.609647442,0.764096071,0.328534738,0.577727529,0.102918367,0.016652738,0.079119207,0.689261531,3.435904122,0.070479501,3.692049219,4.223865325,0.187836601,0.044741657,4.611948748,0.533437847,0.222835993,0.504907461,0.219664684,0.841427596,0.193302041,0.141855509,0.298288318,0.230195378,2.144165762,0.994397032,3.129216321,1.917532977,0.071076696,1.707513565,0.477751471,2.18912693,0.970678937,0.207076097,0.275801359,0.089905192,0.217778105,3.452334156,0.226320378,0.147617167,1.445119702,0.252811508,0.415742533,0.300668988,0.360606943,0.191319501,0.087221063,0.349711793,2.502619259,0.486277781,2.231709493,0.4113255,0.429303419,0.966907573,0.467264404,0.007496824,0.067686839,0.594189359,0.315027222
