"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"ABF1_input",40.6525114004147,30.9856691740032,37.4113330360306,55.1930612111084,87.7779379384372,68.8687472231141,55.59431345849,65.7853992561579,59.6989208873994,49.6314411205825,57.6766096298908,18.6255334999426,110.156056849096,85.2315396770946,44.4232264722083,44.1033915926651,100.472318438121,93.8310546791615,68.7862027717099,9.99392985068182,29.7662618337007,83.0138853090951,68.096679596857,65.6428890119398,64.0868244121424,89.6649697093315,101.985626568179,65.4763649049401,90.1330282129883,52.5174044205114,64.4777707202623,48.1625628435031,46.4085418576374,48.0931736888893,61.7973857505393,45.6391404517124,53.2634819314901,60.4490115460247,59.975140006539,59.3967864458923
"ACE2_input",25.1210672050308,2.06601292335787,22.4466669309289,20.628834730931,35.4784811220863,28.7036048738591,11.5474861563466,31.0700570936447,30.1249065590264,32.4809183986559,23.4406347961065,25.2035365054749,6.75020356050994,36.7108638857495,28.0953696575463,29.8158359433848,44.1309641874888,9.85928468648367,41.94519235381,30.1935574288782,30.6895993989472,28.076891505629,37.0886941587253,20.4247630432551,23.9206462381108,30.5202939491871,28.6687193347036,24.8662608938301,25.4565156012854,21.3448232960054,28.262520812041,34.6315405262991,16.667049628268,18.725914124492,44.6405219590153,36.1372866688747,24.5634695533337,1.9286405641337,23.1444729102231,27.0220551222517
"ADR1_input",31.2651087412174,68.722974731144,26.4838660756314,57.5218416410787,23.9095685667153,34.2883258003742,39.6945703931579,45.4976508999496,39.6723884872803,44.5204604627533,61.8886309194837,37.0308063822482,48.9332691256405,64.8544877978785,18.4369023490439,44.1570561781612,31.7463896782198,11.7274871049069,45.8073595290608,48.0876814047148,33.6049750533865,42.8887019487191,38.661747361094,62.7471095466273,30.6059380316225,67.7993761507008,55.818406688759,44.4645395634605,54.703242547332,57.4611521114099,21.1750284316876,44.8835503903407,27.1012636840879,54.5340396836932,42.7453805279777,40.2449804541189,37.2837094745015,41.0098795788155,38.4531116052553,38.9807856403845
"CAF16_input",37.7713578135605,4.17162628670832,44.787196768615,52.7117047191766,32.4984656176183,16.3446706362981,33.3453634832533,54.10427696101,18.1065785437055,36.1603451772938,54.2015996557408,57.5589142770239,40.240099013813,25.9303834918249,35.6189988793994,27.3553001654573,22.6287673968656,29.5190003999987,43.4195319126628,0.421198700443231,42.995822916619,32.2283189931679,43.7341085976625,41.4724977997342,30.5474925932678,51.7083384663694,20.5262610772036,35.4461485915407,32.7176553146563,29.6976646040721,35.1753711932122,35.667744098993,34.1088640027203,32.7635704362893,44.9323178603496,51.1215644614723,33.8650588616937,51.8680165180369,53.3101079356957,37.8772588811966
"CAF4_input",30.411424001966,45.1405189557879,34.1092120790264,36.3769765359815,21.6312539325006,22.3662121467554,41.7192118774063,6.88376018041973,41.2759371517295,8.87944263401649,29.2875960652442,4.10215946774994,18.6281927398385,29.0141760382903,4.75674538015447,26.2856225623116,30.2442813736642,25.6444058072248,14.9983590684899,39.1097081004331,20.8512570430431,2.61837416944185,32.7234206320836,24.4873468330745,28.4001319484454,20.1109178246873,31.6219107194156,24.2400759845109,30.9161304673026,30.7535561475838,34.32331868769,28.3391789425149,12.8325744135572,37.8572906934317,36.2987725005653,18.0524083592913,25.7282521166895,31.8493498170715,28.8333116968496,10.7069281730493
"CAT8_input",29.6692586752318,40.1384627261587,38.1505484821796,29.498214817264,31.7648283705499,23.5907050352143,40.702389185187,40.2290464795138,48.6511354259058,42.5942126031373,66.8387440174387,40.0846818032558,42.1234743213117,54.5245749321187,50.7809576014103,45.4258819214552,41.4306193077606,44.9615961251055,26.4889942534102,44.435466455755,62.9528929674503,47.7904502561571,45.0755936543266,60.6539556977015,38.5234506792134,38.3851483660432,37.0197386844659,47.6554035309567,29.6287635927299,3.39428590297899,58.2126681555211,43.7585333438973,11.3694679090349,44.9164037584034,42.925166440446,42.3311566155167,14.9936263709096,37.6757757862809,61.0612138507235,39.3315030470613
"CBF1_input",89.4649480618251,55.5691753243878,59.3628611755989,32.923224339722,52.6461413810773,70.480640936653,58.5293338741033,68.5909378576361,8.04477852837836,56.0929908590658,84.7979959473346,60.5757541499233,82.884567555441,62.4407007861072,63.8354932464172,57.4913850649978,98.4830665056371,60.4731368826556,81.0629453390527,60.8286975695246,106.535667602972,98.7424987737319,49.1473754773848,19.087701071345,67.6495966317634,27.6776911865219,68.0781524489828,89.291577044562,95.7984390784563,36.7963626658124,101.997336595244,47.2838674198916,47.6446488840578,63.5463657005487,87.491569550075,60.2917610889401,64.3639166860605,85.3777762617453,83.484115582954,50.096660510475
"CDC36_input",11.7388157302069,23.8091990077499,19.9239656808154,23.3456610870677,22.313649264985,38.1287775316178,18.9920453349743,20.5384355335874,19.2978197106846,16.4270562647809,18.9498087139452,20.2512438943384,23.5311102083322,21.0305275015525,18.1419420562977,8.35805144650211,12.7148346800122,26.4518049528352,30.161335048401,18.3833255693377,19.6148179682755,22.7257157257377,22.9617731553774,31.3496120896099,19.5863322277958,14.489296540001,38.6393092884118,27.7356437040435,17.2445813063938,27.8282805057748,6.70434731394019,16.1387485928226,18.9577049305887,21.3283500823419,10.9955587024447,18.9480993997519,14.5248633159706,30.0945197661763,5.9160825499122,24.1445906532143
"CDC39_input",24.4447844253814,2.45068913359401,21.5488290842731,33.2940099837415,1.64477077247096,19.3207158248743,16.5739273976236,32.8934290229065,13.5126900497462,21.8272213312315,6.7142529081746,11.3083941716839,2.73336820814062,25.7795100460106,22.1509802512466,33.233412364288,29.7625011531854,24.5410103659799,11.4128542921584,21.7908384767134,19.2256527121355,24.1914556400534,34.8296445654967,13.6642099274391,18.3154478834757,25.9297303644574,39.0005142088389,19.1130449118879,20.1767184393294,18.7596921102358,35.6620422705907,17.2322536360136,0.0672893602587326,8.68460068207472,32.7672621580373,30.8796653654853,15.9607129083491,29.7083823247695,17.9261068177531,18.3870905476701
"CDC50_input",23.105231796649,30.9517382461311,30.6660080318966,14.7461699218937,39.455145439849,41.9650312505245,18.7890292928483,19.8475961610613,27.1540041493015,19.0379760760241,29.8619945711894,21.4461423299614,28.1832525951391,21.4864988970073,15.3640752488276,29.7149162516879,40.9142894199707,28.9689892622578,29.8370741833145,20.1851513898731,32.806516568573,22.8294391725403,12.3344817370855,30.7089759716811,37.0572412138179,20.8113192558731,36.8092462902961,37.4461976100975,2.97585853090206,14.4716286140779,13.2418990667137,21.0144893794795,12.873864003308,36.8646072537361,20.5346656380881,23.4236310005133,25.5675285138552,6.68731980299495,10.4212253324162,26.913606935325
