"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"ABF1_input",58.7909894650401,97.9610125065784,77.5118600677052,8.5293325568565,13.2951275993402,45.884273481768,88.8831881491861,32.0987338546362,22.6325250872276,86.7983953375171,71.1696420663814,82.199610394564,58.0569039574956,61.2667605691247,138.02666759683,90.6327244424458,108.98033929452,47.9804892735088,33.3452796418166,72.9580602978885,98.8376788192451,98.1418626214842,97.5126726399594,85.9617377717523,63.7193244538412,89.2582538629459,36.5916839601662,104.782307621115,98.0971966674761,9.70761293765732,154.639601793007,72.4513564802382,59.7936415409158,106.282626055892,54.7636818421203,50.285247335453,58.8068458199326,67.3612673369157,59.9328609618636,50.5234014788645,50.8621486666981,86.1660892789184,127.461264122618,69.8380380737858,74.2447849653477,63.5475151903249,46.8839452532159,79.8241135266196,60.3677182503614,64.5518407909061
"ACE2_input",31.8543299259557,40.7555890126759,6.07844156488575,32.8524807274124,43.5875584202109,34.0254341740252,31.2189492863044,33.5038687333496,38.5115013877624,19.1019390303139,40.8883596415552,26.7699191992107,30.8695944891767,39.7727535068556,56.387164327761,30.7843370631583,51.717935749696,29.3662314787185,34.7567110915796,25.9071385815726,37.8940262539807,30.0155444629725,27.0566210937385,25.024160631099,25.773428667711,23.504539550641,20.5760005720827,53.8426084792981,29.6411816634277,25.8784187396592,44.8891274451027,24.5925361349826,32.2746776425181,49.2748626370982,27.0565601222238,32.5679990002247,8.53936626120743,23.2946535751098,29.4409462110528,20.7898918569347,24.4691033375474,44.0656699669042,47.9862394499884,2.84835539311515,22.3606047928686,29.917427653826,18.4086715372622,31.7017451626496,30.2716545000836,26.949397372122
"ADR1_input",47.81457386314,46.8169953393244,46.8143866173456,29.5701508044395,56.074077170486,45.0695040157006,73.5422716618935,49.9406068636237,48.1213990541527,89.5982546721981,51.7630972019866,17.0567093912444,69.8238221735481,37.9627350826664,78.7291450628136,46.6911008435333,49.1031695217205,43.8148191969796,43.0547840609098,50.5448085015778,38.1202792415524,69.3671720208766,42.7410144690811,14.9103423270151,52.8282895211884,40.2525436863262,35.4794645447691,62.9423589266536,49.744236427538,76.6475466543034,100.206343157031,54.3463463802595,29.9976273627772,52.4315996726439,41.1323949040143,45.5210414448682,38.9966581530294,61.2168177316411,10.1390402155403,39.2314939187363,2.88658129300711,57.3972333056296,40.4258446504669,48.4730346712245,77.1395279251963,18.2524168577096,27.1015217340057,44.4827182041099,39.3768669671036,38.0473118094169
"CAF16_input",38.6661404299129,27.308023742537,39.7875377617984,52.5785304423467,27.4362580578279,62.7066709402555,38.1841015706538,36.0992422911145,18.2755107019606,68.7294551972255,24.3330970236524,4.82574192613956,61.1109838176,53.3195566551044,30.5877809821278,39.9212419057981,41.3396469851359,11.8322583721007,37.3916412336658,43.4323814843042,40.9767743351504,27.4051269738725,21.1911276956903,18.7702195893595,63.83321553046,40.395004041597,28.5377601887139,73.4441482181855,41.7636645813173,66.3204712315051,43.291811874308,36.3027937352592,64.3749703085406,42.3426752848134,19.7989627992898,36.1902761134877,51.7954696266497,35.8917788953174,32.1435483207979,43.1325634612832,28.8605215792775,41.40598599094,38.6967224555482,33.6601454170524,49.1302264089161,10.3397529945473,59.5218502553438,18.7720336964574,41.9253884060597,43.2416900384235
"CAF4_input",33.6790819166035,49.0004389274855,41.4554279286049,32.4545261382336,32.4928068826493,4.37161530781513,25.6946388663301,30.2492167324358,14.9608985130095,32.0912291339174,24.4411734805573,35.4652125665705,33.9983132332318,24.5808638538146,32.0926619366859,25.3994868847143,36.9094426210484,21.3660649542374,43.905926150549,33.6443291371591,45.8183076129636,30.5824098335149,13.2933294035945,33.4138998974024,27.5755255859012,16.6880820081262,17.7206140413957,34.1808129689035,54.6864347508706,31.5811659730804,17.1593302809634,33.3237001885496,27.9507908696919,49.0698630216171,32.9338963736833,29.6176950844869,22.075480399754,27.5335505665845,13.3488784130068,28.9941640979485,0.136217462108162,49.2393688419347,36.3768085235794,48.1125056585375,12.2856041201203,34.6992324305625,14.6200964120758,33.7609434722211,36.4795063267068,39.7981293930836
"CAT8_input",75.17627305184,20.3720123301609,32.4410655137572,50.5687822475182,51.165744584011,72.567812603368,48.312020672138,41.0121225766165,45.6088947771309,56.4644073708842,61.5982834974573,68.5451907816528,44.443231564231,50.0781048944068,86.2959832916052,29.8810251603329,42.5775350845997,64.4782797500429,51.375242214226,48.1750419014331,39.3206187616907,28.6210070046002,70.3448493435161,48.2623626829978,57.2539354882825,52.6673210587502,6.35740836343335,72.7447295861228,45.7964048897021,54.266093598822,54.9657416333819,50.6129469288146,40.7516886050197,44.7782295725194,42.7167856021976,46.1017475187313,43.6697939351725,33.5125504102491,66.6017379048939,42.0069296750844,71.516287820439,42.7977043195892,79.8477694328122,29.5917635504723,57.7642803156267,20.9118230869145,33.7302885313803,70.9973265471721,59.4042288070451,70.388328735642
"CBF1_input",59.8235490316778,70.5855630568869,69.1437608583825,104.012005209064,71.2180312225408,51.6553978645056,109.604707498457,36.5653560293413,26.9995098680809,137.132287149407,127.536524000991,86.0482567530475,59.1071088766342,44.824729379402,66.3931794424607,45.5304670977581,117.644212208336,64.3075264932305,115.710749791667,69.2290168477569,73.5319529260401,91.1144959845547,94.0260283988839,77.3380680265074,76.563987480976,44.7826670856547,7.5300205070702,131.536202221572,103.523782194936,73.5796911806402,140.641759908362,43.07184900308,117.420360975443,52.7120782823477,50.087315498295,70.8767550966149,68.2372674926992,76.5245374762103,70.2416903520396,63.4179472571853,35.3727272462499,82.9688427807129,35.6712820071244,26.3883936583718,89.0029848508421,62.5936741002882,66.7949498202905,103.99811542842,1.54534368199259,67.762244760661
"CDC36_input",38.9558824031596,34.8351790956084,31.5157944873413,24.5243489017939,14.7363536041006,33.398243994205,22.6959135648781,24.4568677268158,16.3663731181685,25.3517844348548,14.8078560263429,17.4831994330354,26.7422229163382,22.5677119579676,13.9876887732363,33.0515945102243,28.8227754861832,29.5885491008365,29.8380149432844,11.3817475469646,28.6388235494071,29.5702367257663,15.9703143178654,26.7252709255534,3.40403018121526,28.6173274412869,9.56655598525366,19.1444796629246,37.284074928071,15.7055942410432,3.72600909262208,25.2701991253928,20.079261090712,18.1742115880233,34.3027566456152,19.3117449401186,23.8895878151964,6.07811736873866,22.6506016873158,21.2350680200185,34.0808249142419,22.9561134022047,24.6650620864141,11.6755381105715,33.3725615872257,17.2176813342113,21.7760690572564,21.7790811326371,17.121131053214,23.3419118282757
"CDC39_input",21.9433261166401,32.4972481046208,24.5042324723961,20.1474134798941,18.8329115650749,7.88079576009501,0.070582102957692,6.93199065126388,16.7780972156311,35.7267966536093,10.5154003205843,8.2046584129566,32.2742328722341,22.0209564282116,18.8053097599912,24.8221967875388,39.3503535790918,23.0717537093223,27.4383100290558,13.8704629235374,38.4642686287368,32.5400155876299,22.8310057889429,18.5903559348789,17.0229095060083,15.7533799581311,23.6302916980625,33.7613138875828,31.9531034344344,9.61783897773151,44.2047740270228,13.5055808510683,16.1628821942638,18.0694937673346,23.3734411207732,14.5399362873279,18.1096594147815,16.4128304293363,27.6893800370741,13.2671141818698,27.7294829165826,22.0433317910549,34.8618519192412,30.6365246994698,26.2003987369673,22.5140048557395,24.2775981875864,38.9928052515619,25.165480307024,29.7129504663178
"CDC50_input",44.2952399936781,28.3215257343221,41.8314364555437,28.5137604661064,24.3916550106868,29.4515252751116,30.5099062032437,4.8427127320854,21.0552115610098,46.0925005066092,32.7303315771246,29.9870598796191,32.7480442228252,25.5074362344328,35.3270847415997,31.8706546722269,50.1943891242337,45.0119245853206,34.4912349666216,41.8197492827897,27.9291125852579,15.6956843722907,27.3196542695983,29.7046965025084,18.3464127810586,16.1039964528184,30.340521610757,45.5153598011405,23.4407993616549,19.6554505668572,63.6687859641072,45.7284331921144,32.8648338888254,6.44751241189794,17.4393192497073,30.5851769582267,20.5602921126361,36.909578830687,13.6747452937962,25.3224568367662,31.3914774043418,31.1922784548787,54.0852373217149,20.1109516678546,19.437065539395,39.2286920471574,41.2858475665828,6.43670210856021,23.5256485796008,6.05697683222832
