,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
ABF1_input,59.68248689,53.12663199,73.1644135,64.03015939,87.96173496,49.45802112,68.1905173,81.45273816,53.74567872,79.51681868,87.82020148,61.1698295,86.73628674,69.11510341,90.93378144,58.00217705,49.01972928,41.18089434,52.74021362,55.09029576,62.487374,107.118317,75.0986604,57.5049264,86.47870701,40.64605743,39.14935625,108.7449458,65.97600579,68.75033337,108.8869673,41.49932273,56.79396906,59.33496072,61.32051791,85.06366809,61.69644119,31.99655787,49.40114369,62.37962821,52.18439473,51.24253311,97.53290459,88.96739059,65.6961804,59.14228554,76.11649839,60.55435368,75.88032632,63.67863953,59.21722226,37.87486393,67.71516582,77.08527988,42.79687751,102.5845165,50.77162511,57.38863048,68.55922443,47.12608505,51.24284385,62.54514069,83.2785174,53.4438756,65.45246731,60.03024736,89.0441904,54.16763566,59.67072901,47.36300862,102.8312884,102.0174406,100.7491347,55.65112394,68.03881405,89.16311193,62.56324964,51.98768722,43.85659872,50.33083214,52.87871901,45.36782334,60.16661149,91.48303511,51.55559587,87.73756298,62.17679893,52.53665567,70.19022987,58.89658667,46.59239228,99.44493129,59.89310537,87.89244657,49.79272607,63.26741061,53.75475086,83.04992228,95.00520375,83.18383217
ACE2_input,33.03200767,28.47703981,19.28160824,21.12480676,17.60243885,24.81161418,20.52542338,34.46347326,19.81260702,15.62600318,18.62665592,18.04234723,19.52158531,39.22577005,34.94034644,22.72170882,17.19465787,21.44150967,39.1986071,14.48868434,27.71403094,30.93635034,34.15026093,31.48171661,30.42780481,19.66993079,16.19063202,48.42768336,22.11059777,30.95441862,33.23533016,30.22824505,17.55285673,18.55598021,15.99909161,11.61425092,19.37708069,26.50246939,29.93344413,24.6812138,29.14362535,15.14508404,20.00698182,14.93361726,19.89023108,18.51037895,16.91910999,17.98050395,16.67315844,21.34756544,35.75920893,20.07896471,46.45347373,32.80722755,17.68442669,27.86428464,20.58798093,15.44758541,20.21570782,28.90514543,18.64224302,24.660612,17.14372427,16.40629713,17.50119104,41.5108431,39.34393377,17.01449107,19.02571312,28.38633284,16.21739392,20.36151866,18.65282748,12.84957943,16.48368253,16.5390263,20.46104587,14.53276629,23.35747563,18.25274381,32.97195746,18.72711088,14.02557748,16.34232018,17.23627046,15.30347694,27.2544892,23.86517706,30.09683581,28.83903595,18.82967054,24.66193584,14.48633007,33.58247198,39.06810259,29.46395491,19.35628193,15.29334571,15.80321356,46.64274638
ADR1_input,38.68151782,38.96313676,31.41603462,67.75886136,59.89297863,60.11971317,54.86141358,49.59891748,40.58782034,43.63329923,36.05380314,32.25535005,38.64555514,69.45414146,35.78311747,35.7423023,37.24503776,36.85401412,37.44334764,28.13091872,28.15346165,33.95530972,27.64043408,36.9841029,55.03447548,63.53017519,40.42109166,73.80213032,34.56068868,39.84883194,53.29614997,35.03648523,38.52690248,35.14050767,43.30305478,31.94182225,45.29484379,33.63056135,55.12504794,73.65571166,53.77993474,47.51921359,69.84673904,24.20986791,27.06442611,28.75722889,35.71378193,19.49068599,37.71679729,41.87017336,32.93925937,33.21547683,70.3026709,38.46909036,35.67762003,20.37381155,59.81011944,22.84552156,38.63344839,33.62599706,38.62634256,24.11951955,36.15111538,37.55179134,57.46650773,25.16969145,44.68087582,40.20023422,60.71569118,32.48676004,25.26280346,43.14255305,41.31965832,45.40670983,34.89619559,46.01693165,39.48025093,19.53213622,34.95146273,52.32815154,20.81839425,38.51942182,23.74583775,36.776502,59.33210264,36.2051592,35.02003016,34.85733137,27.83057795,61.11925444,54.27102316,37.12148502,35.32588657,65.70443937,71.41513205,40.16189712,37.50689351,32.76631445,28.23928795,55.39023383
CAF16_input,31.6737221,20.94197437,22.93722551,25.05830763,23.61358942,38.95783703,40.92942558,49.42806056,29.37202194,20.10833118,27.5156555,25.6925635,27.16212983,50.68225675,29.74279045,36.52740667,22.16492018,28.28625109,45.55976169,18.45594019,49.7022351,51.31095554,26.03175699,29.93052619,47.81205992,28.75111271,30.36433176,54.28993824,44.81945584,45.90784581,46.17465493,44.26622714,27.2013246,45.07020642,21.46172438,19.21760405,23.36950912,41.09204486,20.77593708,31.99072244,28.54091697,16.30088303,30.92939378,45.67857969,42.70007966,31.51138529,36.99988056,26.52196913,48.03318247,41.6956512,27.18275591,27.07321896,31.30039748,32.71853731,28.08002587,46.90333435,28.5744856,42.46006934,47.59757553,31.52588327,49.18308253,17.71709888,28.05394607,19.74455855,47.73518496,27.6146515,28.85552972,21.66069326,18.98984896,47.63861184,32.33516679,31.51465233,30.57094936,30.73714057,46.63084116,40.00959897,27.54105379,20.01249452,30.0174298,44.06023545,50.14655063,24.45073288,29.08973161,43.75534411,27.97310955,27.9414755,39.98858933,26.36203778,28.35186124,27.81502885,29.23126521,37.45184676,29.16653356,28.02600247,33.35474478,38.24193581,37.16535791,26.67429005,27.29033595,27.61539105
CAF4_input,38.7158933,23.44152738,36.8926777,24.37211538,38.08665169,32.91331094,30.53766387,26.08379085,39.08452328,19.33774404,38.99879802,17.67656187,15.97944716,23.65273065,22.75839815,32.5085313,21.76159195,21.80235105,20.6213387,15.01704548,19.0530048,35.28250651,38.4680247,24.0695516,21.85707235,15.22377497,21.03103519,38.55122878,20.62817498,17.94335978,22.54281647,36.71012219,19.21443825,28.43594702,21.67202027,33.80754633,19.10318089,31.18981718,28.19618528,22.43457291,23.31922474,28.37568821,39.37453043,17.98576034,16.88992148,21.21839553,20.49096516,17.92859871,21.34785893,14.18639411,22.41703124,22.43189766,24.00549938,23.79033436,21.79119196,38.84151751,37.07106662,29.90191504,29.85232602,19.24529592,13.10785672,23.76259431,33.72236002,19.16717909,20.80539516,22.51589885,21.58068176,37.95872357,35.7191346,13.01922208,16.15272985,16.25669244,23.99391478,28.05158322,13.82733346,24.32781153,21.60937502,30.15595509,12.46663707,21.13905102,39.5488323,20.57240137,12.90370848,23.48866947,14.47753797,34.32623453,22.04627705,25.49093771,38.70802352,19.81052098,29.71463193,36.22574525,30.91754593,16.20403767,23.06699708,32.45537966,28.31732186,18.00707648,20.46656636,30.50169523
CAT8_input,28.48480822,33.46289496,57.63757481,35.71525693,35.07979109,35.85307051,67.03055631,59.86872981,49.76477677,33.50315105,35.58503856,30.884714,47.5072611,35.49135627,58.55921976,35.69009085,64.16403102,29.13697751,44.77520087,55.95240864,38.85477441,57.89788923,47.91778314,32.13208457,24.49756833,27.72990945,47.39098073,42.43601298,29.85255443,65.15222525,37.15807637,55.92538191,36.90623909,32.63699738,36.53749902,57.88491702,28.42371254,34.28755707,42.72246154,38.49213484,56.0760102,24.78357144,35.98641395,30.6982623,59.24739508,36.29661429,35.42661904,33.15974293,33.25184706,36.020734,60.17034178,54.75974799,45.02658426,58.02352224,37.46210175,35.13011737,35.81850884,55.21581084,30.87351069,48.74006604,59.12893426,62.82516514,58.81212452,56.59715378,51.9450267,58.87851959,62.25299987,56.80366785,43.61903796,33.69287093,36.22048299,65.03595157,71.08081854,35.0954322,31.20464638,53.64023028,30.92116508,31.8043348,54.22920485,36.62148674,56.47036454,34.0016301,50.03047021,51.43253651,36.43556436,34.76353887,35.20938223,37.94689487,37.56799382,64.0646228,58.48459822,60.24750917,56.72107885,39.26611713,41.96347066,60.67957866,45.86433361,35.80722688,33.38499936,74.80820711
CBF1_input,83.20052015,79.41439824,65.74329729,61.03825351,82.89907009,79.96815599,56.84967244,66.85242268,54.90155646,43.53494576,47.80682964,69.92600952,41.83339944,71.31995847,108.4901944,84.08067201,54.95588693,56.80194771,96.7029103,60.54727629,54.39973755,107.6889479,53.82844996,52.52653554,98.75483091,51.81988323,54.49388107,108.8292208,52.26734707,52.12981561,86.20755361,89.60067516,59.08438499,51.32605399,94.35861431,60.38290376,82.98922306,36.85665791,57.48897544,49.5364649,86.12864246,52.44848075,55.67956704,56.20274303,48.21641457,90.8764519,98.44408962,56.7154068,52.83483285,58.65380027,71.93345023,92.15017097,67.09676254,62.01628531,43.76881631,64.59474092,62.70542488,64.73807291,56.62335826,90.7811141,47.24079793,79.33553468,66.40286402,35.75723084,80.14482793,74.77211822,50.3104973,56.78409278,87.79482014,62.0458751,81.24811896,59.20009778,86.71809071,75.84731756,76.04508289,94.43680673,60.11230062,32.49883952,103.2230496,113.3413192,67.46605779,53.55372268,61.87307485,61.38529214,57.89692292,45.679246,48.37783884,35.93864294,51.27958202,87.52845789,87.25753333,63.15625826,55.78044092,79.71491269,55.40683861,74.94473395,51.5876871,36.8051176,63.02147153,73.9080212
CDC36_input,12.88370533,13.71860404,10.0256259,25.90080595,20.70915634,14.56179838,7.083956492,15.5611008,14.15005525,13.30241244,13.41605288,11.22002584,11.73822244,13.5815809,21.87188404,13.5703268,20.66434734,14.27894172,13.73583322,10.91053432,20.34680422,22.36883692,11.56276407,13.54061187,11.85619687,21.81987926,17.89546318,15.26342523,14.4361405,10.34804907,14.08587925,12.68742913,12.43070486,13.65412071,11.08944651,20.28097323,15.82219657,19.62170827,16.80581119,19.07417368,10.55555468,18.665747,23.92503788,12.51024511,7.846745453,14.41379625,15.81583726,11.83538684,13.96052213,13.44406641,11.29260154,13.11391842,11.06759191,22.3102837,7.62048576,14.50632216,9.223530662,17.07815597,18.27557719,11.68241828,18.34256846,19.87592481,10.10894562,12.12831526,20.65144729,11.79326115,14.22017787,15.03943585,22.33503628,19.30728239,14.06755016,21.27243355,16.02425688,14.43059991,11.27105427,14.49553268,9.362619952,19.18818805,15.12204279,27.34062076,11.13063261,9.728510516,8.824227073,12.38855182,14.4042846,19.896461,13.00644545,14.7360616,11.48115266,11.61557248,12.39031191,24.52009414,15.34712053,12.92243619,11.92130815,10.61563557,9.859927058,19.12346458,6.824783409,25.60331987
CDC39_input,22.52930993,24.58062667,13.41297122,18.05185256,14.98153209,14.33930793,12.90014515,13.65766827,24.33618923,23.16536321,30.62800867,13.39036333,12.27020467,14.16647646,14.31722472,17.02606342,25.3251517,10.05908306,15.44981809,13.16818666,24.26944396,15.83114245,24.6166263,14.93381651,14.35838314,25.13806129,12.44130191,12.08882959,20.07452885,8.946071186,15.36088267,23.52601403,18.70287473,21.35795955,14.43598663,19.65601423,13.69632292,13.01661373,13.10282637,14.00936397,14.43464175,12.43029351,27.4717707,12.48178378,16.67863881,13.84728844,15.89807263,11.98451943,19.85094482,23.12514804,13.76503887,15.36920312,26.836183,25.17222398,13.25720671,25.87152175,15.03594542,22.65622962,15.73741717,24.0424335,9.885520783,13.95924001,22.13370852,22.79160774,20.39752016,11.28870939,13.49413257,16.36286201,13.22006809,23.16846213,29.29057801,13.86537264,11.37710877,21.12846278,18.88374258,14.37939768,10.20357901,20.14189951,11.66145751,18.14811981,26.85502262,23.02360342,16.30547683,22.00062161,18.58196915,13.63061524,17.83483272,19.9481933,13.73451073,14.05013738,14.52399638,29.56826609,15.90995615,16.23676171,16.35477796,25.39214516,15.20187023,18.79762307,21.89840413,14.3581077
CDC50_input,21.10899043,29.09121371,17.09920202,43.17838217,27.54011931,23.54387698,18.87151004,33.51872194,33.70238859,19.02107677,22.07475217,20.98291346,21.08679652,26.50315394,22.80525392,19.18424004,19.41185511,20.01468816,22.90025549,9.267676404,23.06069349,33.32647236,21.7734947,34.68881933,27.84329039,13.14327411,20.2394928,39.55443189,13.92997683,30.8995713,17.01775709,18.4684206,31.52505264,30.87037484,27.10432375,14.46043997,21.54419195,11.5164249,30.02475012,43.45882557,20.12762824,11.89031952,37.36754727,30.45929479,16.45005172,26.66397027,15.56321915,29.04370621,18.47306247,14.01702483,33.31361547,26.9477949,37.05576157,19.96297487,10.91394026,40.25653772,28.86563607,17.80095276,19.9000597,17.95374723,34.46371725,20.07863161,19.42896776,33.68096139,20.48514181,23.75487835,22.4354911,31.82534455,35.30160148,12.48731728,22.7761088,29.48659878,16.20425823,16.04665672,28.34964905,36.01706755,13.08642247,12.95033121,18.86386014,32.3956744,31.84269984,31.78938668,18.25655526,33.17904089,19.79249059,20.80488675,19.52121,15.76230635,37.84768447,18.22036351,30.67206396,40.63126849,29.36635719,27.07460752,20.73795158,33.63425899,16.13284547,18.82046438,9.82004652,50.34762458
