,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
ABF1_input,40.6525114,30.98566917,37.41133304,55.19306121,87.77793794,68.86874722,55.59431346,65.78539926,59.69892089,49.63144112,57.67660963,18.6255335,110.1560568,85.23153968,44.42322647,44.10339159,100.4723184,93.83105468,68.78620277,9.993929851,29.76626183,83.01388531,68.0966796,65.64288901,64.08682441,89.66496971,101.9856266,65.4763649,90.13302821,52.51740442,64.47777072,48.16256284,46.40854186,48.09317369,61.79738575,45.63914045,53.26348193,60.44901155,59.97514001,59.39678645,97.37779954,52.7621205,88.99485869,29.53201905,73.81732572,62.54142846,100.6792058,58.90156435,16.38590271,43.6317129
ACE2_input,25.12106721,2.066012923,22.44666693,20.62883473,35.47848112,28.70360487,11.54748616,31.07005709,30.12490656,32.4809184,23.4406348,25.20353651,6.750203561,36.71086389,28.09536966,29.81583594,44.13096419,9.859284686,41.94519235,30.19355743,30.6895994,28.07689151,37.08869416,20.42476304,23.92064624,30.52029395,28.66871933,24.86626089,25.4565156,21.3448233,28.26252081,34.63154053,16.66704963,18.72591412,44.64052196,36.13728667,24.56346955,1.928640564,23.14447291,27.02205512,33.86201551,30.11279005,22.80864504,12.66891846,35.54745473,22.91693303,29.6393087,19.31957391,36.45557699,27.43583878
ADR1_input,31.26510874,68.72297473,26.48386608,57.52184164,23.90956857,34.2883258,39.69457039,45.4976509,39.67238849,44.52046046,61.88863092,37.03080638,48.93326913,64.8544878,18.43690235,44.15705618,31.74638968,11.7274871,45.80735953,48.0876814,33.60497505,42.88870195,38.66174736,62.74710955,30.60593803,67.79937615,55.81840669,44.46453956,54.70324255,57.46115211,21.17502843,44.88355039,27.10126368,54.53403968,42.74538053,40.24498045,37.28370947,41.00987958,38.45311161,38.98078564,41.46832013,38.30866548,54.24908144,60.00306993,2.851389888,60.91874182,58.32572709,23.88419073,44.26714055,40.57242587
CAF16_input,37.77135781,4.171626287,44.78719677,52.71170472,32.49846562,16.34467064,33.34536348,54.10427696,18.10657854,36.16034518,54.20159966,57.55891428,40.24009901,25.93038349,35.61899888,27.35530017,22.6287674,29.5190004,43.41953191,0.4211987,42.99582292,32.22831899,43.7341086,41.4724978,30.54749259,51.70833847,20.52626108,35.44614859,32.71765531,29.6976646,35.17537119,35.6677441,34.108864,32.76357044,44.93231786,51.12156446,33.86505886,51.86801652,53.31010794,37.87725888,54.83116738,29.33191033,5.046924508,35.09754822,36.04092716,55.43047449,37.56766864,4.146604766,23.02977836,26.35986567
CAF4_input,30.411424,45.14051896,34.10921208,36.37697654,21.63125393,22.36621215,41.71921188,6.88376018,41.27593715,8.879442634,29.28759607,4.102159468,18.62819274,29.01417604,4.75674538,26.28562256,30.24428137,25.64440581,14.99835907,39.1097081,20.85125704,2.618374169,32.72342063,24.48734683,28.40013195,20.11091782,31.62191072,24.24007598,30.91613047,30.75355615,34.32331869,28.33917894,12.83257441,37.85729069,36.2987725,18.05240836,25.72825212,31.84934982,28.8333117,10.70692817,38.50367401,44.746361,39.31729427,15.28697935,11.47602162,28.03604049,43.78416997,33.46775989,30.75966709,15.88992288
CAT8_input,29.66925868,40.13846273,38.15054848,29.49821482,31.76482837,23.59070504,40.70238919,40.22904648,48.65113543,42.5942126,66.83874402,40.0846818,42.12347432,54.52457493,50.7809576,45.42588192,41.43061931,44.96159613,26.48899425,44.43546646,62.95289297,47.79045026,45.07559365,60.6539557,38.52345068,38.38514837,37.01973868,47.65540353,29.62876359,3.394285903,58.21266816,43.75853334,11.36946791,44.91640376,42.92516644,42.33115662,14.99362637,37.67577579,61.06121385,39.33150305,33.31432814,60.45084218,28.91160388,42.49500823,9.049240205,38.58397094,45.79922115,65.46507898,56.20843062,33.34649844
CBF1_input,89.46494806,55.56917532,59.36286118,32.92322434,52.64614138,70.48064094,58.52933387,68.59093786,8.044778528,56.09299086,84.79799595,60.57575415,82.88456756,62.44070079,63.83549325,57.49138506,98.48306651,60.47313688,81.06294534,60.82869757,106.5356676,98.74249877,49.14737548,19.08770107,67.64959663,27.67769119,68.07815245,89.29157704,95.79843908,36.79636267,101.9973366,47.28386742,47.64464888,63.5463657,87.49156955,60.29176109,64.36391669,85.37777626,83.48411558,50.09666051,62.32001775,65.58279145,44.23766019,19.82601166,36.33509385,51.96974859,45.89476875,39.95824252,62.36291913,66.91440299
CDC36_input,11.73881573,23.80919901,19.92396568,23.34566109,22.31364926,38.12877753,18.99204533,20.53843553,19.29781971,16.42705626,18.94980871,20.25124389,23.53111021,21.0305275,18.14194206,8.358051447,12.71483468,26.45180495,30.16133505,18.38332557,19.61481797,22.72571573,22.96177316,31.34961209,19.58633223,14.48929654,38.63930929,27.7356437,17.24458131,27.82828051,6.704347314,16.13874859,18.95770493,21.32835008,10.9955587,18.9480994,14.52486332,30.09451977,5.91608255,24.14459065,24.95517736,23.48071422,15.38433048,25.74016921,12.02140618,14.05298543,10.00697549,24.06805991,10.47539983,26.98226926
CDC39_input,24.44478443,2.450689134,21.54882908,33.29400998,1.644770772,19.32071582,16.5739274,32.89342902,13.51269005,21.82722133,6.714252908,11.30839417,2.733368208,25.77951005,22.15098025,33.23341236,29.76250115,24.54101037,11.41285429,21.79083848,19.22565271,24.19145564,34.82964457,13.66420993,18.31544788,25.92973036,39.00051421,19.11304491,20.17671844,18.75969211,35.66204227,17.23225364,0.06728936,8.684600682,32.76726216,30.87966537,15.96071291,29.70838232,17.92610682,18.38709055,18.96579732,34.12157185,14.501883,25.28283575,29.18516505,12.77282131,20.98899088,15.11630801,22.63352522,19.77304207
CDC50_input,23.1052318,30.95173825,30.66600803,14.74616992,39.45514544,41.96503125,18.78902929,19.84759616,27.15400415,19.03797608,29.86199457,21.44614233,28.1832526,21.4864989,15.36407525,29.71491625,40.91428942,28.96898926,29.83707418,20.18515139,32.80651657,22.82943917,12.33448174,30.70897597,37.05724121,20.81131926,36.80924629,37.44619761,2.975858531,14.47162861,13.24189907,21.01448938,12.873864,36.86460725,20.53466564,23.423631,25.56752851,6.687319803,10.42122533,26.91360694,26.45473711,2.138534955,31.75369379,26.08502561,24.07179254,34.14022475,21.88526703,30.23413508,13.55237554,24.00729117
