"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"ABF1_input",0.00973777995356823,0.00527621205025435,0.00889948586881824,0.00295320190528325,0.00738173257175595,0.00625414284550629,0.0100679205781011,0.00589015643498976,0.00163859027083523,0.00436317128983105
"ACE2_input",0.00338620155061292,0.00301127900466498,0.00228086450351193,0.00126689184579522,0.00355474547297581,0.00229169330347165,0.00296393087017815,0.00193195739140715,0.00364555769853985,0.00274358387772033
"ADR1_input",0.00414683201277498,0.00383086654825683,0.00542490814352529,0.00600030699306422,0.00028513898880444,0.00609187418159017,0.00583257270946038,0.00238841907334418,0.00442671405453638,0.0040572425869822
"CAF16_input",0.00548311673799334,0.00293319103325138,0.000504692450810979,0.00350975482224665,0.00360409271611248,0.00554304744946687,0.00375676686410595,0.000414660476646848,0.002302977835908,0.00263598656650614
"CAF4_input",0.00385036740110137,0.00447463609995237,0.00393172942659519,0.00152869793472167,0.00114760216177899,0.00280360404933036,0.00437841699714657,0.0033467759888802,0.00307596670894791,0.00158899228763976
"CAT8_input",0.00333143281399061,0.00604508421816245,0.00289116038767342,0.00424950082284271,0.000904924020509288,0.00385839709442633,0.00457992211515474,0.00654650789824854,0.00562084306159905,0.0033346498435459
"CBF1_input",0.00623200177526126,0.00655827914452836,0.00442376601944064,0.00198260116550275,0.00363350938459632,0.00519697485897055,0.004589476874739,0.00399582425233408,0.00623629191319324,0.0066914402988568
"CDC36_input",0.00249551773571284,0.00234807142236941,0.00153843304790244,0.00257401692131828,0.00120214061797723,0.00140529854324821,0.00100069754903541,0.002406805990809,0.00104753998276188,0.00269822692606709
"CDC39_input",0.00189657973170187,0.00341215718469689,0.0014501882995933,0.00252828357477023,0.00291851650537969,0.00127728213118339,0.0020988990880659,0.00151163080071692,0.00226335252201343,0.00197730420692749
"CDC50_input",0.0026454737114311,0.000213853495490295,0.00317536937922575,0.00260850256097577,0.00240717925394243,0.00341402247496474,0.00218852670263781,0.00302341350758602,0.00135523755384732,0.00240072911709208
"CHA4_input",0.00237223859195774,0.00230877163602549,0.00113460303887643,0.000559594695669786,0.000910486151820992,0.00270756565264439,0.00260461087262808,0.00355983411327996,0.00226275031696001,0.00257102744645218
"CIN5_input",0.00405167365145472,0.00175712203466005,0.00201053906341346,0.0019937898195152,0.00146738387688762,0.00177783147614255,0.000377605798070671,0.00113854594664983,0.00271859644861427,0.00258369776287191
"CRZ1_input",0.00644542675556386,0.00585429267831445,0.00408509526233387,0.00330659222872951,0.00573685846908388,0.00625621350747624,0.00175935798153485,0.00320181556967308,0.00588590604579695,0.00532495266102682
"CUP2_input",0.00634107527788195,0.00463465792741657,0.00500188516794498,0.00426492839555236,0.00236352331852317,0.00366869816748377,0.00443440871208924,0.00636705309077237,0.00244546440455627,0.00403830935929696
"DAL81_input",0.00295880160083987,0.00409344507660567,0.000536586449639102,0.00227830180755654,0.00295803725754035,0.00155683918436759,0.00278946409958026,0.00161616890331095,0.0031343937052363,0.00369736972154588
"FKH2_input",0.00191277279021054,0.00219956468881242,0.00112917582443266,0.000930164242075506,0.00303589348631122,0.000106425743746018,0.00321230419713718,0.00240522493902185,0.00129227652590678,0.000678931659764616
"FLO8_input",0.00331225466844283,0.00370362254461014,0.00215587148275412,0.000996093988549421,0.00346671761359556,0.00195294260299771,0.00128554963754134,0.0031891639668353,0.00179973074176249,0.00315933669828958
"GAL11_input",0.004286160186361,0.00356244060836135,0.00381143990021859,0.00619092302309721,0.00306445027417886,0.00383272660029999,0.00544943476772045,0.00247423583615499,0.00361992650361155,0.00656358155802748
"GAL4_input",0.0149096676245708,0.00749377147999181,0.00539868807274658,0.00683316275578728,0.0080783257784001,0.00368875264380029,0.00545536754157448,0.0068805921657954,0.00688273305002792,0.00633246836623308
"GIS1_input",0.005104145775067,0.000981318577558111,0.00302457532474072,0.00211467284972276,0.00180919382878487,0.00309312813878053,0.00397014642692861,0.000792128702562549,0.00237779113059251,0.00313503266183561
"GLN3_input",0.0137147192328357,0.0148980217397848,0.00960916884164579,0.00898629749738716,0.00845200182183681,0.00914828521220387,0.0102985699053361,0.00926976978706766,0.00979660153506384,0.00801893752697108
"HAL9_input",0.00468434990523977,0.00267201950525404,0.00421390554391668,0.00323324737247902,0.00216880410317203,0.00450819838228509,0.00160136763074328,0.0022625002093966,0.00232594550598094,0.00150073133330294
"HAP1_input",0.0107010691231326,0.00468077500913471,0.00899215922516915,0.00906687595960656,0.00814098563258581,0.0128998864910369,0.00768443724326428,0.0129862453169836,0.0076312439007511,0.0108092856371369
"HAP2_input",0.00448374055632839,0.00354770362105367,0.00563226566111952,0.00513645265639031,0.00131214717932188,0.00147657419192009,0.00173660032452828,0.0041922881783963,0.00255443444810813,0.00369122483641557
"HDA1_input",0.00517619872924902,0.00466530401704757,0.00594609612448821,0.00379149134564659,0.00368442739559008,0.00252585552814131,0.00125862551434512,0.00579123798548865,0.00358259020012975,0.00550644123897093
"IME4_input",0.00366029158044879,0.00381195516167364,0.00157244548071216,0.00214343075536512,0.00273290693674411,0.00298683798295439,0.00188553157033378,0.00256024148219923,0.00373797197766352,0.00119751270561335
"INO4_input",0.000725745522729785,0.0033891833207768,0.00289703949315634,0.00241779066339704,0.00115910635107096,0.00235637486639559,0.00342502322129661,0.00254507258963624,0.00372494151533096,0.00360422631537246
"IXR1_input",0.00151824340074711,0.00410660373092051,0.00159648335161071,0.00348412055772708,0.00303616270779941,0.000898158816073874,0.000943339200948124,0.000831776952559754,0.00292680312267588,0.00129088122975649
"LEU3_input",0.00750561549080754,0.00273611603035589,0.00779935533590887,0.00434480904273122,0.00746311164302563,0.000347273649088641,0.00645397300455073,0.00813781411750459,0.00759427276418317,0.00850887208645177
"MAC1_input",0.00382803739994867,0.00430193308694304,0.00462964588601641,0.00387452539480606,0.00429895465249696,0.00423396939436463,0.00416369155232423,0.00530530619235366,7.82845384154775e-06,0.00352831053995473
"MET4_input",0.00474570341388634,0.00454387180478567,0.00670897047029615,0.00230877574045674,0.00496009356613829,0.00221727775199553,0.00592220143998699,0.00776264117768847,0.00768584762901609,0.0055842220682561
"MOT3_input",0.00256786607923355,0.00217973182592103,0.00404831132824199,0.00411819475259743,0.00171326886800279,0.00295526961078292,0.00227267934392574,0.00398239601968217,0.00284673793169727,0.00355699596403493
"MSN1_input",0.00112875567573938,0.00135449154155355,0.00166818263632626,0.00159586075826332,0.000882255087501533,0.00273956063699316,0.00179369460105927,0.000796710423322935,0.00178940471766047,0.00259153470739825
"NRG1_input",0.00233594659031246,0.00295491337546543,0.00198344475639857,0.0020536519332895,0.000301908983623882,0.00320627721912386,0.00101037030869086,0.00270839027943235,0.00234244836859069,0.00171277416663894
"PHO2_input",0.00405156785106322,0.00651846862789571,0.00471332016373205,0.0021557661919491,0.00418537853004178,0.00374264582754768,0.0050813553654299,0.00587225493424605,0.00728890044612323,0.00241871348018534
"PHO23_input",0.00265823597949548,0.00129667669272857,0.00195477404399025,0.00177132080815526,0.000893812271844387,0.000616909091928244,0.00144285831961817,0.0011510198425915,0.00239602835817098,0.00186442526263616
"PHO4_input",0.00669234033205717,0.00422267204950987,0.00723102197081926,0.00391955637648204,0.00378632556385731,0.00329378405562953,0.00512488111209116,0.00556898494760277,0.0017364773460209,0.0056447007275607
"POP2_input",0.00149516320430254,0.00141013309787264,0.00264018894289047,0.00334597884267355,0.00300463094686452,0.00263289062861527,0.00355382751001499,0.00143619101742351,0.00188207995206829,0.00291343244261862
"REB1_input",0.0185771538898649,0.0266561318232243,0.018116055302481,0.0273741057722784,0.0156790661843191,0.00172995940487549,0.0140254095927375,0.0148237569892652,0.000564879286914063,0.0156197982983036
"RFX1_input",0.00189081116264808,0.00397730239760434,0.00264632772196277,0.00373460228247271,0.00285606322580846,0.00411409001847889,0.00331641700938595,0.00287955723610619,0.00627118323793607,0.00593973945553363
"RGT1_input",0.00664430689804466,0.00503206962922996,0.003872999646944,0.00438499262134109,0.00544343032828575,0.00347971647302384,0.00516223842750423,0.00541049729012783,0.00428050855532234,0.00345174791634188
"RIM101_input",0.00473743263904255,0.000983924683217418,0.00276604792550853,0.00363496085347891,0.00508728586344162,0.00344617219295361,0.00536575497670031,0.00363033351832057,0.00234907861778241,0.00160557237335163
"RPH1_input",0.000437685361250574,0.00419457132359822,0.00344034081931817,0.00184642654234529,0.00223292817303993,0.00333788795523874,0.00237624455252897,0.00249454783675525,0.00178713679154336,0.00231577529490086
"RTG1_RTG3_input",0.00280642092085332,0.00474196357605783,0.00334092831430014,0.00329343171204855,0.00310090069513834,0.00141108408310574,0.00316469529428529,0.00337186675996881,0.00668465228134837,0.00287893645647192
"RTG2_input",0.00372917720156382,0.00345037592081584,0.0015928368047501,0.00358059817990493,0.00529857620300985,0.00703787200787516,0.00573167569600945,0.000419470773041304,0.00360197997340409,0.00216231978322162
"RTG3_input",0.00281270881936367,0.000478472040605877,0.00156126410844023,0.00175250292425449,0.00228316181506934,0.00140112883732525,0.00203526270260717,0.00293259188564138,0.00250868835374277,0.00110545342830898
"SDS3_input",0.00198817495311025,0.00459188746309419,0.00316205033009433,0.00373961575612895,0.00220767926905893,0.00338802270665317,0.00475305257750196,0.00318966593375859,0.00430676371598511,0.00165746989193701
"SIP4_input",0.00494664893221011,0.0035402964402163,0.00173509511858965,0.00459721350481065,0.00325232358120617,0.00484304199249915,0.00180278699254649,0.00500754925701071,0.00185593871351915,0.00077081936628809
"SKO1_input",0.00572327527545038,0.00642157271561747,0.0043355041529974,0.00290442464033526,0.00509531221692014,0.00431956178324855,0.00228885601216622,0.00377225663930837,0.0017985636393904,0.00284152787888338
"SNF2_input",0.0027824163745686,0.00310383443389387,6.26425134076009e-05,0.00186159509288332,0.00185535729283009,0.00204713719403269,0.00274715481977957,0.00415926588391263,0.00367501855068053,0.00091384381251661
"SNF5_input",0.00256882446607382,0.00252125865076687,0.00426596624813305,0.00268125133624886,0.00307752524227032,0.00173112967384871,0.00441685921669326,0.00243051350037566,0.0045143297066764,0.00437105540225962
"SNF6_input",0.00133564431205285,0.00186177984432591,0.00141176587344156,0.0013202436547641,0.00170626730833626,0.000171305388547662,0.00257064451582816,0.00135411557574648,0.00101843813143168,0.00143043579575789
"SPT16_input",0.00325235013145656,0.00608304950802904,0.00653979116252543,0.0085154359756215,0.00475824209507768,0.00658970761799098,0.00619661109482626,0.00659823982345009,0.00645209179386937,0.00648243024887104
"SPT21_input",0.00490260240603432,0.00609103313249619,0.00471325267416425,0.00398654718692287,0.00447410936004234,0.00615417069574297,0.00385660617454483,0.00558590656619943,0.00278218303805831,0.00319434833819761
"SPT4_input",0.00266210085815723,0.00120833644254139,0.00252997413679847,0.0035680594678585,0.00148646730353093,0.00249765804039383,0.0026152826710306,0.002638213566659,0.000422896909980788,0.00272921634422844
"SPT5_input",0.00251107848244542,0.00163519114893938,0.00212593381506155,0.00140375655703301,0.00197817237884276,0.00222425081746304,0.000971678836401309,0.000916089935331824,0.000571063443523519,0.000898839376395736
