Setting,Value
viz,True
viz_every_iteration,False
verbose,True
method,dopri5
neurons_per_layer,80
optimizer,adam
batch_type,trajectory
batch_size,19699999
batch_time,99999
batch_time_frac,99999
dec_lr,False
dec_lr_factor,999.0
init_lr,0.001
weight_decay,0.0
cpu,True
val_split,0.02
noise,0.005
epochs,100
solve_eq_gridsize,100
solve_A,False
debug,False
output_dir,output
normalize_data,False
explicit_time,False
relative_error,False
pretrained_model,True
lr_range_test,False
scale_expression,1.0
log_scale,linear
init_bias_y,0
