orf,sgd
YAL022C,FUN26
YAL040C,CLN3
YAL053W,YAL053W
YAL067C,SEO1
YAR003W,YAR003W
YAR007C,RFA1
YAR008W,SEN34
YAR018C,KIN3
YAR071W,PHO11
YBL002W,HTB2
YBL003C,HTA2
YBL009W,YBL009W
YBL023C,MCM2
YBL030C,PET9
YBL035C,POL12
YBL052C,SAS3
YBL061C,SKT5
YBL063W,KIP1
YBL064C,YBL064C
YBL098W,YBL098W
YBL100C,YBL100C
YBL111C,YBL111C
YBL112C,YBL112C
YBL113C,YBL113C
YBR007C,YBR007C
YBR008C,FLR1
YBR009C,HHF1
YBR010W,HHT1
YBR038W,CHS2
YBR054W,YRO2
YBR067C,TIP1
YBR069C,VAP1
YBR070C,YBR070C
YBR071W,YBR071W
YBR073W,RDH54
YBR083W,TEC1
YBR086C,YBR086C
YBR087W,RFC5
YBR088C,POL30
YBR089W,YBR089W
YBR092C,PHO3
YBR093C,PHO5
YBR094W,YBR094W
YBR108W,YBR108W
YBR133C,HSL7
YBR138C,HDR1
YBR157C,YBR157C
YBR158W,YBR158W
YBR161W,YBR161W
YBR200W,BEM1
YBR202W,CDC47
YBR204C,YBR204C
YBR242W,YBR242W
YBR243C,ALG7
YBR256C,RIB5
YBR273C,YBR273C
YBR287W,YBR287W
YBR296C,YBR296C
YCL012W,YCL012W
YCL014W,BUD3
YCL022C,YCL022C
YCL023C,YCL023C
YCL024W,YCL024W
YCL025C,AGP1
YCL027W,FUS1
YCL038C,YCL038C
YCL040W,GLK1
YCL042W,YCL042W
YCL043C,PDI1
YCL055W,KAR4
YCL061C,YCL061C
YCL063W,YCL063W
YCL065W,YCL065W
YCLX09W,YCLX09W
YCR002C,CDC10
YCR018C,SRD1
YCR024C-A,PMP1
YCR040W,ALPHA1
YCR041W,YCR041W
YCR042C,TSM1
YCR065W,HCM1
YCR069W,SCC3
YDL003W,MCD1
YDL011C,YDL011C
YDL018C,ERP3
YDL037C,YDL037C
YDL039C,YDL039C
YDL048C,STP4
YDL055C,PSA1
YDL089W,YDL089W
YDL093W,PMT5
YDL095W,PMT1
YDL096C,YDL096C
YDL101C,DUN1
YDL102W,CDC2
YDL103C,QRI1
YDL105W,QRI2
YDL117W,YDL117W
YDL127W,PCL2
YDL128W,VCX1
YDL138W,RGT2
YDL156W,YDL156W
YDL157C,YDL157C
YDL163W,YDL163W
YDL164C,CDC9
YDL169C,UGX2
YDL179W,PCL9
YDL180W,YDL180W
YDL211C,YDL211C
YDL227C,HO
YDR001C,YDR001C
YDR011W,SNQ2
YDR029W,YDR029W
YDR033W,YDR033W
YDR053W,YDR053W
YDR055W,PTS1
YDR077W,SED1
YDR085C,AFR1
YDR089W,YDR089W
YDR097C,MSH6
YDR113C,PDS1
YDR130C,YDR130C
YDR144C,MKC7
YDR146C,SWI5
YDR150W,NUM1
YDR157W,YDR157W
YDR190C,YDR190C
YDR191W,HST4
YDR224C,HTB1
YDR225W,HTA1
YDR247W,YDR247W
YDR261C,EXG2
YDR276C,YDR276C
YDR279W,YDR279W
YDR297W,SUR2
YDR302W,YDR302W
YDR307W,YDR307W
YDR309C,GIC2
YDR337W,MRPS28
YDR342C,HXT7
YDR346C,YDR346C
YDR353W,TRR1
YDR355C,YDR355C
YDR356W,NUF1
YDR368W,YPR1
YDR380W,YDR380W
YDR400W,YDR400W
YDR432W,NPL3
YDR440W,DOT1
YDR448W,ADA2
YDR451C,YDR451C
YDR461W,MFA1
YDR481C,PHO8
YDR488C,PAC11
YDR493W,YDR493W
YDR501W,YDR501W
YDR503C,LPP1
YDR507C,GIN4
YDR528W,YDR528W
YDR545W,YDR545W
YEL017W,YEL017W
YEL025C,YEL025C
YEL032W,MCM3
YEL040W,UTR2
YEL042W,GDA1
YEL047C,YEL047C
YEL060C,PRB1
YEL061C,CIN8
YEL064C,YEL064C
YEL065W,YEL065W
YEL068C,YEL068C
YEL075C,YEL075C
YEL076C,YEL076C
YEL076C-A,YEL076C-A
YEL077C,YEL077C
YER001W,MNN1
YER003C,PMI40
YER016W,BIM1
YER018C,SPC25
YER019W,YER019W
YER032W,FIR1
YER042W,MXR1
YER070W,RNR1
YER091C,MET6
YER095W,RAD51
YER111C,SWI4
YER118C,SSU81
YER124C,YER124C
YER145C,FTR1
YER149C,PEA2
YER150W,SPI1
YER152C,YER152C
YER170W,ADK2
YER189W,YER189W
YER190W,YER190W
YFL006W,YFL006W
YFL008W,SMC1
YFL011W,HXT10
YFL026W,STE2
YFL037W,TUB2
YFL044C,YFL044C
YFL060C,SNO3
YFL064C,YFL064C
YFL066C,YFL066C
YFL067W,YFL067W
YFR002W,NIC96
YFR015C,GSY1
YFR027W,ECO1
YFR030W,MET10
YFR039C,YFR039C
YGL008C,PMA1
YGL021W,ALK1
YGL027C,CWH41
YGL028C,YGL028C
YGL032C,AGA2
YGL037C,YGL037C
YGL038C,OCH1
YGL055W,OLE1
YGL060W,YGL060W
YGL061C,DUO1
YGL089C,MF(ALPHA)2
YGL090W,LIF1
YGL093W,SPC105
YGL101W,YGL101W
YGL116W,CDC20
YGL125W,MET13
YGL162W,SUT1
YGL163C,RAD54
YGL184C,YGL184C
YGL185C,YGL185C
YGL195W,GCN1
YGL200C,EMP24
YGL201C,MCM6
YGL207W,SPT16
YGL209W,MIG2
YGL212W,VAM7
YGL216W,KIP3
YGL225W,GOG5
YGL255W,ZRT1
YGR014W,MSB2
YGR035C,YGR035C
YGR041W,BUD9
YGR042W,YGR042W
YGR044C,RME1
YGR055W,MUP1
YGR065C,YGR065C
YGR086C,YGR086C
YGR092W,DBF2
YGR099W,TEL2
YGR108W,CLB1
YGR109C,CLB6
YGR113W,DAM1
YGR124W,ASN2
YGR138C,YGR138C
YGR140W,CBF2
YGR143W,SKN1
YGR146C,YGR146C
YGR151C,YGR151C
YGR152C,RSR1
YGR153W,YGR153W
YGR176W,YGR176W
YGR177C,ATF2
YGR188C,BUB1
YGR189C,YGR189C
YGR219W,YGR219W
YGR221C,YGR221C
YGR230W,YGR230W
YGR234W,YHB1
YGR238C,KEL2
YGR240C,PFK1
YGR259C,YGR259C
YGR260W,YGR260W
YGR276C,RNH70
YGR279C,YGR279C
YGR284C,YGR284C
YGR296W,YGR296W
YHL026C,YHL026C
YHL028W,WSC4
YHL040C,YHL040C
YHL049C,YHL049C
YHL050C,YHL050C
YHR005C,GPA1
YHR006W,STP2
YHR022C,YHR022C
YHR023W,MYO1
YHR029C,YHR029C
YHR030C,SLT2
YHR061C,GIC1
YHR067W,YHR067W
YHR086W,NAM8
YHR092C,HXT4
YHR094C,HXT1
YHR098C,SFB3
YHR106W,TRR2
YHR108W,YHR108W
YHR110W,ERP5
YHR113W,YHR113W
YHR123W,EPT1
YHR126C,YHR126C
YHR127W,HSN1
YHR135C,YCK1
YHR137W,ARO9
YHR143W,YHR143W
YHR146W,YHR146W
YHR149C,YHR149C
YHR151C,YHR151C
YHR152W,SPO12
YHR153C,SPO16
YHR154W,ESC4
YHR159W,YHR159W
YHR172W,SPC97
YHR178W,STB5
YHR205W,SCH9
YHR215W,PHO12
YHR218W,YHR218W
YHR219W,YHR219W
YIL009W,FAA3
YIL011W,YIL011W
YIL025C,YIL025C
YIL026C,IRR1
YIL050W,PCL7
YIL056W,YIL056W
YIL066C,RNR3
YIL072W,HOP1
YIL074C,YIL074C
YIL076W,SEC28
YIL094C,LYS12
YIL104C,YIL104C
YIL106W,MOB1
YIL114C,POR2
YIL117C,YIL117C
YIL119C,RPI1
YIL121W,YIL121W
YIL122W,YIL122W
YIL123W,SIM1
YIL129C,YIL129C
YIL131C,FKH1
YIL132C,YIL132C
YIL135C,YIL135C
YIL138C,TPM2
YIL140W,SRO4
YIL141W,YIL141W
YIL144W,TID3
YIL158W,YIL158W
YIL162W,SUC2
YIL167W,YIL167W
YIL168W,SDL1
YIL177C,YIL177C
YIR010W,YIR010W
YIR017C,MET28
YIR036C,YIR036C
YJL015C,YJL015C
YJL018W,YJL018W
YJL019W,YJL019W
YJL044C,GYP6
YJL051W,YJL051W
YJL060W,YJL060W
YJL067W,YJL067W
YJL072C,YJL072C
YJL073W,JEM1
YJL074C,SMC3
YJL078C,PRY3
YJL079C,PRY1
YJL091C,YJL091C
YJL092W,HPR5
YJL099W,CHS6
YJL115W,ASF1
YJL118W,YJL118W
YJL119C,YJL119C
YJL134W,LCB3
YJL137C,GLG2
YJL157C,FAR1
YJL158C,CIS3
YJL159W,HSP150
YJL173C,RFA3
YJL181W,YJL181W
YJL187C,SWE1
YJL194W,CDC6
YJL195C,YJL195C
YJL196C,ELO1
YJL201W,ECM25
YJL217W,YJL217W
YJL225C,YJL225C
YJR001W,YJR001W
YJR003C,YJR003C
YJR004C,SAG1
YJR006W,HYS2
YJR010W,MET3
YJR030C,YJR030C
YJR043C,POL32
YJR048W,CYC1
YJR054W,YJR054W
YJR092W,BUD4
YJR110W,YJR110W
YJR137C,ECM17
YJR148W,BAT2
YJR154W,YJR154W
YJR155W,AAD10
YKL001C,MET14
YKL004W,AUR1
YKL008C,YKL008C
YKL035W,UGP1
YKL042W,SPC42
YKL043W,PHD1
YKL044W,YKL044W
YKL045W,PRI2
YKL048C,ELM1
YKL052C,YKL052C
YKL065C,YET1
YKL066W,YKL066W
YKL067W,YNK1
YKL069W,YKL069W
YKL089W,MIF2
YKL096W,CWP1
YKL096W-A,CWP2
YKL101W,HSL1
YKL103C,LAP4
YKL104C,GFA1
YKL108W,SLD2
YKL116C,YKL116C
YKL127W,PGM1
YKL130C,SHE2
YKL151C,YKL151C
YKL163W,PIR3
YKL164C,PIR1
YKL165C,MCD4
YKL172W,EBP2
YKL177W,YKL177W
YKL178C,STE3
YKL182W,FAS1
YKL183W,YKL183W
YKL185W,ASH1
YKL209C,STE6
YKR010C,TOF2
YKR012C,YKR012C
YKR013W,PRY2
YKR021W,YKR021W
YKR037C,SPC34
YKR039W,GAP1
YKR041W,YKR041W
YKR042W,UTH1
YKR046C,YKR046C
YKR069W,MET1
YKR077W,YKR077W
YKR079C,YKR079C
YKR090W,YKR090W
YKR091W,SRL3
YKR103W,YKR103W
YLL002W,KIM2
YLL012W,YLL012W
YLL022C,HIF1
YLL028W,YLL028W
YLL032C,YLL032C
YLL061W,YLL061W
YLL062C,YLL062C
YLL066C,YLL066C
YLL067C,YLL067C
YLR013W,YLR013W
YLR032W,RAD5
YLR034C,YLR034C
YLR040C,YLR040C
YLR041W,YLR041W
YLR045C,STU2
YLR049C,YLR049C
YLR050C,YLR050C
YLR056W,ERG3
YLR057W,YLR057W
YLR058C,SHM2
YLR079W,SIC1
YLR084C,YLR084C
YLR095C,YLR095C
YLR098C,CHA4
YLR099C,YLR099C
YLR100W,YLR100W
YLR103C,CDC45
YLR121C,YPS4
YLR131C,ACE2
YLR135W,YLR135W
YLR142W,PUT1
YLR151C,YLR151C
YLR154C,YLR154C
YLR169W,YLR169W
YLR180W,SAM1
YLR183C,YLR183C
YLR190W,YLR190W
YLR194C,YLR194C
YLR209C,YLR209C
YLR210W,CLB4
YLR212C,TUB4
YLR214W,FRE1
YLR225C,YLR225C
YLR231C,YLR231C
YLR233C,EST1
YLR234W,TOP3
YLR235C,YLR235C
YLR236C,YLR236C
YLR254C,YLR254C
YLR273C,PIG1
YLR274W,CDC46
YLR286C,CTS1
YLR288C,MEC3
YLR297W,YLR297W
YLR300W,EXG1
YLR302C,YLR302C
YLR303W,MET17
YLR313C,SPH1
YLR326W,YLR326W
YLR342W,FKS1
YLR343W,YLR343W
YLR347C,KAP95
YLR353W,BUD8
YLR372W,SUR4
YLR373C,YLR373C
YLR380W,YLR380W
YLR383W,RHC18
YLR413W,YLR413W
YLR437C,YLR437C
YLR438W,CAR2
YLR452C,SST2
YLR455W,YLR455W
YLR457C,NBP1
YLR458W,YLR458W
YLR462W,YLR462W
YLR463C,YLR463C
YLR464W,YLR464W
YLR465C,YLR465C
YLR466W,YLR466W
YLR467W,YLR467W
