mgi_marker,symbol,name,chr
MGI:1922721,1700009N14Rik,RIKEN cDNA 1700009N14 gene,4
MGI:1923671,1700028K03Rik,RIKEN cDNA 1700028K03 gene,5
MGI:1917295,2610528A11Rik,RIKEN cDNA 2610528A11 gene,14
MGI:1923051,4930447C04Rik,RIKEN cDNA 4930447C04 gene,12
MGI:1921727,4933427D14Rik,RIKEN cDNA 4933427D14 gene,11
MGI:2443767,Aaas,"achalasia, adrenocortical insufficiency, alacrimia",15
MGI:97570,Abcb1a,"ATP-binding cassette, sub-family B (MDR/TAP), member 1A",5
MGI:97568,Abcb1b,"ATP-binding cassette, sub-family B (MDR/TAP), member 1B",5
MGI:1917931,Abraxas1,BRCA1 A complex subunit,5
MGI:1926116,Abraxas2,BRISC complex subunit,7
MGI:1913963,Actr2,ARP2 actin-related protein 2,11
MGI:1921367,Actr3,ARP3 actin-related protein 3,1
MGI:87911,Acvr1,"activin A receptor, type 1",2
MGI:1338944,Acvr1b,"activin A receptor, type 1B",15
MGI:1096335,Adam17,a disintegrin and metallopeptidase domain 17,12
MGI:109249,Adamts1,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1",16
MGI:1924100,Ago4,argonaute RISC catalytic subunit 4,4
MGI:1915033,Ahctf1,AT hook containing transcription factor 1,1
MGI:1342279,Aicda,activation-induced cytidine deaminase,6
MGI:1343098,Aif1,allograft inflammatory factor 1,17
MGI:87977,Ak1,adenylate kinase 1,2
MGI:1928488,Akap8,A kinase (PRKA) anchor protein 8,17
MGI:1860606,Akap8l,A kinase (PRKA) anchor protein 8-like,17
MGI:87986,Akt1,thymoma viral proto-oncogene 1,12
MGI:1919291,Alkbh4,"alkB homolog 4, lysine demethylase",5
MGI:1934606,Alms1,"ALMS1, centrosome and basal body associated",6
MGI:103097,Anapc1,anaphase promoting complex subunit 1,2
MGI:1098673,Anapc4,anaphase promoting complex subunit 4,5
MGI:1929722,Anapc5,anaphase-promoting complex subunit 5,5
MGI:1929711,Anapc7,anaphase promoting complex subunit 7,5
MGI:1913406,Anapc11,anaphase promoting complex subunit 11,11
MGI:1922680,Anapc15,anaphase promoting complex C subunit 15,7
MGI:88026,Ank3,"ankyrin 3, epithelial",10
