Process,Function,Peak,ORF,YPD ,SGD ,Deletion,Known?,Description,Aggregate Score
tRNA splicing,unknown,G2/M,YDL048C,STP4,STP4,undocumented,New,Protein involved in tRNA splicing and branched-chain amino acid uptake ,1.314
unknown,unknown,G2/M,YDR276C,YDR276C,YDR276C,undocumented,New,Abundant protein of unknown function ,1.314
unknown,major facilitator superfamily,G2/M,YIL121W,YIL121W,YIL121W,undocumented,New,Member of major facilitator superfamily (MFS) multidrug-resistance (MFS-MDR) protein family ,1.315
unknown,unknown,M/G1,YDR157W,YDR157W,YDR157W,undocumented,New,questionable ORF,1.316
unknown,unknown,G1,YDR053W,YDR053W,YDR053W,undocumented,New,novel; questionable ORF,1.317
unknown,similar to N-terminal region of ras-related,M/G1,YHR022C,YHR022C,YHR022C,undocumented,New,Protein with weak similarity to N-terminal region of ras-related proteins ,1.321
unknown,unknown,G1,YOR115C,YOR115C,YOR115C,undocumented,New,Protein of unknown function ,1.321
unknown,unknown,G2/M,YOR023C,YOR023C,YOR023C,undocumented,New,Protein of unknown function ,1.322
methionine metabolism,"methylenetetrahydrofolate reductase, putative",S,YGL125W,MET11,MET13,undocumented,New,Methylene tetrahydrofolate reductase - has similarity to Met12p ,1.323
unknown,unknown,G2/M,YGR259C,YGR259C,YGR259C,undocumented,New,Protein of unknown function ,1.323
unknown,suppresses bud emergence defect,S/G2,YOL112W,MSB4,MSB4,undocumented,New,Multicopy suppressor of bud emergence mutants ,1.326
unknown,similar to phosphomannomutase,S/G2,YMR278W,YMR278W,YMR278W,undocumented,New,Protein with simiarity to phosphomannomutase ,1.33
telomere length regulation,putative end-binding protein,G1,YLR233C,EST1,EST1,viable,New,Putative component of telomerase ,1.331
unknown,unknown,S/G2,YDR029W,YDR029W,YDR029W,undocumented,New,Protein of unknown function ,1.333
unknown,unknown,S/G2,YKL183W,YKL183W,YKL183W,undocumented,New,Protein of unknown function ,1.335
nuclear protein targeting,beta-karyopherin,G2/M,YLR347C,KAP95,KAP95,lethal,New,"Karyopherin-beta, acts to target proteins with nuclear localization (NLS) sequences to the nuclear pore complex ",1.335
drug resistance,unknown,G1,YNL231C,YNL231C,PDR16,undocumented,New,Protein with weak similarity to Sec14p and Ylr380p ,1.335
vacuolar acidification,vacuolar H+-ATPase 95 kD subunit,G1,YOR270C,VPH1,VPH1,viable,New,"Vacuolar H-ATPase (V-ATPase) 94 kDa subunit of membrane (V0) sector, essential for vacuolar acidification and vacuolar H-ATPase (V-ATPase) activity ",1.336
unknown,unknown,G1,YLR135W,YLR135W,YLR135W,undocumented,New,Protein of unknown function ,1.34
mating,alpha-factor receptor,G2/M,YFL026W,STE2,STE2,viable,Known,"Pheromone alpha-factor receptor, seven-transmembrane domain protein ",1.342
unknown,unknown,G2/M,YDR190C,YDR190C,YDR190C,undocumented,New,"Protein of unknown function, has an ATP/GTP binding motif ",1.347
ATP synthesis,regulates Atp6p and Atp8p synthesis,S/G2,YPR155C,NCA2,NCA2,undocumented,New,Protein required for control of mitochondrial synthesis of Atp6p and Atp8p ,1.347
unknown,similar to Akr1p and Ydr126p,M/G1,YNL326C,YNL326C,YNL326C,viable,New,Protein with similarity to Akr1p and Ydr126p ,1.35
oxidative phosphorylation,cytochrome-c isoform 1,S/G2,YJR048W,CYC1,CYC1,viable,New,"Cytochrome-c isoform 1, member of the cytochrome bc1 complex, predominant isoform during aerobic growth ",1.351
phospholipid metabolism,phosphatidylserine decarboxylase,G1,YNL169C,PSD1,PSD1,viable,New,"Phosphatidylserine decarboxylase, mitochondrial isozyme, converts phosphatidyl-L-serine to phosphatidylethanolamine ",1.351
transcription,unknown; binds Sin3p,S/G2,YHR178W,STB5,STB5,lethal,New,"Protein with similarity to transcription factors, has Zn[2]-Cys[6] fungal-type binuclear cluster domain in the N-terminal region ",1.352
secretion,vesicle coat component,G1,YIL076W,SEC28,SEC28,viable,New,"Coatamer complex epsilon chain (epsilon-COP) of secretory pathway vesicles, required for retrograde transport from Golgi to endoplasmic reticulum ",1.353
unknown,"similar to transcription factors, has Zn[2]-Cys[6]",S/G2,YPL133C,YPL133C,YPL133C,undocumented,New,"Protein with similarity to transcription factors, has Zn[2]-Cys[6] fungal-type binuclear cluster domain in the N-terminal region ",1.354
unknown,unknown,G1,YNL208W,YNL208W,YNL208W,undocumented,New,Protein of unknown function ,1.356
DNA replication,"replication factor C, 37 kDa subunit",G1,YOL094C,RFC4,RFC4,lethal,New,"Replication factor C, 37 kDa subunit ",1.357
cytokinesis,septin,S/G2,YCR002C,CDC10,CDC10,viable,New,"GTP-binding protein localized to the bud neck ring, involved in cytokinesis ",1.359
