orf_name,standard_name,desc
Q0045,COX1,Subunit I of cytochrome c oxidase which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits
Q0050,AI1,Reverse transcriptase required for splicing of the COX1 pre-mRNA encoded by a mobile group II intron within the mitochondrial COX1 gene
Q0065,AI4,Endonuclease I-SceII encoded by a mobile group I intron within the mitochondrial COX1 gene; intron is normally spliced by the BI4p maturase but AI4p can mutate to acquire the same maturase activity
Q0080,ATP8,Subunit 8 of the F0 sector of mitochondrial inner membrane F1-F0 ATP synthase encoded on the mitochondrial genome; ATP8 and ATP6 mRNAs are not translated in the absence of the F1 sector of ATPase
Q0085,ATP6,Mitochondrially encoded subunit a of the F0 sector of mitochondrial F1F0 ATP synthase; translation is specifically activated by Atp22p; ATP6 and ATP8 mRNAs are not translated in the absence of the F1 sector of ATPase
Q0105,COB,Cytochrome b mitochondrially encoded subunit of the ubiquinol-cytochrome c reductase complex which includes Cobp Rip1p Cyt1p Cor1p Qcr2p Qcr6p Qcr7p Qcr8p Qcr9p and Qcr10p
Q0110,BI2,Mitochondrial mRNA maturase with a role in splicing encoded by both exon and intron sequences of partially processed COB mRNA
Q0115,BI3,Mitochondrial mRNA maturase forms a complex with Mrs1p to mediate splicing of the bI3 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA
Q0120,BI4,Mitochondrial mRNA maturase forms a complex with Nam2p to mediate splicing of the bI4 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA
Q0130,OLI1,F0-ATP synthase subunit c (ATPase-associated proteolipid) encoded on the mitochondrial genome; mutation confers oligomycin resistance; expression is specifically dependent on the nuclear genes AEP1 and AEP2
Q0250,COX2,Subunit II of cytochrome c oxidase which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits
Q0275,COX3,Subunit III of cytochrome c oxidase which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits
R0020C,REP1,Master regulator that acts in concert with Rep2p to regulate transcript levels of the FLP1 gene that promotes plasmid copy amplification; autoregulates levels of its own transcript
R0030W,RAF1,Anti-repressor that increases 2 micron plasmid copy number by relieving repression of the FLP1 site-specific recombinase caused by the Rep1-Rep2p trascription regulator; also itself repressed by the Rep1p-Rep2p complex
R0040C,REP2,Master regulator that acts in concert with Rep1p to regulate transcript levels of the FLP1 gene that promotes plasmid copy amplification; also autoregulates levels of its own transcript
YAL001C,TFC3,Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding
YAL002W,VPS8,Membrane-associated protein that interacts with Vps21p to facilitate soluble vacuolar protein localization; component of the CORVET complex; required for localization and trafficking of the CPY sorting receptor; contains RING finger motif
YAL005C,SSA1,ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport; member of heat shock protein 70 (HSP70) family; forms a chaperone complex with Ydj1p; localized to the nucleus cytoplasm and cell wall; 98% identical with Ssa2p but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes
YAL007C,ERP2,Protein that forms a heterotrimeric complex with Erp1p Emp24p and Erv25p; member along with Emp24p and Erv25p of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles
